Geneid	0_R1	0_R2	10_R1	10_R2	30_R1	30_R2	50_R1	50_R2	70_R1	70_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-HB27c_C1178	14	27	17	14	20	4	7	12	15	5	host	gene-HB27c_C1178	None	None	7.56581421903682
gene-HB27c_C0908	44	55	16	17	37	26	21	11	27	18	host	gene-HB27c_C0908	None	None	18.942339636093813
gene-HB27c_C1268	249	360	176	206	292	225	187	141	172	95	host	gene-HB27c_C1268	None	None	8.662126125278228
gene-HB27c_C1673	101	129	36	40	106	73	76	54	118	82	host	gene-HB27c_C1673	None	None	6.80814448863079
gene-HB27c_C1076	53	98	45	57	91	61	40	32	36	24	host	gene-HB27c_C1076	None	None	8.209967658107447
gene-HB27c_C0117	77	91	46	48	74	46	23	31	28	15	host	gene-HB27c_C0117	None	None	12.073034190778202
gene-HB27c_C0669	8	9	2	2	10	4	3	3	7	0	host	gene-HB27c_C0669	None	None	2.060878161853252
gene-HB27c_C0182	343	539	161	235	650	444	387	258	478	254	host	gene-HB27c_C0182	None	None	28.297089409715824
gene-HB27c_C1468	72	121	49	70	84	57	53	39	36	15	host	gene-HB27c_C1468	None	None	5.519926713938824
gene-HB27c_P0199	263	317	200	121	165	153	84	107	79	61	host	gene-HB27c_P0199	None	None	19.873027977409677
gene-HB27c_C1936	192	295	131	136	264	185	186	138	238	180	host	gene-HB27c_C1936	None	None	6.184937563953101
gene-HB27c_C1203	54	65	21	26	41	35	22	18	23	24	host	gene-HB27c_C1203	None	None	9.921927921334518
gene-HB27c_C1287	177	265	120	147	224	167	120	96	100	87	host	gene-HB27c_C1287	None	None	24.98411579521675
gene-HB27c_C0944	99	163	71	91	154	100	78	64	70	42	host	gene-HB27c_C0944	None	None	7.17208991653012
gene-HB27c_C1327	218	329	158	155	259	190	128	102	119	81	host	gene-HB27c_C1327	None	None	30.85715318801553
gene-HB27c_C1732	35	83	43	33	49	36	44	22	39	26	host	gene-HB27c_C1732	None	None	13.616185530791139
gene-HB27c_C0864	51	76	25	16	51	50	23	11	18	13	host	gene-HB27c_C0864	None	None	14.778790148855506
gene-HB27c_C1106	119	168	68	64	121	84	72	47	64	37	host	gene-HB27c_C1106	None	None	17.17934847431388
gene-HB27c_C1670	349	452	116	183	360	258	200	119	229	116	host	gene-HB27c_C1670	None	None	12.044567168559634
gene-HB27c_P0099	4	20	2	7	7	6	6	6	8	7	host	gene-HB27c_P0099	None	None	1.1007103805560545
gene-HB27c_C1093	167	195	184	172	216	186	169	131	126	73	host	gene-HB27c_C1093	None	None	24.155759535912598
gene-HB27c_C1462	346	458	165	118	322	235	174	179	237	147	host	gene-HB27c_C1462	None	None	105.18268653665443
gene-HB27c_P0013	144	223	91	99	320	162	146	66	102	43	host	gene-HB27c_P0013	None	None	25.562059370306844
gene-HB27c_C0617	24	44	12	9	39	24	13	16	17	15	host	gene-HB27c_C0617	None	None	2.0725202378379586
gene-HB27c_C1947	614	907	799	1108	1005	819	811	707	509	386	host	gene-HB27c_C1947	None	None	49.23158344269382
gene-HB27c_P0257	15	30	9	15	47	31	19	10	16	11	host	gene-HB27c_P0257	None	None	3.095576453592758
gene-HB27c_C0359	6	6	5	4	6	5	0	2	2	0	host	gene-HB27c_C0359	None	None	0.8355566954426684
gene-HB27c_C1978	110	163	44	55	160	104	87	53	73	56	host	gene-HB27c_C1978	None	None	9.701098254023321
gene-HB27c_C2031	144	195	76	94	154	105	77	58	55	30	host	gene-HB27c_C2031	None	None	21.92519405197899
gene-HB27c_P0014	167	243	102	114	322	205	152	71	134	34	host	gene-HB27c_P0014	None	None	20.61493351163199
gene-HB27c_C0980	98	165	60	82	144	114	54	63	64	31	host	gene-HB27c_C0980	None	None	9.229196639781692
