Geneid	0	5	10	15	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-PA4673	26.393353929302545	13.702050035943254	1.683577110502981	2.698543035094663	host	gene-PA4673	None	None	26.6350559059562
gene-PA0041	2.617244247002706	1.961899504377228	0.8658586889294188	0.3010687123470469	host	gene-PA0041	None	None	4.0000151935453685
gene-PA4390	12.262303709721397	10.780302830325422	3.298058492195532	2.7129081436807647	host	gene-PA4390	None	None	11.504956174058856
gene-PA5076	17.216239943290766	13.081587250335165	3.9778434070918056	4.477996813731916	host	gene-PA5076	None	None	16.86555892178438
gene-PA4316	3.328675521600166	1.152342289247225	0.31485112671535365	0.7907196867760795	host	sbcB	None	None	4.156624982183206
gene-PA3760	0.9175452938833472	1.2516371407845566	0.5926027194234378	0.34363688812073917	host	gene-PA3760	None	None	0.9541616240498872
gene-PA1681	7.8839514861715845	2.1717562164003583	1.0030489336517423	0.6962113602983102	host	aroC	None	None	7.2952011716822405
gene-PA2320	2.4357975727508325	4.084100251456492	1.5683475552595438	0.13683244772752057	host	gntR	None	None	4.218540450094918
gene-PA0735	1.6937992701046294	2.5474939820012947	0.6346609824278064	1.6804372878133245	host	gene-PA0735	None	None	1.9779991104668386
gene-PA1116	11.714771738550661	4.852253758249595	0.40123535350516504	3.2983413638997727	host	gene-PA1116	None	None	14.050124906402083
gene-PA0992	0.5037835256114842	2.2927000038189935	0.9529875097572111	0.6714040401381364	host	cupC1	None	None	1.7492263029313506
gene-PA1699	16.234817280395102	1.7463588102427685	1.0574906233744403	1.2791258849052092	host	gene-PA1699	None	None	14.996078506857263
gene-PA5116	3.0608422383800535	1.359643706737883	2.1285350620683063	0.09507883418266044	host	gene-PA5116	None	None	2.7956102130183575
gene-PA0703	0.5105415141436582	0.39907365066748246	0.41803076741276607	0.970039841192506	host	gene-PA0703	None	None	0.3289523662449539
gene-PA1500	0.48348843784650386	0.3318336177900326	0.2998132764383899	0.4398495134595566	host	gene-PA1500	None	None	0.26757166675968047
gene-PA4302	1.2514041566005072	0.6750392803162218	0.2450263090421002	1.3222248108412271	host	tadA	None	None	0.45640212914836803
gene-PA2919	0.40215305778723265	0.7650382055848791	1.9230765159924181	1.1069540717096897	host	gene-PA2919	None	None	0.7285025334401449
gene-PA2473	0.24846436189794482	0.5523401122878314	0.2100945299651565	0.44278162868387594	host	gene-PA2473	None	None	0.3198099089007525
gene-PA4747	916.4381241537199	245.10850686622496	187.26250641382526	110.17151137432548	host	secG	None	None	872.4240406113004
gene-PA4903	0.5214333438373026	0.14598530346312827	0.43076860101521414	0.18409135104298915	host	gene-PA4903	None	None	0.4068134583760369
gene-PA0091	8.27489465321749	10.256233068297691	1.1569462006023687	1.9941989143302006	host	vgrG1	None	None	15.399216582655784
gene-PA0012	6.2937176984665895	6.035767110116006	0.8506081424630858	1.0707666360310661	host	gene-PA0012	None	None	6.467882863668722
gene-PA4133	4.226115471852805	5.747366395424459	2.2283778707961526	1.5350796580301744	host	gene-PA4133	None	None	6.317064066677092
gene-PA0709	1.253774382211855	0.4766461382547222	0.30625666337025476	0.9527968343688791	host	gene-PA0709	None	None	0.6476622655455135
gene-PA1217	0.35856396474282176	0.5238597060369792	0.15716219677186377	0.269927630381555	host	gene-PA1217	None	None	0.6958342905885812
gene-PA4280.4	285.4224724315378	4472.561143798997	292.3340686942712	675.906577013513	host	gene-PA4280.4	None	None	4234.563282640748
gene-PA3599	0.9808255630822429	2.1023307891628393	1.2238673999984908	0.23268899102118354	host	gene-PA3599	None	None	2.334153954888463
gene-PA2364	1.317723769606942	2.576523108884769	2.264670518519194	1.4514163892010195	host	gene-PA2364	None	None	1.5873687612906284
gene-PA3949	5.952655653643454	3.676350124134606	0.6018313623611794	1.2874620454711132	host	gene-PA3949	None	None	6.72157611698268
gene-PA1117	3.1914512352542244	2.2580037271179227	1.4032149144552015	1.40702783809191	host	gene-PA1117	None	None	7.197974879940706
gene-PA3918	9.643821718507326	4.439797451707009	2.9559562506768913	0.35628612242173285	host	moaC	None	None	7.948549833072094
gene-PA3355	3.6070985205545774	2.466701920402948	1.0030095163995465	1.5617634965412783	host	gene-PA3355	None	None	2.3646356977525786
gene-PA1227	3.1269754228668742	1.6103845202695346	0.35286269444514734	1.5215152899197142	host	gene-PA1227	None	None	2.3876825494363594
gene-PA4326	2.1632517727020413	2.362361616304426	1.388001528454997	2.3212505746518297	host	gene-PA4326	None	None	4.632665279147579
gene-PA3303a	5.171966405182835	0.3722055756414917	1.2378444804228055	1.0132663316734891	host	gene-PA3303a	None	None	8.308545338937126
gene-PA0370	2.1560277653507876	0.941667220303288	1.0055149610808483	1.0466628032565441	host	gene-PA0370	None	None	3.3243991032651956
gene-PA4765	10.546955545462472	19.802593376987595	12.694585799701386	8.434561390358194	host	omlA	None	None	58.3222523581423
gene-PA3618	6.800241083613882	9.38535694391318	1.1983020221913108	0.9893743028348815	host	gene-PA3618	None	None	13.96194492695482
gene-PA3768	15.381746585815641	1.9820521211407334	1.7045884170244665	1.7879760383919496	host	gene-PA3768	None	None	12.28434450299129
gene-PA2475	0.5686055252514992	0.5726635487426213	0.14376259525559645	0.10157579157655885	host	gene-PA2475	None	None	0.30184081122086276
gene-PA4506	0.3350437745013836	1.0739885305491617	0.8845006004713123	0.8733970981714724	host	gene-PA4506	None	None	1.0724420936521637
gene-PA1039	1.9096308647376903	2.59337958137045	1.4882484991487708	0.938938427622874	host	gene-PA1039	None	None	1.511933132901587
gene-PA0099	1.9119359240294105	3.848711821470044	1.9068912356548395	0.34345039829757396	host	gene-PA0099	None	None	3.9155331960012494
gene-PA2954	4.656175537220935	1.2509644087971215	1.4086206413567548	2.0198136468533527	host	gene-PA2954	None	None	4.939254879947637
gene-PA0927	2.388639406939279	0.7165714409931482	0.5666355999634625	0.49969019209449317	host	ldhA	None	None	1.7333064352194596
gene-PA2578	1.379286526127792	1.6878577632292115	0.6131462658501482	0.3309106559938548	host	gene-PA2578	None	None	2.5776002074346613
gene-PA4899	0.3772522583095842	0.05536203414277033	0.2731486568000079	0.09224740255422179	host	gene-PA4899	None	None	0.37563672785640706
gene-PA0640	0.8559483140941	2.989014990741358	7.060085901971694	4.784343522070629	host	gene-PA0640	None	None	1.6833765903345708
gene-PPLUZ19_gp12	0.5591397307006579	3440.9905779992814	1058.502086404286	414.69453828367745	phage	gp12	middle	middle	6214.906358338847
gene-PA2358	0.30280215852620684	0.765681832406859	0.39980372569506395	0.8538511230399838	host	gene-PA2358	None	None	0.504400306796132
gene-PA3283	2.944569655052347	1.3868639514926606	0.6610005243614983	0.13445861001507448	host	gene-PA3283	None	None	3.2491455884067832
gene-PA5520	1.7455972775446655	5.849866702552918	0.8962362992227927	0.6796299626341146	host	gene-PA5520	None	None	5.538945220282087
gene-PA0582	15.391788639722837	4.903892015128942	3.0750890797519888	1.586314885595497	host	folB	None	None	22.637660980623156
gene-PA1004	32.25848079767087	11.944429020081213	3.468167525859245	8.441782584568077	host	nadA	None	None	34.15286588662574
gene-PA3321	0.2640260691700675	0.8157169809038127	0.4881415011397765	0.363471181058266	host	gene-PA3321	None	None	1.1410558366446306
gene-PA4940	196.92714745430848	112.70979117707151	50.200313239856236	64.28633156996158	host	gene-PA4940	None	None	197.45743233890138
gene-PA2133	0.2653539258726545	0.7257855396570169	0.17512587109666994	1.130797837560079	host	gene-PA2133	None	None	0.7920671180450658
gene-PA0412	8.427927635159556	21.936846386463937	4.32478318086957	2.71635058965014	host	pilK	None	None	26.42809861767678
