Geneid	0	5	10	15	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-PA4673	1.0	0.7337972054947627	0.166578611907757	0.14396026740307727	host	gene-PA4673	None	None	26.6350559059562
gene-PA0041	1.0	0.7867284533916499	0.22352348734047267	0.15171013491418517	host	gene-PA0041	None	None	4.0000151935453685
gene-PA4390	1.0	0.9403847372844051	0.3263814059239236	0.21250728392099497	host	gene-PA4390	None	None	11.504956174058856
gene-PA5076	0.9540754684115675	1.0	0.3546713352367722	0.2266117855950519	host	gene-PA5076	None	None	16.86555892178438
gene-PA4316	1.0	0.7337931005644623	0.2925325463300902	0.14389416317413375	host	sbcB	None	None	4.156624982183206
gene-PA3760	0.7868857330251957	1.0	0.34808050784570177	0.21946839958485898	host	gene-PA3760	None	None	0.9541616240498872
gene-PA1681	1.0	0.9554102718262553	0.3248392543227801	0.23129586616293407	host	aroC	None	None	7.2952011716822405
gene-PA2320	1.0	0.8646547252617832	0.25300780420454455	0.21836895304096357	host	gntR	None	None	4.218540450094918
gene-PA0735	0.7876567091961787	1.0	0.382527033281281	0.2526865519464195	host	gene-PA0735	None	None	1.9779991104668386
gene-PA1116	1.0	0.5377077885574028	0.18850169450021748	0.11937587597568367	host	gene-PA1116	None	None	14.050124906402083
gene-PA0992	1.0	0.781351282699172	0.2926294497446237	0.23541011260455594	host	cupC1	None	None	1.7492263029313506
gene-PA1699	1.0	0.42884575229880656	0.1394682715104335	0.12413571559325476	host	gene-PA1699	None	None	14.996078506857263
gene-PA5116	1.0	0.8287475149476138	0.34654475570993726	0.17142517774267613	host	gene-PA5116	None	None	2.7956102130183575
gene-PA0703	0.791908942440219	1.0	0.5294971395336632	0.9201443779723018	host	gene-PA0703	None	None	0.3289523662449539
gene-PA1500	1.0	0.8091318924902815	0.48253612647387656	0.4449377226942765	host	gene-PA1500	None	None	0.26757166675968047
gene-PA4302	1.0	0.9295091327081366	0.6186441342031036	0.8943474890568833	host	tadA	None	None	0.45640212914836803
gene-PA2919	0.8832709136146196	1.0	0.5714647845910601	0.6171474838080201	host	gene-PA2919	None	None	0.7285025334401449
gene-PA2473	0.9471538257832233	0.685282685607696	0.40253763988280067	1.0	host	gene-PA2473	None	None	0.3198099089007525
gene-PA4747	1.0	0.6407865394132328	0.27977176913065216	0.10347064924181473	host	secG	None	None	872.4240406113004
gene-PA4903	1.0	0.5153577745007057	0.3973848929406467	0.21299656348122553	host	gene-PA4903	None	None	0.4068134583760369
gene-PA0091	1.0	0.7182586836174886	0.15184831045425143	0.12108453987005804	host	vgrG1	None	None	15.399216582655784
gene-PA0012	1.0	0.7480019316706256	0.19265669163984744	0.21206101874370717	host	gene-PA0012	None	None	6.467882863668722
gene-PA4133	1.0	0.9118111089086778	0.288618917540996	0.1786180126213938	host	gene-PA4133	None	None	6.317064066677092
gene-PA0709	1.0	0.7909281765721099	0.3618467183846785	0.4716194767061889	host	gene-PA0709	None	None	0.6476622655455135
gene-PA1217	1.0	0.945292697065026	0.3595968460566523	0.25901165244926766	host	gene-PA1217	None	None	0.6958342905885812
gene-PA4280.4	1.0	0.7022158032672067	0.411615267156582	0.10791850156506792	host	gene-PA4280.4	None	None	4234.563282640748
gene-PA3599	1.0	0.835403412734022	0.23280260694249885	0.1327078406669663	host	gene-PA3599	None	None	2.334153954888463
gene-PA2364	1.0	0.7117279319770115	0.4075749660077554	0.38493914745499846	host	gene-PA2364	None	None	1.5873687612906284
gene-PA3949	1.0	0.6073739180263622	0.1712575305439269	0.1323441817362309	host	gene-PA3949	None	None	6.72157611698268
gene-PA1117	1.0	0.5767242950470614	0.15904710119706086	0.16475773157152568	host	gene-PA1117	None	None	7.197974879940706
gene-PA3918	1.0	0.7670134900501411	0.2700261266334583	0.17381204052639093	host	moaC	None	None	7.948549833072094
gene-PA3355	1.0	0.817834188295856	0.41175104084705705	0.27892215406256154	host	gene-PA3355	None	None	2.3646356977525786
gene-PA1227	0.9795786369326158	1.0	0.21515093137772803	0.37090030034847077	host	gene-PA1227	None	None	2.3876825494363594
gene-PA4326	1.0	0.8344732564777686	0.3470300377592388	0.17904762314457337	host	gene-PA4326	None	None	4.632665279147579
gene-PA3303a	1.0	0.22243125707773714	0.1529408778927595	0.12020706309521459	host	gene-PA3303a	None	None	8.308545338937126
gene-PA0370	1.0	0.906459780391343	0.2652722956514809	0.13615623979669242	host	gene-PA0370	None	None	3.3243991032651956
gene-PA4765	1.0	0.8046632473696554	0.26119815932852564	0.1747591958027079	host	omlA	None	None	58.3222523581423
gene-PA3618	1.0	0.6298623217999315	0.16597868644553085	0.07286961774447907	host	gene-PA3618	None	None	13.96194492695482
gene-PA3768	1.0	0.47635280598090857	0.28370574838774903	0.17465831174362392	host	gene-PA3768	None	None	12.28434450299129
gene-PA2475	0.8226830809721634	1.0	0.5664970419396337	0.34303386858035256	host	gene-PA2475	None	None	0.30184081122086276
gene-PA4506	1.0	0.5675521212194719	0.3898955687710827	0.2368143230369814	host	gene-PA4506	None	None	1.0724420936521637
gene-PA1039	0.8673145816634455	1.0	0.3810539854594399	0.41097825571143093	host	gene-PA1039	None	None	1.511933132901587
gene-PA0099	0.7413536041376809	1.0	0.2820921129011848	0.164568610955528	host	gene-PA0099	None	None	3.9155331960012494
gene-PA2954	1.0	0.8377183351554935	0.2908719064521369	0.19762927653117035	host	gene-PA2954	None	None	4.939254879947637
