Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	15_R1	15_R2	15_R3	Entity	Symbol
gene-PA4673	303	581	519	464	89	380	108	47	60	10	64	48	host	gene-PA4673
gene-PA0041	767	1005	832	835	184	790	220	189	101	12	174	111	host	gene-PA0041
gene-PA4390	175	339	215	274	47	320	94	44	69	3	72	50	host	gene-PA4390
gene-PA5076	240	414	283	321	85	482	178	66	80	5	109	65	host	gene-PA5076
gene-PA4316	120	181	119	114	30	119	58	28	25	1	32	15	host	sbcB
gene-PA3760	26	58	32	71	15	35	13	20	8	1	17	3	host	gene-PA3760
gene-PA1681	154	222	201	203	56	221	73	46	46	4	55	39	host	aroC
gene-PA2320	90	121	77	114	22	76	29	25	9	2	23	16	host	gntR
gene-PA0735	26	42	31	47	17	32	18	10	13	0	24	5	host	gene-PA0735
gene-PA1116	155	248	212	131	26	148	52	29	24	0	46	24	host	gene-PA1116
gene-PA0992	30	28	18	29	3	22	6	8	3	0	10	3	host	cupC1
gene-PA1699	22	70	62	19	8	28	8	4	6	0	7	7	host	gene-PA1699
gene-PA5116	18	33	25	18	8	24	3	10	6	0	5	3	host	gene-PA5116
gene-PA0703	7	10	12	16	4	11	6	3	7	2	6	7	host	gene-PA0703
gene-PA1500	12	5	6	8	1	7	7	1	2	0	6	0	host	gene-PA1500
gene-PA4302	9	24	23	20	7	14	14	10	7	3	11	10	host	tadA
gene-PA2919	3	4	3	5	1	3	0	4	0	0	3	0	host	gene-PA2919
gene-PA2473	1	3	2	0	1	0	0	1	0	0	3	0	host	gene-PA2473
gene-PA4747	10708	5451	4280	4813	1364	4267	3153	1057	1070	42	1085	582	host	secG
gene-PA4903	7	14	12	6	1	8	3	6	1	0	1	1	host	gene-PA4903
gene-PA0091	500	491	510	505	80	403	96	66	42	5	104	36	host	vgrG1
gene-PA0012	22	45	25	35	5	20	6	5	3	0	8	6	host	gene-PA0012
gene-PA4133	159	231	163	230	46	157	100	35	22	5	36	15	host	gene-PA4133
gene-PA0709	3	8	3	4	1	3	1	1	1	0	2	0	host	gene-PA0709
