Geneid	0	5	10	15	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-PA4267	1826.8999688053145	1662.398275014905	544.5044054125913	258.2993542420109	host	rpsG	None	None	463.32901682604364
gene-PA5105	10.152178829796942	4.711366142009224	1.5518252446955887	0.6829456998054797	host	hutC	None	None	5.116788823598531
gene-PA4344	6.880745963013861	3.121518643955873	0.6238872665964599	0.5596335697809192	host	gene-PA4344	None	None	3.011262946163521
gene-PA5135	12.678733074563745	6.741456664553704	0.9841942538944155	0.327624954939876	host	gene-PA5135	None	None	6.193379428302322
gene-PA0677	1.9306419768589096	0.6552863769450207	0.2919875778750131	0.41708890737797566	host	gene-PA0677	None	None	0.6785627796660296
gene-PA0986	6.911295188329673	2.497340763756788	0.7402179041032362	0.613484072130219	host	gene-PA0986	None	None	2.520407206050777
gene-PA1081	74.64918220338268	50.30780255412189	3.7860336842304134	1.0332460117114513	host	flgF	None	None	37.44968716713728
gene-PA3756	30.441153306028095	12.219686345131823	4.94358449776914	2.0104434706332492	host	gene-PA3756	None	None	10.040644810523986
gene-PA2787	13.395154135840869	12.553010746668235	1.6287713058937152	0.6764953204505908	host	cpg2	None	None	6.24136982841868
gene-PA0421	48.008383080757696	17.809590103639046	6.195113761295161	2.9761070044321096	host	gene-PA0421	None	None	19.22353383705364
gene-PA0447	52.43136165251404	14.242062710759939	7.65268852982367	4.533724703732373	host	gcdH	None	None	21.11088380927103
gene-PA0938	193.8156237303281	116.11729880579261	19.596617094710137	8.431017659111998	host	gene-PA0938	None	None	70.2611698745483
gene-PA1260	2.680983040173029	0.802065646754005	0.5919141621487372	0.10283119023660342	host	gene-PA1260	None	None	1.3577546927792654
gene-PA1020	10.301388050047061	5.049185257808427	0.6020024397468755	0.506120343032366	host	gene-PA1020	None	None	4.54301887911714
gene-PA4847	130.09454601854398	568.620347128338	91.62894069415552	22.055050556351077	host	accB	None	None	226.8881597456835
gene-PA1073	31.85695448217263	46.7598779461888	2.0675184064408185	1.5551548185782427	host	braD	None	None	18.6950590048055
gene-PA0999	687.51538812138	410.18802308137333	55.37436329153134	18.097960784304306	host	pqsD	None	None	312.61950661491807
gene-PA0963	187.91425186068477	248.8177984146323	43.05587278323275	18.21851873952003	host	aspS	None	None	75.83968196555666
gene-PA3382	0.6064754150181193	0.40280493157817654	0.12040048794937508	0.10632357028237485	host	phnE	None	None	0.3670571872928323
gene-PA0848	11.821983526509165	5.243004952261222	2.087167574407146	0.7861500361898953	host	gene-PA0848	None	None	4.99259749959495
gene-PA2088	2.108773450970352	2.0190557427069495	0.5637125319184524	0.20747839629631823	host	gene-PA2088	None	None	0.6592847066092149
gene-PA3151	135.68200605539897	163.99406128204873	21.58237426055407	3.967994112615462	host	hisF2	None	None	68.82904585724664
gene-PA3703	72.99256891711843	47.23610479072777	5.776685178303525	2.340940469026851	host	wspF	None	None	29.810665724972626
gene-PA2165	3.3940265032681447	1.6165877697837463	0.43451927071223895	0.173651801904449	host	gene-PA2165	None	None	1.415458342874044
gene-PA1508	20.71188996807617	9.743299787029546	1.4822003928075125	0.3238591508601073	host	gene-PA1508	None	None	11.200734370964788
gene-PA5269	49.15308381553768	21.544436849292495	2.4564862939339434	1.8118432918127896	host	gene-PA5269	None	None	24.67443716721644
gene-PA1241	4.603262310381885	5.226934608605582	1.2085387114541326	0.288698386884809	host	gene-PA1241	None	None	1.9975100704283761
gene-PA1300	294.8229964903555	13.949478081557512	2.3265455295109843	1.3870576108787867	host	gene-PA1300	None	None	238.91184097445162
gene-PA3768	111.47118331726355	17.082447430861794	2.3838344615239784	1.0879278800532948	host	gene-PA3768	None	None	65.79017363586252
gene-PA1544	42.67552910216311	26.696618957857616	12.051484965423153	6.2760758638900125	host	anr	None	None	11.194988982064611
gene-PA2943	4.999333170190218	5.304223192845382	1.0526040236354213	0.07719382499953242	host	gene-PA2943	None	None	2.034074901610218
gene-PA2035	71.68967723616989	20.896127038701778	1.5722007106062832	0.68801819717175	host	gene-PA2035	None	None	46.79919528874573
gene-PA4837	2.4932315336776045	1.142449764201912	0.5456337130081252	0.1920295385327897	host	gene-PA4837	None	None	1.2067701215952586
gene-PA0973	2186.769202040835	1377.6124712477558	302.4956273284349	142.50353479589305	host	oprL	None	None	751.9168875717082
gene-PA4166	5.92682200415563	3.0779662862223125	1.0600292838480652	0.5833792560711555	host	gene-PA4166	None	None	2.824953664148079
gene-PA3049	788.3279338729451	108.21779207380025	21.608565678429347	5.2255561609462	host	rmf	None	None	496.95808895869675
gene-PA0530	6.205515341477739	7.4636568510890715	0.40490011810386295	0.5125888595893506	host	gene-PA0530	None	None	4.125083218038467
gene-PA2505	3.7575162987461597	1.6175365639817982	0.5714386445447465	0.13077146136271284	host	opdT	None	None	1.621129382982966
gene-PA0997	658.3667076932338	258.4066193528424	35.69232468532403	10.689739083714684	host	pqsB	None	None	308.0248965054374
gene-PA3605	19.907336670300005	7.76922632267448	2.103769704410783	1.1394671074743852	host	gene-PA3605	None	None	7.91576746886432
gene-PA3128	22.078077735164197	5.270371855349351	1.2760416711563374	0.7920892484891782	host	gene-PA3128	None	None	11.805075518943502
