Geneid	15_R1	15_R2	15_R3	35_R1	35_R2	35_R3	45_R1	45_R2	45_R3	Entity	Symbol
gene-LUU82_10270	2286	2987	2954	1498	3199	3313	2439	3120	2709	host	gene-LUU82_10270
gene-LUU82_03285	3111	4611	4619	3363	4607	4910	3888	5257	4629	host	gene-LUU82_03285
gene-LUU82_02245	1808	2697	2246	2349	2762	3182	2310	2931	2531	host	gene-LUU82_02245
gene-LUU82_01550	2346	4035	3143	3466	4122	4855	3633	4500	4323	host	gene-LUU82_01550
gene-LUU82_06715	3041	4251	3588	3416	3403	4175	2713	3814	3434	host	gene-LUU82_06715
gene-SAM1_00050	31329	43866	34954	10628	10981	13466	17166	14893	23893	phage	gene-SAM1_00050
gene-LUU82_00345	7994	10491	10159	10978	13111	11042	9743	14509	10960	host	pcrA
gene-LUU82_05130	1467	2296	2488	4060	2950	3350	2277	3490	3046	host	gene-LUU82_05130
gene-LUU82_09450	364	470	504	424	584	460	428	672	472	host	cap8L
gene-LUU82_07130	476	887	809	2251	770	842	652	830	753	host	adhP
gene-LUU82_01815	4040	5428	4544	3538	4375	3742	3075	3992	3108	host	gene-LUU82_01815
gene-LUU82_07085	8852	13717	11475	12058	14010	16128	12795	14278	13154	host	gene-LUU82_07085
gene-LUU82_04595	2256	3107	2785	3172	3745	3615	3742	4876	3998	host	gene-LUU82_04595
gene-LUU82_08575	86	120	148	129	159	87	123	162	124	host	gene-LUU82_08575
gene-LUU82_13380	885	1367	1080	959	1227	1257	937	1197	1017	host	csoR
gene-LUU82_05920	28002	35675	39191	27664	39835	34427	29752	48299	32679	host	sufD
gene-LUU82_03515	138	196	156	154	155	132	124	197	165	host	trpB
gene-LUU82_14065	1386	2387	1994	1674	2199	2629	2007	2268	2083	host	gene-LUU82_14065
gene-LUU82_09255	336	488	434	562	766	598	550	955	675	host	gene-LUU82_09255
gene-SAM1_00054	42524	56772	49245	14354	14579	17248	40081	37678	41552	phage	gene-SAM1_00054
gene-LUU82_07375	1748	2566	2229	2764	3092	2743	2617	3604	2751	host	gene-LUU82_07375
gene-LUU82_00140	6289	11535	5161	8209	11057	9478	15395	15234	10684	host	scn
gene-LUU82_08290	16728	22602	24081	27159	35677	28857	31872	51378	35827	host	gene-LUU82_08290
gene-LUU82_12015	1337	2040	1655	1646	2029	2018	1851	2300	1800	host	gene-LUU82_12015
gene-LUU82_04280	1818	2639	2255	2210	2698	2668	2200	2657	2257	host	rnc
gene-LUU82_11815	1026	2144	1487	19622	1115	800	991	1361	917	host	gene-LUU82_11815
gene-LUU82_11665	277	352	355	340	392	420	326	465	399	host	gene-LUU82_11665
gene-LUU82_12885	1314	1888	1966	1846	2546	2489	1611	2170	1836	host	sfaC
gene-LUU82_11375	337	592	482	444	609	698	562	600	612	host	gene-LUU82_11375
gene-LUU82_00485	590	800	746	938	1125	955	853	1236	996	host	gene-LUU82_00485
gene-LUU82_11280	75	98	77	81	76	101	73	103	78	host	gene-LUU82_11280
gene-LUU82_03040	2214	2915	2903	3028	3803	3471	3025	4500	3649	host	aroC
gene-LUU82_08920	419	537	503	554	595	603	457	574	440	host	gene-LUU82_08920
gene-LUU82_09710	616	942	923	729	968	1066	864	1169	1067	host	gene-LUU82_09710
gene-LUU82_10095	6292	8280	7626	8599	9829	8190	8106	11194	8593	host	gene-LUU82_10095
gene-LUU82_01865	2289	3714	3560	3215	3739	4608	3594	4775	4350	host	gene-LUU82_01865
gene-LUU82_07750	2419	3126	3206	3553	4258	4142	3555	5161	4308	host	gene-LUU82_07750
gene-LUU82_13605	4645	6484	5585	6304	7158	6451	5728	7618	6035	host	tsaD
gene-LUU82_05045	76462	111282	99794	106178	124393	117155	109042	146233	122538	host	ptsP
gene-LUU82_02175	34275	49102	38388	36887	46830	41284	37350	50306	37211	host	tgt
gene-LUU82_05590	164	279	253	232	232	292	221	231	273	host	gene-LUU82_05590
gene-LUU82_03780	441	679	644	570	751	817	623	913	749	host	gene-LUU82_03780
gene-LUU82_05165	147601	181696	175575	200972	200543	126154	109391	200986	135383	host	qoxB
gene-LUU82_12460	566	591	636	614	759	595	627	974	715	host	gene-LUU82_12460
gene-LUU82_09315	1429	1916	1855	1945	2861	2072	2331	3989	2603	host	gene-LUU82_09315
