Geneid	8	24	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-PA1129	3.5288907575090565	5.072261098526408	host	gene-PA1129			0.7279199708908466
gene-PA0746	4.915205949440827	6.227522181662863	host	gene-PA0746			0.1519305338496582
gene-PA4188	0.9612336062890215	1.061347935803966	host	gene-PA4188			0.0316072931387795
gene-F358_gp32	238.51831033038277	1464.6090695945263	phage	gene-F358_gp32			476.041214868263
gene-PA1455	87.16508610706803	151.01077971687704	host	fliA			12.384124299517914
gene-PA4690.3	1519.0220485961936	2282.727200612285	host	gene-PA4690.3			93.80631432210438
gene-PA5558	723.913186604357	860.5550164027699	host	atpF			25.240521122077467
gene-PA5487	44.203620605275354	45.74395501588175	host	gene-PA5487			2.138259416057805
gene-PA4479	112.69377098998015	135.88283107707548	host	mreD			5.363431475733422
gene-PA1830	102.23452775443607	81.9438784723912	host	gene-PA1830			2.0343751367735567
gene-PA1994	14.72521464152532	24.20317112787329	host	gene-PA1994			1.4595098976306107
gene-PA5239	416.85305540727546	249.2971560441443	host	rho			28.602377514848907
gene-PA0223	3.747965989751125	3.8220358725684136	host	gene-PA0223			0.2170607258412072
gene-PA0063	24.946149889701445	40.705891493495265	host	gene-PA0063			3.1381302404183304
gene-PA2313	3.3141920258443864	7.8039965133526525	host	gene-PA2313			1.1508951204620632
gene-PA5552	42.767129672419856	41.90384285619261	host	glmU			0.2511321227465632
gene-PA1902	0.6263347085426392	0.37434910836994423	host	phzD2			0.06815393679331155
gene-PA1577	59.07379479832555	60.42640494723177	host	gene-PA1577			5.269210830373124
gene-PA2136	5.8803479368140685	17.469152147004326	host	gene-PA2136			3.4878117994840014
gene-PA0427	35.44009750449183	44.912673883083244	host	oprM			1.3067605006720142
gene-PA1738	13.753992510157264	21.367068528986856	host	gene-PA1738			2.236565246109702
gene-PA0864	4.483772586729875	7.952055403561455	host	gene-PA0864			1.3396728623660328
gene-PA0295	17.611835542365124	23.68977750290138	host	gene-PA0295			1.595598606497369
gene-PA4937.1	22293.640116544157	14424.342812685674	host	gene-PA4937.1			860.3755302691299
gene-PA0430	149.45080792847955	110.87900946458652	host	metF			6.1876196803088845
gene-PA0750	28.170154254753655	37.61422335591727	host	ung			1.0857457216687687
gene-PA0120	6.380240530826693	6.684150346293306	host	gene-PA0120			0.40679671765912845
gene-PA1032	28.377950495357794	36.61125293656325	host	quiP			2.0356768365697375
gene-PA3270	18.338176072081552	21.070279143313222	host	gene-PA3270			1.593582242429917
gene-PA0281	17.112492405697594	22.786251035224158	host	cysW			1.663952796232123
gene-PA1191	8.349890331047675	12.5300552358236	host	gene-PA1191			1.682115621609502
