Geneid	8	24	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-PA1129	0.6957234040129103	1.0	host	gene-PA1129			0.7279199708908466
gene-PA0746	0.7892715282353882	1.0	host	gene-PA0746			0.1519305338496582
gene-PA4188	0.9056724697550683	1.0	host	gene-PA4188			0.0316072931387795
gene-F358_gp32	0.16285459054027027	1.0	phage	gene-F358_gp32			476.041214868263
gene-PA1455	0.5772110194417228	1.0	host	fliA			12.384124299517914
gene-PA4690.3	0.6654417786710359	1.0	host	gene-PA4690.3			93.80631432210438
gene-PA5558	0.8412166250920328	1.0	host	atpF			25.240521122077467
gene-PA5487	0.9663270390574752	1.0	host	gene-PA5487			2.138259416057805
gene-PA4479	0.8293451799371031	1.0	host	mreD			5.363431475733422
gene-PA1830	1.0	0.8015284099440227	host	gene-PA1830			2.0343751367735567
gene-PA1994	0.6084002201086454	1.0	host	gene-PA1994			1.4595098976306107
gene-PA5239	1.0	0.598045648965137	host	rho			28.602377514848907
gene-PA0223	0.9806203067457047	1.0	host	gene-PA0223			0.2170607258412072
gene-PA0063	0.6128388047633793	1.0	host	gene-PA0063			3.1381302404183304
gene-PA2313	0.4246788193938577	1.0	host	gene-PA2313			1.1508951204620632
gene-PA5552	1.0	0.9798142446584632	host	glmU			0.2511321227465632
gene-PA1902	1.0	0.5976822029246677	host	phzD2			0.06815393679331155
gene-PA1577	0.9776155779896653	1.0	host	gene-PA1577			5.269210830373124
gene-PA2136	0.33661324186374164	1.0	host	gene-PA2136			3.4878117994840014
gene-PA0427	0.7890890129754813	1.0	host	oprM			1.3067605006720142
gene-PA1738	0.6437004913190787	1.0	host	gene-PA1738			2.236565246109702
gene-PA0864	0.5638507730619867	1.0	host	gene-PA0864			1.3396728623660328
gene-PA0295	0.7434360892671168	1.0	host	gene-PA0295			1.595598606497369
gene-PA4937.1	1.0	0.6470160430185351	host	gene-PA4937.1			860.3755302691299
gene-PA0430	1.0	0.7419097360627734	host	metF			6.1876196803088845
gene-PA0750	0.74892292705871	1.0	host	ung			1.0857457216687687
gene-PA0120	0.9545327678580501	1.0	host	gene-PA0120			0.40679671765912845
gene-PA1032	0.7751155237579169	1.0	host	quiP			2.0356768365697375
gene-PA3270	0.8703337980171602	1.0	host	gene-PA3270			1.593582242429917
gene-PA0281	0.7510007846066571	1.0	host	cysW			1.663952796232123
gene-PA1191	0.6663889483244434	1.0	host	gene-PA1191			1.682115621609502
gene-PA0150	0.9697305388634464	1.0	host	gene-PA0150			0.03261457264205502
gene-PA2584	0.7802199060181925	1.0	host	pgsA			4.887587223948771
gene-PA3530	0.48746001212547185	1.0	host	gene-PA3530			6.767089550768958
gene-PA1535	1.0	0.9317405862744214	host	gene-PA1535			0.7133209792058631
gene-PA4652	0.7031128930648127	1.0	host	gene-PA4652			0.1273827647688633
gene-PA5175	0.8968368596378057	1.0	host	cysQ			0.11486961044506201
gene-PA1313	0.41250611025453593	1.0	host	gene-PA1313			0.35963938514603455
gene-PA2295	0.9171238083980795	1.0	host	gene-PA2295			1.1682160591079063
gene-PA0658	0.9828337574249321	1.0	host	gene-PA0658			1.1080736052574534
gene-PA0811	0.8107119684638637	1.0	host	gene-PA0811			0.44389912563802714
gene-PA3438	1.0	0.7968545261505718	host	folE1			0.9493805276353781
gene-PA0292	1.0	0.9376953165183605	host	aguA			1.2400849891962085
gene-PA2348	0.9897729467672386	1.0	host	gene-PA2348			0.0003884411419387819
gene-PA5043	1.0	0.9647951984230013	host	pilN			2.580160768467234
gene-PA1616	0.8106027075968639	1.0	host	gene-PA1616			0.9891173534269354
gene-PA4094	0.6450290816919559	1.0	host	gene-PA4094			0.36303494577394313
gene-PA4406	0.838377411995644	1.0	host	lpxC			4.506894061653613
gene-PA4465	0.9944634665217933	1.0	host	gene-PA4465			4.847677225804625
gene-PA5258	0.8632564078441549	1.0	host	gene-PA5258			1.9981185239280859
gene-PA3604	0.9259284915734229	1.0	host	erdR			1.1264318216833575
gene-PA1529	0.9642118614226062	1.0	host	lig			0.7388821865660347
gene-PA3351	0.6318512960588092	1.0	host	flgM			33.372722099199365
gene-PA1495	0.9240160650823345	1.0	host	gene-PA1495			0.49521490089663367
gene-PA1527	1.0	0.8661725004572803	host	gene-PA1527			1.3837336449807793
gene-PA0736	0.8301235929356406	1.0	host	gene-PA0736			1.1237123297613425
gene-PA2368	0.5046706247630729	1.0	host	gene-PA2368			0.8532959094250916
gene-PA3102	0.8784388107237998	1.0	host	xcpS			0.24478523653967205
gene-PA2560	0.7855286938514324	1.0	host	gene-PA2560			2.710577357920871
gene-PA4989	1.0	0.8794935181375974	host	gene-PA4989			0.04428779454365443
gene-PA3230	0.8775815699463583	1.0	host	gene-PA3230			0.07864595151415187
gene-PA4553	0.6048827794866307	1.0	host	pilX			3.3031186980608025
gene-PA0968	0.9960209467785548	1.0	host	gene-PA0968			3.488552918864398
gene-PA5451	1.0	0.6456466380524557	host	wzm			1.6889028255611598
