Geneid	8_R1	8_R2	24_R1	24_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-PA1129	1.8128279746092693	5.244953540408844	3.614494749260066	6.530027447792748	host	gene-PA1129			0.7279199708908466
gene-PA0746	4.702139365068991	5.1282725338126625	7.114334629392137	5.340709733933589	host	gene-PA0746			0.1519305338496582
gene-PA4188	0.8110019886409889	1.1114652239370542	0.8706981278581941	1.2519977437497376	host	gene-PA4188			0.0316072931387795
gene-F358_gp32	245.1749122993781	231.86170836138746	1221.5756527798424	1707.64248640921	phage	gene-F358_gp32			476.041214868263
gene-PA1455	60.64201966676814	113.68815254736793	165.43264429305688	136.5889151406972	host	fliA			12.384124299517914
gene-PA4690.3	1267.109507052681	1770.9345901397062	2243.4159191500557	2322.0384820745135	host	gene-PA4690.3			93.80631432210438
gene-PA5558	551.8202168010625	896.0061564076512	892.824476643293	828.2855561622467	host	atpF			25.240521122077467
gene-PA5487	31.47846290196524	56.928778308585464	51.149072674281875	40.33883735748162	host	gene-PA5487			2.138259416057805
gene-PA4479	86.36532207762754	139.02221990233278	155.14860631882183	116.6170558353291	host	mreD			5.363431475733422
gene-PA1830	89.69527517800071	114.77378033087142	85.34973974956077	78.53801719522164	host	gene-PA1830			2.0343751367735567
gene-PA1994	11.27810425054788	18.17232503250276	24.337203598127516	24.069138657619067	host	gene-PA1994			1.4595098976306107
gene-PA5239	346.4538704846599	487.25224032989104	257.0395643301646	241.55474775812397	host	rho			28.602377514848907
gene-PA0223	2.5157612708863333	4.980170708615916	3.4726385974052754	4.171433147731552	host	gene-PA0223			0.2170607258412072
gene-PA0063	17.441719364219395	32.450580415183495	45.757965442760415	35.653817544230115	host	gene-PA0063			3.1381302404183304
gene-PA2313	1.6837192505639265	4.944664801124846	7.5626351676826005	8.045357859022705	host	gene-PA2313			1.1508951204620632
gene-PA5552	38.25505292529311	47.279206419546604	42.63331693429861	41.17436877808661	host	glmU			0.2511321227465632
gene-PA1902	0.7111863592697903	0.541483057815488	0.5453823438232644	0.20331587291662404	host	phzD2			0.06815393679331155
gene-PA1577	34.170217121407	83.9773724752441	63.3536542555867	57.499155638876836	host	gene-PA1577			5.269210830373124
gene-PA2136	2.535887361053424	9.224808512574713	19.230700854964326	15.707603439044327	host	gene-PA2136			3.4878117994840014
gene-PA0427	27.69822100464731	43.18197400433636	45.36025002838432	44.46509773778217	host	oprM			1.3067605006720142
gene-PA1738	6.9517495052557425	20.556235515058784	23.18381600584666	19.55032105212705	host	gene-PA1738			2.236565246109702
gene-PA0864	1.687377521613495	7.280167651846256	9.633014377086202	6.2710964300367085	host	gene-PA0864			1.3396728623660328
gene-PA0295	10.725386751473597	24.498284333256652	23.60653067878326	23.773024327019503	host	gene-PA0295			1.595598606497369
gene-PA4937.1	22197.51594730528	22389.764285783032	13637.517451515916	15211.168173855433	host	gene-PA4937.1			860.3755302691299
gene-PA0430	120.47643562392983	178.42518023302924	105.64299641453529	116.11502251463774	host	metF			6.1876196803088845
gene-PA0750	23.166691289317075	33.17361722019024	38.95409062664098	36.27435608519355	host	ung			1.0857457216687687
gene-PA0120	5.383069968272066	7.37741109338132	8.751521045571568	4.6167796470150435	host	gene-PA0120			0.40679671765912845
gene-PA1032	18.548992653407677	38.206908337307915	35.27148831153854	37.95101756158795	host	quiP			2.0356768365697375
gene-PA3270	10.817773464811232	25.858578679351872	19.485361018774046	22.655197267852394	host	gene-PA3270			1.593582242429917
gene-PA0281	11.051999514169616	23.172985297225573	26.4692230868891	19.103278983559214	host	cysW			1.663952796232123
gene-PA1191	3.2374544031405943	13.462326258954757	12.031465039495046	13.028645432152151	host	gene-PA1191			1.682115621609502
gene-PA0150	4.010062845039299	5.088635965013019	4.669699425828111	4.713008909537164	host	gene-PA0150			0.03261457264205502
gene-PA2584	37.17945373380465	80.1047449807896	82.70368405299955	67.61829287930847	host	pgsA			4.887587223948771
gene-PA3530	13.993072149956955	39.0648317746525	55.697786032256985	53.147868185124	host	gene-PA3530			6.767089550768958
gene-PA1535	8.368354723522685	15.585663784224383	12.93348834159818	9.385442906438415	host	gene-PA1535			0.7133209792058631
gene-PA4652	2.555835344227885	2.800286593135975	3.3941030145731013	4.223623797428529	host	gene-PA4652			0.1273827647688633
gene-PA5175	25.734217846862098	28.362645422510525	30.22293981245419	30.096685421526537	host	cysQ			0.11486961044506201
gene-PA1313	0.5442485751586328	1.408891900246921	2.58765662470376	2.147159240691235	host	gene-PA1313			0.35963938514603455
gene-PA2295	0.1853718831179403	3.5284610283716002	0.7107739819250564	3.3386606499993	host	gene-PA2295			1.1682160591079063
gene-PA0658	23.454056013072137	37.82404500735603	35.26397297290201	27.08441561010668	host	gene-PA0658			1.1080736052574534
gene-PA0811	2.9632764969574596	6.949032575298762	6.635485183183051	5.591186505207162	host	gene-PA0811			0.44389912563802714
gene-PA3438	47.726816495167675	57.217674986278304	38.62201382426141	45.003479207298945	host	folE1			0.9493805276353781
gene-PA0292	25.523045782357933	42.62992904673479	29.41024787432122	34.49647742971273	host	aguA			1.2400849891962085
gene-PA2348	1.1714862419073293	1.2162902378576834	1.225048893253121	1.1873998280055107	host	gene-PA2348			0.0003884411419387819
gene-PA5043	66.15820041609226	106.21412395716064	88.737452846929	77.56653804939747	host	pilN			2.580160768467234
gene-PA1616	19.405446293365806	27.369930733108017	33.421968321694074	24.282473802790612	host	gene-PA1616			0.9891173534269354
gene-PA4094	4.160440201728274	3.1676758882206046	6.735471946217316	4.625436108853197	host	gene-PA4094			0.36303494577394313
gene-PA4406	162.0381973304696	228.3443554510681	221.77925171016574	243.86133831036557	host	lpxC			4.506894061653613
gene-PA4465	102.91304398855019	173.84813546811958	148.48588560937787	129.81612223075095	host	gene-PA4465			4.847677225804625
gene-PA5258	40.41500414057291	63.83276139029476	67.70263578495697	53.058431939069344	host	gene-PA5258			1.9981185239280859
gene-PA3604	34.15434429961097	50.80336456813202	50.82229596630739	40.93177536956329	host	erdR			1.1264318216833575
gene-PA1529	27.724638549043195	40.94293027849636	38.28881327034272	32.92745316951092	host	lig			0.7388821865660347
gene-PA3351	208.64978569984316	377.1663471845658	523.4323877632171	403.7100214372611	host	flgM			33.372722099199365
gene-PA1495	3.5389177686152244	8.442644933340047	6.694198593403258	6.272635160604746	host	gene-PA1495			0.49521490089663367
gene-PA1527	38.70941082567219	58.97742209768141	40.8694428451291	43.74420548984465	host	gene-PA1527			1.3837336449807793
gene-PA0736	14.696530744576094	25.411995983496773	27.701574500007297	20.6147570311006	host	gene-PA0736			1.1237123297613425
gene-PA2368	0.34724592189698683	1.850702657698006	3.4617696190096408	0.8934443992955874	host	gene-PA2368			0.8532959094250916
gene-PA3102	6.436878837922963	9.709351381519095	10.151813217702014	8.228784294990065	host	xcpS			0.24478523653967205
gene-PA2560	48.79528631656617	73.91243739181411	87.04908187801327	69.16128277047162	host	gene-PA2560			2.710577357920871
gene-PA4989	5.515913186472137	6.490454550629035	5.255390540254011	5.304132060902843	host	gene-PA4989			0.04428779454365443
gene-PA3230	8.546879624291169	9.510849086608037	10.991029777032045	9.585665688442436	host	gene-PA3230			0.07864595151415187
gene-PA4553	23.899732073420164	34.28655987854804	54.983444458916864	41.21088264914103	host	pilX			3.3031186980608025
gene-PA0968	152.55981569946678	221.4774729899805	198.7095079293784	176.82204077871015	host	gene-PA0968			3.488552918864398
gene-PA5451	28.73264188328075	38.248517547548154	21.4653742541367	21.780786145233527	host	wzm			1.6889028255611598
gene-PA5503	45.34659690772616	76.53820047376064	47.82916586704025	50.47074502449339	host	gene-PA5503			2.8567322379123636
gene-PA3872	2.378939166680234	2.4699227198601204	8.45821038490817	6.491840152776417	host	narI			1.3862351326076554
gene-PA4450	116.26155522470442	180.50803938071564	144.71156156169906	117.54933634523601	host	murA			4.884189996945279
gene-PA0796	7.091249495327764	14.43954820841301	18.08456235750187	15.133772801446103	host	prpB			1.1964017694385456
gene-PA0413	28.253433452721513	46.01387125403137	33.40953870074097	32.16616605211619	host	chpA			1.268390471170763
gene-PA3278	97.13857419146308	284.1991878379849	439.01097148397497	425.85729477624403	host	gene-PA3278			61.011407101872344
gene-PA2373	2.137456960196998	5.106722131704811	3.78696977753912	4.993851156600847	host	gene-PA2373			0.3573707450515026
gene-PA4452	52.181285234189914	104.60962012735718	140.60627520497263	162.17895260999836	host	gene-PA4452			15.09138617418233
gene-F358_gp52	2359.7369541545345	2506.077762536655	1388.4644064546367	1539.2602747489527	phage	gene-F358_gp52			123.32339780305587
gene-PA0133	9.829556128992483	18.771412670936915	17.176573338364076	14.234768827992658	host	gene-PA0133			0.77117602982592
gene-PA2338	1.0155155336026296	2.4914003087284695	3.2015732403232975	2.2257737666662	host	gene-PA2338			0.27839165330308174
gene-PA3383	3.0910069823785515	3.025839654419682	1.4673769728339372	1.6410928966165714	host	gene-PA3383			0.24712373753677186
gene-F358_gp89	955.3603426190849	1771.291356754797	1656.9523579193474	1792.0261038871245	phage	gene-F358_gp89			76.49958691510112
gene-F358_gp59	349.52606768501835	446.19481800120843	423.3067914654199	410.54692582852755	phage	gene-F358_gp59			3.1403035685692244
gene-PA3296	1.137102997910049	2.912126913310968	2.616005875613478	2.571072003004353	host	phoA			0.2057141250634792
gene-PA3936	1.9868063370076683	3.988065695656927	4.293803849783161	3.872683293649982	host	gene-PA3936			0.23279127056549673
gene-PA1107	5.80831900436213	21.92350452294888	22.46045782883178	13.884588734917724	host	gene-PA1107			2.889798924524892
gene-PA0099	9.555992424296923	13.096334421583894	14.363144310715015	15.626427193881307	host	gene-PA0099			0.3898746623677506
gene-PA0876	12.053291777846521	21.810593770040988	24.12840743974925	18.661169897668046	host	gene-PA0876			1.075813207004393
gene-PA2472	1.427652498489616	1.7559005171032305	0.757947845313401	1.2244234306604709	host	gene-PA2472			0.1013143979824205
gene-PA3255	13.540791752314625	24.704346209419565	26.05778438605663	30.457349832981528	host	gene-PA3255			1.64033670812183
gene-PA5407	18.808557460275964	24.38348450039228	30.01664473770929	31.826270251196078	host	gene-PA5407			0.9914893784332599
gene-PA3992	14.166705561935423	22.993935343018492	22.991084641173163	18.177978624420835	host	gene-PA3992			0.6965409942669374
gene-PA4184	4.7718310557456896	4.9543317899833506	3.4375614398557275	3.8445183242416188	host	gene-PA4184			0.0936514004352509
gene-PA4760	64.83209971417446	90.87747404183744	98.93447329150915	75.74107926091888	host	dnaJ			2.1129117433027944
gene-PA4513	3.1868280258701143	6.308606373546366	10.086475811186547	10.783625428865738	host	gene-PA4513			1.2336854748545303
gene-PA0997	41.495887666689924	66.22871653619292	32.08794146851244	25.46316537992424	host	pqsB			5.791203039828263
gene-PA2237	33.948579858597064	54.661675723495755	52.66530359435851	50.30851631067418	host	pslG			1.4034119883694909
gene-PA1573	11.150258497094198	19.80902844671735	24.892090627297	16.363351862475632	host	gene-PA1573			1.3897378903633326
gene-PA4574	46.283833737018014	58.7326408722566	69.36281948273304	61.48870718587668	host	gene-PA4574			1.167388959130898
gene-PA2431	1.2922337893490625	2.3302443315645824	2.555649125630672	1.4582655712640622	host	gene-PA2431			0.1544137332847149
gene-PA0926	23.95996861089209	33.577033932520955	32.221086453858966	27.101146778632817	host	gene-PA0926			0.5147015175408551
gene-PA5544	2.410658355569304	5.395043049128535	4.649620140130784	5.0747641879989365	host	gene-PA5544			0.31169190235215827
gene-PA2305	2.7218524341973414	6.036886314973312	8.802907335182548	6.93551105693188	host	ambB			0.7926344723553851
gene-PA4178	2.982394409841056	5.601147329231176	5.336536912679255	9.037718479971225	host	gene-PA4178			0.812856606877427
gene-PA3226	8.396808995436558	17.27514064644194	18.221566617785975	20.378733001324232	host	gene-PA3226			1.2995441905267104
gene-PA5465	23.5978407209138	36.73833622740511	22.957999616179322	23.863474455471188	host	gene-PA5465			1.2356378720623198
gene-PA1273	17.529547570992385	30.395911343306107	23.676598632767774	28.80743432407653	host	cobB			1.0071711672585875
gene-PA1221	1.0355669980966682	1.1523645904613937	1.282837952514819	1.2980683841138905	host	gene-PA1221			0.00955035811328371
gene-F358_gp58	802.4699606401357	1027.8317463065812	898.9273866718889	953.2023884095348	phage	gene-F358_gp58			7.328302345209073
gene-PA3235	18.49084534101455	37.90381404708416	17.08864677312895	9.352530154164707	host	gene-PA3235			5.343800759849534
gene-PA0798	4.7718310557456896	8.131395350544102	9.5839846595056	7.600453276956932	host	pmtA			0.40524008114567867
gene-PA4606	31.70370386480675	60.21019158602407	45.05749980165033	34.433269345275804	host	gene-PA4606			2.9248362374630936
gene-PA3893	2.2229431557503827	6.41100159526534	7.283685509858242	5.488417553049851	host	gene-PA3893			0.6849699181182479
gene-PA2019	8.818472001424233	10.118595243275818	9.429482136027422	6.9240065537349045	host	gene-PA2019			0.16017270219869068
gene-PA5469	53.563023889788546	105.56159125538642	43.4480804731569	51.90853564848585	host	gene-PA5469			9.447866028554493
gene-PA0354	29.53592004345849	45.63476263360603	27.957109955718884	29.99495123650165	host	gene-PA0354			1.545813963808086
gene-PA3944	15.073711573331375	20.035808343072564	29.192555440018328	29.58087933419069	host	gene-PA3944			1.6231041832999393
gene-F358_gp18	74.22086920170504	115.12806361365747	444.8231429242031	512.3899742038526	phage	gene-F358_gp18			131.28220057247887
gene-PA3168	81.91471168385954	122.25796694123198	110.61581633250037	100.91860601134248	host	gyrA			2.103297927782149
gene-PA0344	6.538791685808043	8.5695579584712	14.54985244217196	11.124030194707814	host	gene-PA0344			0.8787590750321072
gene-PA1150	27.084175398046426	50.873248832829034	69.54336252021174	58.53139854515681	host	pys2			4.7154212541370075
gene-PA2902	36.06694921639587	53.727364888547356	34.606404742575855	24.35767263379937	host	gene-PA2902			2.9987502924581375
gene-PA3557	9.776768800996198	3.5600955065570012	6.8454887293678714	12.759823748560544	host	arnE			1.4157095235201658
gene-PA5421	1.1094507204608728	3.848139597542067	2.1742576107087475	1.7973123165829565	host	fdhA			0.45517284953781073
gene-PA5252	39.894698137942704	61.866345985904765	51.30520102019416	52.87867222497587	host	gene-PA5252			1.1851814006849026
gene-PA0869	35.356557436623746	70.37770795598857	83.52942701282872	75.19680053492529	host	pbpG			5.104708919330106
gene-PA3474	13.229222683002279	25.24656895812421	31.225514542522237	27.554613912770066	host	gene-PA3474			1.8714807761849077
gene-PA2307	2.900524759374831	2.728025370862804	4.579450361053477	5.1215901551315675	host	gene-PA2307			0.28103361550583195
gene-PA5562	110.64854073477663	185.90794267230305	216.353738044528	169.30413170156817	host	spoOJ			8.682880612253085
gene-PA4537	19.896582121325594	54.66762286623733	44.44706633638019	36.35430485554794	host	gene-PA4537			4.164272472125655
gene-PA4376	18.660769567205993	30.391810991040717	29.283888055312325	24.27153297935999	host	pncB2			0.842423689134348
gene-PA3657	42.721851322242266	88.69850720083932	68.55442184445106	64.7258409474419	host	map			4.023867660049079
gene-PA4638	10.786326448925154	16.033914989758614	14.573828187721677	12.775014014927878	host	gene-PA4638			0.28533459704287334
gene-F358_gp91	5187.415881858589	11064.853892723457	18211.99589160327	20062.939251581905	phage	gene-F358_gp91			2571.8278085693287
gene-PA2583.1	2473.8804661504723	1797.6097555141957	1258.2831802019275	1200.2485036747485	host	gene-PA2583.1			156.3233713905755
gene-PA3402	10.500973897366286	13.557131373454437	11.320611284956978	9.006140148454902	host	gene-PA3402			0.243983843798894
gene-PA3696	6.930972818586444	14.926665497371523	9.567189067550277	3.9062776547515243	host	gene-PA3696			1.8556479616342971
gene-PA4512	33.36570314867514	66.45080085511668	58.10624687169465	48.91508814543419	host	lpxO1			2.9130450444794658
gene-PA5392	1.748543294658586	4.526439934835852	4.022678280682235	6.298466190778822	host	gene-PA5392			0.6351370371786372
gene-PA4295	5.206532021486498	6.762372266548702	13.38727343347541	7.617399661075008	host	fppA			1.1605450068697485
gene-PA4812	48.06059379774245	73.58686213553264	50.33165664178245	40.23080665104642	host	fdnG			2.9139918012003703
gene-PA2010	4.5997127713966535	9.105535997096265	9.171106080212109	9.941235816042694	host	gene-PA2010			0.5410798001627527
gene-PA4117	16.706863463120598	24.977051153372848	19.347482287692795	17.4611799335583	host	bphP			0.5340516730338523
gene-PA5517	15.930574447643304	32.15206067739964	45.957552172840415	34.482372046659435	host	gene-PA5517			3.572576899670166
gene-PA2609	11.274905695740577	12.247202169452743	6.340623997294863	11.217085476522039	host	gene-PA2609			0.5174348844576765
gene-PA0978	7.682186953271745	16.1869428104456	31.09996708449185	29.572146385380275	host	gene-PA0978			4.44691185247306
gene-PA3186	20.91565216595345	35.232497628527746	23.18654078882907	20.354823391424308	host	oprB			1.466835364718852
gene-PA0122	14.036846098288414	33.158261798297325	42.781330328131496	23.151296478097336	host	gene-PA0122			4.094990840241756
gene-PA1927	4.4358742408692	7.8805669883203215	8.331716710158798	5.789333330507262	host	metE			0.3774550249678271
gene-PA5367	4.49866720282286	12.424727528169335	14.543529168620385	13.995697298446679	host	pstA			1.4361944170630674
gene-PA1896	3.4136945244949937	4.331864462523904	6.302195973068833	7.482024123331765	host	gene-PA1896			0.47533568312354374
gene-PA4071	0.255486636836125	1.3616568776845432	1.3714623361082436	1.095588123488544	host	gene-PA4071			0.20333144080532997
gene-PA4483	31.61871010889635	68.81561181221822	57.616364834200425	52.57874236019517	host	gatA			3.457787468753768
gene-PA5385	0.3081807556835758	0.23464265838671144	2.5996558388908935	0.26431063479161127	host	cdhB			1.196595313225281
gene-PA4019	20.897590290162473	26.99507917439499	27.549599539415187	19.936573595710108	host	gene-PA4019			0.4991681160644706
gene-PA3610	14.306531982155857	23.160221830620756	20.770617714057845	15.843747347508415	host	potD			0.6953536906478193
gene-PA0819	3.522065779240866	8.811071253705084	8.874520860035705	7.335968639114109	host	gene-PA0819			0.6631542224747606
gene-PA1546	70.70107748610624	140.4802032857535	203.17404891919523	167.41584676605314	host	hemN			16.203388407538675
gene-PA2567	22.390275310888363	38.883640532655036	32.990066675350114	36.032551845060475	host	gene-PA2567			1.1946173797077473
gene-PA4778	26.322807402747525	36.97827157733437	49.1855595492139	30.842865052374485	host	cueR			2.057829648502291
gene-PA3306	11.039310651351968	15.876319174424257	25.020658639347907	19.566876844274503	host	gene-PA3306			1.4634912398972244
gene-PA1903	0.8636912898138429	1.9727917775188477	1.2644533321762308	1.4141460714965188	host	phzE2			0.11468327448487087
gene-PA3348	50.38475191103115	88.60106780682223	57.33852481679354	55.8224060679883	host	gene-PA3348			3.561909590416216
gene-PA2105	9.989307253191766	18.609590147911597	23.95921055278755	20.233434801288865	host	gene-PA2105			1.4409171849222364
gene-PA1882	21.45851187722676	37.89044409503933	31.861101863847995	36.416131904622	host	gene-PA1882			1.2952426455645725
gene-PA0217	7.157746583618534	12.95833003735645	8.660437046862333	4.501806940966798	host	gene-PA0217			1.128645699844412
gene-PA1748	11.362490470420534	17.465575267741304	18.248967469842796	16.364275823619757	host	gene-PA1748			0.45344151307729774
gene-PA3271	11.349553347243413	18.674319157121722	9.811867178760615	9.588096131061208	host	gene-PA3271			1.1141991422151771
gene-PA3072	4.4826291735792845	15.699726961147238	11.687708895509473	15.121772075350366	host	gene-PA3072			1.6979062144058858
gene-PA2899	4.861442906557816	10.39918636230308	15.444818300196859	13.699480789199008	host	gene-PA2899			1.4648255752401524
gene-PA3759	4.7718310557456896	6.05529440997965	3.6593395972657743	4.092551764515271	host	gene-PA3759			0.17663699380551284
gene-PA2538	17.96020298023488	21.13337850370381	28.29727728305079	21.56494715650762	host	gene-PA2538			0.6372554675397801
gene-PA4166	0.3222805288194257	2.699157377520341	3.2128842215645035	1.9348229474941478	host	gene-PA4166			0.5841183241867474
gene-PA3930	3.9326133240603536	8.675540416424832	12.759047062041196	10.29135886795967	host	cioA			1.1652904462403377
gene-PA3110	30.25774692166017	50.341515799330814	45.203932934102816	45.17309030983902	host	gene-PA3110			1.3193672487241428
gene-PA1198	245.34778607818654	509.7440897146655	648.8814397514076	586.9235765974498	host	gene-PA1198			47.53805801846955
gene-PA2524	1.9806966115815443	2.9367537793854797	3.1177882826598458	5.096221964692377	host	gene-PA2524			0.3907371338314711
gene-PA1855	1.999010307136708	1.5220064327786689	1.5329665880437704	1.7144473608104516	host	gene-PA1855			0.022006372257684453
gene-PA4671	285.99174127435833	321.76948353986495	311.91258703783603	310.05571441310576	host	gene-PA4671			0.5628942386408017
gene-PA0868	15.36437390654349	38.35897371887109	21.098656083752182	19.306168106517696	host	gene-PA0868			3.2968672128212786
gene-PA1130	4.991393834384295	7.024884496485594	7.7714195741523655	7.134765601736746	host	rhlC			0.16187585021151588
gene-PA3548	2.1767853760375413	5.116200766359006	6.749760754265661	6.412449949646769	host	algI			0.6349936421464829
gene-PA1745	5.142648193002001	8.98263919222748	9.511289628067074	5.967258503270733	host	gene-PA1745			0.47665014209633644
gene-PA1875	0.8102404844263026	3.0845044294966764	2.751663030494843	3.275962797417154	host	gene-PA1875			0.38910848198377007
gene-PA1704	5.100922852693668	12.169053731503931	21.64478341095365	13.12439014137656	host	pcrR			2.6486455114060177
gene-PA2164	1.0976300887360233	1.0928562171435874	1.6187147191101454	2.534485539097642	host	gene-PA2164			0.21791603241987578
gene-PA3510	2.5072332665782437	1.4847445050458576	0.6409012853968306	1.1946243380411807	host	gene-PA3510			0.3155069307478986
gene-PA1583	186.63968878894323	280.33246740048935	243.06642133693907	220.0352492681434	host	sdhA			5.00834541933749
gene-PA1732	1.6620984576192852	2.390367156598708	2.690825246928266	3.0093795122340756	host	gene-PA1732			0.10199125914163046
