Geneid	8_R1	8_R2	24_R1	24_R2	Entity	Symbol
gene-PA1129	2	9	6	10	host	gene-PA1129
gene-PA0746	18	26	36	24	host	gene-PA0746
gene-PA4188	2	4	3	4	host	gene-PA4188
gene-F358_gp32	268	333	1744	2180	phage	gene-F358_gp32
gene-PA1455	152	375	542	400	host	fliA
gene-PA4690.3	325	597	751	695	host	gene-PA4690.3
gene-PA5558	878	1873	1853	1537	host	atpF
gene-PA5487	214	509	454	320	host	gene-PA5487
gene-PA4479	144	305	338	227	host	mreD
gene-PA1830	95	160	118	97	host	gene-PA1830
gene-PA1994	21	45	60	53	host	gene-PA1994
gene-PA5239	1475	2725	1427	1199	host	rho
gene-PA0223	7	19	13	14	host	gene-PA0223
gene-PA0063	66	162	227	158	host	gene-PA0063
gene-PA2313	3	13	20	19	host	gene-PA2313
gene-PA5552	176	286	256	221	host	glmU
gene-PA1902	1	1	1	0	host	phzD2
gene-PA1577	39	127	95	77	host	gene-PA1577
gene-PA2136	4	21	44	32	host	gene-PA2136
gene-PA0427	136	279	291	255	host	oprM
gene-PA1738	21	83	93	70	host	gene-PA1738
gene-PA0864	4	25	33	19	host	gene-PA0864
gene-PA0295	38	115	110	99	host	gene-PA0295
gene-PA4937.1	6527	8647	5229	5215	host	gene-PA4937.1
gene-PA0430	355	691	406	399	host	metF
gene-PA0750	54	102	119	99	host	ung
gene-PA0120	12	22	26	12	host	gene-PA0120
gene-PA1032	159	431	395	380	host	quiP
gene-PA3270	21	67	50	52	host	gene-PA3270
gene-PA0281	32	89	101	65	host	cysW
gene-PA1191	6	35	31	30	host	gene-PA1191
gene-PA0150	13	22	20	18	host	gene-PA0150
gene-PA2584	70	199	204	149	host	pgsA
gene-PA3530	10	38	54	46	host	gene-PA3530
gene-PA1535	32	79	65	42	host	gene-PA1535
gene-PA4652	20	29	35	39	host	gene-PA4652
gene-PA5175	71	103	109	97	host	cysQ
gene-PA1313	2	8	15	11	host	gene-PA1313
gene-PA2295	0	12	2	10	host	gene-PA2295
gene-PA0658	63	134	124	85	host	gene-PA0658
gene-PA0811	12	38	36	27	host	gene-PA0811
gene-PA3438	90	142	95	99	host	folE1
gene-PA0292	95	209	143	150	host	aguA
gene-PA2348	5	7	7	6	host	gene-PA2348
