Geneid	8_R1	8_R2	24_R1	24_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-PA3199	24.655291088537187	14.640214935521303	12.873103434402307	13.761075974795306	host	gene-PA3199			1.37453136789781
aph	9.889663680895712	5.568054293463922	4.941533060629282	3.103489253299561	host	aph			1.0536801369703865
stk1	7.714839953871757	5.653602815038141	6.56263183622217	6.65535674417373	host	stk1			0.08027806790612718
gene-PA1306	66.31295016530218	54.77283210142585	40.83056162142168	43.95204265889168	host	gene-PA1306			1.9475509285368353
rph	75.92399375952164	34.70794545077112	33.66743280806736	43.6149657978929	host	rph			6.2629919765210955
gene-PA1662	8.568643745956463	5.656504982096456	5.392482258952174	7.3580483686035345	host	gene-PA1662			0.24895112752277224
gene-PA1413	8.35558364053063	3.8829013090068836	3.6440920469886353	2.868861199785505	host	gene-PA1413			0.9865037112761661
gene-PA3908	31.34695503729072	29.671461252867427	28.066565982326026	28.844744251612607	host	gene-PA3908			0.05022906975251796
gene-PA0671	3.2647680068595064	1.2853031506937598	3.3280513022520974	3.6995356424993178	host	gene-PA0671			0.30771870730635226
gene-PA0098	6.862033718794162	3.113785153768055	2.2014967869965942	4.194609285573444	host	gene-PA0098			0.7460648849871729
gene-PA2418	5.4819067910101555	4.669486940034937	5.256098019975608	7.47349491964493	host	gene-PA2418			0.1944940297500798
dsdA	5.9249878177303925	4.506353634998562	4.5572012182720885	4.147733367310241	host	dsdA			0.09590233735925821
tolB	154.7872720744766	99.95087226364961	83.37056269633138	93.58379150218762	host	tolB			7.107489488346939
gene-PA1622	4.485196465371946	2.8383155910016287	3.6948807863194872	2.1033189294809085	host	gene-PA1622			0.24419735541870022
gene-PA1036	8.107465648814339	8.29070172544947	7.108408520370464	8.44797605297594	host	gene-PA1036			0.03414718159293021
clpX	394.24795233051725	249.66520383947008	174.99538940942327	202.340454825023	host	clpX			27.996921103742782
yrfI	30.045464853156393	24.601909971668476	18.99533357455003	18.920709830221913	host	yrfI			0.9161642214536462
gene-PA4354	29.73848085456184	17.431482114139353	11.682336085374667	18.438933484379188	host	gene-PA4354			2.215275837038008
arnC	11.021564150888171	9.351630505570546	5.578902642110977	4.193080797025864	host	arnC			1.0101453043349702
gene-JG005_00153	934.3299640202356	824.1220990787201	563.6338982304364	575.8780944185588	phage	gene-JG005_00153			35.16936292485374
nusG	417.03087959210194	259.0824553196186	212.03581226439482	271.0880427424283	host	nusG			20.296683345226004
gene-PA1659	9.044413329927316	6.376111708343554	6.259792334652081	9.349436912287398	host	gene-PA1659			0.2688313553129603
gene-PA1351	0.4907821186782264	0.9660775315672051	0.5491045907589545	0.47219378344885854	host	gene-PA1351			0.06591141710146382
gene-PA2366	2.9472422295689857	3.025871929175343	3.6509354123350928	4.592585355628656	host	gene-PA2366			0.12204928764257586
nadC	14.656572509340675	10.678058370113842	11.346868009746876	11.209847048490499	host	nadC			0.20573401382760784
gene-PA5189	4.62598591070962	4.076018205793779	3.499771569880174	3.348679874174611	host	gene-PA5189			0.06569331437833903
xphA	3.088103071423386	1.6423318036642487	2.800433412870668	1.0946310434496265	host	xphA			0.31006542027074524
wapR	90.66516350284253	47.83360968502788	41.97169354612038	52.98558473639829	host	wapR			6.219112061150249
prs	695.5530310519425	436.75565265343766	514.0430385204808	540.0477293700878	host	prs			16.17072949266286
parR	34.787302039192255	20.59873787646685	25.884231996928882	24.544472797982362	host	parR			1.0178066112137982
gene-PA3941	18.543319792011783	13.600818152958201	8.631151557256329	11.03652123405694	host	gene-PA3941			1.0426697654832342
gene-PA4399	25.34484593334012	12.662122921515035	9.828118644133328	12.577480839139335	host	gene-PA4399			2.401088271769315
gene-PA1134	16.275592231240495	10.722350166451648	53.133127435002095	31.96154887326021	host	gene-PA1134			9.66472862699232
pelB	6.109233264810083	3.6312864000616556	1.4135074289419787	1.6027696528991071	host	pelB			1.1281734977502147
purU1	88.3348564270464	63.565180231962756	55.693126464413844	53.047978792978526	host	purU1			2.977044094933174
gene-PA0158	23.22796135364047	12.18170518938364	11.304636716522536	13.18498893595545	host	gene-PA0158			1.5457540436096613
gene-PA4177	1.4943216747814656	0.1960993198405073	0.7802202543321264	2.204510678549298	host	gene-PA4177			0.48678670491403664
pyrH	156.16789618874688	102.65241387455889	119.42444494561741	129.21985976332178	host	pyrH			2.967332552446803
