Geneid	5	15	35	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-PA4961	0.9526670148617277	0.936710915288187	1.0	host	gene-PA4961	None	None	1.4075735306442052
gene-PA3212	0.3864165872496429	0.5036345694524919	1.0	host	gene-PA3212	None	None	3.0686870557095394
gene-PA2595	0.15387750145809967	0.2169999351788189	1.0	host	gene-PA2595	None	None	7.45163824135225
gene-PA3701	1.0	0.994242375729341	0.9431493504157428	host	prfB	None	None	2.3192494300696964
gene-PA0655	0.507042220284537	0.6104579531146026	1.0	host	gene-PA0655	None	None	2.0160274718149584
gene-PA2239	0.2923938444297751	0.5957910313169072	1.0	host	pslI	None	None	5.035187914914759
gene-PA4374	0.5973378441777921	1.0	0.6959902357520201	host	gene-PA4374	None	None	2.8338766080240196
gene-PA2842	0.300106587376178	0.41799953569696713	1.0	host	gene-PA2842	None	None	4.6800397399088665
gene-PA3109	0.2357670743576504	0.48511370041277924	1.0	host	gene-PA3109	None	None	7.865273793861059
gene-PA2702	0.1625797211766813	0.3085245970174888	1.0	host	gene-PA2702	None	None	4.814742936719724
gene-PA1240	0.3420760114514608	0.46470604442235247	1.0	host	gene-PA1240	None	None	4.295261780503184
gene-PA5105	0.33906461195339616	0.4838971432240068	1.0	host	hutC	None	None	3.0687948911440865
gene-PA1641	0.1813549064030309	0.30027666940384207	1.0	host	gene-PA1641	None	None	6.742850716987692
gene-PA4995	0.2888969743530295	0.35133502372179176	1.0	host	gene-PA4995	None	None	8.983498621592966
gene-PA5002	0.7406993710292438	0.7370316886570016	1.0	host	gene-PA5002	None	None	1.6782295373756395
gene-PA1680	0.23374155372934652	0.30728079489325183	1.0	host	gene-PA1680	None	None	6.986902778162363
gene-PA4770	0.4171865765389096	0.46516068145646766	1.0	host	lldP	None	None	2.249247934786422
gene-PA1278	1.0	0.4984090492934139	0.9175761725609383	host	cobP	None	None	3.6213536355601152
gene-PA0044	1.0	0.46995552941843194	0.944762700057871	host	exoT	None	None	2.7403343091023165
gene-PA2654	0.18916699519700292	0.279453290155555	1.0	host	gene-PA2654	None	None	7.186350326031873
gene-PA4209	0.473296700568362	0.507981297517579	1.0	host	phzM	None	None	4.8731893616912405
gene-PA1371	0.5601601132905053	0.7029527998816478	1.0	host	gene-PA1371	None	None	2.3464399096112465
gene-PA0096	1.0	0.857344944645048	0.5801044164037849	host	gene-PA0096	None	None	2.6620638431798653
gene-PA4714	0.505624621351927	0.5812748137001517	1.0	host	gene-PA4714	None	None	2.014425435114075
gene-PA2596	0.4463982692360859	0.3599991947156967	1.0	host	gene-PA2596	None	None	2.0025780268320292
gene-PA4355	1.0	0.1551758751553427	0.49287339472700076	host	gene-PA4355	None	None	15.72015718985728
