Geneid	5_R1	5_R2	15_R1	15_R2	35_R1	35_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-PA4961	16.435209545865522	12.487923145237708	6.691492416173176	21.7472103765516	16.0012688706728	14.358901304108786	host	gene-PA4961	None	None	1.4075735306442052
gene-PA3212	7.184277234230443	5.151992542875984	2.045324097018971	14.033105563737072	17.20891180430848	14.715881758284187	host	gene-PA3212	None	None	3.0686870557095394
gene-PA2595	0.8525899986883418	2.3045445302712686	0.566364561870457	3.8858651770013837	2.859160895386676	17.65803297014595	host	gene-PA2595	None	None	7.45163824135225
gene-PA3701	31.019184486950394	35.3584777375862	23.243167544134383	42.75231704134862	42.44132172175714	20.16272728743013	host	prfB	None	None	2.3192494300696964
gene-PA0655	5.456312846544064	12.155253061450638	10.873675176281411	10.329924928862011	12.66767118928263	22.066252739402472	host	gene-PA0655	None	None	2.0160274718149584
gene-PA2239	3.202618409928038	1.9976894161862357	0.4909518892300972	10.105361343451968	2.478457406598776	15.306827493142823	host	pslI	None	None	5.035187914914759
gene-PA4374	7.935645372406874	6.964282921149438	7.188473285278877	17.75541473183709	2.41928998840411	14.94141251320042	host	gene-PA4374	None	None	2.8338766080240196
gene-PA2842	7.61533386828427	4.620941003841075	2.1680435428401093	14.875091897561296	18.24144651256699	22.53165006990623	host	gene-PA2842	None	None	4.6800397399088665
gene-PA3109	10.518416945144018	6.382515198675518	16.969033254273416	17.80627943538645	45.35166260030467	26.333207689010685	host	gene-PA3109	None	None	7.865273793861059
gene-PA2702	1.710542198626296	3.3025593223564003	7.954038155073776	1.5592339515263414	17.20891180430848	13.62581644285573	host	gene-PA2702	None	None	4.814742936719724
gene-PA1240	3.749045495485453	3.553355180670683	3.3960581811405217	6.52416311296548	3.4288433294298852	17.918460871093735	host	gene-PA1240	None	None	4.295261780503184
gene-PA5105	4.695472409774971	5.439354676741576	3.5990098652724254	10.864940961034147	10.90126285611573	18.989285225939977	host	hutC	None	None	3.0687948911440865
gene-PA1641	4.874125619741596	1.129262219902511	1.9426913466309221	7.997361235248009	9.807229307831715	23.29575069262431	host	gene-PA1641	None	None	6.742850716987692
gene-PA4995	5.692525316823789	2.198122041996283	2.100817386472974	7.495201343732436	2.121098431693836	25.191916446675126	host	gene-PA4995	None	None	8.983498621592966
