Geneid	0	10	35	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-PHIKZ048	3.516217561540822	160.8774432800489	88.65380594671021	phage	gene-PHIKZ048	middle	middle	49.08392716728237
gene-PA1619	5.520777539309219	0.6436389528790947	0.06015526693603758	host	gene-PA1619	None	None	5.103318812885797
gene-PA4790	8.323938677760133	0.23741195980734914	0.06617079362964133	host	gene-PA4790	None	None	9.77447527225467
gene-PA1740	4.559200670600706	0.17823720706257445	0.04967777299522623	host	gene-PA1740	None	None	4.691486305913448
gene-PA0029	8.254966462163269	0.11458106168308357	0.06403798235199296	host	gene-PA0029	None	None	11.937788975831785
gene-PA3612	27.36471949838622	4.010337158907925	0.8953658334209866	host	gene-PA3612	None	None	28.063754393506393
gene-PA3323	6.16301111772272	0.6134151632509339	0.16995923021311987	host	gene-PA3323	None	None	6.0695695545778054
gene-PA4307	12.78835380029266	0.8488968135984489	0.3665547676481881	host	pctC	None	None	10.813631715056278
gene-PA2902	10.929778156584417	0.20972787968847098	0.058454764690495875	host	gene-PA2902	None	None	12.600505678049425
gene-PA4622	8.914135960771457	0.8827897738066934	0.16400265265631933	host	gene-PA4622	None	None	11.991046551089873
gene-PA4132	10.127185310245025	0.8824770921114871	0.3502981059970162	host	gene-PA4132	None	None	9.841413874656798
gene-PHIKZ120	0.6765658749153454	2771.8646960997726	65642.27245242221	phage	gene-PHIKZ120	late	late	40289.54463358753
gene-PA3255	8.453953195319558	0.3075284453463072	0.08571346325083073	host	gene-PA3255	None	None	11.641051127816267
gene-PA2687	5.663903047989095	0.132780738147287	0.03700827384208128	host	pfeS	None	None	7.90781922574259
gene-PA1243	6.087780173665903	0.4824361721176952	0.15436603188570164	host	gene-PA1243	None	None	5.770778083612017
gene-PA2454	6.533784059628477	0.6232419438089825	0.1168016720363815	host	gene-PA2454	None	None	6.142915674874949
gene-PA3133.3	396.3467756245572	2.342881182309367	0.6530012529240921	host	gene-PA3133.3	None	None	295.53464811836716
gene-PA2531	4.0485701954934274	0.15827463987156612	0.044113862419760896	host	gene-PA2531	None	None	4.166039839651141
gene-PA0054	26.747753552404504	0.6457751420589845	0.27119177717066123	host	gene-PA0054	None	None	37.47113216333387
gene-PA0575	8.215840343115415	1.0913543176753238	1.1561759310922037	host	gene-PA0575	None	None	7.2225131153462945
gene-PA2987	8.863001631918333	0.2603201313677074	0.21766708430803067	host	gene-PA2987	None	None	5.3135085670825974
gene-PA3684	15.489505739996272	2.55831853240678	0.14260946902939942	host	gene-PA3684	None	None	7.609240298606999
gene-PA1837	6.438807955220943	0.7182837880153916	0.09965480968319476	host	gene-PA1837	None	None	7.4432408896763675
gene-PA1079	12.043398872017274	5.744686069410838	0.4872749787348559	host	flgD	None	None	5.497000574230005
gene-PA3010	16.56837532682145	1.0292426003208779	0.09562253414688054	host	gene-PA3010	None	None	13.142071041275218
gene-PA0144	10.760626550805707	0.2839855978556808	0.07915166702110207	host	gene-PA0144	None	None	10.795271104095496
gene-PA0931	6.8121357866765155	0.24107298475003056	0.11109143465683487	host	pirA	None	None	7.492745013358701
gene-PA3234	8.253713333691737	0.3244877312849143	0.26971790881647284	host	gene-PA3234	None	None	9.593754319639181
gene-PA3348	10.63175508497199	0.6474871631109522	0.3007763346801879	host	gene-PA3348	None	None	9.894881804447621
gene-PA1381	10.631730608631592	0.36190847531608106	0.30155816545858316	host	gene-PA1381	None	None	12.279010577461317
gene-PA1446	10.10293671383924	0.925323558204956	0.12890280770042573	host	fliP	None	None	9.165759084760865
gene-PA1593	10.308837887096253	0.37565183513821065	0.2088551820968923	host	gene-PA1593	None	None	6.569872810820723
gene-PA1946	8.61170740215293	0.7435659022319674	0.5166897063455989	host	rbsB	None	None	8.376415176403667
gene-PA1362	7.291265717608124	3.302287672388001	0.9182399296384288	host	gene-PA1362	None	None	4.690326532291845
gene-PA0927	9.203429671981626	0.35811166968725505	0.09999732961002722	host	ldhA	None	None	10.632427851285957
gene-PA3869	10.111188414626739	0.931524287582461	0.6461991565394662	host	gene-PA3869	None	None	12.985091298192499
gene-PA4672	78.04677815920721	2162.6525898600653	15.864908503962852	host	gene-PA4672	None	None	3386.0002481942547
gene-PA1260	5.745289233100323	0.2166167516490412	0.060374811705877135	host	gene-PA1260	None	None	5.512981457965207
gene-PA5313	11.499802957438435	1.592206690053673	0.3345714284644786	host	gene-PA5313	None	None	10.523488112040067
gene-PA5020	11.794540046227672	1.2873633693866997	0.33015990490085245	host	gene-PA5020	None	None	13.818861849048705
gene-PA1952	5.602481952952704	0.23646609542564656	0.06590716496976229	host	gene-PA1952	None	None	6.76716256727592
gene-PA2964	13.837000171908436	0.21820952188175474	0.06081874414489093	host	pabC	None	None	9.857769524706711
gene-PA2603.1	19147.169721161812	5.935298995183729	0.5514232802470111	host	gene-PA2603.1	None	None	12828.614182991434
gene-PA3404	7.468851618686111	0.7843596305096958	0.25619223197316887	host	gene-PA3404	None	None	9.329959207108125
gene-PA5190	10.910325982880297	0.2952885072230711	0.9880530295146054	host	gene-PA5190	None	None	10.142155533414
gene-PA4163	11.249734347835426	0.31238415764124894	0.029022277907737426	host	gene-PA4163	None	None	14.036155900470646
gene-PA4313a	6.319261374781577	0.8359576049554548	0.467206688145526	host	gene-PA4313a	None	None	3.5539436509383266
gene-PA3163	12.699635077529699	1.0299253517411686	0.07192477568439276	host	cmk	None	None	7.911133420640546
gene-PA3661	16.874910357338166	1.9740235908372394	0.8278539040664474	host	gene-PA3661	None	None	17.570211351012397
gene-PA2515	4.64894871529757	0.23367318878676097	0.12991779043822435	host	xylL	None	None	4.580307287417551
