Geneid	0_R1	0_R2	10_R1	10_R2	35_R1	35_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-PHIKZ048	6.594970853085917	0.4374642699957278	159.52970727205266	162.22517928804513	89.09608837642004	88.21152351700037	phage	gene-PHIKZ048	middle	middle	49.08392716728237
gene-PA1619	9.208977482127244	1.8325775964911946	0.21775315948624624	1.069524746271943	0.0598415285959951	0.060469005276080054	host	gene-PA1619	None	None	5.103318812885797
gene-PA4790	14.632041999379952	2.0158353561403137	0.23952847543487085	0.23529544417982745	0.0658256814555946	0.06651590580368806	host	gene-PA4790	None	None	9.77447527225467
gene-PA1740	7.605011434189165	1.5133899070122476	0.17982618275891205	0.17664823136623684	0.049418679771467425	0.04993686621898503	host	gene-PA1740	None	None	4.691486305913448
gene-PA0029	15.753237970820413	0.7566949535061238	0.1156025460593006	0.11355957730686654	0.03176915128165763	0.09630681342232827	host	gene-PA0029	None	None	11.937788975831785
gene-PA3612	49.43257432222957	5.296864674542866	4.046089112075521	3.9745852057403286	0.6671521769148102	1.1235794899271632	host	gene-PA3612	None	None	28.063754393506393
gene-PA3323	10.6001358003938	1.7258864350516385	1.0253787475807827	0.20145157892108514	0.16907281195786286	0.17084564846837685	host	gene-PA3323	None	None	6.0695695545778054
gene-PA4307	20.003703061492825	5.573004539092495	1.4190075558937847	0.2787860713031131	0.2339775407189382	0.49913199457743807	host	pctC	None	None	10.813631715056278
gene-PA2902	18.891600841819727	2.9679554713491076	0.21159759314034526	0.2078581662365967	0.05814989527879382	0.05875963410219793	host	gene-PA2902	None	None	12.600505678049425
gene-PA4622	17.412464298576676	0.41580762296623636	1.0375614653738217	0.7280180822395651	0.1222011413160791	0.20580416399655957	host	gene-PA4622	None	None	11.991046551089873
gene-PA4132	17.288511162891893	2.965859457598155	1.1418200629840243	0.6231341212389498	0.38351827119255333	0.3170779408014791	host	gene-PA4132	None	None	9.841413874656798
gene-PHIKZ120	1.1285511620253974	0.2245805878052934	2837.595859555146	2706.133532644399	65600.06569245052	65684.4792123939	phage	gene-PHIKZ120	late	late	40289.54463358753
gene-PA3255	16.037511159145026	0.8703952314940906	0.3102700459000918	0.3047868447925226	0.08526642675595156	0.08616049974570991	host	gene-PA3255	None	None	11.641051127816267
gene-PA2687	10.701459042740458	0.6263470532377311	0.13396447171972642	0.13159700457484758	0.036815258084784454	0.03720128959937811	host	pfeS	None	None	7.90781922574259
gene-PA1243	10.154770797456314	2.0207895498754924	0.34855715284468985	0.6163151913907006	0.09578824426017842	0.21294381951122485	host	gene-PA1243	None	None	5.770778083612017
gene-PA2454	10.898731175052783	2.168836944204172	0.210852531192668	1.0356313564252968	0.057945142126403705	0.1756582019463593	host	gene-PA2454	None	None	6.142915674874949
gene-PA3133.3	277.68298328782805	515.0105679612864	2.3637678496862256	2.321994514932508	0.6495955406802099	0.6564069651679743	host	gene-PA3133.3	None	None	295.53464811836716
gene-PA2531	6.7532501535599785	1.343890237426876	0.1596856502899139	0.15686362945321833	0.043883787637063076	0.04434393720245871	host	gene-PA2531	None	None	4.166039839651141
gene-PA0054	50.74163366745885	2.7538734373501557	0.3272246932170367	0.9643255909009323	0.269777383014732	0.27260617132659043	host	gene-PA0054	None	None	37.47113216333387
gene-PA0575	14.679014846890002	1.7526658393408294	0.6247733107249842	1.5579353246256635	0.9377253979428606	1.3746264642415469	host	gene-PA0575	None	None	7.2225131153462945
gene-PA2987	8.639026146732428	9.08697711710424	0.2626408721873584	0.25799939054805643	0.2165318468934033	0.21880232172265807	host	gene-PA2987	None	None	5.3135085670825974
gene-PA3684	16.980154840129256	13.99885663986329	2.5811258128757633	2.535511251937796	0.14186569279222977	0.1433532452665691	host	gene-PA3684	None	None	7.609240298606999
gene-PA1837	11.865650370210805	1.0119655402310812	1.0822069673262238	0.35436060870455943	0.0991350624331244	0.10017455693326514	host	gene-PA1837	None	None	7.4432408896763675
gene-PA1079	17.734375403256248	6.3524223407783	6.7933496184259585	4.696022520395716	0.34572311688862717	0.6288268405810846	host	flgD	None	None	5.497000574230005
gene-PA3010	24.397580034537494	8.739170619105407	1.0384182461049314	1.0200669545368242	0.09512381713236215	0.09612125116139893	host	gene-PA3010	None	None	13.142071041275218
gene-PA0144	17.502442582990373	4.0188105186210406	0.2865173151134819	0.28145388059787974	0.07873885341578303	0.07956448062642112	host	gene-PA0144	None	None	10.795271104095496
gene-PA0931	11.740172429360664	1.8840991439923676	0.4029752278513978	0.07917074164866335	0.15504029952529014	0.0671425697883796	host	pirA	None	None	7.492745013358701
gene-PA3234	14.782929834936548	1.7244968324469272	0.5424104969086749	0.10656496566115374	0.2683112015853041	0.27112461604764154	host	gene-PA3234	None	None	9.593754319639181
gene-PA3348	17.394735244018126	3.868774925925855	0.6532594784587387	0.6417148477631658	0.2992076429799755	0.3023450263804003	host	gene-PA3348	None	None	9.894881804447621
gene-PA1381	18.87341252265238	2.3900486946108055	0.3651348710897422	0.35868207954242	0.5017201330456906	0.1013961978714757	host	gene-PA1381	None	None	12.279010577461317
gene-PA1446	16.487427132714792	3.718446294963687	0.7017435803755983	1.1489035360343138	0.19284867613943732	0.06495693926141412	host	fliP	None	None	9.165759084760865
gene-PA1593	12.466442794018947	8.15123298017356	0.3790007522703652	0.3723029180060561	0.312463677795544	0.10524668639824059	host	gene-PA1593	None	None	6.569872810820723
gene-PA1946	14.948600600328076	2.274814203977785	0.9356581071674642	0.5514736972964707	0.5656894500090162	0.46768996268218166	host	rbsB	None	None	8.376415176403667
gene-PA1362	13.027102919675883	1.5554285155403655	3.881248444546518	2.7233269002294844	1.0666198384008385	0.7698600208760191	host	gene-PA1362	None	None	4.690326532291845
gene-PA0927	16.20097890374237	2.205880440220882	0.18146096623853852	0.5347623731359715	0.14960382148998774	0.05039083773006671	host	ldhA	None	None	10.632427851285957
gene-PA3869	19.784912559257748	0.4374642699957278	1.4034871607511965	0.4595614144137255	0.6428289204647911	0.6495693926141413	host	gene-PA3869	None	None	12.985091298192499
gene-PA4672	90.90913668253818	65.18441963587625	5.220492413324108	4320.084687306807	15.612501370878208	16.117315637047493	host	gene-PA4672	None	None	3386.0002481942547
gene-PA1260	9.242586888996321	2.2479915772043237	0.218547879046415	0.2146856242516674	0.06005992833539654	0.06068969507635772	host	gene-PA1260	None	None	5.512981457965207
gene-PA5313	19.60213059553926	3.3974753193376075	0.6728327961653676	2.5115805839419787	0.33282647926986036	0.33631637765909694	host	gene-PA5313	None	None	10.523488112040067
gene-PA5020	22.005182835365986	1.5838972570893575	1.6938369727091533	0.880889766064246	0.3559625037116181	0.30435730609008677	host	gene-PA5020	None	None	13.818861849048705
gene-PA1952	10.089517161693195	1.1154467442122145	0.23857417871999087	0.23435801213130225	0.06556342774461614	0.06625090219490842	host	gene-PA1952	None	None	6.76716256727592
gene-PA2964	17.586588941562443	10.08741140225443	0.2201548487452857	0.21626419501822378	0.06050154545550975	0.06113594283427211	host	pabC	None	None	9.857769524706711
gene-PA2603.1	20325.407059395104	17968.93238292852	5.988211885871771	5.882386104495686	0.5485473454632884	0.5542992150307339	host	gene-PA2603.1	None	None	12828.614182991434
