Geneid	5_R1	5_R2	30_R1	30_R2	60_R1	60_R2	120_R1	120_R2	Entity	Symbol
gene-TX72_RS06845	67	114	137	478	207	50	41	89	host	gene-TX72_RS06845
gene-TX72_RS00470	155	132	17	29	17	5	2	3	host	gene-TX72_RS00470
gene-TX72_RS12050	34	14	2	12	4	2	2	1	host	gene-TX72_RS12050
gene-BSV9_gp128	0	0	98	253	3890	2014	22539	34506	phage	19
gene-TX72_RS06185	153	175	17	32	19	3	4	7	host	gene-TX72_RS06185
gene-TX72_RS07910	8	6	1	6	3	0	0	1	host	gene-TX72_RS07910
gene-TX72_RS10040	93	117	21	40	9	2	4	2	host	gene-TX72_RS10040
gene-TX72_RS08215	175	170	20	54	22	6	3	4	host	gene-TX72_RS08215
gene-TX72_RS04585	234	245	39	78	36	19	7	10	host	gene-TX72_RS04585
gene-TX72_RS12110	721	792	104	159	67	25	11	19	host	gene-TX72_RS12110
gene-TX72_RS00050	578	547	84	148	58	34	10	12	host	nusB
gene-TX72_RS01505	11	15	4	7	2	4	2	0	host	gene-TX72_RS01505
gene-TX72_RS09190	1842	1564	261	418	202	99	46	59	host	gene-TX72_RS09190
gene-TX72_RS11200	42	59	10	12	6	3	1	1	host	cysK
gene-TX72_RS07860	29	18	5	12	8	6	0	1	host	gene-TX72_RS07860
gene-TX72_RS02510	1793	1746	222	341	127	75	30	26	host	gpmI
gene-TX72_RS09035	79	58	7	19	3	6	3	3	host	gene-TX72_RS09035
gene-TX72_RS11355	39	57	8	14	10	2	1	2	host	gene-TX72_RS11355
gene-TX72_RS11445	67	50	7	15	11	3	2	2	host	gene-TX72_RS11445
gene-TX72_RS01005	2255	2662	214	331	132	87	68	45	host	gene-TX72_RS01005
gene-TX72_RS06225	284	329	41	78	31	11	5	3	host	gene-TX72_RS06225
gene-TX72_RS10855	27	36	5	12	5	4	2	4	host	gene-TX72_RS10855
gene-TX72_RS07690	70	87	16	22	9	7	2	0	host	gene-TX72_RS07690
gene-TX72_RS11000	345	336	179	268	138	78	25	70	host	gene-TX72_RS11000
gene-TX72_RS09250	248	308	33	57	20	5	6	9	host	gmk
gene-TX72_RS08765	270	262	40	56	16	10	4	5	host	gene-TX72_RS08765
gene-TX72_RS00430	143660	139672	29273	49002	20776	15923	6805	6574	host	gene-TX72_RS00430
gene-TX72_RS10165	847	857	162	233	119	82	24	32	host	gene-TX72_RS10165
gene-TX72_RS08885	326	414	56	98	50	20	10	22	host	gene-TX72_RS08885
gene-TX72_RS14610	103	91	20	24	8	4	2	2	host	gene-TX72_RS14610
gene-TX72_RS10115	1265	1180	398	523	201	160	96	83	host	gene-TX72_RS10115
gene-TX72_RS08035	21	21	3	4	2	2	0	0	host	gene-TX72_RS08035
gene-TX72_RS09530	958	1066	131	220	98	55	27	40	host	serS
gene-TX72_RS03005	266	277	28	73	45	12	3	5	host	gene-TX72_RS03005
gene-TX72_RS00960	927	948	192	291	138	75	61	41	host	gene-TX72_RS00960
gene-TX72_RS03770	577	579	70	132	52	30	15	18	host	gene-TX72_RS03770
gene-TX72_RS04335	226	168	22	26	16	5	3	6	host	gene-TX72_RS04335
gene-TX72_RS04375	47	61	16	10	10	1	2	1	host	gene-TX72_RS04375
gene-TX72_RS14450	31	37	9	16	8	0	4	4	host	gene-TX72_RS14450
gene-TX72_RS07900	57	71	14	23	9	2	2	1	host	gene-TX72_RS07900
gene-BSV9_gp110	0	0	418	1080	4755	2459	17181	25500	phage	14
gene-TX72_RS00270	520	458	56	98	27	20	14	11	host	gene-TX72_RS00270
gene-TX72_RS02360	4562	4912	524	1079	493	247	106	122	host	gene-TX72_RS02360
gene-TX72_RS02435	28	34	4	7	5	1	2	0	host	gene-TX72_RS02435
gene-TX72_RS06220	2613	2682	273	413	187	100	53	67	host	gene-TX72_RS06220
gene-TX72_RS05415	233	248	29	48	14	10	11	2	host	gene-TX72_RS05415
gene-TX72_RS00810	216	226	26	51	22	5	4	5	host	gene-TX72_RS00810
gene-TX72_RS12105	108	91	22	27	12	8	0	3	host	gene-TX72_RS12105
gene-TX72_RS08100	153	139	23	40	17	4	7	10	host	larB
gene-BSV9_gp130	0	0	403	1084	7158	3418	15092	22838	phage	gene-BSV9_gp130
gene-TX72_RS04525	117	147	18	24	8	4	4	3	host	gene-TX72_RS04525
gene-TX72_RS06565	179	153	16	43	17	15	6	3	host	gene-TX72_RS06565
gene-TX72_RS00170	68	49	10	14	10	8	2	0	host	gene-TX72_RS00170
gene-TX72_RS10795	764	927	105	193	93	32	13	20	host	gene-TX72_RS10795
gene-TX72_RS01635	118	113	15	21	18	5	4	3	host	gene-TX72_RS01635
gene-TX72_RS05905	574	544	60	119	45	19	4	9	host	mfd
gene-TX72_RS11415	129	133	26	40	22	10	8	11	host	gene-TX72_RS11415
gene-TX72_RS12085	254	270	90	207	106	53	25	30	host	gene-TX72_RS12085
gene-TX72_RS14335	49	47	7	4	3	1	2	0	host	gene-TX72_RS14335
gene-TX72_RS05470	769	796	122	170	96	38	23	27	host	glyS
gene-BSV9_gp13	0	0	265	739	2689	1439	4568	7836	phage	gene-BSV9_gp13
gene-TX72_RS09175	128	125	16	27	9	7	1	6	host	gene-TX72_RS09175
gene-TX72_RS00860	1480	1462	253	326	158	86	52	51	host	gene-TX72_RS00860
gene-TX72_RS01685	689	755	70	122	50	18	16	18	host	psbX
gene-TX72_RS12830	617	698	138	225	85	55	20	21	host	gene-TX72_RS12830
gene-TX72_RS07360	196	187	40	62	24	8	10	4	host	gene-TX72_RS07360
gene-TX72_RS02375	5319	7174	950	1448	821	288	188	238	host	gene-TX72_RS02375
gene-TX72_RS05420	150	133	14	35	18	8	2	8	host	gene-TX72_RS05420
gene-TX72_RS14420	111	158	36	29	22	6	4	9	host	gene-TX72_RS14420
gene-TX72_RS14435	666	611	91	128	33	18	11	9	host	gene-TX72_RS14435
gene-TX72_RS08095	253	274	36	71	39	15	10	13	host	gene-TX72_RS08095
gene-TX72_RS12505	142	134	20	50	22	6	5	4	host	gene-TX72_RS12505
