Geneid	40	90	140	190	Entity	Symbol	ClassThreshold	ClassMax	Variance
FKEOJE_02693					host	FKEOJE_02693	None	None	17.82682859256779
FKEOJE_00803					host	yqaE	None	None	12.642701926432684
FKEOJE_01306					host	FKEOJE_01306	None	None	3.398469124546609
FKEOJE_00157					host	FKEOJE_00157	None	None	0.3508425098211489
FKEOJE_01296					host	rsmI	None	None	11.968238454510374
FKEOJE_00777					host	exbB	None	None	137.12801320760732
FKEOJE_00012					host	rplS	None	None	548.3612215279888
FKEOJE_00876					host	FKEOJE_00876	None	None	210.89055070720383
FKEOJE_00149					host	FKEOJE_00149	None	None	10.112963493520146
FKEOJE_02491					host	livK	None	None	34.12657242384337
FKEOJE_03110					host	FKEOJE_03110	None	None	1.250587869096188
FKEOJE_03572					host	FKEOJE_03572	None	None	5.269293622282934
FKEOJE_01047					host	sunT	None	None	4.3723008711013565
FKEOJE_01798					host	FKEOJE_01798	None	None	12.420471365263904
FKEOJE_02236					host	trpB	None	None	9.108694549891835
FKEOJE_02500					host	mnmA	None	None	33.570360669717964
FKEOJE_03026					host	FKEOJE_03026	None	None	1.575671193357378
FKEOJE_03214					host	FKEOJE_03214	None	None	6.117514870204226
FKEOJE_03718					host	iscR	None	None	10.850336970677903
FKEOJE_03550					host	tssF	None	None	22.64286203516958
FKEOJE_01269					host	FKEOJE_01269	None	None	0.11346520339909355
FKEOJE_01194					host	gdhA	None	None	165.0722564513305
FKEOJE_03429					host	FKEOJE_03429	None	None	0.3008374192615845
FKEOJE_02645					host	scpA	None	None	7.72841811860457
FKEOJE_02151					host	FKEOJE_02151	None	None	5.092746674363784
FKEOJE_01334					host	norV	None	None	0.23618992071750722
FKEOJE_02989					host	FKEOJE_02989	None	None	11.599464990688931
FKEOJE_01486					host	FKEOJE_01486	None	None	5.115551386340138
FKEOJE_01177					host	FKEOJE_01177	None	None	63.77934462403682
FKEOJE_03047					host	FKEOJE_03047	None	None	0.28327416463002536
FKEOJE_00709					host	FKEOJE_00709	None	None	0.738590593790196
FKEOJE_01825					host	FKEOJE_01825	None	None	7.59469841577351
FKEOJE_02551					host	FKEOJE_02551	None	None	1.0940907247130471
FKEOJE_02461					host	FKEOJE_02461	None	None	3.044580262292789
FKEOJE_01440					host	FKEOJE_01440	None	None	0.009052760096906339
FKEOJE_00277					host	FKEOJE_00277	None	None	3.1645718967515277
FKEOJE_00675					host	FKEOJE_00675	None	None	2.8784704086325545
FKEOJE_01388					host	FKEOJE_01388	None	None	0.20442505083027707
FKEOJE_00168					host	FKEOJE_00168	None	None	1.7664689935673257
FKEOJE_03031					host	FKEOJE_03031	None	None	4.035442727013781
FKEOJE_01485					host	envC	None	None	3.8976165701841796
FKEOJE_02165					host	pepE	None	None	4.805762118850018
FKEOJE_03783					host	FKEOJE_03783	None	None	2.6047684732164353
FKEOJE_02669					host	yckC	None	None	3.5833080346697277
FKEOJE_01330					host	FKEOJE_01330	None	None	1.2578308479474014
FKEOJE_00547					host	FKEOJE_00547	None	None	0.18260133915523205
gene-N356_gp087					phage	g090	middle	late	8205.298709403658
FKEOJE_03105					host	FKEOJE_03105	None	None	0.8739324342140901
FKEOJE_00224					host	FKEOJE_00224	None	None	0.9507414177949687
FKEOJE_02392					host	rspA	None	None	6.419815180193742
FKEOJE_00120					host	FKEOJE_00120	None	None	1.0264986427868577
FKEOJE_03552					host	clpA	None	None	50.512514151765124
FKEOJE_00749					host	FKEOJE_00749	None	None	472.77951238330394
FKEOJE_01864					host	hemW	None	None	0.8844385169519113
FKEOJE_00073					host	zwf	None	None	26.15917884501759
FKEOJE_03378					host	tssO	None	None	0.437835014312303
gene-N356_gp024					phage	g027	early	early	2433.2620314193073
FKEOJE_01867					host	FKEOJE_01867	None	None	4.39476513185585
FKEOJE_01635					host	FKEOJE_01635	None	None	1.3546459380365377
FKEOJE_03265					host	rpoE	None	None	8.500449709483842
FKEOJE_01705					host	fabG	None	None	1.334604478797019
FKEOJE_00110					host	iap	None	None	2.4202789201213446
FKEOJE_02158					host	ldcB	None	None	38.94616078048137
FKEOJE_00309					host	porP	None	None	19.348274269621356
FKEOJE_01628					host	ureJ	None	None	9.148491241174199
FKEOJE_03135					host	FKEOJE_03135	None	None	0.7876474689856118
FKEOJE_01365					host	rbfA	None	None	38.96481730657119
FKEOJE_01684					host	FKEOJE_01684	None	None	7.900987170377172
FKEOJE_02812					host	FKEOJE_02812	None	None	3.6696510631859107
FKEOJE_00142					host	FKEOJE_00142	None	None	2.3093025035187416
FKEOJE_02777					host	uspA	None	None	19.131903272939244
FKEOJE_03195					host	FKEOJE_03195	None	None	6.133157118813089
FKEOJE_02518					host	FKEOJE_02518	None	None	5.5530311177060785
FKEOJE_02270					host	FKEOJE_02270	None	None	18.415339715038932
FKEOJE_01075					host	pnuC	None	None	2.189220226934916
FKEOJE_01298					host	FKEOJE_01298	None	None	57.91756781177824
FKEOJE_00537					host	FKEOJE_00537	None	None	3.0539580558567234
FKEOJE_02811					host	FKEOJE_02811	None	None	4.370257666859657
FKEOJE_01701					host	cls	None	None	1.6749241551214813
FKEOJE_02743					host	thrB	None	None	5.573858492920694
FKEOJE_02065					host	FKEOJE_02065	None	None	11.962911482472613
FKEOJE_00040					host	FKEOJE_00040	None	None	2.7977200761952306
FKEOJE_03392					host	FKEOJE_03392	None	None	1.2640559380329999
FKEOJE_00318					host	rbbA	None	None	11.190243058498668
FKEOJE_01394					host	FKEOJE_01394	None	None	1.7922148556837267
FKEOJE_03874					host	FKEOJE_03874	None	None	8.092084129344977
FKEOJE_01596					host	FKEOJE_01596	None	None	2.517449790423598
FKEOJE_03754					host	qor	None	None	3.094429751980377
FKEOJE_01920					host	tsf	None	None	275.54318395984734
FKEOJE_00971					host	tspO	None	None	7.409381230030106
FKEOJE_01068					host	atoC	None	None	11.353656775628913
FKEOJE_00780					host	FKEOJE_00780	None	None	162.08718261830663
FKEOJE_00721					host	FKEOJE_00721	None	None	8.737231822853829
FKEOJE_02271					host	prfC	None	None	20.76727313079514
FKEOJE_01663					host	clcA	None	None	4.7432826869144336
FKEOJE_02981					host	FKEOJE_02981	None	None	1.8369088000177454
FKEOJE_00969					host	eRG12	None	None	23.888336514859905
FKEOJE_03408					host	FKEOJE_03408	None	None	2.029275060998793
FKEOJE_01290					host	recJ	None	None	4.7525083163961375
FKEOJE_02096					host	mraY	None	None	11.341442790426482
FKEOJE_01112					host	FKEOJE_01112	None	None	2.8023810273246053
FKEOJE_02507					host	FKEOJE_02507	None	None	6.617639290045873
FKEOJE_00989					host	FKEOJE_00989	None	None	3.4018183095235313
FKEOJE_00329					host	guaB	None	None	91.30490211331504
FKEOJE_00043					host	FKEOJE_00043	None	None	4.890194219054162
FKEOJE_03142					host	ubiA	None	None	0.28601848031998245
FKEOJE_01494					host	unitary	None	None	0.020799542189172165
FKEOJE_00962					host	FKEOJE_00962	None	None	3.2744810872789563
FKEOJE_01212					host	FKEOJE_01212	None	None	13.854197022828316
FKEOJE_02668					host	spoIIM	None	None	3.1409474357834215
FKEOJE_03691					host	FKEOJE_03691	None	None	0.20867017038795918
gene-N356_gp015					phage	g016	early	early	4352.421293949465
FKEOJE_02233					host	FKEOJE_02233	None	None	3.755236336518339
FKEOJE_00634					host	rplC	None	None	368.21260974518236
FKEOJE_01687					host	FKEOJE_01687	None	None	4.22095337753586
FKEOJE_03578					host	FKEOJE_03578	None	None	13.740468254034292
FKEOJE_01736					host	FKEOJE_01736	None	None	6.151651863097777
FKEOJE_03467					host	FKEOJE_03467	None	None	17.473289049178774
FKEOJE_00024					host	frvX	None	None	81.3397451894627
FKEOJE_04033					host	FKEOJE_04033	None	None	10.553493137741704
FKEOJE_01990					host	FKEOJE_01990	None	None	214.61602705159956
FKEOJE_02538					host	thiC	None	None	0.47817247518313344
FKEOJE_02860					host	dfrA	None	None	25.649291678935246
FKEOJE_00545					host	acs	None	None	0.05885948043199207
FKEOJE_00719					host	FKEOJE_00719	None	None	0.043265645235136874
FKEOJE_02423					host	dnaB	None	None	23.03146857993298
FKEOJE_03318					host	FKEOJE_03318	None	None	17.79496791566235
FKEOJE_00405					host	FKEOJE_00405_gene_uspA	None	None	29.150880817604815
FKEOJE_03604					host	FKEOJE_03604	None	None	3.8484636713968636
FKEOJE_03873					host	FKEOJE_03873	None	None	7.898486007541299
FKEOJE_03697					host	FKEOJE_03697	None	None	259.65645073713245
FKEOJE_02189					host	lipA	None	None	53.52739604226851
FKEOJE_03198					host	FKEOJE_03198	None	None	5.880412301900333
FKEOJE_03522					host	FKEOJE_03522	None	None	14.995130086107768
FKEOJE_00887					host	FKEOJE_00887	None	None	1.572687103299833
FKEOJE_00524					host	FKEOJE_00524	None	None	3.663623252094212
FKEOJE_01496					host	atpA	None	None	195.8364322110104
FKEOJE_01186					host	FKEOJE_01186	None	None	42.50305719249867
FKEOJE_01627					host	terB2	None	None	7.063976153046561
FKEOJE_02450					host	FKEOJE_02450	None	None	1.6452688261716453
FKEOJE_03434					host	rhuM	None	None	0.3990667912024186
FKEOJE_03989					host	sorB	None	None	4.139482585886637
FKEOJE_01679					host	FKEOJE_01679	None	None	0.09608334402677794
FKEOJE_00768					host	FKEOJE_00768	None	None	0.9479146163642383
FKEOJE_03744					host	FKEOJE_03744	None	None	0.12503771639759512
FKEOJE_04012					host	miaA	None	None	4.84268134669279
FKEOJE_02301					host	aarF	None	None	0.4576945114612534
FKEOJE_00727					host	FKEOJE_00727	None	None	5.904551687371876
FKEOJE_01087					host	pqqL	None	None	39.62240847977284
FKEOJE_03229					host	FKEOJE_03229	None	None	8.479489290460803
FKEOJE_03640					host	terC	None	None	7.349750894960723
FKEOJE_00815					host	FKEOJE_00815	None	None	41.28089239682441
FKEOJE_02766					host	frmB	None	None	4.367557808186041
FKEOJE_00076					host	FKEOJE_00076	None	None	22.68226174004413
FKEOJE_00472					host	FKEOJE_00472	None	None	36.211896062111585
FKEOJE_01185					host	uvrC	None	None	5.66530000570143
FKEOJE_02919					host	FKEOJE_02919	None	None	3.5522973260213546
FKEOJE_00701					host	FKEOJE_00701	None	None	4.671757157378194
FKEOJE_03779					host	FKEOJE_03779	None	None	0.3591483085478377
FKEOJE_03928					host	lpxC	None	None	61.02189658252768
FKEOJE_03835					host	srmB	None	None	13.417269316918928
FKEOJE_01329					host	FKEOJE_01329	None	None	46.08794037825708
FKEOJE_01536					host	rfbC	None	None	3.6356516035683795
FKEOJE_02169					host	FKEOJE_02169	None	None	0.896366317093566
FKEOJE_03536					host	FKEOJE_03536	None	None	0.677824749403723
FKEOJE_00199					host	FKEOJE_00199_gene_clcA	None	None	2.8475753177830674
gene-N356_gp095					phage	g098	early	middle	7032.748449715731
FKEOJE_03203					host	panB	None	None	34.40224705550666
FKEOJE_03693					host	FKEOJE_03693	None	None	6.045405890902851
FKEOJE_02797					host	FKEOJE_02797	None	None	4.008045651571613
FKEOJE_00015					host	FKEOJE_00015	None	None	6.068557709496577
FKEOJE_02369					host	FKEOJE_02369	None	None	0.20202269790809124
FKEOJE_00874					host	FKEOJE_00874	None	None	8.20320884557395
FKEOJE_02770					host	cypX	None	None	14.238257395753902
FKEOJE_01295					host	FKEOJE_01295	None	None	9.224569294148885
