Geneid	40	90	140	190	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-FLV31_RS18100	1.0	0.327464074716123	0.11268271586534218	0.14451146391101527	host	gene-FLV31_RS18100	None	None	4.005409945150128
gene-FLV31_RS18840	1.0	0.2252596082607412	0.25714773620552434	0.5608783283523765	host	gene-FLV31_RS18840	None	None	0.3527739364476954
gene-FLV31_RS04205	1.0	0.6114189367077263	0.6000113844795569	0.12249066941028912	host	gene-FLV31_RS04205	None	None	0.06174095363340243
gene-FLV31_RS02150	1.0	0.3036962043771771	0.08831778196251493	0.045435175687317766	host	gene-FLV31_RS02150	None	None	46.024166457466514
gene-FLV31_RS10635	1.0	0.5772511362875693	0.1802480960171936	0.16433841056813145	host	gene-FLV31_RS10635	None	None	20.957769059301185
gene-FLV31_RS00255	0.4147026165105872	0.4576784177620501	1.0	0.46292543646313694	host	gene-FLV31_RS00255	None	None	0.29124951043863834
gene-FLV31_RS05115	1.0	0.34073133307966036	0.09096419185966023	0.07281632371108611	host	gene-FLV31_RS05115	None	None	20.217690969517076
gene-FLV31_RS13900	1.0	0.31014004035899156	0.0782623544973335	0.1650961196399549	host	gene-FLV31_RS13900	None	None	4.673103318048728
gene-FLV31_RS07105	1.0	0.3898269520163233	0.26524108412615605	0.22447860874761139	host	gene-FLV31_RS07105	None	None	1.526914862803352
gene-FLV31_RS01930	1.0	0.2950797928200014	0.12553387400297505	0.09761773793059202	host	gene-FLV31_RS01930	None	None	70.28471153356404
gene-FLV31_RS07080	1.0	0.41870093724480556	0.2524185824362274	0.21879367846389575	host	gene-FLV31_RS07080	None	None	5.201244213721281
gene-FLV31_RS18030	1.0	0.7578204464424055	0.49112463039631027	0.45546152500952497	host	gene-FLV31_RS18030	None	None	2.9015668424784966
gene-FLV31_RS04240	1.0	0.5301089868456819	0.3919239942949909	0.2783588484773585	host	gene-FLV31_RS04240	None	None	2.862143574599474
gene-FLV31_RS13975	1.0	0.33501378879654803	0.12111922653543121	0.09327532650265763	host	gene-FLV31_RS13975	None	None	29.7693759521083
gene-FLV31_RS12800	1.0	0.39040609573106566	0.12912144783330423	0.09129262834963092	host	gene-FLV31_RS12800	None	None	35.11143615957418
gene-FLV31_RS02655	1.0	0.3034536718276717	0.13109007148879637	0.1427682393222908	host	gene-FLV31_RS02655	None	None	8.501978907131466
gene-FLV31_RS07920	1.0	0.6942880852661644	0.3407942679318449	0.31704382921062124	host	gene-FLV31_RS07920	None	None	1.0350843699188743
gene-FLV31_RS09835	0.2606404308618031	1.0	0.8791087740040363	0.4881891537994786	host	gene-FLV31_RS09835	None	None	3.0287350017658876
gene-FLV31_RS12755	1.0	0.3617872831452691	0.12784369329267148	0.09107575889336858	host	gene-FLV31_RS12755	None	None	60.891391799071044
gene-FLV31_RS03190	1.0	0.45389943994674053	0.4597962809744708	0.2667285441635279	host	gene-FLV31_RS03190	None	None	3.637872219475997
gene-N356_gp018	0.5215066220063562	1.0	0.4218230853142331	0.1958618551893369	phage	g021	early	early	2429.1458884925914
gene-FLV31_RS06970	1.0	0.25176073864435783	0.3176530859009419	0.7565600169459034	host	gene-FLV31_RS06970	None	None	0.506131853401375
gene-FLV31_RS09400	1.0	0.2927548128714004	0.08828996348197683	0.0952705206524471	host	moaC	None	None	11.051960494071054
gene-FLV31_RS15540	1.0	0.583797412227658	0.1914172897516553	0.17168820670563456	host	rpmG	None	None	579.4228772911705
gene-FLV31_RS03250	1.0	0.3181724442819583	0.3237471498990415	0.2035636304588258	host	gene-FLV31_RS03250	None	None	0.5974921239078425
gene-FLV31_RS05605	1.0	0.2950010011007899	0.14034164586132009	0.2528705683758172	host	gene-FLV31_RS05605	None	None	2.89401397039514
gene-FLV31_RS11595	1.0	0.30340731966981693	0.11171336345672352	0.10620523115059866	host	gldE	None	None	14.20360638029063
gene-FLV31_RS13415	1.0	0.36942575754761564	0.1163931858614479	0.10753391398755908	host	gene-FLV31_RS13415	None	None	12.11328685850303
gene-FLV31_RS20175	1.0	0.579218623038855	0.5694752942705708	0.2237210897053097	host	gene-FLV31_RS20175	None	None	27.763788625539686
gene-FLV31_RS10930	1.0	0.4159982151362645	0.2930288156760627	0.19786954289354394	host	gene-FLV31_RS10930	None	None	1.6804438485060267
gene-FLV31_RS13945	1.0	0.29288721692180264	0.12318114515805474	0.1192458834656457	host	gene-FLV31_RS13945	None	None	3.663022443934052
gene-FLV31_RS16725	1.0	0.3553395357427227	0.15043513097902433	0.10907670561319693	host	gene-FLV31_RS16725	None	None	9.08105905805107
gene-FLV31_RS08400	1.0	0.22461360995772794	0.11408303639516669	0.08188292239615254	host	gene-FLV31_RS08400	None	None	9.311111692003756
gene-FLV31_RS03480	1.0	0.5438626584950955	0.1786493493706422	0.15667272954662315	host	gene-FLV31_RS03480	None	None	28.184629044531633
gene-FLV31_RS20005	0.2861898559910113	0.40829109404197667	1.0	0.7361673278142377	host	gene-FLV31_RS20005	None	None	0.32231183084688025
gene-N356_gp056	0.4791867524316901	1.0	0.40646627230509386	0.18285234692198818	phage	g059	early	early	2146.9518462156307
gene-FLV31_RS01680	1.0	0.31868669700354	0.18413710546658635	0.15573448365525275	host	gene-FLV31_RS01680	None	None	8.299616717935812
gene-FLV31_RS02450	1.0	0.31992148122491315	0.07554191657076237	0.07741991864804626	host	gene-FLV31_RS02450	None	None	12.800057761224254
gene-FLV31_RS03385	1.0	0.40851044963585237	0.3568349643380625	0.3286203421624056	host	gene-FLV31_RS03385	None	None	0.8165294679033084
gene-FLV31_RS19350	1.0	0.637436763801672	0.34468739108400076	0.3831091149640957	host	gene-FLV31_RS19350	None	None	0.2026709791428972
gene-FLV31_RS10435	1.0	0.3878894329651166	0.4064593249700224	0.29634839373457045	host	gene-FLV31_RS10435	None	None	0.45360062684699876
gene-FLV31_RS13590	1.0	0.34055377334903464	0.05806561785286035	0.06970114220637097	host	gene-FLV31_RS13590	None	None	6.352187177568684
gene-FLV31_RS15770	1.0	0.44275164382283616	0.31035071611011555	0.1951403078191502	host	gene-FLV31_RS15770	None	None	0.8700969119439428
gene-FLV31_RS01555	1.0	0.3042300432411361	0.07432984637775959	0.07804347701538805	host	gene-FLV31_RS01555	None	None	54.31416489774362
gene-FLV31_RS05770	1.0	0.46669748950799717	0.18425546452521827	0.15651098417850112	host	gene-FLV31_RS05770	None	None	6.626580737342624
gene-FLV31_RS12190	1.0	0.5780825882379121	0.3948030299363627	0.23906171539182822	host	gene-FLV31_RS12190	None	None	1.8668712935873315
gene-FLV31_RS19695	0.6813287914547383	0.19440275176915428	1.0	0.4583683361862234	host	gene-FLV31_RS19695	None	None	0.2878772395807145
gene-FLV31_RS12820	1.0	0.5462009167922354	0.42172228737705997	0.33807424757239796	host	gene-FLV31_RS12820	None	None	0.3553293792550064
gene-FLV31_RS07935	1.0	0.7767219481202325	0.2760697275426816	0.1499358710722886	host	gene-FLV31_RS07935	None	None	9.411967277122727
gene-FLV31_RS11320	1.0	0.6683008558484884	0.16101410393253435	0.1444414719805604	host	gene-FLV31_RS11320	None	None	34.53330352764177
gene-FLV31_RS14025	1.0	0.6772957245011513	0.7091043634758399	0.493674516108135	host	gene-FLV31_RS14025	None	None	0.4157452454874472
gene-FLV31_RS08535	1.0	0.18233063405559907	0.10234935979385242	0.07111743090957318	host	gene-FLV31_RS08535	None	None	13.670137864526476
gene-FLV31_RS02910	1.0	0.8224632301258449	0.26772203563827496	0.13393839552340028	host	gene-FLV31_RS02910	None	None	14.124913922399251
gene-FLV31_RS08225	1.0	0.25332934137734453	0.14018957581298058	0.07212067451260014	host	gene-FLV31_RS08225	None	None	2.3906418613260465
gene-FLV31_RS17675	1.0	0.25798666108378554	0.12519557481412702	0.08349054901072256	host	gene-FLV31_RS17675	None	None	11.485139003075446
gene-FLV31_RS09555	1.0	0.31893354204855945	0.10403687037322742	0.05890772651029171	host	gene-FLV31_RS09555	None	None	10.611439056708216
gene-FLV31_RS18465	1.0	0.20454141164884257	0.10225622332428878	0.08118182327913662	host	coaD	None	None	14.04065245885015
gene-FLV31_RS13195	1.0	0.38707400385889645	0.3209363219309258	0.25922443991479793	host	gene-FLV31_RS13195	None	None	0.3613561580130363
gene-FLV31_RS06020	1.0	0.21615820994717594	0.17402927601788012	0.1596090540800737	host	gene-FLV31_RS06020	None	None	4.010398368657797
gene-FLV31_RS06130	1.0	0.31752895668102393	0.06207014322202312	0.15320933258528324	host	gene-FLV31_RS06130	None	None	2.643397011617484
gene-FLV31_RS09480	1.0	0.25091357577246554	0.09727797487472062	0.06424604164440106	host	gene-FLV31_RS09480	None	None	31.986651576737977
gene-FLV31_RS03710	1.0	0.5655926653174036	0.6284142902537372	0.4414012879932904	host	gene-FLV31_RS03710	None	None	0.42494963141576586
gene-FLV31_RS04105	1.0	0.3698707147985011	0.3142916775845298	0.4491324545043935	host	gene-FLV31_RS04105	None	None	0.10433677137431335
gene-FLV31_RS06620	0.08799905439778086	1.0	0.026131375915053674	0.014291588728121106	host	gene-FLV31_RS06620	None	None	28.715365390716247
gene-FLV31_RS00175	1.0	0.2472456296912602	0.0935203613825575	0.07851316057907305	host	accD	None	None	86.18725833845166
gene-FLV31_RS02445	0.8095084498031463	0.7774685874782513	1.0	0.8301987848123586	host	gene-FLV31_RS02445	None	None	0.01003396605758377
gene-FLV31_RS15220	1.0	0.11693804800420994	0.07908346772484653	0.0556629730500527	host	galB	None	None	4.308968450033535
gene-FLV31_RS04085	1.0	0.31014004035899156	0.39131177248666754	0.4846369963624482	host	gene-FLV31_RS04085	None	None	0.16908577478127657
gene-FLV31_RS00535	1.0	0.2804514211109514	0.18974718996362058	0.19786954289354397	host	gene-FLV31_RS00535	None	None	5.310984265053422
gene-FLV31_RS13270	1.0	0.31972705860811035	0.11406707927509352	0.16300535759236312	host	gene-FLV31_RS13270	None	None	1.5476297323101538
gene-FLV31_RS08340	1.0	0.17007897477280792	0.049973729899494945	0.026605213442953385	host	gene-FLV31_RS08340	None	None	19.331099751662677
gene-FLV31_RS11825	1.0	0.5713419160762045	0.444612752528017	0.3392727174313763	host	gene-FLV31_RS11825	None	None	1.1489603651416125
gene-FLV31_RS04970	1.0	0.8141582001884732	0.367546240754493	0.25588364971049926	host	gene-FLV31_RS04970	None	None	0.39491182798004093
gene-FLV31_RS18175	1.0	0.3434024944772242	0.15169337441089553	0.1328338680720158	host	hisS	None	None	18.26128460127374
gene-FLV31_RS08395	1.0	0.58990017441489	0.995868758066619	0.44821044153151574	host	gene-FLV31_RS08395	None	None	5.026536516322455
gene-FLV31_RS02775	1.0	0.33838058951650724	0.10943720033989149	0.0787884419679234	host	hemH	None	None	31.487765089084995
gene-FLV31_RS07175	1.0	0.48623453518454635	0.1723949242726175	0.16928485772433213	host	gene-FLV31_RS07175	None	None	5.602747586692414
gene-FLV31_RS00170	1.0	0.2770772285373703	0.09481691987747594	0.07598419339787198	host	fbaA	None	None	123.29857742301151
gene-FLV31_RS19290	1.0	0.25176073864435783	0.17647393661163438	0.07925866844195177	host	gene-FLV31_RS19290	None	None	3.1722398947990618
gene-FLV31_RS03500	1.0	0.2990450361203245	0.10162294549877349	0.05032456233457938	host	gene-FLV31_RS03500	None	None	8.318340132266892
gene-N356_gp014	1.0	0.931274815233985	0.3104044797681685	0.16780934511660328	phage	g015	early	early	2342.2465058411517
gene-FLV31_RS20010	0.9375892786630747	0.6198663308717284	0.5351220830582685	1.0	host	gene-FLV31_RS20010	None	None	0.1313967896659262
gene-FLV31_RS08575	1.0	0.052067306045670114	0.1392727155215322	0.041307072458068306	host	gene-FLV31_RS08575	None	None	3.6232920122577843
gene-FLV31_RS10175	1.0	0.18686015670791795	0.11385079791880513	0.09354776814983172	host	gene-FLV31_RS10175	None	None	56.664595421935246
gene-FLV31_RS18025	1.0	0.587596201637353	0.32389017671169823	0.28528544771535813	host	gene-FLV31_RS18025	None	None	8.221217713155406
gene-FLV31_RS11450	1.0	0.33931185349273385	0.09019970702882607	0.06853608953315857	host	greA	None	None	45.055168564353266
