Geneid	40	90	140	190	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-FLV31_RS18100	311	71	19	17	host	gene-FLV31_RS18100	None	None	4.005409945150128
gene-FLV31_RS18840	66	10	9	14	host	gene-FLV31_RS18840	None	None	0.3527739364476954
gene-FLV31_RS04205	10	4	3	0	host	gene-FLV31_RS04205	None	None	0.06174095363340243
gene-FLV31_RS02150	3821	813	187	67	host	gene-FLV31_RS02150	None	None	46.024166457466514
gene-FLV31_RS10635	1103	446	110	70	host	gene-FLV31_RS10635	None	None	20.957769059301185
gene-FLV31_RS00255	26	20	35	11	host	gene-FLV31_RS00255	None	None	0.29124951043863834
gene-FLV31_RS05115	2384	569	120	67	host	gene-FLV31_RS05115	None	None	20.217690969517076
gene-FLV31_RS13900	241	52	10	15	host	gene-FLV31_RS13900	None	None	4.673103318048728
gene-FLV31_RS07105	349	95	51	30	host	gene-FLV31_RS07105	None	None	1.526914862803352
gene-FLV31_RS01930	2516	520	175	95	host	gene-FLV31_RS01930	None	None	70.28471153356404
gene-FLV31_RS07080	652	191	91	55	host	gene-FLV31_RS07080	None	None	5.201244213721281
gene-FLV31_RS18030	793	421	216	140	host	gene-FLV31_RS18030	None	None	2.9015668424784966
gene-FLV31_RS04240	383	142	83	41	host	gene-FLV31_RS04240	None	None	2.862143574599474
gene-FLV31_RS13975	2578	605	173	93	host	gene-FLV31_RS13975	None	None	29.7693759521083
gene-FLV31_RS12800	5987	1638	429	212	host	gene-FLV31_RS12800	None	None	35.11143615957418
gene-FLV31_RS02655	1558	331	113	86	host	gene-FLV31_RS02655	None	None	8.501978907131466
gene-FLV31_RS07920	393	191	74	48	host	gene-FLV31_RS07920	None	None	1.0350843699188743
gene-FLV31_RS09835	51	138	96	37	host	gene-FLV31_RS09835	None	None	3.0287350017658876
gene-FLV31_RS12755	7131	1808	506	252	host	gene-FLV31_RS12755	None	None	60.891391799071044
gene-FLV31_RS03190	988	314	252	102	host	gene-FLV31_RS03190	None	None	3.637872219475997
gene-N356_gp018	43385	58313	19495	6334	phage	g021	early	early	2429.1458884925914
gene-FLV31_RS06970	8	1	1	2	host	gene-FLV31_RS06970	None	None	0.506131853401375
gene-FLV31_RS09400	499	102	24	18	host	moaC	None	None	11.051960494071054
gene-FLV31_RS15540	16188	6624	1721	1080	host	rpmG	None	None	579.4228772911705
gene-FLV31_RS03250	69	15	12	5	host	gene-FLV31_RS03250	None	None	0.5974921239078425
gene-FLV31_RS05605	147	30	11	14	host	gene-FLV31_RS05605	None	None	2.89401397039514
gene-FLV31_RS11595	1925	409	119	79	host	gldE	None	None	14.20360638029063
gene-FLV31_RS13415	1662	430	107	69	host	gene-FLV31_RS13415	None	None	12.11328685850303
