Geneid	40	90	140	190	Entity	Symbol	ClassThreshold	ClassMax	Variance
FKEOJE_02693					host	FKEOJE_02693	None	None	0.3093466371084357
FKEOJE_00803					host	yqaE	None	None	7.054635045118202
FKEOJE_01306					host	FKEOJE_01306	None	None	0.9632559446337607
FKEOJE_00157					host	FKEOJE_00157	None	None	1.3849478269881488
FKEOJE_01296					host	rsmI	None	None	0.9422834426400548
FKEOJE_00777					host	exbB	None	None	2.187946989728458
FKEOJE_00012					host	rplS	None	None	3.6645266348090937
FKEOJE_00876					host	FKEOJE_00876	None	None	0.8413373602192397
FKEOJE_00149					host	FKEOJE_00149	None	None	0.3417328272571961
FKEOJE_02491					host	livK	None	None	0.40267534681358585
FKEOJE_03110					host	FKEOJE_03110	None	None	0.1721207952953647
FKEOJE_03572					host	FKEOJE_03572	None	None	0.29127253732149905
FKEOJE_01047					host	sunT	None	None	0.48543651152372147
FKEOJE_01798					host	FKEOJE_01798	None	None	2.2180269883875643
FKEOJE_02236					host	trpB	None	None	0.31639058439323087
FKEOJE_02500					host	mnmA	None	None	0.3587361276474831
FKEOJE_03026					host	FKEOJE_03026	None	None	0.11147255149169523
FKEOJE_03214					host	FKEOJE_03214	None	None	0.8044962208400374
FKEOJE_03718					host	iscR	None	None	0.6506054230829961
FKEOJE_03550					host	tssF	None	None	1.6994044210686663
FKEOJE_01269					host	FKEOJE_01269	None	None	0.46079358138984994
FKEOJE_01194					host	gdhA	None	None	1.7680229626582256
FKEOJE_03429					host	FKEOJE_03429	None	None	3.147972779145421
FKEOJE_02645					host	scpA	None	None	0.687498611751396
FKEOJE_02151					host	FKEOJE_02151	None	None	0.03344332379919708
FKEOJE_01334					host	norV	None	None	0.3016374226546632
FKEOJE_02989					host	FKEOJE_02989	None	None	1.2522125927358174
FKEOJE_01486					host	FKEOJE_01486	None	None	0.8990744062454268
FKEOJE_01177					host	FKEOJE_01177	None	None	0.2494926640658141
FKEOJE_03047					host	FKEOJE_03047	None	None	8.903810613097791
FKEOJE_00709					host	FKEOJE_00709	None	None	0.3666741049058558
FKEOJE_01825					host	FKEOJE_01825	None	None	0.3959732928197577
FKEOJE_02551					host	FKEOJE_02551	None	None	0.028727570161035432
FKEOJE_02461					host	FKEOJE_02461	None	None	0.07865022517500334
FKEOJE_01440					host	FKEOJE_01440	None	None	3.7325277137948514
FKEOJE_00277					host	FKEOJE_00277	None	None	0.11565943385806615
FKEOJE_00675					host	FKEOJE_00675	None	None	0.3180379642274045
FKEOJE_01388					host	FKEOJE_01388	None	None	0.45103730375514695
FKEOJE_00168					host	FKEOJE_00168	None	None	1.93837904260233
FKEOJE_03031					host	FKEOJE_03031	None	None	0.16416768024385067
FKEOJE_01485					host	envC	None	None	0.579483229299908
FKEOJE_02165					host	pepE	None	None	0.5533362911933235
FKEOJE_03783					host	FKEOJE_03783	None	None	0.3920925383256078
FKEOJE_02669					host	yckC	None	None	2.485376341693693
FKEOJE_01330					host	FKEOJE_01330	None	None	5.9574567779474785
FKEOJE_00547					host	FKEOJE_00547	None	None	0.1255109579203533
gene-N356_gp087					phage	g090	middle	late	292.3164802996052
FKEOJE_03105					host	FKEOJE_03105	None	None	0.5618133350935431
FKEOJE_00224					host	FKEOJE_00224	None	None	0.5169695435375328
FKEOJE_02392					host	rspA	None	None	0.4168634107535891
FKEOJE_00120					host	FKEOJE_00120	None	None	2.964906970161341
FKEOJE_03552					host	clpA	None	None	2.1263553221772185
FKEOJE_00749					host	FKEOJE_00749	None	None	1.8395734855911854
FKEOJE_01864					host	hemW	None	None	0.19907782156853737
FKEOJE_00073					host	zwf	None	None	0.16223571778568588
FKEOJE_03378					host	tssO	None	None	0.22188792440506128
gene-N356_gp024					phage	g027	early	early	225.30506249256456
FKEOJE_01867					host	FKEOJE_01867	None	None	0.16977237208458634
