Geneid	40	90	140	190	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-FLV31_RS18100	0.21302210904318636	0.11777209834692388	0.4244291227101847	1.0	host	gene-FLV31_RS18100	None	None	0.23043204757951563
gene-FLV31_RS18840	0.0059725824965379355	0.053933016999993186	0.34076934661098085	1.0	host	gene-FLV31_RS18840	None	None	1.3875738948505378
gene-FLV31_RS04205	0.030431729863312336	0.11777209834692387	0.1929223285046294	1.0	host	gene-FLV31_RS04205	None	None	0.3456463854783319
gene-FLV31_RS02150	0.735529168960436	0.13999324897841894	0.5350864583052929	1.0	host	gene-FLV31_RS02150	None	None	0.26481566887837754
gene-FLV31_RS10635	0.07467087585580584	0.21141789430107882	0.684859628685478	1.0	host	gene-FLV31_RS10635	None	None	14.730797456394013
gene-FLV31_RS00255	0.019365646276653305	0.12490980127704047	0.6629512743159083	1.0	host	gene-FLV31_RS00255	None	None	0.5524502793368591
gene-FLV31_RS05115	0.4596792879352969	0.24587508251375334	0.5259671903442001	1.0	host	gene-FLV31_RS05115	None	None	0.18127813028547865
gene-FLV31_RS13900	0.33231449010737074	0.16488093768569342	0.6806299749643324	1.0	host	gene-FLV31_RS13900	None	None	0.28136367657952455
gene-FLV31_RS07105	0.02923832869220205	0.15625971218578788	0.45015209984413523	1.0	host	gene-FLV31_RS07105	None	None	1.1393832913645774
gene-FLV31_RS01930	0.2985599443346589	0.21962904826858778	0.516197581674549	1.0	host	gene-FLV31_RS01930	None	None	3.8419600456384124
gene-FLV31_RS07080	0.12558071930493517	0.1548008803599305	0.5130554500406955	1.0	host	gene-FLV31_RS07080	None	None	2.517533116261906
gene-FLV31_RS18030	0.0642029540392911	0.14143573479993796	0.4521002078496431	1.0	host	gene-FLV31_RS18030	None	None	11.10653185956882
gene-FLV31_RS04240	0.07764357245499316	0.08475188385713213	0.31047873802333814	1.0	host	gene-FLV31_RS04240	None	None	2.3185928601649954
gene-FLV31_RS13975	0.4943720643832438	0.26443169251479137	0.5350864583052928	1.0	host	gene-FLV31_RS13975	None	None	0.22750027486093752
gene-FLV31_RS12800	0.5968140079804973	0.40198245138247574	0.448663993728948	1.0	host	gene-FLV31_RS12800	None	None	0.2022547543263102
gene-FLV31_RS02655	0.12322803617296431	0.2107222746207293	0.7303364561596778	1.0	host	gene-FLV31_RS02655	None	None	0.9985344346058365
gene-FLV31_RS07920	0.19752959202186368	0.16488093768569342	0.5156287689123731	1.0	host	gene-FLV31_RS07920	None	None	0.2672405973558078
gene-FLV31_RS09835	0.06300653929446356	0.0348340009195127	0.30813228242852075	1.0	host	gene-FLV31_RS09835	None	None	3.613196215743627
gene-FLV31_RS12755	0.2608027690154899	0.3244541816348796	0.5915082732531348	1.0	host	gene-FLV31_RS12755	None	None	3.93603389135247
gene-FLV31_RS03190	0.09882468976230295	0.16148133072310183	0.2756601518633158	1.0	host	gene-FLV31_RS03190	None	None	0.9113355772917751
gene-N356_gp018	0.8778927252599736	1.0	0.937651493130867	0.9118081521573255	phage	g021	early	early	38.972658753662905
gene-FLV31_RS06970	0.07100736968106214	0.09160052093649636	0.45015209984413523	1.0	host	gene-FLV31_RS06970	None	None	1.176653655730597
gene-FLV31_RS09400	0.1983309291091735	0.25584973089159324	0.25146427646465486	1.0	host	moaC	None	None	0.4536111487053612
gene-FLV31_RS15540	0.48048907474009034	0.28843935748986066	0.5770436098746409	1.0	host	rpmG	None	None	7.3034583469479735
