Geneid	40	90	140	190	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-FLV31_RS18100	3	1	5	10	host	gene-FLV31_RS18100	None	None	0.23043204757951563
gene-FLV31_RS18840	0	3	22	53	host	gene-FLV31_RS18840	None	None	1.3875738948505378
gene-FLV31_RS04205	0	1	2	10	host	gene-FLV31_RS04205	None	None	0.3456463854783319
gene-FLV31_RS02150	30	4	17	26	host	gene-FLV31_RS02150	None	None	0.26481566887837754
gene-FLV31_RS10635	38	84	278	329	host	gene-FLV31_RS10635	None	None	14.730797456394013
gene-FLV31_RS00255	0	2	13	16	host	gene-FLV31_RS00255	None	None	0.5524502793368591
gene-FLV31_RS05115	20	8	18	28	host	gene-FLV31_RS05115	None	None	0.18127813028547865
gene-FLV31_RS13900	6	2	10	12	host	gene-FLV31_RS13900	None	None	0.28136367657952455
gene-FLV31_RS07105	3	14	42	76	host	gene-FLV31_RS07105	None	None	1.1393832913645774
gene-FLV31_RS01930	60	34	82	129	host	gene-FLV31_RS01930	None	None	3.8419600456384124
gene-FLV31_RS07080	22	21	72	114	host	gene-FLV31_RS07080	None	None	2.517533116261906
gene-FLV31_RS18030	32	55	180	323	host	gene-FLV31_RS18030	None	None	11.10653185956882
gene-FLV31_RS04240	6	5	20	53	host	gene-FLV31_RS04240	None	None	2.3185928601649954
gene-FLV31_RS13975	20	8	17	26	host	gene-FLV31_RS13975	None	None	0.22750027486093752
gene-FLV31_RS12800	56	29	33	60	host	gene-FLV31_RS12800	None	None	0.2022547543263102
gene-FLV31_RS02655	21	28	100	111	host	gene-FLV31_RS02655	None	None	0.9985344346058365
gene-FLV31_RS07920	8	5	17	27	host	gene-FLV31_RS07920	None	None	0.2672405973558078
gene-FLV31_RS09835	3	1	13	35	host	gene-FLV31_RS09835	None	None	3.613196215743627
gene-FLV31_RS12755	196	189	351	481	host	gene-FLV31_RS12755	None	None	3.93603389135247
gene-FLV31_RS03190	7	9	16	48	host	gene-FLV31_RS03190	None	None	0.9113355772917751
gene-N356_gp018	66576	58787	56083	44190	phage	g021	early	early	38.972658753662905
gene-FLV31_RS06970	0	0	2	4	host	gene-FLV31_RS06970	None	None	1.176653655730597
gene-FLV31_RS09400	4	4	4	14	host	moaC	None	None	0.4536111487053612
gene-FLV31_RS15540	151	70	143	201	host	rpmG	None	None	7.3034583469479735
gene-FLV31_RS03250	3	1	3	8	host	gene-FLV31_RS03250	None	None	0.17891454919061123
gene-FLV31_RS05605	4	3	5	6	host	gene-FLV31_RS05605	None	None	0.07898640740948183
gene-FLV31_RS11595	18	11	52	99	host	gldE	None	None	1.3929809776209277
gene-FLV31_RS13415	8	6	22	38	host	gene-FLV31_RS13415	None	None	0.49446397307795387
gene-FLV31_RS20175	11	17	75	58	host	gene-FLV31_RS20175	None	None	5.8554008310377945
gene-FLV31_RS10930	3	5	24	83	host	gene-FLV31_RS10930	None	None	2.4120795325295914
gene-FLV31_RS13945	4	1	5	7	host	gene-FLV31_RS13945	None	None	0.12971846453057206
gene-FLV31_RS16725	23	5	11	24	host	gene-FLV31_RS16725	None	None	0.2031783048900786
gene-FLV31_RS08400	61	79	221	305	host	gene-FLV31_RS08400	None	None	2.0874442543941107
gene-FLV31_RS03480	14	12	48	52	host	gene-FLV31_RS03480	None	None	1.414611562429956
gene-FLV31_RS20005	0	6	35	43	host	gene-FLV31_RS20005	None	None	2.743641574519137
gene-N356_gp056	93899	83828	67897	43457	phage	g059	early	early	300.2743185309311
gene-FLV31_RS01680	1	2	4	7	host	gene-FLV31_RS01680	None	None	0.43609800711667024
gene-FLV31_RS02450	11	5	11	18	host	gene-FLV31_RS02450	None	None	0.15953125216672645
gene-FLV31_RS03385	3	3	17	24	host	gene-FLV31_RS03385	None	None	0.7781805321292485
gene-FLV31_RS19350	1	3	8	14	host	gene-FLV31_RS19350	None	None	0.6589476400847482
gene-FLV31_RS10435	2	5	15	27	host	gene-FLV31_RS10435	None	None	0.5081488935825836
gene-FLV31_RS13590	2	0	4	4	host	gene-FLV31_RS13590	None	None	0.0877372174769705
gene-FLV31_RS15770	2	1	17	21	host	gene-FLV31_RS15770	None	None	0.9754833080658742
gene-FLV31_RS01555	40	13	23	56	host	gene-FLV31_RS01555	None	None	0.520231017967144
gene-FLV31_RS05770	14	37	117	210	host	gene-FLV31_RS05770	None	None	5.464991812412725
gene-FLV31_RS12190	42	23	33	39	host	gene-FLV31_RS12190	None	None	0.1198456264129771
gene-FLV31_RS19695	0	4	19	35	host	gene-FLV31_RS19695	None	None	1.1400426129665977
gene-FLV31_RS12820	5	4	5	6	host	gene-FLV31_RS12820	None	None	0.022790511550882523
gene-FLV31_RS07935	12	1	18	30	host	gene-FLV31_RS07935	None	None	0.6248860614165981
gene-FLV31_RS11320	135	118	323	432	host	gene-FLV31_RS11320	None	None	7.443607348716725
gene-FLV31_RS14025	4	6	29	78	host	gene-FLV31_RS14025	None	None	4.248552699622856
gene-FLV31_RS08535	11	6	21	29	host	gene-FLV31_RS08535	None	None	0.418144781306581
gene-FLV31_RS02910	40	52	135	175	host	gene-FLV31_RS02910	None	None	2.5852838135749083
gene-FLV31_RS08225	2	3	6	4	host	gene-FLV31_RS08225	None	None	0.0464823819835993
gene-FLV31_RS17675	3	0	4	11	host	gene-FLV31_RS17675	None	None	0.7848439706102195
gene-FLV31_RS09555	4	3	3	6	host	gene-FLV31_RS09555	None	None	0.0820477279166506
gene-FLV31_RS18465	5	2	3	10	host	coaD	None	None	0.3026514071259805
gene-FLV31_RS13195	1	4	4	4	host	gene-FLV31_RS13195	None	None	0.03617348425572431
gene-FLV31_RS06020	0	2	18	19	host	gene-FLV31_RS06020	None	None	0.5397351094999006
gene-FLV31_RS06130	3	2	4	11	host	gene-FLV31_RS06130	None	None	0.301029400136385
gene-FLV31_RS09480	27	14	34	68	host	gene-FLV31_RS09480	None	None	0.43710809564848435
gene-FLV31_RS03710	5	9	33	61	host	gene-FLV31_RS03710	None	None	3.30949818811923
gene-FLV31_RS04105	1	0	9	20	host	gene-FLV31_RS04105	None	None	0.14402081254153523
gene-FLV31_RS06620	1	11	3	11	host	gene-FLV31_RS06620	None	None	0.10899604029345922
gene-FLV31_RS00175	28	10	15	53	host	accD	None	None	0.8906231665724734
gene-FLV31_RS02445	7	12	40	77	host	gene-FLV31_RS02445	None	None	0.6600433312585808
gene-FLV31_RS15220	3	3	3	14	host	galB	None	None	0.10882220492576257
gene-FLV31_RS04085	1	1	1	4	host	gene-FLV31_RS04085	None	None	0.08251618433576742
gene-FLV31_RS00535	0	1	4	7	host	gene-FLV31_RS00535	None	None	0.5528774424032548
gene-FLV31_RS13270	3	5	9	19	host	gene-FLV31_RS13270	None	None	0.16276740938574488
gene-FLV31_RS08340	7	9	16	26	host	gene-FLV31_RS08340	None	None	0.4436908145302117
gene-FLV31_RS11825	11	2	20	47	host	gene-FLV31_RS11825	None	None	1.791086427221966
gene-FLV31_RS04970	4	3	23	43	host	gene-FLV31_RS04970	None	None	0.8919376127765345
gene-FLV31_RS18175	18	9	12	23	host	hisS	None	None	0.11433619148110943
gene-FLV31_RS08395	67	77	119	197	host	gene-FLV31_RS08395	None	None	2.8142418474262176
gene-FLV31_RS02775	39	12	9	30	host	hemH	None	None	0.2814890569216932
gene-FLV31_RS07175	15	33	179	288	host	gene-FLV31_RS07175	None	None	5.194770686888677
gene-FLV31_RS00170	86	17	35	93	host	fbaA	None	None	1.01336071483572
gene-FLV31_RS19290	1	4	14	29	host	gene-FLV31_RS19290	None	None	1.1227101893993734
gene-FLV31_RS03500	26	30	63	81	host	gene-FLV31_RS03500	None	None	0.7054271237485193
gene-N356_gp014	93372	62667	58947	47392	phage	g015	early	early	101.55724128726324
gene-FLV31_RS20010	1	2	25	38	host	gene-FLV31_RS20010	None	None	3.690427779460264
gene-FLV31_RS08575	5	1	19	30	host	gene-FLV31_RS08575	None	None	0.4445681967341409
gene-FLV31_RS10175	88	33	31	93	host	gene-FLV31_RS10175	None	None	0.3448126431374368
gene-FLV31_RS18025	17	54	200	355	host	gene-FLV31_RS18025	None	None	13.352132843785403
gene-FLV31_RS11450	13	4	10	33	host	greA	None	None	1.2053744071712933
gene-FLV31_RS17795	26	9	29	35	host	gene-FLV31_RS17795	None	None	0.61496746164883
gene-FLV31_RS19765	0	0	0	0	host	gene-FLV31_RS19765	None	None	0.0010975570073018038
gene-FLV31_RS12640	12	5	18	39	host	corA	None	None	0.5887749499931911
gene-FLV31_RS02420	19	28	202	418	host	gene-FLV31_RS02420	None	None	3.0534453139773094
gene-FLV31_RS01020	9	7	19	24	host	gene-FLV31_RS01020	None	None	0.4399656525581509
gene-FLV31_RS15100	9	6	9	32	host	gene-FLV31_RS15100	None	None	0.35449819906711155
gene-FLV31_RS03090	9	5	20	24	host	gene-FLV31_RS03090	None	None	0.33793197989909624
gene-FLV31_RS12035	5	5	14	27	host	gene-FLV31_RS12035	None	None	0.44418887024851056
gene-FLV31_RS01350	22	14	25	26	host	gene-FLV31_RS01350	None	None	0.20139483002110167
gene-FLV31_RS17335	5	3	6	17	host	gene-FLV31_RS17335	None	None	1.8259537254168416
gene-FLV31_RS19200	6	3	12	18	host	gene-FLV31_RS19200	None	None	0.376578188590682
gene-FLV31_RS10385	0	0	0	3	host	gene-FLV31_RS10385	None	None	0.1595828743787636
gene-FLV31_RS12165	7	3	6	6	host	gene-FLV31_RS12165	None	None	0.07387440242132695
gene-FLV31_RS16355	0	0	1	4	host	gene-FLV31_RS16355	None	None	0.6378013438675063
gene-FLV31_RS19180	3	1	14	21	host	gene-FLV31_RS19180	None	None	0.24733205266935768
gene-FLV31_RS06850	3	6	12	24	host	gene-FLV31_RS06850	None	None	0.2524201692542043
gene-FLV31_RS07575	3	4	16	30	host	gene-FLV31_RS07575	None	None	0.4969904701719477
gene-FLV31_RS05695	5	0	3	5	host	gene-FLV31_RS05695	None	None	0.19456745001292533
gene-FLV31_RS17815	58	16	34	108	host	purL	None	None	0.4477582308865554
gene-FLV31_RS01330	4	3	3	19	host	gene-FLV31_RS01330	None	None	0.3285770244879876
gene-FLV31_RS07115	7	6	35	41	host	crcB	None	None	1.8889133080032148
gene-FLV31_RS08425	9	8	30	54	host	gene-FLV31_RS08425	None	None	0.309395649635674
gene-FLV31_RS10550	7	9	11	29	host	gene-FLV31_RS10550	None	None	1.046124905843096
gene-FLV31_RS20225	0	0	1	3	host	gene-FLV31_RS20225	None	None	0.6603536241435407
gene-FLV31_RS04235	7	4	27	39	host	gene-FLV31_RS04235	None	None	1.5371731357597205
gene-FLV31_RS10510	0	1	4	3	host	gene-FLV31_RS10510	None	None	0.297056971747119
gene-FLV31_RS06675	13	4	14	21	host	gene-FLV31_RS06675	None	None	0.06923754863236652
gene-FLV31_RS01565	3	1	2	2	host	gene-FLV31_RS01565	None	None	0.010964507512239314
gene-FLV31_RS05155	26	17	72	87	host	gene-FLV31_RS05155	None	None	0.39824830008769474
gene-FLV31_RS17330	3	7	12	29	host	gene-FLV31_RS17330	None	None	0.2503456596599494
gene-FLV31_RS03665	31	28	82	154	host	gene-FLV31_RS03665	None	None	3.5923122206793874
gene-FLV31_RS05460	2	0	7	11	host	gene-FLV31_RS05460	None	None	0.3674022529359578
gene-FLV31_RS01465	11	10	20	33	host	gene-FLV31_RS01465	None	None	0.21259869190470979
gene-FLV31_RS07295	165	32	72	227	host	gene-FLV31_RS07295	None	None	2.597861145088505
gene-FLV31_RS04575	7	6	8	21	host	gene-FLV31_RS04575	None	None	0.7146835570832524
gene-FLV31_RS07810	3	3	21	31	host	gene-FLV31_RS07810	None	None	3.7946263087432044
gene-FLV31_RS03310	96	27	73	248	host	atpA	None	None	2.8789620856610147
gene-FLV31_RS11805	9	28	130	274	host	gene-FLV31_RS11805	None	None	9.447621882814072
gene-FLV31_RS17135	0	0	6	10	host	gene-FLV31_RS17135	None	None	0.5320635922657715
gene-FLV31_RS18755	1	2	3	5	host	gene-FLV31_RS18755	None	None	0.20548201484573034
gene-FLV31_RS10625	141	135	288	327	host	gene-FLV31_RS10625	None	None	9.93238465510159
gene-FLV31_RS20180	17	10	30	70	host	gene-FLV31_RS20180	None	None	0.47674308517577385
gene-FLV31_RS07545	1	2	11	16	host	gene-FLV31_RS07545	None	None	0.30412483275776364
gene-FLV31_RS05700	3	5	5	15	host	gene-FLV31_RS05700	None	None	0.10809710520708081
gene-FLV31_RS06310	26	19	31	44	host	kdsA	None	None	0.3543087312069727
