Geneid	-1_R1	-1_R2	-1_R3	0_R1	0_R2	0_R3	2_R1	2_R2	2_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	20_R1	20_R2	20_R3	30_R1	30_R2	30_R3	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-SAURSH1000_RS00755	16.05375469332823	42.27247491888959	23.38631336716488	41.025828330187906	37.04280857714819	46.50071757870409	37.4561168788714	46.27223245571724	39.143156893865445	48.802848405805086	30.998128224465468	20.707109905687396	35.19347235204962	30.38376497706927	13.98123785425794	9.480428967044784	29.646207150628022	6.021862721942944	11.490405659614096	14.352241316156618	5.278246467146196	host	gene-SAURSH1000_RS00755	None	None	6.936595257287075
gene-SAURSH1000_RS10935	20.043430235359637	44.19558815464918	35.88050681416755	30.677997049404652	50.77575224477387	50.47054958224024	37.268392108236775	63.017787762664774	38.61349654367586	34.30597591644476	57.30532990483034	24.35018895757995	29.05833433218885	61.448041712529815	17.030436048975012	13.826868473033207	38.77431145035594	4.316458125845344	9.319601995093933	34.15871747686357	5.335614320061217	host	gene-SAURSH1000_RS10935	None	None	8.818810149158256
gene-SAURSH1000_RS03700	27.822203291640772	55.642664143428014	51.327819938747766	50.00791399461015	70.22803695891757	96.10176217897103	58.743000263861084	80.05899194374088	62.91835787947668	66.92040686983032	66.30054711408795	33.234787552277155	43.987679437541594	51.10626419466527	20.284192636924764	15.450003130246463	33.47697248416148	8.909391517286723	15.287897681588829	26.70892794118299	7.685318587339949	host	gene-SAURSH1000_RS03700	None	None	12.842345153898634
gene-SAURSH1000_RS06540	7814.493471029849	9763.43886918893	8064.554071323484	13130.983032720394	7190.705411181533	8744.669052896168	13385.606191243227	6595.256676752413	9164.885307502607	11567.844485266194	6553.698180921985	8967.601158592712	8889.366193569702	6341.0313782484645	6029.488211949984	4867.702478757727	3820.27144578507	2839.2192119257193	4379.0181169255475	3118.8181444133456	1932.7411446604729	host	cspA	None	None	1327.8972863005351
gene-SAURSH1000_RS01440	23.204031067902513	31.86251531846304	49.300110691685276	26.568371122692398	29.22528282356854	83.11503756019117	25.72200098998921	38.350831799360186	35.13046383489829	24.102829424893226	22.5585023714667	23.32595815187416	14.819838986066978	12.740928805672059	10.156523198005003	6.702704060703442	18.140121885301657	6.92933425416039	3.6059906079423283	12.11105048000003	3.768782589500783	host	gene-SAURSH1000_RS01440	None	None	13.082803969588635
gene-SAURSH1000_RS07080	90.44166377942778	176.06087304560637	165.15178274504294	191.83974154894378	224.92917408543485	247.31375443420444	192.59538492741032	159.65361943008847	209.11326002588802	149.26298411184018	117.1254269981467	112.20629527406916	104.34962990310676	103.59476186932861	55.41973567234649	46.40000940086964	79.99976984972429	25.918229868470462	32.075104336909234	63.52348916213467	18.51583159811487	host	zwf	None	None	37.34879625673477
gene-SAURSH1000_RS07610	73.59596079327733	112.61517336402335	99.2582890754055	104.57763101485305	240.40791547466483	162.4646956506559	111.31088254172217	319.7789939396933	103.1851055881378	85.88279240593896	249.48360806007065	59.56453204571847	50.28111077934431	104.80002406017424	38.52406574717178	27.971636872864675	63.375647632378474	14.91035470008697	29.207671444283704	58.83318294928919	14.47494383343402	host	gene-SAURSH1000_RS07610	None	None	61.732415843263
gene-SAURSH1000_RS03955	17.595069275345942	50.014493742314706	24.862077788277432	36.28814986950659	50.4338279872333	57.43521519465529	36.68971093336277	50.604756616719136	38.845409435830064	48.100005128274624	41.29006378118497	28.965534870248426	61.968588758495386	35.801390295324666	25.8809475431257	15.272730367057404	35.49341733113391	8.390793842310583	14.285550671060417	16.891021622882523	6.530480024231385	host	gene-SAURSH1000_RS03955	None	None	7.562559409256119
gene-CPT_phageK_gp182	0.054336261097362545	0.08901936069341548	0.08721372337323599	40.37792991526371	0.10295164688721385	0.6871569469075838	11.28344072279296	2.2194694107033266	6.968617807269909	121.04028656308967	26.947340704826168	340.0828033399981	955.4291016772268	421.13781341408554	1631.9618742970924	3710.6284890178213	4465.581610530957	6808.435074104043	5790.20755403125	5700.045317254441	4107.704181063902	phage	gene-CPT_phageK_gp182	middle	late	3261.063464931053
gene-CPT_phageK_gp187	0.16728242180536332	0.27405960483141395	0.2685006764524344	6.225520261027207	0.31695226120333253	0.4231033785453437	0.18982395518175668	0.3253796781876466	0.30216826700299965	2.4578038908996485	0.7214041380676474	4.692246021852178	31.09521536362738	12.359178129846677	69.47725828093922	326.0225379638787	402.35581648964865	558.9777156298813	768.4487535770313	480.0376991158795	475.59418534698193	phage	gene-CPT_phageK_gp187	middle	late	370.63562661693527
