Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,tissue,treatment
SRR23266582,RNA-Seq,74,610744758,PRJNA929253,SAMN32954162,302267519,bacteria,"JÖRG VOGEL LAB, INSTITUTE FOR MOLECULAR INFECTION BIOLOGY, WÜRZBURG UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19210772,wt,uncalculated,uncalculated,missing,NextSeq 500,GSM7009110,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2024-01-16T00:00:00Z,2023-01-29T13:16:00Z,1,GSM7009110,bacterial cells,SRP419936,PAO1,bacterial cells,"M9 minimal media\, non-infected cells"
SRR23266583,RNA-Seq,77,548473243,PRJNA929253,SAMN32954163,275987247,bacteria,"JÖRG VOGEL LAB, INSTITUTE FOR MOLECULAR INFECTION BIOLOGY, WÜRZBURG UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19210771,wt,uncalculated,uncalculated,missing,NextSeq 500,GSM7009109,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2024-01-16T00:00:00Z,2023-02-01T02:26:00Z,1,GSM7009109,bacterial cells,SRP419936,PAO1,bacterial cells,"M9 minimal media\, 8 min post infection with PHIKZ"
SRR23266584,RNA-Seq,80,574200253,PRJNA929253,SAMN32954164,283251351,bacteria,"JÖRG VOGEL LAB, INSTITUTE FOR MOLECULAR INFECTION BIOLOGY, WÜRZBURG UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19210770,wt,uncalculated,uncalculated,missing,NextSeq 500,GSM7009108,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2024-01-16T00:00:00Z,2023-01-29T13:16:00Z,1,GSM7009108,bacterial cells,SRP419936,PAO1,bacterial cells,"M9 minimal media\, 6 min post infection with PHIKZ"
SRR23266585,RNA-Seq,76,654115904,PRJNA929253,SAMN32954165,325321131,bacteria,"JÖRG VOGEL LAB, INSTITUTE FOR MOLECULAR INFECTION BIOLOGY, WÜRZBURG UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19210769,wt,uncalculated,uncalculated,missing,NextSeq 500,GSM7009107,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2024-01-16T00:00:00Z,2023-02-01T02:38:00Z,1,GSM7009107,bacterial cells,SRP419936,PAO1,bacterial cells,"M9 minimal media\, 4 min post infection with PHIKZ"
SRR23266586,RNA-Seq,74,639968865,PRJNA929253,SAMN32954167,322388931,bacteria,"JÖRG VOGEL LAB, INSTITUTE FOR MOLECULAR INFECTION BIOLOGY, WÜRZBURG UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19210767,wt,uncalculated,uncalculated,missing,NextSeq 500,GSM7009105,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2024-01-16T00:00:00Z,2023-02-01T02:41:00Z,1,GSM7009105,bacterial cells,SRP419936,PAO1,bacterial cells,"M9 minimal media\, 10 min post infection with PHIKZ"
SRR23266587,RNA-Seq,73,565453451,PRJNA929253,SAMN32954168,281658337,bacteria,"JÖRG VOGEL LAB, INSTITUTE FOR MOLECULAR INFECTION BIOLOGY, WÜRZBURG UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19210766,wt,uncalculated,uncalculated,missing,NextSeq 500,GSM7009104,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2024-01-16T00:00:00Z,2023-01-29T13:17:00Z,1,GSM7009104,bacterial cells,SRP419936,PAO1,bacterial cells,"M9 minimal media\, non-infected cells"
SRR23266588,RNA-Seq,81,626878919,PRJNA929253,SAMN32954169,308749208,bacteria,"JÖRG VOGEL LAB, INSTITUTE FOR MOLECULAR INFECTION BIOLOGY, WÜRZBURG UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19210765,wt,uncalculated,uncalculated,missing,NextSeq 500,GSM7009103,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2024-01-16T00:00:00Z,2023-01-29T13:17:00Z,1,GSM7009103,bacterial cells,SRP419936,PAO1,bacterial cells,"M9 minimal media\, 8 min post infection with PHIKZ"
SRR23266589,RNA-Seq,73,630024080,PRJNA929253,SAMN32954166,318346003,bacteria,"JÖRG VOGEL LAB, INSTITUTE FOR MOLECULAR INFECTION BIOLOGY, WÜRZBURG UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19210768,wt,uncalculated,uncalculated,missing,NextSeq 500,GSM7009106,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2024-01-16T00:00:00Z,2023-02-01T02:38:00Z,1,GSM7009106,bacterial cells,SRP419936,PAO1,bacterial cells,"M9 minimal media\, 2 min post infection with PHIKZ"
SRR23266590,RNA-Seq,76,570374652,PRJNA929253,SAMN32954170,282714002,bacteria,"JÖRG VOGEL LAB, INSTITUTE FOR MOLECULAR INFECTION BIOLOGY, WÜRZBURG UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19210764,wt,uncalculated,uncalculated,missing,NextSeq 500,GSM7009102,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2024-01-16T00:00:00Z,2023-01-29T13:17:00Z,1,GSM7009102,bacterial cells,SRP419936,PAO1,bacterial cells,"M9 minimal media\, 6 min post infection with PHIKZ"
SRR23266591,RNA-Seq,76,618930452,PRJNA929253,SAMN32954171,302921057,bacteria,"JÖRG VOGEL LAB, INSTITUTE FOR MOLECULAR INFECTION BIOLOGY, WÜRZBURG UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19210763,wt,uncalculated,uncalculated,missing,NextSeq 500,GSM7009101,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2024-01-16T00:00:00Z,2023-01-29T13:17:00Z,1,GSM7009101,bacterial cells,SRP419936,PAO1,bacterial cells,"M9 minimal media\, 4 min post infection with PHIKZ"
