Geneid	10	15	20	25	35	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-PA1729	1.0	0.8584435360818862	0.6895116710146201	0.8433669803365942	0.9923358343661052	host	gene-PA1729	None	None	0.8218777726751784
gene-PA3070	1.0	0.8847879625441433	0.6064028304041126	0.8819259627614311	0.9081010576499968	host	gene-PA3070	None	None	0.6611807048317523
gene-PA2558	0.48377743182821714	0.49500355286949405	0.5093554848336659	0.6714280049657744	1.0	host	gene-PA2558	None	None	3.6427233978375035
gene-PA4980	1.0	0.600253981098988	0.37799709595270087	0.41577764902549114	0.2786401062446696	host	gene-PA4980	None	None	0.4221004444997364
gene-PA4627	1.0	0.710376929150819	0.6979139689922726	0.7806124100586197	0.9226382351269724	host	gene-PA4627	None	None	0.4305339780293532
gene-PA5211	0.9342986433093209	1.0	0.7509777621899699	0.8276061296186965	0.9266968643411047	host	gene-PA5211	None	None	0.31745478006773487
gene-PA2913	1.0	0.7593682678599786	0.3580968371669906	0.7585247250401185	0.5496159488454689	host	gene-PA2913	None	None	0.25123338815721186
gene-PA0982	1.0	0.66469736768698	0.5732385609481179	0.7479887244173703	0.881940898443734	host	gene-PA0982	None	None	1.0750198320557889
gene-PA4815	0.7600341508442305	0.8170321702662833	0.583370910454544	0.8443475502336357	1.0	host	gene-PA4815	None	None	1.379230833424033
gene-PA1835	1.0	0.8475342782096597	0.7747911827975449	0.7654643668252551	0.9653259951155921	host	gene-PA1835	None	None	0.1863771333299627
gene-PA1214	1.0	0.8284847468525923	0.6335610858444285	0.8571252628782486	0.40082978610356085	host	gene-PA1214	None	None	0.10342286780607274
gene-PHIKZ127	1.0	0.9656726239915175	0.8839097790293611	0.8096253938542665	0.7337830860623101	phage	gene-PHIKZ127	early	early	0.7632567631105248
gene-PA5058	1.0	0.8652500082498206	0.6599452282197208	0.9311389181431657	0.7888154593170835	host	phaC2	None	None	0.29898792328863666
gene-PA2909	1.0	0.746407004415635	0.25311076314082437	0.3510664077442403	0.3952798574647596	host	gene-PA2909	None	None	0.3459949007213805
gene-PA4681	1.0	0.6506063722745556	0.5120740480876238	0.7518657055824046	0.8625316698835412	host	gene-PA4681	None	None	0.18369303548190158
gene-PA5558	1.0	0.8514403735282022	0.6336925064505129	0.6819853411555841	0.9028943094896192	host	atpF	None	None	18.74687763646375
gene-PHIKZ267	1.0	0.8828812342134652	0.6784267634813046	0.6340055959548226	0.4288932988307995	phage	gene-PHIKZ267	early	early	17.79791797009068
gene-PA3139.1	1.0	0.7639836363455451	0.5119788952319926	0.44239873292310244	0.5274898907594812	host	gene-PA3139.1	None	None	103.1206146449449
gene-PA3103	1.0	0.6741650940598497	0.3846274618023416	0.5098066579396509	0.3910481660429563	host	xcpR	None	None	0.8152000216153067
gene-PA0429	1.0	0.8759161989724704	0.733601407714404	0.8636528879235095	0.8984805252778336	host	gene-PA0429	None	None	1.5991860911128886
gene-PA3019	0.8546821782476967	0.7194810024863648	0.6200038320556605	0.7662650475544934	1.0	host	gene-PA3019	None	None	1.1046315627880974
gene-PA1154	1.0	0.9796306643797278	0.7042172794619694	0.9188532424675789	0.9269719782393798	host	gene-PA1154	None	None	0.16564022500476763
gene-PA4431	0.5580238397761627	0.6040658592647866	0.3889847870009606	1.0	0.3428263974208766	host	gene-PA4431	None	None	22.946038855122797
gene-PA0805	0.6219253464060699	0.8066095468918606	0.6088244718292529	0.7682709154272082	1.0	host	gene-PA0805	None	None	16.419915834191976
gene-PA1647	1.0	0.45292388909227693	0.27499669755721473	0.36633499243783657	0.32256233447020555	host	gene-PA1647	None	None	1.3050107912744822
gene-PA5163	1.0	0.7449518909688774	0.45489881489268624	0.4966663553313844	0.5159533235808506	host	rmlA	None	None	3.8688595231157605
gene-PA2173	1.0	0.7395325745899868	0.3051120861623504	0.980872212575327	0.4960432651449089	host	gene-PA2173	None	None	0.1301989281009594
gene-PA3339	0.9472768059739953	0.8558382116089827	0.734035494680316	0.9572061200332951	1.0	host	plpD	None	None	0.1901542645547499
gene-PA4394	0.9470981120943763	1.0	0.5291736967589061	0.659678503533047	0.6698538507650829	host	gene-PA4394	None	None	2.300607988380857
gene-PA4546	0.7729085664416998	0.5144767829085856	0.36411396290039	1.0	0.39433231870610785	host	pilS	None	None	3.2125897988459027
gene-PA0526	1.0	0.4629407981527336	0.24790233467317432	0.24511119549994043	0.22042868512569638	host	gene-PA0526	None	None	5.802791210942094
gene-PA5116	0.9768266835384021	1.0	0.6736285610923525	0.769837493414301	0.8700488079568128	host	gene-PA5116	None	None	0.4012243458884088
gene-PA0780	0.9864442670274494	0.8154407664791157	0.623112716487339	0.6981123109492442	1.0	host	pruR	None	None	0.5934814122291439
gene-PA4911	0.6890801674305335	0.8843175537509498	0.7377162768937926	0.8526979663433234	1.0	host	gene-PA4911	None	None	0.07702178747722135
gene-PA2156	0.7780598515964114	0.7554788429090592	0.6719724598965037	0.9199829068071003	1.0	host	gene-PA2156	None	None	0.07512825142000423
gene-PA2028	1.0	0.4548102739176223	0.7255467325956093	0.31154554284109093	0.5275187132221882	host	gene-PA2028	None	None	0.5101783137252313
gene-PA4209	1.0	0.7250581530837655	0.5401841795279232	0.8298410220712326	0.7281457539073986	host	phzM	None	None	0.2935215837999327
gene-PA4073	1.0	0.8455780998005629	0.5870899967776056	0.7907032755644592	0.8911141824193797	host	gene-PA4073	None	None	0.13630992004361817
gene-PA1820	1.0	0.6525405761214257	0.5029611843002595	0.4722191315459424	0.6381183886827525	host	nhaB	None	None	0.8328643498302944
gene-PA1843	1.0	0.7478082213024094	0.5238925170395627	0.72231362201188	0.6948136929990542	host	metH	None	None	0.6697099227069058
gene-PA2476	1.0	0.5662154794721967	0.41770708693901454	0.40924647471458464	0.5484255113902675	host	dsbG	None	None	0.6989456824407941
gene-PA0187	0.708516182100889	0.6697751711249784	0.5476390519825055	0.4778811623981846	1.0	host	gene-PA0187	None	None	0.2868520152252951
gene-PA4215	1.0	0.6181855201586035	0.33217917461929064	0.4695822677855867	0.3519891661293412	host	phzF1	None	None	0.31680630821170097
gene-PA0903	0.9577142115900251	0.9841804797093965	0.6798529781632788	0.9457082082531649	1.0	host	alaS	None	None	0.8323182650587606
gene-PA2565	0.9116115320756002	0.8447659814954661	0.7168841377413985	0.7620096051115643	1.0	host	gene-PA2565	None	None	0.2733572509029251
gene-PA3436	0.8920700376070938	1.0	0.4986740544756048	0.6925025045179053	0.6132056731355386	host	gene-PA3436	None	None	0.22716896572890524
gene-PHIKZ006	1.0	0.9349809363430297	0.47544157238421353	0.5409743067659937	0.3677313062520572	phage	gene-PHIKZ006	early	early	34.882840511717575
gene-PA2377	0.8490374608762091	0.7977750796177897	0.6657829194445098	0.859885701485053	1.0	host	gene-PA2377	None	None	0.11842796091705414
gene-PA2787	0.5988836609392576	0.6459823928076575	0.4755004681002742	0.6960163035935285	1.0	host	cpg2	None	None	0.31209961817257803
gene-PA1298	1.0	0.6933791367766582	0.7348752940868587	0.9264090854829692	0.9013022063903683	host	gene-PA1298	None	None	0.5101637712501338
gene-PA2004	1.0	0.8826589483263451	0.7270878140746498	0.5844974716397998	0.7544934814040153	host	gene-PA2004	None	None	0.2162964400775309
gene-PA2437	0.8137847500989798	0.5948474171373965	0.4746000600780618	1.0	0.8209818412746683	host	gene-PA2437	None	None	0.042598273651236924
gene-PA0907	0.7405008483835303	0.7012252924734622	0.5713505367185128	0.7308368706644938	1.0	host	gene-PA0907	None	None	0.5515824136384184
gene-PA0576	0.592515137347011	0.5856474285382149	0.5508794254851928	0.7742661157045794	1.0	host	rpoD	None	None	14.899103197752435
