Geneid	10_R1	10_R2	15_R1	15_R2	20_R1	20_R2	25_R1	25_R2	35_R1	35_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-PA1729	15.054929984572652	24.58760303962635	15.610411349734461	18.420464878801884	9.941487510713001	17.392501678054714	15.356302588439249	18.07690078107318	21.99969304498771	17.339013039966687	host	gene-PA1729	None	None	0.8218777726751784
gene-PA3070	11.649319348481903	18.26601971169378	13.947117471500853	12.521614424369215	7.692600558748305	10.448145719840936	10.891528864146487	15.491585337833596	15.627065566220226	11.539085474283572	host	gene-PA3070	None	None	0.6611807048317523
gene-PA2558	24.76462164226125	26.72938030788649	25.067364059021745	27.62156320338689	20.769777840563446	33.446790779067236	32.09300894058882	39.374803988246484	56.46629288836596	49.97522042396351	host	gene-PA2558	None	None	3.6427233978375035
gene-PA4980	2.765191221656201	3.6527037775054674	1.8245935343845474	2.02777348913753	0.9760733192336403	1.449872352578832	1.3316944431532989	1.3367228512905958	0.9912905166516199	0.7969924277819213	host	gene-PA4980	None	None	0.4221004444997364
gene-PA4627	14.229524556847046	12.318113586101536	8.648370503787826	10.210459156407138	8.438365306390526	10.089602197325366	9.13459972130849	11.588816070822741	14.93187156613972	9.561994436859855	host	gene-PA4627	None	None	0.4305339780293532
gene-PA5211	7.8231105290829746	9.436301861113265	10.520271583347284	7.952849954176043	7.394886603995261	6.478016868917343	4.960207116795588	10.328261500849875	8.6655859733784	8.45339783003659	host	gene-PA5211	None	None	0.31745478006773487
gene-PA2913	1.8434608144374673	2.976277152041492	1.7397621565053603	1.920193914638742	0.7195743341087507	1.0063585876610275	1.9342808175914263	1.7216095981974457	1.9130167865206702	0.7359880691121939	host	gene-PA2913	None	None	0.25123338815721186
gene-PA0982	22.701766619761074	28.54953987488002	18.649420624905748	15.417187892600802	13.343478506182285	16.035746675516698	17.123141663924102	21.212257705726174	26.26791574409366	18.932707552205287	host	gene-PA0982	None	None	1.0750198320557889
gene-PA4815	17.077820984948698	24.275760269367677	19.47268333717636	24.98216938617437	11.043572411900614	20.69773331770315	18.240739885696318	27.70034708609931	31.31225876177033	23.09790321369045	host	gene-PA4815	None	None	1.379230833424033
gene-PA1835	4.636430212749575	5.619084690646316	3.439659277295031	5.252241144023013	2.605409016506233	5.340473505693719	3.873731781036755	3.9764994409581482	5.000049354358135	4.89986577518529	host	gene-PA1835	None	None	0.1863771333299627
gene-PA1214	0.37353427384474014	1.0531275543444958	0.5576259669972493	0.6243415965743665	0.3453274675391062	0.5585499494612637	0.774314217374722	0.4485136771503397	0.38762816687473245	0.1842203885604741	host	gene-PA1214	None	None	0.10342286780607274
gene-PHIKZ127	38.906525559962716	38.529027443538205	34.05694481289481	40.72044884623016	28.547149762721332	39.898892781619544	27.682053561486953	35.01173653729541	29.393404315777392	27.4274947380731	phage	gene-PHIKZ127	early	early	0.7632567631105248
gene-PA5058	6.459013505986249	9.620817675607025	6.9238643257245895	6.989209736804713	3.9152296726682714	6.696578186202885	6.348538214930305	8.624018395423198	6.408094733029668	6.275924686219992	host	phaC2	None	None	0.29898792328863666
gene-PA2909	2.0209792632351498	2.3099464463605606	1.9822744571091377	1.2503588281368552	0.45446800048973723	0.6417359109722494	0.8177447358923102	0.7026977951826309	1.0769575983375625	0.6349700988418928	host	gene-PA2909	None	None	0.3459949007213805
gene-PA4681	3.39630545342244	4.275491375039762	2.14018655872991	2.851133344663325	1.5518745546134853	2.3766535034429483	2.9222348650269323	2.845926070489655	3.605473990595428	3.0116937388653304	host	gene-PA4681	None	None	0.18369303548190158
gene-PA5558	282.62015553620427	314.165166195928	260.13624907357627	247.99086817817877	127.7865597555379	250.39182658577278	180.9924320224324	226.00640921570076	170.10983919272468	368.72423178614906	host	atpF	None	None	18.74687763646375
gene-PHIKZ267	290.03296758155574	292.55744432950246	214.8185024742176	299.53963943474866	186.24638622050213	208.9985413675572	184.1831443184835	185.1824369827526	127.23645113991341	122.63267249181467	phage	gene-PHIKZ267	early	early	17.79791797009068
