Geneid	10_R1	10_R2	15_R1	15_R2	20_R1	20_R2	25_R1	25_R2	35_R1	35_R2	Entity	Symbol
gene-PA1729	122	184	164	137	87	132	108	171	172	133	host	gene-PA1729
gene-PA3070	143	207	222	141	102	120	116	222	185	134	host	gene-PA3070
gene-PA2558	215	214	282	220	195	272	242	399	473	411	host	gene-PA2558
gene-PA4980	27	33	23	18	10	13	11	15	9	7	host	gene-PA4980
gene-PA4627	178	142	140	117	114	118	99	169	180	113	host	gene-PA4627
gene-PA5211	44	49	77	41	45	34	24	68	47	45	host	gene-PA5211
gene-PA2913	22	33	27	21	9	11	20	24	22	8	host	gene-PA2913
gene-PA0982	156	181	166	97	99	103	102	170	174	123	host	gene-PA0982
gene-PA4815	96	126	142	129	67	109	89	182	170	123	host	gene-PA4815
gene-PA1835	25	28	24	26	15	27	18	25	26	25	host	gene-PA1835
gene-PA1214	7	19	14	11	7	10	13	10	7	3	host	gene-PA1214
gene-PHIKZ127	426	389	483	409	338	409	263	447	310	284	phage	gene-PHIKZ127
gene-PA5058	136	187	189	135	89	132	116	212	130	125	host	phaC2
gene-PA2909	18	19	23	10	4	5	6	7	9	5	host	gene-PA2909
gene-PA4681	43	50	35	33	21	28	32	42	44	36	host	gene-PA4681
gene-PA5558	1671	1713	1992	1345	817	1386	929	1558	969	2063	host	atpF
gene-PHIKZ267	1103	1026	1058	1045	766	744	608	821	466	441	phage	gene-PHIKZ267
gene-PA3139.1	1038	1322	1217	870	645	626	555	529	767	480	host	gene-PA3139.1
gene-PA3103	132	166	138	95	61	59	61	103	64	52	host	xcpR
gene-PA0429	908	1145	1158	907	705	866	795	1097	1028	818	host	gene-PA0429
gene-PA3019	640	703	693	592	482	535	475	828	903	666	host	gene-PA3019
gene-PA1154	49	34	54	39	27	33	29	53	42	34	host	gene-PA1154
gene-PA4431	898	945	1325	971	598	737	1638	1819	645	484	host	gene-PA4431
gene-PA0805	800	794	1366	1009	860	778	851	1250	1510	1045	host	gene-PA0805
gene-PA1647	156	190	96	82	48	51	61	72	65	46	host	gene-PA1647
