Geneid	10	15	20	25	35	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-PA0393	17.46553253282201	11.742874202826592	8.812866079404827	8.645957489844498	11.479858133014165	host	proC	None	None	1.3014411692659633
gene-PA0302	11.697861276470807	9.050423516076208	6.015593219202178	5.804390352494562	9.786065165284938	host	spuF	None	None	0.9227822434052407
gene-PA2641	40.194197735373095	26.86621234901779	18.87119989206176	16.842465296610126	17.857038279440285	host	nuoF	None	None	3.767494534239581
gene-PA0517	2.494474716472598	2.701476090596942	2.804433659133182	1.6010242704935886	4.324439451971051	host	nirC	None	None	0.7050085528705383
gene-PA3265	38.47885357545219	25.238769244312195	23.079362962345094	23.816197053856285	36.80787647488617	host	gene-PA3265	None	None	1.871936229508047
gene-PA5177	29.126960616106317	27.971336189386633	24.962453068822768	29.191750709597503	42.682336373990424	host	gene-PA5177	None	None	1.6075506481518074
gene-PA2271	4.443906075291629	4.02619759918597	1.8494187795725263	2.449544586128976	4.303839302698059	host	gene-PA2271	None	None	0.5194867711300291
gene-PA4588	11.170637514468112	9.331124781586674	5.9680525403443365	6.026671569018275	48.58315115001637	host	gdhA	None	None	38.123746692870334
gene-PA2353	6.55421008728717	4.9516411415855295	3.9481414202545215	4.200248674093097	5.3500787823775875	host	gene-PA2353	None	None	0.259952029386617
gene-PA0966	56.01005356199795	44.394479663279384	37.43007633222363	36.60261208492068	44.0641744312839	host	ruvA	None	None	1.9566138772698427
gene-PA1864	1.4934341829376192	1.3438507249693494	2.0435773944965474	1.814920720167139	1.3467338880965238	host	gene-PA1864	None	None	0.14106635261805975
gene-PA0372	19.76950832798333	17.0074495048566	17.91819103914988	19.66646692104848	26.163722125242636	host	gene-PA0372	None	None	0.5433319919802216
gene-PA0416	13.370248030596862	5.529707205238539	3.1760132036792017	3.206194644968706	3.5594485205297026	host	chpD	None	None	3.0026658196496983
gene-PA2113	17.84835443621822	12.221648378653608	6.273275092835194	4.8003694881794114	6.029100451736023	host	opdO	None	None	2.79626428971073
gene-PA0930	5.430181275709527	4.569929087201475	3.755340640655782	3.39789277846745	6.317381036813082	host	gene-PA0930	None	None	0.8207937343379345
gene-PA0001	133.4714123380134	83.30374179525178	69.01955390568858	56.788120801129665	58.306192664654844	host	dnaA	None	None	10.567323551123906
gene-PA3400	6.637616158111257	6.083553215368678	3.2030289816736564	3.693629869031647	3.5773652365735713	host	gene-PA3400	None	None	0.753988370719436
gene-PA2645	50.443409724541624	30.922390293156667	19.488177268448865	15.120221029992141	15.275402346045459	host	nuoJ	None	None	7.778785130062583
gene-PA2312a	5.374194266631797	3.670860326128217	5.916902248768359	2.7794761478567076	6.48360097073572	host	gene-PA2312a	None	None	0.4469262987029136
