Geneid	10_R1	10_R2	15_R1	15_R2	20_R1	20_R2	25_R1	25_R2	35_R1	35_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-PA0393	15.30505818968599	19.626006875958026	12.927030297421911	10.558718108231274	6.442534962200522	11.183197196609134	7.403455380213031	9.888459599475967	8.086720354548383	14.872995911479947	host	proC	None	None	1.3014411692659633
gene-PA0302	10.03352965229538	13.362192900646232	8.223688099942741	9.877158932209676	5.1788277866755505	6.852358651728806	4.234557045930468	7.374223659058656	12.402970136675346	7.169160193894531	host	spuF	None	None	0.9227822434052407
gene-PA2641	34.446918571331004	45.941476899415186	26.69263418879321	27.03979050924237	16.320070059027707	21.422329725095814	13.387460777571876	20.297469815648377	13.696272819443175	22.017803739437394	host	nuoF	None	None	3.767494534239581
gene-PA0517	2.6303854487291876	2.3585639842160084	2.7709573106922742	2.631994870501609	1.375797933774476	4.2330693844918885	0.9333804175667348	2.2686681234204427	2.468539858674529	6.180339045267573	host	nirC	None	None	0.7050085528705383
gene-PA3265	33.35400324102861	43.60370390987578	22.4430331251101	28.034505363514285	19.47283229342335	26.685893631266836	24.297521981102303	23.334872126610268	35.09558381932702	38.52016913044532	host	gene-PA3265	None	None	1.871936229508047
gene-PA5177	25.93147044693124	32.32245078528139	26.635053820755353	29.307618558017918	24.312437499133154	25.612468638512386	25.506792191763623	32.876709227431384	48.41006814741184	36.954604600569	host	gene-PA5177	None	None	1.6075506481518074
gene-PA2271	3.7576934981845533	5.130118652398705	3.27807892164809	4.77431627672385	1.6982121186125019	2.0006254405325508	1.8088767782301063	3.0902123940278456	2.962247830409434	5.645430774986683	host	gene-PA2271	None	None	0.5194867711300291
gene-PA4588	9.537464215123126	12.803810813813097	8.719682393170855	9.94256717000249	4.698309604817976	7.237795475870697	6.501573611152443	5.551769526884106	6.6683785240607	90.49792377597204	host	gdhA	None	None	38.123746692870334
gene-PA2353	5.973268625685575	7.135151548888764	5.670214169366913	4.233068113804147	3.0017409464170384	4.894541894092004	3.6527095129018536	4.74778783528434	5.755224356224044	4.944933208531131	host	gene-PA2353	None	None	0.259952029386617
gene-PA0966	43.529716761147796	68.4903903628481	45.447039835288706	43.34191949127006	36.65301730649747	38.20713535794979	35.91820352748557	37.28702064235579	49.33169159157098	38.79665727099682	host	ruvA	None	None	1.9566138772698427
gene-PA1864	0.7619286355765915	2.224939730298647	0.9993434500593257	1.6883579998793732	2.0483343927163418	2.0388203962767535	1.7778674620318757	1.851973978302402	1.0374692862263457	1.6559984899667022	host	gene-PA1864	None	None	0.14106635261805975
gene-PA0372	18.353026613450737	21.185990042515925	16.90806196298514	17.106837046728057	17.305348721296646	18.531033357003118	18.77443300570571	20.558500836391257	25.96098742358826	26.366456826897014	host	gene-PA0372	None	None	0.5433319919802216
gene-PA0416	10.720061451424613	16.02043460976911	4.528094309187048	6.531320101290031	2.827474418323161	3.524551989035243	3.4282651815029754	2.9841241084344365	2.012092865938484	5.106804175120921	host	chpD	None	None	3.0026658196496983
gene-PA2113	15.434038660836068	20.26267021160037	13.01145171977242	11.431845037534796	5.792289987598357	6.75426019807203	4.826259720101166	4.774479256257656	4.132696973156577	7.92550393031547	host	opdO	None	None	2.79626428971073
gene-PA0930	5.223699481781218	5.636663069637836	5.089182660698231	4.050675513704719	2.4772905189040237	5.0333907624075405	2.9298936874292125	3.8658918695056874	2.948964207851545	9.685797865774617	host	gene-PA0930	None	None	0.8207937343379345
gene-PA0001	121.50118860537705	145.44163607064976	82.3918248058944	84.21565878460916	63.74496177099962	74.29414604037753	58.02061831916454	55.55562328309478	66.23931265047582	50.37307267883386	host	dnaA	None	None	10.567323551123906
gene-PA3400	4.334270807429802	8.94096150879271	4.780809714789983	7.386296715947373	2.7213585503231394	3.6846994130241733	3.786199224697513	3.601060513365782	3.2913864782327047	3.863343994914438	host	gene-PA3400	None	None	0.753988370719436
gene-PA2645	40.77209951323599	60.11471993584726	29.693466000545175	32.15131458576816	15.133143555289953	23.84321098160778	11.997943890478586	18.242498169505698	15.396593513744845	15.154211178346072	host	nuoJ	None	None	7.778785130062583
gene-PA2312a	5.099726890393322	5.648661642870272	3.3561284197825687	3.9855922324738655	6.274243324356127	5.559561173180591	3.6298127349817464	1.9291395607316688	6.277144212058088	6.690057729413353	host	gene-PA2312a	None	None	0.4469262987029136
gene-PA2736.1	1826.5318474032658	1151.3539999343234	1498.851646160797	1207.4088468792525	1164.2466670746085	1536.6733485755808	1658.7503420757403	2463.2937524129497	2244.075849914846	3872.83594241646	host	gene-PA2736.1	None	None	335.6764300864087
gene-PA1240	1.7517067435146036	1.8150824115594224	1.3587564452561005	1.4723339726715767	0.8116332518507609	0.8008232160814147	1.2632216177594906	1.1209316184461908	1.1136270039133211	2.6156616686428147	host	gene-PA1240	None	None	0.18854804353855645
gene-PA0208	3.5478043117994704	3.6897089991550907	1.849475619827511	2.344609484641434	1.258526176425716	3.218166088297234	1.1436012323340174	1.6117178946307393	1.6866131791160024	3.0445359242220866	host	mdcA	None	None	0.35678716289200685
gene-PHIKZ026	157.34746951891773	174.22414351653705	165.35549955306521	157.83973289225852	217.18048785152683	278.80032553474314	396.19438821609083	324.61118579181476	948.8835093647871	614.6903158708101	phage	gene-PHIKZ026	early	late	172.57638511815537
gene-PA4867	3.0945711161519855	10.28301252633969	6.3781626077315785	3.3441817178138096	3.1126650085395386	3.373603684035282	3.294283826706123	3.4315988421485693	4.0658303554639295	1.5741312304502009	host	ureB	None	None	1.2845806586877513
gene-PA3299	31.049360841127076	39.477792317563946	26.269419990777948	30.630249363279827	18.699874088247693	22.847369278584537	16.645007801722944	19.273029376329973	23.929490466611202	25.164530774124216	host	fadD1	None	None	1.677359376179038
gene-PA2119	16.341359191015115	34.15929501743204	13.117812360533504	13.253205778438621	7.16303095262167	8.795795046970929	8.375838806139274	8.936909851699058	9.847254368118556	9.395768115112253	host	gene-PA2119	None	None	4.416915205068938
gene-PHIKZ267	305.8241639116537	394.12881674505365	299.3063316396494	261.05219618551405	132.40352392364264	174.73072093635633	100.6695447065376	67.64289114809468	116.96479552151311	71.38584937863413	phage	gene-PHIKZ267	early	early	61.2892207046081
gene-PA3725	14.689165492903253	18.540583191430652	11.60111954035653	13.229915474940956	6.949296717666665	8.164390534041429	5.722122373427768	6.051292596935647	5.86235060143965	9.450291338052429	host	recJ	None	None	1.714633766126152
gene-PA0266	16.579612530631614	24.290707185561203	16.150045460139072	17.189946826358053	9.36861140275179	12.318337439799619	8.306429945558763	9.806354016256982	10.184027669885362	9.722854057066446	host	gene-PA0266	None	None	1.7233662485016983
gene-PA1882	53.58192580744641	52.56668749135025	45.37944581278653	49.94941376463054	29.985339582264224	34.137656326547486	26.849091023833235	38.05120609123176	33.68185496058135	71.28982151872218	host	gene-PA1882	None	None	3.8460913331474735
gene-PA4731	19.76487603769513	19.53271145798158	16.733888038552454	18.005331838518096	9.49975556936949	10.7090096696823	13.424999181799755	16.230291636618688	15.76755538076203	8.247810204091152	host	panD	None	None	1.039064036988676
gene-PA3348	48.809022456419	58.05851193659427	44.84350835137727	47.08878095588334	29.786506314446	37.2410796289609	24.663870427824023	35.68585494917974	28.480666413100167	40.50873397093093	host	gene-PA3348	None	None	2.464208030134962
gene-PA5286	163.96245714613727	160.97638858302798	111.89033990633716	127.84822407585845	89.16601559955488	98.20105532583183	80.71768681492608	80.79562532100974	137.93227221596607	145.969790780198	host	gene-PA5286	None	None	7.716739827122122
gene-PA2817	23.369013579950654	22.238757017339434	15.723489912782568	23.883912576697814	16.222210336476135	13.515521745634569	14.261871100533076	22.047952982563633	18.07619843957874	14.78928298890126	host	gene-PA2817	None	None	0.8083345980289461
gene-PA1393	5.1119891244338085	3.633977354002569	4.329811909004923	5.1945157647260185	2.90094058663888	3.410299880743424	3.095474819679865	4.803851283819936	4.511037305192032	3.919917799395206	host	cysC	None	None	0.14935998471362108
gene-PA2831	8.514773565035211	9.431304042015203	9.34332969238977	8.097584218607079	5.1001347299495725	6.92921790117581	3.9387329677461502	5.34412703845241	7.153513377690868	6.690057729413353	host	gene-PA2831	None	None	0.4354748260894996
gene-PA3298	9.97090948033129	11.70353240857332	9.304118391476427	9.631537664726682	8.67601438815892	6.002819567915678	7.023456607432856	8.599760354691353	8.798755931909211	7.79718185153692	host	gene-PA3298	None	None	0.26014008106280895
gene-PA3766	6.779991132762584	10.529599143348177	8.039427872466119	7.4474776097057465	4.879826708375781	6.061674536265235	4.306767240960272	4.795684406821256	6.249706639813699	6.988863580948692	host	gene-PA3766	None	None	0.45855515534844016
gene-PA1396	13.697174821478631	14.740704339756023	12.746893551717898	12.540166318308593	9.131558019137287	9.783183432288213	9.178528320619277	9.609040586127252	11.235734839186987	9.991805259456541	host	gene-PA1396	None	None	0.3309477786554358
gene-PA2301	6.39430716818145	8.186370929940516	4.073566836761163	5.374504442748037	1.8944263941475998	3.349639648394936	1.9939618496821592	1.9338291817632818	3.0768099011987498	5.111267468091654	host	gene-PA2301	None	None	0.9712097604064747
gene-PA4987	14.354389163064996	16.565443512670083	12.939165876884795	12.444071747731607	7.175315377685344	6.636360389880832	10.14273387089185	8.232024333554177	7.287129662807208	11.812730505078434	host	gene-PA4987	None	None	0.9666640792014378
gene-PA2953	67.33895667398842	80.31785025533541	61.88820534183218	69.82796826000357	54.318711064239764	62.961712233571504	56.38609720614502	45.021084809492635	77.21163366654156	59.268648083146445	host	gene-PA2953	None	None	1.6118341442149073
gene-PA2578	9.565037995378864	11.662983904333329	6.726062386335119	6.688363435627619	4.142674156819895	5.6956945314881375	3.26100823249697	4.228838977193186	3.484997447540511	6.01031924353713	host	gene-PA2578	None	None	1.074930814722906
gene-PA4277	506.77878444360323	587.2636081775089	488.67409264684073	474.13998851074416	296.27252760176293	400.38839128724544	302.52782378419295	285.1714202519164	309.05622841688785	323.7546099463122	host	tufB	None	None	26.99826313767615
gene-PA0948	48.85001547639919	64.33528313248037	47.81192179567167	42.141997869402914	21.317308644197926	24.462069161994602	19.64543545545223	27.13141878213019	18.196665243943666	19.824415965526917	host	gene-PA0948	None	None	7.040741299366351
gene-PA1021	1.124349235677268	2.031926359722916	0.9676057709367066	1.3429391150275927	1.0499729839829435	1.8708510868722088	0.24498173689415612	0.6635024882894434	1.0729401590459369	1.4749733576659363	host	gene-PA1021	None	None	0.21394926924121918
gene-PA2240	11.830066378418175	12.964426370319112	11.499334505296432	12.73907496403117	5.27606466332656	6.87599390894635	4.442812843532684	6.251862052014581	3.0921167332040023	5.251485816825513	host	pslJ	None	None	1.6210833545346783
gene-PA2274	2.74371271296015	2.510516285720121	3.0979646951839093	1.5039970688580624	3.1245227800006417	2.731012506123799	2.8643420221624663	6.481908924058407	4.23178261487062	4.5510596798730285	host	gene-PA2274	None	None	0.509170226645051
gene-PA1461	18.57338065769335	23.37542914837969	11.244464449186042	13.824619521826635	7.397452759688714	11.310253813239976	7.2491498199346855	8.162403830295773	6.183817019709931	9.602276221534124	host	motD	None	None	2.344248335008573
gene-PA0685	1.2151745143382884	1.1803173582116986	0.7372436712419419	1.0213711437767439	0.679211379475344	1.4062676337503146	0.5108052036434867	1.2093113664288075	1.1347914574205296	1.8734063577745992	host	gene-PA0685	None	None	0.12643422130265006
gene-PA1913	6.952560657433976	12.101468486000769	8.852627454960189	7.958595943226011	7.328886316141905	10.033764009283033	8.059143693527755	13.76334846430023	17.06881128711692	18.087154188520934	host	gene-PA1913	None	None	1.3538758520692526
gene-PA1168	1.2642707096695693	4.8234513585945855	3.377843125589932	1.7710619689356621	1.3055738839556494	2.603395099295584	0.8141636041080552	1.8173576422593667	3.6543618094770594	1.7863972575202542	host	gene-PA1168	None	None	0.6243889354722926
gene-PA1009	29.65749492115551	42.51680806461495	30.235691272350486	31.85562823910335	19.73228798316742	27.22202788362109	23.75269162983447	39.65813094397026	33.189916551469146	26.184742080714628	host	gene-PA1009	None	None	1.410716681779243
gene-PA1728	17.008507412835346	24.096783739668197	20.41758018404834	26.042896613384343	13.925080301361094	15.95486253577588	11.244231930920899	22.62982238399339	21.515273715605367	43.52729289613299	host	gene-PA1728	None	None	3.3662414065927777
gene-PA2792	14.577584827128016	14.975452078320975	9.226434217817404	9.332339601135354	8.870626028356497	9.963392359024514	5.690962679971381	8.273391290004199	6.4901510254196655	6.954202148019049	host	gene-PA2792	None	None	0.9325273420131189
