Geneid	10_R1	10_R2	15_R1	15_R2	20_R1	20_R2	25_R1	25_R2	35_R1	35_R2	Entity	Symbol
gene-PA0393	139	161	122	114	69	93	81	104	93	266	host	proC
gene-PA0302	128	154	109	150	78	80	65	109	201	180	host	spuF
gene-PA2641	514	619	414	480	288	293	241	351	259	646	host	nuoF
gene-PA0517	10	8	11	12	6	15	4	10	12	48	host	nirC
gene-PA3265	116	137	81	116	80	85	102	94	155	264	host	gene-PA3265
gene-PA5177	191	215	204	257	212	173	227	281	453	536	host	gene-PA5177
gene-PA2271	21	26	19	32	11	10	12	20	21	63	host	gene-PA2271
gene-PA4588	141	171	134	175	82	98	116	95	125	2639	host	gdhA
gene-PA2353	76	82	75	64	45	57	56	70	93	124	host	gene-PA2353
gene-PA0966	292	415	317	346	291	235	291	290	420	512	host	ruvA
gene-PA1864	5	14	7	14	17	13	15	15	9	23	host	gene-PA1864
gene-PA0372	284	296	272	315	317	263	351	369	510	803	host	gene-PA0372
gene-PA0416	94	127	41	68	29	28	36	30	22	88	host	chpD
gene-PA2113	210	249	184	185	93	84	79	75	71	212	host	opdO
gene-PA0930	77	75	78	71	43	68	52	66	55	282	host	gene-PA0930
gene-PA0001	2081	2249	1467	1716	1292	1167	1200	1103	1439	1696	host	dnaA
gene-PA3400	54	101	62	110	40	42	57	52	52	95	host	gene-PA3400
gene-PA2645	226	301	171	212	99	121	80	117	108	165	host	nuoJ
gene-PA2312a	28	28	19	26	41	28	24	12	44	73	host	gene-PA2312a
gene-PA2736.1	1559	887	1330	1226	1176	1203	1710	2438	2430	6500	host	gene-PA2736.1
gene-PA1240	15	14	12	15	8	6	13	11	12	45	host	gene-PA1240
gene-PA0208	65	61	35	51	27	54	25	34	39	110	host	mdcA
gene-PHIKZ026	2894	2893	3162	3454	4728	4704	8802	6923	22142	22229	phage	gene-PHIKZ026
gene-PA4867	10	31	22	13	12	10	13	13	17	10	host	ureB
gene-PA3299	581	667	511	682	414	392	376	418	568	926	host	fadD1
gene-PA2119	199	376	166	192	103	98	123	126	152	225	host	gene-PA2119
gene-PHIKZ267	1027	1195	1045	1043	526	538	408	263	498	471	phage	gene-PHIKZ267
gene-PA3725	279	318	229	299	156	142	131	133	141	353	host	recJ
gene-PA0266	235	311	238	290	157	160	142	161	183	271	host	gene-PA0266
gene-PA1882	192	170	169	213	127	112	116	158	153	503	host	gene-PA1882
gene-PA4731	83	74	73	90	47	41	68	79	84	68	host	panD
gene-PA3348	446	479	426	512	322	312	272	378	330	728	host	gene-PA3348
gene-PA5286	774	686	549	718	498	425	460	442	826	1355	host	gene-PA5286
gene-PA2817	106	91	74	129	87	56	78	116	104	132	host	gene-PA2817
gene-PA1393	33	21	29	40	22	20	24	36	37	50	host	cysC
gene-PA2831	106	106	121	120	75	79	59	77	113	164	host	gene-PA2831
gene-PA3298	33	35	32	38	34	18	28	33	37	51	host	gene-PA3298
gene-PA3766	94	132	116	123	80	77	72	77	110	191	host	gene-PA3766
gene-PA1396	246	239	238	268	194	161	199	200	256	353	host	gene-PA1396
gene-PA2301	38	44	25	38	13	18	14	13	23	60	host	gene-PA2301
gene-PA4987	95	99	89	98	56	40	81	63	61	154	host	gene-PA4987
gene-PA2953	1236	1331	1181	1525	1180	1060	1250	958	1798	2139	host	gene-PA2953
gene-PA2578	59	65	43	49	30	32	24	30	27	73	host	gene-PA2578
gene-PA4277	6709	7019	6726	7468	4642	4862	4837	4377	5190	8426	host	tufB
gene-PA0948	227	270	231	233	117	104	110	146	107	181	host	gene-PA0948
gene-PA1021	9	15	8	13	10	14	2	6	11	24	host	gene-PA1021
gene-PA2240	188	186	190	241	99	100	85	115	62	164	host	pslJ
gene-PA2274	11	9	13	7	15	10	14	31	22	37	host	gene-PA2274
gene-PA1461	183	208	115	162	86	102	86	93	77	186	host	motD
gene-PA0685	32	28	20	32	21	34	16	37	38	98	host	gene-PA0685
gene-PA1913	52	82	69	71	65	69	73	120	163	268	host	gene-PA1913
gene-PA1168	4	15	12	7	5	8	3	7	16	12	host	gene-PA1168
gene-PA1009	183	237	194	234	144	154	177	284	260	318	host	gene-PA1009
gene-PA1728	64	82	80	117	62	55	51	99	103	324	host	gene-PA1728
gene-PA2792	96	89	63	73	69	60	45	63	54	90	host	gene-PA2792
gene-PA2599	27	29	24	42	22	32	28	33	40	89	host	gene-PA2599
gene-PA4550	95	116	86	112	75	69	94	115	119	178	host	fimU
gene-PA5250	463	445	294	395	206	194	164	181	182	332	host	gene-PA5250
