Geneid	0	2.5	5	10	20	30	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-b3967	1.0	0.6087671576865282	0.19606388906158018	0.12244736150047614	0.06186786269931895	0.10890534459709	host	murI	None	None	13.754068978037289
gene-T4p149	9.099960838091565e-05	0.01033978159192566	0.023467079225594947	0.08963607085550979	0.6479600914862894	1.0	phage	5.3	late	late	1354.409075928041
gene-b2180	0.9001623915063317	1.0	0.3736144471784272	0.22648625601398295	0.09017043161741978	0.12861978796821213	host	yejF	None	None	6.662163593057596
gene-b1573	1.0	0.6784048113860084	0.3400245296481331	0.34624218473301704	0.13442054394136974	0.09307345671445673	host	ydfC	None	None	1.4982119162261063
gene-b1619	1.0	0.6376639985160689	0.24790432824133454	0.11670754990546343	0.070639837528904	0.14706619872125462	host	hdhA	None	None	4.184928678035672
gene-b4823	1.0	0.932213372882484	0.5903536345095861	0.5694139919270119	0.5838911229343463	0.7186532326662397	host	ytiE	None	None	0.9140511863087327
gene-b0931	1.0	0.6458952787017438	0.14183586003808515	0.07329809454339108	0.026746149926646024	0.05664743642237697	host	pncB	None	None	93.4915367835585
gene-b1627	1.0	0.898760797231252	0.25805363490991456	0.11585778525753172	0.04542489474289593	0.06522135546814611	host	rsxA	None	None	15.559788999590497
gene-T4p165	7.848804248392539e-05	0.025194984937839116	0.03996194769003094	0.04970071748865666	0.5218948525016799	1.0	phage	17	late	late	857.9330759890341
gene-b1043	1.0	0.6746197747751134	0.704543118010655	0.39572370185037314	0.27562320069480023	0.19514830626247476	host	csgC	None	None	0.4565443291930059
gene-b0973	0.8458038257405277	1.0	0.6997633082846222	0.5031083519085571	0.35155869131308976	0.12603697448640244	host	hyaB	None	None	0.33563335335841366
gene-b3359	1.0	0.9279665505278464	0.396890158249152	0.27275998763211545	0.12184049342918747	0.2494960905090824	host	argD	None	None	10.718794054960341
gene-T4p002	6.746200698072933e-05	0.058691640418143835	0.6902207527710642	1.0	0.34053210362476943	0.0966979450333709	phage	rIIA.1	early	middle	2135.027962125635
gene-b2686	1.0	0.9755038135204411	0.33785905252754733	0.21665925453312437	0.07786703267458847	0.1646607809740727	host	emrB	None	None	8.446955423587994
gene-b3050	0.8641721756408207	1.0	0.6552014500967679	0.42371969099815243	0.42180900035094243	0.3217659490202742	host	yqiJ	None	None	0.49229676259395205
gene-b3042	1.0	0.4102835903151724	0.11188562436853978	0.05803587850815706	0.03536547905295734	0.07088427748517089	host	ubiK	None	None	43.988169497111635
gene-b4107	1.0	0.5837307824054189	0.43450778299194537	0.29334713136902596	0.18711840226052856	0.1114454090272323	host	yjdN	None	None	1.2851938017610047
gene-b3667	0.6877626236255042	1.0	0.6020286113444356	0.45220892451780137	0.24313446004137404	0.27109143782240036	host	uhpC	None	None	0.9660750947403415
gene-b0408	1.0	0.8746635878536181	0.270732350451734	0.1461648950430837	0.0642930929645577	0.17543359811550072	host	secD	None	None	76.28359563932935
gene-b0714	0.9418811250210738	1.0	0.30301992214053197	0.1799318160043755	0.047107565805170164	0.08042883279001545	host	nei	None	None	5.452599510521022
gene-b2491	1.0	0.7638502280591535	0.7408324446116243	0.5893565642631113	0.33089402486945363	0.1959706031222665	host	hyfR	None	None	0.4501444600574386
gene-b3785	0.703331659217583	1.0	0.18608094937083522	0.11992276908821549	0.06425691608408321	0.12931971713638035	host	wzzE	None	None	59.68749539977255
gene-b4691	0.4156471124825086	0.39353172891717	1.0	0.6519673829676487	0.45118493262071657	0.39049435233966046	host	sroH	None	None	124.23334194990267
gene-b2212	1.0	0.677980303528058	0.3991219296602506	0.4143435458535467	0.14650045377017978	0.24048157318997793	host	alkB	None	None	1.070658589134459
