Geneid	0	5	15	30	60	120	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-MSMEI_RS32130	6.73354075522508	3.447788401224221	4.251388194201302	1.4349267361825517	1.7452909854027727	1.1595742757708338	host	gene-MSMEI_RS32130	None	None	1.5565033292144124
gene-MSMEI_RS09540	75.74426546919791	33.652403499177225	3.346832025312458	2.930288411887696	5.8778494733304845	2.178149378287663	host	gene-MSMEI_RS09540	None	None	37.90570204986991
gene-MSMEI_RS18000	8.351861287158712	4.7737320519601365	2.507702891362217	2.5391964418534716	1.6830110419734265	2.05194230538578	host	gene-MSMEI_RS18000	None	None	1.8594273502472833
gene-MSMEI_RS33165	4.075309681392471	5.856374750859944	2.394628428728237	1.9846190727937723	1.7937712905528498	0.5708229704644446	host	gene-MSMEI_RS33165	None	None	1.7111481523720078
gene-MSMEI_RS32755	17.47246518069806	5.302499601060924	1.5673143071013858	2.1356226978976465	2.2772737161864782	1.1745566711330189	host	gene-MSMEI_RS32755	None	None	9.259627387658547
gene-MSMEI_RS08865	106.14393173114439	9.785725240203487	3.0843404546166306	3.1230758375737886	2.070013581036835	1.2088015845129414	host	gene-MSMEI_RS08865	None	None	71.95387980194472
gene-MSMEI_RS20440	3.3510533438874055	1.5442452488759935	2.433635717355738	2.4641990785919767	1.6333018550796967	0.9537801531810974	host	gene-MSMEI_RS20440	None	None	0.9176355751647512
gene-MSMEI_RS07050	282.19032131855107	42.331886111587025	13.779815764844354	17.771815013660817	7.620323288900144	4.0754551492191435	host	mftD	None	None	174.8570557084243
gene-MSMEI_RS17155	74.87058543270794	22.541598768759847	14.487926874289265	13.348690865221204	13.086420596777305	3.233547586367292	host	gene-MSMEI_RS17155	None	None	24.761009915530117
gene-MSMEI_RS31210	3.3061280913884654	1.5757690876315422	5.025483426151187	1.3709276563997619	0.9086679334598313	0.530624169727512	host	gene-MSMEI_RS31210	None	None	2.610420314296072
gene-MSMEI_RS32560	58.03874130222546	15.003922399907488	16.095636500401728	8.764157890998828	6.086731992497459	4.900841972989787	host	gene-MSMEI_RS32560	None	None	21.755161621285083
gene-MSMEI_RS06790	14.95211974391313	3.8379061258260183	1.7268612724949395	2.9574943833124827	1.1589596995625393	1.4130141623914056	host	gene-MSMEI_RS06790	None	None	5.73009424072506
gene-MSMEI_RS29535	21.256650708565612	17.085413866456847	3.160909525921273	1.9467172720876618	3.8709253965388815	3.080128409488565	host	hsaC	None	None	7.611700211172051
gene-MSMEI_RS07225	1.3152588702782546	3.880567612159699	1.4101996699591928	1.4279099795264023	0.9464365272711202	0.5526794530658192	host	gene-MSMEI_RS07225	None	None	1.7194396232893907
gene-MSMEI_RS28120	4.204210647556675	10.019069124343837	8.60853231363149	8.716644501885053	5.777500591849076	14.38430444937833	host	gene-MSMEI_RS28120	None	None	4.774900724779309
gene-MSMEI_RS19560	7.793553318191904	2.5835162398901153	4.577552896931031	1.5450137080060806	1.0240543377086986	0.5980050166770372	host	gene-MSMEI_RS19560	None	None	3.1550556368837595
gene-MSMEI_RS03320	900.6907598879889	68.38102549235859	85.56502722724926	10.735931407027094	12.037743358597977	10.959907645458804	host	gene-MSMEI_RS03320	None	None	576.755150091493
gene-MSMEI_RS32605	2.8671467238314623	2.4233849506535634	2.082208176943357	2.10835805641263	1.3974459915302821	0.8160501671621665	host	gene-MSMEI_RS32605	None	None	0.7765402078452551
gene-MSMEI_RS00785	4.228858160570656	3.1604179245257726	5.599724903041844	5.016671759478512	2.712092969438913	0.7315401174884144	host	gene-MSMEI_RS00785	None	None	2.5655376204875457
gene-MSMEI_RS06575	14.125208235058583	8.990674919537872	3.7176810820379096	3.2864560641613387	1.8997845255682655	2.552592604548535	host	recC	None	None	3.7433155422457767
gene-MSMEI_RS12665	31.634416909501606	6.898819513894234	7.829479615565294	5.3832447747801115	1.7515499531850143	3.8218043996516413	host	gene-MSMEI_RS12665	None	None	11.036514295041636
gene-MSMEI_RS22535	0.8048060382465636	3.662458988645401	7.178163235152794	1.6686148046465672	1.1059786847253947	0.6458454180112003	host	gene-MSMEI_RS22535	None	None	3.672981735781247
gene-MSMEI_RS07145	1308.3291797829547	462.7821485396166	336.2492682964355	75.2665210207913	92.81839643939571	23.822076935505358	host	rplP	None	None	535.0730521091004
gene-MSMEI_RS09780	27.211219192782973	9.803199749560992	5.14974700904741	7.017046007377981	3.456183389766858	2.018266931285001	host	gene-MSMEI_RS09780	None	None	8.156915795907207
gene-MSMEI_RS00510	34.752348385408965	31.989665330970684	2.1441325836926017	5.1732009904328615	5.043922728137581	0.8403193171149446	host	gene-MSMEI_RS00510	None	None	18.611576704728567
gene-MSMEI_RS10155	0.7406133026432488	1.6124033283344532	0.7254989497022766	0.9885649721085961	0.4869088549105511	0.5936436858348798	host	gene-MSMEI_RS10155	None	None	0.46495913319571097
gene-MSMEI_RS23135	14.335733619157311	16.963694654574944	13.093359966038603	16.059786100492943	1.3974459915302821	1.703778809526099	host	gene-MSMEI_RS23135	None	None	9.54901993973582
gene-MSMEI_RS28410	13.574784245288132	7.364402528645192	2.486084762988405	2.517306817354735	1.6685023260943455	2.0342531475807304	host	gene-MSMEI_RS28410	None	None	4.485469242590192
gene-MSMEI_RS27650	3.570498319789041	0.6802716059174916	1.7625889549746874	1.4607976818333341	0.7195028618102011	0.4201596585574723	host	gene-MSMEI_RS27650	None	None	0.8740393221248035
gene-MSMEI_RS09240	23.864684315079277	14.896770819221212	17.635611391424966	3.951212496105477	1.5483701586155525	0.9041835852156803	host	gene-MSMEI_RS09240	None	None	10.755200795973892
gene-MSMEI_RS30140	74.05397485047664	20.48050048673675	5.608429434390189	4.888511309022599	1.9003100398109392	3.4079399628205977	host	gene-MSMEI_RS30140	None	None	40.701225036204946
gene-MSMEI_RS14855	11.911812547144375	10.99201683612507	4.007580895682534	4.294157237772436	1.64035194515658	0.705445097955781	host	gene-MSMEI_RS14855	None	None	4.496191020465986
