Geneid	30	480	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-SynWH7803_0646	0.0	0.0	host	gene-SynWH7803_0646	None	None	1.7457558460723404
gene-SynWH7803_1173	0.0	0.0	host	gene-SynWH7803_1173	None	None	2.2578272768820655
gene-SynWH7803_2450	0.0	0.0	host	gene-SynWH7803_2450	None	None	2.2292127741447945
gene-SynWH7803_0497	0.0	0.0	host	cpeR	None	None	15.404825210525711
gene-SynWH7803_0475	0.0	0.0	host	gene-SynWH7803_0475	None	None	0.7566842121061031
gene-SynWH7803_0554	0.0	0.0	host	gene-SynWH7803_0554	None	None	279.497963099708
gene-SynWH7803_2508	0.0	0.0	host	gene-SynWH7803_2508	None	None	0.08066780332104413
gene-SynWH7803_1362	0.0	0.0	host	secD	None	None	0.0001713392384226149
gene-SynWH7803_2190	0.0	0.0	host	gene-SynWH7803_2190	None	None	0.007236351760271181
gene-SynWH7803_2426	0.0	0.0	host	gene-SynWH7803_2426	None	None	0.06624404045782298
gene-SynWH7803_1185	0.0	0.0	host	gene-SynWH7803_1185	None	None	0.7136740403082378
gene-SynWH7803_1314	0.0	0.0	host	typA	None	None	1.125512628981578
gene-SynWH7803_2309	0.0	0.0	host	gene-SynWH7803_2309	None	None	0.01080275450281128
gene-SynWH7803_2019	0.0	0.0	host	atpF	None	None	4.304576967139944
gene-SynWH7803_1403	0.0	0.0	host	gene-SynWH7803_1403	None	None	0.1495473329771992
gene-SynWH7803_1779	0.0	0.0	host	gene-SynWH7803_1779	None	None	2.260426793414326
gene-SynWH7803_1577	0.0	0.0	host	gene-SynWH7803_1577	None	None	0.020980739152494023
gene-SynWH7803_1682	0.0	0.0	host	gene-SynWH7803_1682	None	None	2.3335504422608926
gene-SynWH7803_0286	0.0	0.0	host	gene-SynWH7803_0286	None	None	0.045203148800980614
gene-SynWH7803_2015	0.0	0.0	host	gene-SynWH7803_2015	None	None	0.7526388958912017
gene-SynWH7803_0040	0.0	0.0	host	gene-SynWH7803_0040	None	None	8.22658574747428
gene-SynWH7803_2093	0.0	0.0	host	gene-SynWH7803_2093	None	None	283.6785001324471
gene-SynWH7803_0525	0.0	0.0	host	gene-SynWH7803_0525	None	None	0.4565919986473188
gene-SynWH7803_0907	0.0	0.0	host	gene-SynWH7803_0907	None	None	2.5693821552615543
gene-SynWH7803_0501	0.0	0.0	host	cpeE	None	None	74.93486586360802
gene-SynWH7803_0510	0.0	0.0	host	gene-SynWH7803_0510	None	None	1.0873158624546584
gene-SynWH7803_0633	0.0	0.0	host	ftsI	None	None	0.8210853063444261
gene-SynWH7803_0891	0.0	0.0	host	gene-SynWH7803_0891	None	None	1.0665293044329258
gene-SynWH7803_0949	0.0	0.0	host	dcd	None	None	0.7139023867551626
gene-SynWH7803_1062	0.0	0.0	host	spoIIAA	None	None	1.151441579675571
gene-SynWH7803_2392	0.0	0.0	host	gene-SynWH7803_2392	None	None	1.1519242223441721
gene-SynWH7803_0664	0.0	0.0	host	gene-SynWH7803_0664	None	None	0.19209791076495566
gene-SynWH7803_1617	0.0	0.0	host	polA	None	None	0.43002779698430277
gene-SynWH7803_0737	0.0	0.0	host	gene-SynWH7803_0737	None	None	1.7285567234089536
gene-SynWH7803_2157	0.0	0.0	host	gene-SynWH7803_2157	None	None	0.0012349660578641099
gene-SynWH7803_1058	0.0	0.0	host	gene-SynWH7803_1058	None	None	2.9180361103452803
gene-SynWH7803_1459	0.0	0.0	host	proP	None	None	1.0852682291800657
gene-SynWH7803_2288	0.0	0.0	host	ndhE	None	None	3.4530128739205117
gene-SynWH7803_1916	0.0	0.0	host	gene-SynWH7803_1916	None	None	0.4552591721534907
gene-SynWH7803_1253	0.0	0.0	host	argC	None	None	0.005433118066973718
gene-SynWH7803_0171	0.0	0.0	host	ssb	None	None	2.3217849760911977
gene-SynWH7803_0917	0.0	0.0	host	gene-SynWH7803_0917	None	None	1.7259522598572432
gene-SynWH7803_1639	0.0	0.0	host	gene-SynWH7803_1639	None	None	2.3984455962579476
gene-SynWH7803_2439	0.0	0.0	host	gene-SynWH7803_2439	None	None	0.1837138425424934
gene-SynWH7803_1260	0.0	0.0	host	leuS	None	None	0.043864271602170754
gene-SynWH7803_1622	0.0	0.0	host	dxr	None	None	2.2395270031513044
gene-SynWH7803_0526	0.0	0.0	host	gene-SynWH7803_0526	None	None	0.6765375086757348
gene-SynWH7803_0589	0.0	0.0	host	gene-SynWH7803_0589	None	None	8.114350288423084
gene-SynWH7803_2139	0.0	0.0	host	gene-SynWH7803_2139	None	None	3.230603778665943
gene-SynWH7803_2507	0.0	0.0	host	gene-SynWH7803_2507	None	None	0.07520063775965187
gene-SynWH7803_1927	0.0	0.0	host	gene-SynWH7803_1927	None	None	0.015606841394607003
gene-SynWH7803_1831	0.0	0.0	host	gene-SynWH7803_1831	None	None	0.9273165156622947
gene-SynWH7803_1612	0.0	0.0	host	gene-SynWH7803_1612	None	None	0.22038905650405838
gene-SynWH7803_0864	0.0	0.0	host	gene-SynWH7803_0864	None	None	0.21578075434442437
gene-SynWH7803_0566	0.0	0.0	host	gene-SynWH7803_0566	None	None	3.275180285045161
