Geneid	30_R1	480_R1	Entity	Symbol
gene-SynWH7803_0646	139	152	host	gene-SynWH7803_0646
gene-SynWH7803_1173	500	321	host	gene-SynWH7803_1173
gene-SynWH7803_2450	253	290	host	gene-SynWH7803_2450
gene-SynWH7803_0497	965	618	host	cpeR
gene-SynWH7803_0475	153	157	host	gene-SynWH7803_0475
gene-SynWH7803_0554	35813	24232	host	gene-SynWH7803_0554
gene-SynWH7803_2508	228	212	host	gene-SynWH7803_2508
gene-SynWH7803_1362	636	544	host	secD
gene-SynWH7803_2190	376	331	host	gene-SynWH7803_2190
gene-SynWH7803_2426	97	77	host	gene-SynWH7803_2426
gene-SynWH7803_1185	91	102	host	gene-SynWH7803_1185
gene-SynWH7803_1314	914	933	host	typA
gene-SynWH7803_2309	257	225	host	gene-SynWH7803_2309
gene-SynWH7803_2019	1807	1347	host	atpF
gene-SynWH7803_1403	338	308	host	gene-SynWH7803_1403
gene-SynWH7803_1779	408	490	host	gene-SynWH7803_1779
gene-SynWH7803_1577	147	123	host	gene-SynWH7803_1577
gene-SynWH7803_1682	364	363	host	gene-SynWH7803_1682
gene-SynWH7803_0286	472	418	host	gene-SynWH7803_0286
gene-SynWH7803_2015	159	169	host	gene-SynWH7803_2015
gene-SynWH7803_0040	791	521	host	gene-SynWH7803_0040
gene-SynWH7803_2093	12381	7909	host	gene-SynWH7803_2093
gene-SynWH7803_0525	131	133	host	gene-SynWH7803_0525
gene-SynWH7803_0907	48	63	host	gene-SynWH7803_0907
gene-SynWH7803_0501	5168	6384	host	cpeE
gene-SynWH7803_0510	162	177	host	gene-SynWH7803_0510
gene-SynWH7803_0633	1296	971	host	ftsI
gene-SynWH7803_0891	237	228	host	gene-SynWH7803_0891
gene-SynWH7803_0949	154	108	host	dcd
gene-SynWH7803_1062	677	531	host	spoIIAA
gene-SynWH7803_2392	4510	3561	host	gene-SynWH7803_2392
gene-SynWH7803_0664	288	272	host	gene-SynWH7803_0664
gene-SynWH7803_1617	282	309	host	polA
gene-SynWH7803_0737	232	252	host	gene-SynWH7803_0737
gene-SynWH7803_2157	1067	911	host	gene-SynWH7803_2157
gene-SynWH7803_1058	329	435	host	gene-SynWH7803_1058
gene-SynWH7803_1459	242	272	host	proP
gene-SynWH7803_2288	310	332	host	ndhE
gene-SynWH7803_1916	68	68	host	gene-SynWH7803_1916
gene-SynWH7803_1253	282	246	host	argC
gene-SynWH7803_0171	243	261	host	ssb
gene-SynWH7803_0917	117	77	host	gene-SynWH7803_0917
gene-SynWH7803_1639	179	187	host	gene-SynWH7803_1639
gene-SynWH7803_2439	90	91	host	gene-SynWH7803_2439
gene-SynWH7803_1260	711	640	host	leuS
gene-SynWH7803_1622	307	369	host	dxr
gene-SynWH7803_0526	223	175	host	gene-SynWH7803_0526
gene-SynWH7803_0589	1328	811	host	gene-SynWH7803_0589
gene-SynWH7803_2139	739	762	host	gene-SynWH7803_2139
gene-SynWH7803_2507	189	178	host	gene-SynWH7803_2507
gene-SynWH7803_1927	199	165	host	gene-SynWH7803_1927
gene-SynWH7803_1831	255	266	host	gene-SynWH7803_1831
