Geneid	15	60	180	300	420	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-SynWH7803_1101	0.0	0.0	0.0	0.0	0.0	host	tldD	None	None	61.55718264053485
gene-SynWH7803_0607	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0607	None	None	25.24108355881688
gene-SynWH7803_1992	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1992	None	None	9.334617869637894
gene-SynWH7803_1479	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1479	None	None	47.079940351786
gene-SynWH7803_0059	0.0	0.0	0.0	0.0	0.0	host	rpmI	None	None	454.233046554546
gene-SynWH7803_0086	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0086	None	None	5.5712993335614325
gene-SynWH7803_1698	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1698	None	None	1.429563864397352
gene-SynWH7803_1186	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1186	None	None	2.6911754215371486
gene-SynWH7803_0951	0.0	0.0	0.0	0.0	0.0	host	sodC	None	None	47.272019305609824
gene-SynWH7803_2328	0.0	0.0	0.0	0.0	0.0	host	dgkA	None	None	60.00034360252362
gene-SynWH7803_2404	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2404	None	None	13.556051799504088
gene-SynWH7803_1670	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1670	None	None	5.938469228585081
gene-SynWH7803_2291	0.0	0.0	0.0	0.0	0.0	host	ndhA	None	None	81.0936507333868
gene-SynWH7803_1136	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1136	None	None	14.123182223962829
gene-SynWH7803_2011	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2011	None	None	22.628416535667373
gene-SynWH7803_2433	0.0	0.0	0.0	0.0	0.0	host	tauB	None	None	4.424267334831736
gene-RNA_7	0.0	0.0	0.0	0.0	0.0	host	gene-RNA_7	None	None	25.73944095540941
gene-SynWH7803_0504	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0504	None	None	62.39444550125358
gene-SynWH7803_1201	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1201	None	None	18.038329132818856
gene-SynWH7803_0500	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0500	None	None	666.3644890272816
gene-SynWH7803_2059	0.0	0.0	0.0	0.0	0.0	host	hli	None	None	308.7896251244909
gene-SynWH7803_1533	0.0	0.0	0.0	0.0	0.0	host	lysA	None	None	32.47613772282218
gene-SynWH7803_2458	0.0	0.0	0.0	0.0	0.0	host	aspS	None	None	18.34784662233935
gene-SynWH7803_0575	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0575	None	None	5.691798086312422
gene-SynWH7803_0231	0.0	0.0	0.0	0.0	0.0	host	kdsA	None	None	9.345073189680178
gene-SynWH7803_1803	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1803	None	None	5.527694310657305
gene-SynWH7803_0756	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0756	None	None	74.29580074860063
gene-SynWH7803_1048	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1048	None	None	32.26558868547057
gene-SynWH7803_1091	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1091	None	None	11.589911063181331
gene-SynWH7803_1935	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1935	None	None	11.508035582338989
gene-SynWH7803_0463	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0463	None	None	61.961556079454816
gene-SynWH7803_1957	0.0	0.0	0.0	0.0	0.0	host	fabZ	None	None	39.15500172406387
