Geneid	35	60	120	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-R0792_RS04345	0.5878930535230138	1.0	0.78961847589255	host	gene-R0792_RS04345	None	None	1.5237708825615204
gene-DMS3-38	0.7624574307081827	0.818842306594249	1.0	phage	gene-DMS3-38	early	late	0.008144266084525549
gene-R0792_RS10210	1.0	0.8783638416409886	0.6833651736265822	host	gene-R0792_RS10210	None	None	0.6319755287387958
gene-R0792_RS13665	1.0	0.9413376942457472	0.819374931641781	host	amrZ	None	None	26.902650109327794
gene-R0792_RS08925	0.8686213758952732	0.9458228348874704	1.0	host	gene-R0792_RS08925	None	None	0.4169757711836915
gene-R0792_RS04175	0.613630650993431	1.0	0.8582882069562356	host	gene-R0792_RS04175	None	None	0.22136627601345504
gene-R0792_RS02790	0.8870793440855785	1.0	0.7197226569114744	host	gene-R0792_RS02790	None	None	10.754736201608516
gene-R0792_RS12350	0.8264695397661992	1.0	0.9810769277459782	host	hisC	None	None	1.331872722536382
gene-R0792_RS02285	0.7330004107179606	1.0	0.7040151415642669	host	gene-R0792_RS02285	None	None	1.0250206800384252
gene-R0792_RS23240	0.8839297489110404	1.0	0.9938231582400614	host	gene-R0792_RS23240	None	None	2.011379861042736
gene-R0792_RS06085	0.8813532803828841	0.888823333669403	1.0	host	gene-R0792_RS06085	None	None	0.11365405964847503
gene-R0792_RS27465	1.0	0.9737858122019257	0.7661277924725103	host	gene-R0792_RS27465	None	None	0.7145191096597004
gene-R0792_RS21355	0.7107088991859095	0.8647340276438972	1.0	host	tis1	None	None	2.2446977682948064
gene-R0792_RS21600	0.7731708089071833	0.9144072650180811	1.0	host	gene-R0792_RS21600	None	None	0.14402448219501182
gene-R0792_RS20650	0.7787262325930299	0.8745196007118661	1.0	host	gene-R0792_RS20650	None	None	0.12952167530250827
gene-R0792_RS19710	0.7778131079668478	0.9764335407191952	1.0	host	gene-R0792_RS19710	None	None	0.5300091654649853
gene-R0792_RS22835	0.5190632707366635	1.0	0.8322958382682024	host	betA	None	None	10.41452014295683
gene-R0792_RS08270	0.8829174393690892	1.0	0.9270377256287169	host	gene-R0792_RS08270	None	None	0.1510131716126133
gene-R0792_RS22545	1.0	0.9428654359064859	0.9630326496628322	host	gene-R0792_RS22545	None	None	0.15688298796341785
gene-R0792_RS24650	0.38559971018459727	0.5769396855160821	1.0	host	gene-R0792_RS24650	None	None	0.9497164899577125
gene-R0792_RS17965	1.0	0.8310754834032005	0.6731687243155924	host	mexH	None	None	1.673450893483136
gene-R0792_RS05985	1.0	0.8449151042993515	0.6313343735517584	host	bdhA	None	None	1.2467401281289272
gene-R0792_RS16390	0.9850124966396667	1.0	0.8605835640772809	host	gene-R0792_RS16390	None	None	0.1109161582401457
gene-R0792_RS04715	0.5692316102478758	1.0	0.911595194298868	host	gene-R0792_RS04715	None	None	1.851732549466272
gene-R0792_RS13115	0.8546779886161914	1.0	0.9757153844784123	host	gene-R0792_RS13115	None	None	0.728190434741179
gene-R0792_RS03930	0.8827667843361632	0.9331489847726537	1.0	host	gene-R0792_RS03930	None	None	0.5511204235870137
gene-R0792_RS08940	0.8201788485134356	0.8826880488010623	1.0	host	gene-R0792_RS08940	None	None	1.5472110363327347
gene-R0792_RS21545	0.6518540902348134	0.6934739591088207	1.0	host	gene-R0792_RS21545	None	None	0.7331370987086531
gene-R0792_RS27520	0.8448145484837111	0.9247278546954693	1.0	host	tnpB	None	None	1.614442835999489
gene-R0792_RS16895	0.9654140265314284	0.893707261505622	1.0	host	arfA	None	None	0.7385325968422143
gene-R0792_RS22410	0.98374671677768	0.9901275045108949	1.0	host	gene-R0792_RS22410	None	None	1.001424071079835
gene-R0792_RS27990	0.8991323196405793	0.9414220938036794	1.0	host	gene-R0792_RS27990	None	None	0.17103810200083244
gene-R0792_RS15425	0.9531302734563625	0.8989469013928568	1.0	host	gene-R0792_RS15425	None	None	0.29309409108783596
gene-R0792_RS17115	0.6634204988252681	0.835416607544748	1.0	host	gene-R0792_RS17115	None	None	0.5174242131005429
gene-R0792_RS26185	0.7965231263447675	1.0	0.9742663704063176	host	folK	None	None	0.7167749365181119
gene-R0792_RS02220	0.6989764038293663	0.9037321210204016	1.0	host	btuB	None	None	0.30554016742295703
gene-R0792_RS12920	0.7968348645802457	1.0	0.5927087786497093	host	gene-R0792_RS12920	None	None	0.9037102194161478
gene-R0792_RS25470	0.5575098081580268	0.8302621535022884	1.0	host	gene-R0792_RS25470	None	None	0.4917944758246969
gene-R0792_RS15000	0.9184851793722202	1.0	0.9646120307667204	host	gene-R0792_RS15000	None	None	1.4881093727528107
gene-R0792_RS25490	0.5141282094195362	0.8365666678385754	1.0	host	urtD	None	None	0.21550931421239686
gene-R0792_RS02580	0.5360147126375796	0.5626323136618058	1.0	host	pagP	None	None	13.692399247753874
gene-R0792_RS02870	0.8622732940812959	0.8455289450562665	1.0	host	gene-R0792_RS02870	None	None	1.0686871747105557
gene-R0792_RS04585	0.9725643493360848	1.0	0.9531245393320879	host	gene-R0792_RS04585	None	None	0.5479258232140484
gene-R0792_RS00020	0.9135455651676431	0.8012870609286017	1.0	host	hppD	None	None	3.143479880395591
gene-R0792_RS12505	0.572677966067239	0.6657189128955248	1.0	host	gap	None	None	1.7686828955437792
gene-R0792_RS17270	0.8222039235197696	0.9097145921288154	1.0	host	oprG	None	None	39.531965289952836
