Geneid	35	60	120	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-R0792_RS24585	0.8021989327886335	0.8891524294550665	1.0	host	aroB	None	None	1.504275961920092
gene-R0792_RS14545	0.43687403327369523	0.8579251707353106	1.0	host	gene-R0792_RS14545	None	None	1.3062928578530724
gene-R0792_RS28890	0.5838964798121764	0.9224438213395908	1.0	host	gene-R0792_RS28890	None	None	4.057037719630087
gene-R0792_RS01605	0.6946279317266314	0.8589655595047794	1.0	host	gene-R0792_RS01605	None	None	2.0358973426962206
gene-R0792_RS21865	0.789853163929596	0.8049619590504826	1.0	host	rsmG	None	None	1.1807598169945244
gene-R0792_RS08635	0.3362671128056227	0.8075541760039694	1.0	host	antB	None	None	0.2912636720647898
gene-R0792_RS24625	0.4435424504873793	0.7483446898236016	1.0	host	gene-R0792_RS24625	None	None	5.4178737541517
gene-R0792_RS16295	0.5266640874475552	1.0	0.5311122852220207	host	narK2	None	None	1.632661836886584
gene-R0792_RS20125	0.4916396653661457	0.6591461255319335	1.0	host	gene-R0792_RS20125	None	None	0.2918458066954869
gene-R0792_RS17150	0.5957184957894069	0.8639249323738738	1.0	host	gene-R0792_RS17150	None	None	2.474679644514734
gene-R0792_RS21180	0.5624843411846476	0.7642070220438243	1.0	host	gene-R0792_RS21180	None	None	0.5720661913734584
gene-R0792_RS18210	0.6134579594732589	0.9219297845801963	1.0	host	rpmC	None	None	17.305373600178267
gene-R0792_RS25915	0.559409821270611	0.7256701336850027	1.0	host	gene-R0792_RS25915	None	None	0.3291120152761645
gene-R0792_RS01665	1.0	0.8663741288688213	0.703372236884173	host	phoQ	None	None	1.6331318701329287
gene-R0792_RS17495	0.8208787721032478	1.0	0.9638995542166644	host	gene-R0792_RS17495	None	None	0.3353650621515414
gene-R0792_RS07725	0.6884309845743466	1.0	0.9302150998945108	host	gene-R0792_RS07725	None	None	1.2294333190020181
gene-R0792_RS09435	0.8539255588451611	1.0	0.9421626126560179	host	infA	None	None	3.4687136023652783
gene-R0792_RS28980	0.9673398407906515	0.9177734389437107	1.0	host	purU	None	None	7.126071153552413
gene-R0792_RS26805	0.7809958580080973	1.0	0.8328577902391938	host	gene-R0792_RS26805	None	None	2.6186213883168423
gene-R0792_RS22730	0.7854449553239968	0.6951233316372195	1.0	host	gene-R0792_RS22730	None	None	0.07001282877427323
gene-R0792_RS18445	0.7186159570480576	1.0	0.9449757224855682	host	gene-R0792_RS18445	None	None	4.4927176736500405
gene-R0792_RS04530	0.983540012502553	1.0	0.8250405872103965	host	pscJ	None	None	0.4486757126473177
gene-R0792_RS27500	0.9081769190258738	0.9182689917147033	1.0	host	gene-R0792_RS27500	None	None	2.7170572426493003
gene-R0792_RS14490	0.559013455970345	0.8692443321948129	1.0	host	cra	None	None	0.6214354676077815
gene-R0792_RS09755	0.4971902762250159	0.901002879164773	1.0	host	gene-R0792_RS09755	None	None	0.5373329052727491
gene-R0792_RS05595	0.9618844885837862	0.6713125523200849	1.0	host	gene-R0792_RS05595	None	None	0.18835111640520752
gene-R0792_RS12915	0.5673361187591891	0.8849749479129769	1.0	host	gene-R0792_RS12915	None	None	0.882975037931028
gene-R0792_RS10955	0.84719459173566	0.9664030169166203	1.0	host	atuD	None	None	0.140598181672871
gene-R0792_RS25165	0.8982971500588629	1.0	0.8698528187667505	host	gene-R0792_RS25165	None	None	0.9154448937961722
gene-R0792_RS02255	0.7808199400735872	0.7179546119177085	1.0	host	cobU	None	None	0.18688859239153507
gene-R0792_RS01910	1.0	0.9369009493137253	0.5238749290951888	host	gene-R0792_RS01910	None	None	0.42699942955541415
gene-R0792_RS24315	0.9584782045106648	1.0	0.9972743170833488	host	hutG	None	None	1.1475809537538346
gene-R0792_RS29510	0.8072849602715716	0.9967392375104703	1.0	host	gene-R0792_RS29510	None	None	0.8427042984580473
gene-R0792_RS10975	0.725660848302626	1.0	0.9532012068996163	host	gene-R0792_RS10975	None	None	1.150292382507362
gene-R0792_RS17990	1.0	0.6730509510588022	0.5311078150193257	host	phzB	None	None	35.8868302708515
gene-R0792_RS03480	0.7707392150327472	1.0	0.9638961583562344	host	gene-R0792_RS03480	None	None	2.608487456238064
gene-R0792_RS05115	0.407498706327141	0.7110457137234661	1.0	host	gene-R0792_RS05115	None	None	5.134941717676482
gene-R0792_RS10340	0.8097965449384047	0.9837031132053377	1.0	host	gene-R0792_RS10340	None	None	0.31076537525838493
gene-R0792_RS18340	1.0	0.8269627213317983	0.8154359871446434	host	gene-R0792_RS18340	None	None	149.94297900048156
