Geneid	35	60	120	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-R0792_RS06650	0.4949597028832881	1.0	0.9318382157814397	host	gene-R0792_RS06650	None	None	0.1528725333512229
gene-R0792_RS24680	0.8147731146541192	0.78977228219196	1.0	host	gene-R0792_RS24680	None	None	1.0494466609796196
gene-R0792_RS26500	0.4906593816647706	0.7160990229294062	1.0	host	gene-R0792_RS26500	None	None	24.085013902261462
gene-R0792_RS14915	0.8620355535945631	0.8270684846795349	1.0	host	gene-R0792_RS14915	None	None	3.74676756641605
gene-R0792_RS27150	1.0	0.8656356995677645	0.8492685462348023	host	gene-R0792_RS27150	None	None	0.6373556123345343
gene-R0792_RS06330	1.0	0.8525596245410392	0.7825649271955585	host	fusA	None	None	0.3733791683985539
gene-R0792_RS28550	1.0	0.8323244749724437	0.8955515238038975	host	gene-R0792_RS28550	None	None	0.2051963241354144
gene-R0792_RS12680	1.0	0.5375725370182506	0.6147569799977557	host	azoR3	None	None	0.4053628811798007
gene-R0792_RS23675	0.8598765905510795	0.7600655618332546	1.0	host	gcvH	None	None	1.713941645796553
gene-R0792_RS18410	1.0	0.7207107185102244	0.605212358396968	host	gene-R0792_RS18410	None	None	2.6135780826778077
gene-R0792_RS08025	0.7064208507177732	0.5407962809125699	1.0	host	gene-R0792_RS08025	None	None	0.07978020899895714
gene-R0792_RS13260	0.8707417405148847	0.6911488492478718	1.0	host	rapA	None	None	0.38157323903359325
gene-R0792_RS18900	1.0	0.8060471819066664	0.8430499030089367	host	gene-R0792_RS18900	None	None	1.002791111339282
gene-R0792_RS22165	1.0	0.8055551075835573	0.8744684123817987	host	gene-R0792_RS22165	None	None	0.6544075104120364
gene-R0792_RS07510	0.7392572268748233	0.8551690368416899	1.0	host	gene-R0792_RS07510	None	None	0.08486120887079476
gene-R0792_RS12465	1.0	0.5089593042840095	0.7821356636231166	host	gene-R0792_RS12465	None	None	2.67711310746082
gene-R0792_RS11050	0.9692012440823894	0.7007034726820414	1.0	host	gene-R0792_RS11050	None	None	0.15177556510922977
gene-R0792_RS29925	1.0	0.7863272903885267	0.6790740111716604	host	gene-R0792_RS29925	None	None	142.118328309979
gene-R0792_RS18635	1.0	0.8247731778836231	0.7765332694877056	host	gene-R0792_RS18635	None	None	0.7219764956558383
gene-R0792_RS17010	0.8581209566842671	0.6792841876312629	1.0	host	gene-R0792_RS17010	None	None	0.4712085858618234
gene-R0792_RS20560	0.729164593936026	0.9167138954297834	1.0	host	gene-R0792_RS20560	None	None	11.956807782756297
gene-R0792_RS01310	1.0	0.9058504293297232	0.9388458410740295	host	hcuB	None	None	0.3219887065161567
gene-R0792_RS14230	0.9686146895841882	1.0	0.8161420451993391	host	nth	None	None	0.2874555070393907
gene-R0792_RS15855	0.7032061588629955	0.7162651216116439	1.0	host	gene-R0792_RS15855	None	None	2.6394679918878476
gene-R0792_RS28815	0.25559124546741724	0.1789936523692079	1.0	host	gene-R0792_RS28815	None	None	13.461791662372512
gene-R0792_RS02690	0.7834553533645571	0.7814680749744265	1.0	host	gene-R0792_RS02690	None	None	0.07045366863727727
gene-R0792_RS30185	1.0	0.8437903512198346	0.8469416308673278	host	trxB	None	None	0.40093480957187033
gene-R0792_RS15650	1.0	0.9525584521741922	0.9706829672775095	host	merD	None	None	0.16535884132578518
gene-R0792_RS24395	0.6797160050464622	0.6390250111034214	1.0	host	gene-R0792_RS24395	None	None	2.552798649705977
gene-R0792_RS11465	1.0	0.8548438615686779	0.7300770689339195	host	gene-R0792_RS11465	None	None	0.5922345258435148
gene-R0792_RS09825	1.0	0.713905511596621	0.9545225496190959	host	gene-R0792_RS09825	None	None	0.18913037237611147
gene-R0792_RS18400	0.737960039786465	0.8413382628415091	1.0	host	erpA	None	None	4.967119483519631
gene-R0792_RS30115	1.0	0.34462928920519353	0.5872672570612748	host	gene-R0792_RS30115	None	None	210.6378149217449
gene-R0792_RS18205	0.47542488999238613	0.7963414476464878	1.0	host	rpsQ	None	None	42.39781028995364
gene-R0792_RS06235	1.0	0.7912997700950107	0.5448216364652142	host	cynS	None	None	0.5478681697026498
gene-R0792_RS17105	0.9380335110535086	1.0	0.7835297915486492	host	mucE	None	None	0.19377298756871433
gene-R0792_RS29970	0.9468786174144809	0.8388600115999223	1.0	host	gene-R0792_RS29970	None	None	0.2935964686475869
gene-R0792_RS17000	1.0	0.8951657428276826	0.8786117858565289	host	gene-R0792_RS17000	None	None	0.6128426961850708
gene-R0792_RS01915	1.0	0.8891497920982163	0.5079931823478419	host	gene-R0792_RS01915	None	None	0.25265698164765205
gene-R0792_RS20925	1.0	0.7032710754949147	0.4517009943813764	host	gene-R0792_RS20925	None	None	4.462677776132842
gene-R0792_RS25735	0.8335315110596063	0.7483227951916176	1.0	host	lipC	None	None	0.07518086594761969
gene-R0792_RS07235	0.584502522501446	1.0	0.9147175791250044	host	gene-R0792_RS07235	None	None	0.14167960061232077
gene-R0792_RS00670	0.978532531428222	0.9301935475430004	1.0	host	gene-R0792_RS00670	None	None	0.18588117588116213
gene-R0792_RS29730	0.930782457511389	0.8683757035768258	1.0	host	lepB	None	None	2.5278626644429822
gene-R0792_RS02800	1.0	0.9798629274229935	0.7154506791650315	host	gene-R0792_RS02800	None	None	0.25527985946092585
gene-R0792_RS28020	1.0	0.6096221286106004	0.735089973682719	host	gene-R0792_RS28020	None	None	1.3542759158062898
gene-R0792_RS17695	0.892594538477085	0.866728119579486	1.0	host	gene-R0792_RS17695	None	None	0.05058920284705205
gene-R0792_RS20425	0.8889212531895133	0.9412772706748528	1.0	host	gene-R0792_RS20425	None	None	4.11327378560303
gene-R0792_RS29680	0.4536893647679212	0.3482232743409091	1.0	host	gene-R0792_RS29680	None	None	9.31980983103223
gene-R0792_RS17275	0.9607693827748188	1.0	0.8292768060091481	host	gene-R0792_RS17275	None	None	0.6961518360872516
gene-R0792_RS06770	1.0	0.9807368377738688	0.5441393847225632	host	gene-R0792_RS06770	None	None	0.30143148635834766
gene-R0792_RS12595	1.0	0.9175267582320841	0.7544267072031845	host	gene-R0792_RS12595	None	None	0.33605644595509765
gene-R0792_RS00735	1.0	0.8298157894308577	0.6150575304772501	host	phnB	None	None	1.4612191348292538
gene-R0792_RS17510	1.0	0.8142016283158252	0.775647003317021	host	gene-R0792_RS17510	None	None	0.7187753789043859
gene-R0792_RS05710	1.0	0.6700444922033421	0.5509154927179047	host	gene-R0792_RS05710	None	None	1.3275175132517332
gene-R0792_RS04430	1.0	0.6708302394594012	0.5324492592292266	host	pcrD	None	None	0.414659705637377
gene-R0792_RS20540	1.0	0.9721426134554745	0.9580223000062101	host	gene-R0792_RS20540	None	None	0.02832487831154071
gene-R0792_RS05875	0.41474307826777596	1.0	0.6605200650699893	host	gene-R0792_RS05875	None	None	0.03376821495535219
gene-R0792_RS23740	0.9056500599904439	0.8576062075712136	1.0	host	gene-R0792_RS23740	None	None	0.2515238616672425
