run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	experiment_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
ERR11738555	PRJEB64420	SAMEA114093340	ERX11139335	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:534-24682	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/055/ERR11738555/ERR11738555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/055/ERR11738555/ERR11738555_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738555/17_S113_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738555/17_S113_L003_R2_001.fastq.gz		MinusP_Infected_3-2	ftp.sra.ebi.ac.uk/vol1/err/ERR117/055/ERR11738555.bam
ERR11738559	PRJEB64420	SAMEA114093344	ERX11139339	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:536-24690	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/059/ERR11738559/ERR11738559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/059/ERR11738559/ERR11738559_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738559/24_S120_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738559/24_S120_L003_R2_001.fastq.gz		PlusP_Infected_6-3	ftp.sra.ebi.ac.uk/vol1/err/ERR117/059/ERR11738559.bam
ERR11738560	PRJEB64420	SAMEA114093345	ERX11139340	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:537-24692	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/060/ERR11738560/ERR11738560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/060/ERR11738560/ERR11738560_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738560/28_S124_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738560/28_S124_L003_R2_001.fastq.gz		MinusP_Infected_6-1	ftp.sra.ebi.ac.uk/vol1/err/ERR117/060/ERR11738560.bam
ERR11738561	PRJEB64420	SAMEA114093346	ERX11139341	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:537-24694	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/061/ERR11738561/ERR11738561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/061/ERR11738561/ERR11738561_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738561/29_S125_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738561/29_S125_L003_R2_001.fastq.gz		MinusP_Infected_6-2	ftp.sra.ebi.ac.uk/vol1/err/ERR117/061/ERR11738561.bam
ERR11738562	PRJEB64420	SAMEA114093347	ERX11139342	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:538-24696	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/062/ERR11738562/ERR11738562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/062/ERR11738562/ERR11738562_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738562/30_S126_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738562/30_S126_L003_R2_001.fastq.gz		MinusP_Infected_6-3	ftp.sra.ebi.ac.uk/vol1/err/ERR117/062/ERR11738562.bam
ERR11738563	PRJEB64420	SAMEA114093348	ERX11139343	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:538-24698	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/063/ERR11738563/ERR11738563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/063/ERR11738563/ERR11738563_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738563/34_S130_L004_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738563/34_S130_L004_R2_001.fastq.gz		PlusP_Infected_9-1	ftp.sra.ebi.ac.uk/vol1/err/ERR117/063/ERR11738563.bam
ERR11738565	PRJEB64420	SAMEA114093350	ERX11139345	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:539-24702	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/065/ERR11738565/ERR11738565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/065/ERR11738565/ERR11738565_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738565/36_S132_L004_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738565/36_S132_L004_R2_001.fastq.gz		PlusP_Infected_9-3	ftp.sra.ebi.ac.uk/vol1/err/ERR117/065/ERR11738565.bam
ERR11738551	PRJEB64420	SAMEA114093336	ERX11139331	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:532-24674	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/051/ERR11738551/ERR11738551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/051/ERR11738551/ERR11738551_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738551/10_S106_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738551/10_S106_L002_R2_001.fastq.gz		PlusP_Infected_3-1	ftp.sra.ebi.ac.uk/vol1/err/ERR117/051/ERR11738551.bam
ERR11738552	PRJEB64420	SAMEA114093337	ERX11139332	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:533-24676	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/052/ERR11738552/ERR11738552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/052/ERR11738552/ERR11738552_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738552/11_S107_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738552/11_S107_L002_R2_001.fastq.gz		PlusP_Infected_3-2	ftp.sra.ebi.ac.uk/vol1/err/ERR117/052/ERR11738552.bam
ERR11738553	PRJEB64420	SAMEA114093338	ERX11139333	238854	Synechococcus phage S-PM2	ena-EXPERIMENT-TAB-18-07-2023-17:11:46:533-24678	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/053/ERR11738553/ERR11738553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/053/ERR11738553/ERR11738553_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738553/12_S108_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11738553/12_S108_L002_R2_001.fastq.gz		PlusP_Infected_3-3	ftp.sra.ebi.ac.uk/vol1/err/ERR117/053/ERR11738553.bam
