Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	30_R1	30_R2	30_R3	Entity	Symbol
gene-SERP1638	609	425	1304	490	387	1416	307	197	1127	249	103	740	host	gene-SERP1638
gene-SERP0401	2273	1092	2301	1571	863	1761	289	102	352	262	49	212	host	gene-SERP0401
gene-SERP1878	633	454	485	466	398	459	78	25	97	99	11	38	host	sarY
gene-SERP1545	57	19	34	48	12	16	18	0	11	13	2	7	host	gene-SERP1545
gene-FDH45_gp015	0	0	0	134	177	93	2518	1247	1300	64494	58866	63025	phage	gene-FDH45_gp015
gene-SERP0330	3093	2455	2876	2579	2655	2342	395	168	512	217	30	177	host	gene-SERP0330
gene-SERP0030	400	275	531	326	377	381	61	23	71	48	9	28	host	gene-SERP0030
gene-SERP1018	1650	1706	1265	1247	1346	1023	183	98	213	101	15	53	host	gene-SERP1018
gene-SERP0166	2590	1883	2372	1965	1719	2540	439	196	469	312	42	254	host	radA
gene-SERP2042	2013	2404	805	1014	953	870	138	89	184	59	11	78	host	gene-SERP2042
gene-FDH45_gp068	0	0	0	5074	4757	4883	80829	87039	75681	11737	15051	34962	phage	gene-FDH45_gp068
gene-SERP1078	2895	2892	3386	2469	3980	2366	552	355	608	343	70	265	host	gene-SERP1078
gene-SERP0349	447	277	401	429	279	307	59	26	76	75	8	14	host	gene-SERP0349
gene-SERP0683	58770	54642	31777	37720	28922	26011	7736	3583	9137	2969	859	2948	host	pdhD
gene-SERP2111	1199	2140	734	1238	1294	769	118	65	94	73	9	35	host	gene-SERP2111
gene-SERP1715	27408	18729	22058	19906	17433	20510	3483	1608	4787	1634	386	1545	host	atpB
gene-SERP0397	22832	38935	15012	19181	21025	12542	2320	1795	2550	1601	477	1302	host	nrdE
gene-SERP0434	2817	2750	2469	1848	2587	1792	331	188	407	188	35	182	host	gene-SERP0434
gene-SERP0702	728	865	819	707	609	693	61	33	94	78	10	46	host	gene-SERP0702
gene-SERP1410	1516	1994	801	922	1119	757	122	67	135	69	17	72	host	gene-SERP1410
gene-SERP1371	3494	4947	2455	3003	3765	2260	377	271	424	294	69	138	host	gene-SERP1371
gene-SERP1845	695	782	421	451	458	296	46	41	72	37	8	30	host	gene-SERP1845
gene-SERP1229	1150	1507	807	870	1119	637	118	52	100	70	20	41	host	gene-SERP1229
gene-SERP0769	11852	6852	11976	13566	6655	21572	2102	716	3542	1764	200	1162	host	carB
gene-SERP1071	17504	16787	14965	12716	16957	12744	2773	1552	3204	1011	451	1090	host	gnd
gene-SERP1242	14377	8947	27277	17635	9648	22517	2702	1207	3999	2759	311	1352	host	rplT
gene-FDH45_gp066	0	0	0	1101	791	912	31293	21975	28092	18283	23866	24568	phage	gene-FDH45_gp066
gene-SERP2080	1863	1692	1850	1748	1721	1514	287	270	370	211	39	156	host	gene-SERP2080
gene-SERP0529	5503	2585	2323	2055	2616	2380	459	279	609	304	50	215	host	gene-SERP0529
gene-FDH45_gp028	0	0	1	1627	2163	1317	47098	32432	33053	272621	256633	280206	phage	gene-FDH45_gp028
gene-SERP0102	2562	2108	2188	1838	2282	1579	453	152	419	331	35	254	host	gene-SERP0102
gene-SERP1687	892	750	561	530	556	362	85	41	81	44	3	47	host	gene-SERP1687
gene-SERP0254	617	236	219	270	223	237	55	22	102	64	5	55	host	gene-SERP0254
gene-SERP1310	8600	9947	4159	4733	6150	3296	919	464	776	425	146	477	host	gene-SERP1310
gene-SERP0879	1007	360	1069	914	220	948	249	68	235	112	15	65	host	gene-SERP0879
gene-SERP1574	29	20	13	22	15	11	3	4	5	4	1	3	host	gene-SERP1574
gene-SERP0170	4400	4763	3392	3965	4482	2766	748	412	635	251	93	261	host	cysS
gene-SERP1316	3858	3885	2931	3800	2763	3341	383	180	619	563	66	243	host	gene-SERP1316
gene-SERP1394	183	124	183	119	118	154	13	5	26	27	0	15	host	gene-SERP1394
gene-SERP2412	26397	13842	28172	21413	19516	19057	4183	2819	4562	1371	527	1515	host	mqo-4
