Geneid	0	30	60	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-VC_RS17170	1.2774710883819542	1.4464040398380988	6.367128128040285	host	gene-VC_RS17170	None	None	8.14796848734507
gene-VC_RS14125	0.39421646712602165	0.10081537771908525	0.7753838482029738	host	tnaA	None	None	0.5067840689771214
gene-VC_RS08575	1.642729172038101	2.6020068533445126	1.2604399168186895	host	gene-VC_RS08575	None	None	0.8245881701206658
gene-VC_RS10955	15.937477033318661	74.99168331814994	39.59653319845522	host	ribE	None	None	26.69018867119618
gene-VC_RS11895	3.476332926735144	6.337364853131634	2.6117500467632677	host	gene-VC_RS11895	None	None	3.2610694334922345
gene-VC_RS09510	1.8861715044243057	4.447833258068013	4.941126966579759	host	gene-VC_RS09510	None	None	1.0106400704883494
gene-VC_RS00630	4.866751845256386	21.218017170268144	9.925380025024802	host	rhtB	None	None	3.3990451091158866
gene-VC_RS06515	0.6800754792884618	0.1896006455237559	0.8773257785278028	host	prpF	None	None	3.0724096636404576
gene-VC_RS08595	0.9331888333349205	2.7575707600323085	2.2286442218600517	host	gene-VC_RS08595	None	None	1.3044655252415962
gene-VC_RS10535	295.2459733181366	617.9865668192791	309.466117246747	host	gene-VC_RS10535	None	None	346.66386660617434
gene-VC_RS09295	1.015764142117458	1.3845165263523136	0.634956195503975	host	gene-VC_RS09295	None	None	0.22215359288163455
gene-VC_RS12060	1.7401267313719408	8.043318091287821	4.725283309780014	host	gene-VC_RS12060	None	None	0.7502986854035378
gene-VC_RS13250	13.344550160722454	6.4040854273004255	34.791632615380365	host	add	None	None	9.311556475826595
gene-VC_RS08755	1.069744373001908	3.6416448472511647	2.973087360492527	host	gene-VC_RS08755	None	None	0.8405032990722285
gene-VC_RS05540	33.26079490165299	41.84607939410921	38.932433121845236	host	gene-VC_RS05540	None	None	6.079493368637022
gene-VC_RS12545	3.337711926769096	29.660064817314744	38.63035284662661	host	gene-VC_RS12545	None	None	11.682450398691557
gene-VC_RS17460	2.968461874278301	7.53705635787726	6.835230231464072	host	gene-VC_RS17460	None	None	2.9288492479365575
gene-VC_RS14795	2.8996937533251494	18.240935924927104	13.750651203570888	host	gene-VC_RS14795	None	None	5.597400891443547
gene-VC_RS12465	111.74932312130237	27.667795190077335	35.40573326839234	host	rplX	None	None	20.854473371093615
gene-VC_RS12650	3.480989439798979	1593.493868537345	2.0616020190676223	host	trpS	None	None	2442.2772633823533
gene-VC_RS11430	3.733639024520668	26.092628001783297	2.5181146730975414	host	gltB	None	None	70.16720455451832
gene-VC_RS02735	33.36011112058802	31.83250891292828	32.59918872478467	host	cysT	None	None	106.96357724027234
gene-VPVV882_gp29	16.197567240793937	55.510651718803935	164.36112729254205	phage	gene-VPVV882_gp29	middle	late	525.9868234697366
gene-VC_RS05205	5.085703680171456	3.553583995332224	4.885743884979772	host	gene-VC_RS05205	None	None	0.3622608234858265
gene-VC_RS10225	4.263376215592506	6.167949487669759	9.478937000832499	host	fliM	None	None	2.860336480994162
gene-VC_RS02100	10.393806283898108	41.279141492076306	14.246920958507735	host	gene-VC_RS02100	None	None	9.327272214526328
gene-VC_RS16695	11.170964109163585	55.66767177064842	12.066456075447146	host	gene-VC_RS16695	None	None	34.59075823053591
gene-VC_RS03480	2.173963034978947	5.148457218122703	2.919004795679218	host	murQ	None	None	0.7407344687940918
gene-VC_RS07380	4.049794695185103	3.960464024183147	5.918082750826752	host	mobA	None	None	1.6795783421656354
gene-VC_RS01440	1.6599565542923473	4.456828017611518	1.4415454483061123	host	acs	None	None	16.471565641667006
gene-VC_RS07045	9.909340381936765	17.572795567577458	14.376209523952356	host	rstR	None	None	2.8172097770925677
gene-VC_RS18150	2.3706816210433055	2.4307973298898675	2.0047857545243475	host	gene-VC_RS18150	None	None	2.5661291430182716
gene-VC_RS04770	4.559312009574637	7.4195598395696996	8.962395125631835	host	gene-VC_RS04770	None	None	1.0293882786861064
gene-VC_RS11345	13.20214230457121	4.816593341602377	208.551401535092	host	gene-VC_RS11345	None	None	71.95053718415159
gene-VC_RS08435	2.7190097566463844	2.9985843618940082	0.5370289705424403	host	gene-VC_RS08435	None	None	2.534815279692715
gene-VC_RS11455	3.697101401827674	24.895835875135933	4.03697859916309	host	mtnN	None	None	2.051003582121296
gene-VC_RS02785	375.79746760195115	226.80211427872368	1054.1317175040786	host	gene-VC_RS02785	None	None	348.751973010556
gene-VC_RS12620	0.48388077011239994	2.2708099938908384	2.3232794663501948	host	astA	None	None	0.18630407039570931
gene-VC_RS10445	4.937862015372091	9.803227882308475	1.906990494006059	host	gene-VC_RS10445	None	None	0.8351473999540371
gene-VC_RS18130	0.5468282153095796	1.6253925833167056	1.8251485432476393	host	nhaD	None	None	0.3033003805361809
gene-VC_RS02465	4.04248622597997	4.49371939361981	379.48757827516323	host	gene-VC_RS02465	None	None	475.2122213653725
gene-VC_RS10805	4.077737718190859	18.43035589478042	116.578953962703	host	gloB	None	None	66.69039156576812
gene-VC_RS03960	0.29750949794732834	0.07184904093445629	0.4533870090062259	host	gene-VC_RS03960	None	None	0.21875303924653736
gene-VC_RS13535	6.444315924435847	18.211627161633572	4.081225089527432	host	gene-VC_RS13535	None	None	4.435666438292649
gene-VC_RS15290	5.49094427713739	13.443907679071046	6.327512187796132	host	gene-VC_RS15290	None	None	2.518287144197887
gene-VC_RS00660	9.784413975341632	12.020052174048002	6.033379508031544	host	gene-VC_RS00660	None	None	5.206440898451409
gene-VC_RS03445	54.43701736383672	19.3394305354009	21.17802863974114	host	ileS	None	None	13.336013264360078
gene-VC_RS05595	3.5678195017657757	8.622789074737	4.230200302914753	host	gene-VC_RS05595	None	None	5.7682900462653075
gene-VC_RS13415	7.8389017609314084	6.72899598215646	5.11250399152285	host	gene-VC_RS13415	None	None	4.288460168867172
gene-VC_RS16090	2.6997803506645264	9.642205273585251	2.203165110378629	host	gene-VC_RS16090	None	None	0.9156154179083695
gene-VC_RS15960	6.353570031995451	12.415708376743218	2.207949936798778	host	gene-VC_RS15960	None	None	5.670299652864501
gene-VC_RS00570	7.275889286118283	16.387856931322805	4.862651434576243	host	cyaY	None	None	1.563831151702399
gene-VC_RS04755	19.885824529467303	21.486319334472817	6.772419339243308	host	ybeY	None	None	5.587699253704564
gene-VC_RS02335	0.6066251679169583	8.761153191349672	1.945654853575902	host	hemW	None	None	4.815844597672163
gene-VC_RS05370	2.8693040531841056	4.205810593970526	2.8113382136143987	host	gene-VC_RS05370	None	None	7.357524086091095
gene-VC_RS17620	0.5681573169276015	1.8552799107395557	1.2034696538390879	host	gene-VC_RS17620	None	None	0.2381063940772682
gene-VC_RS09900	2.093793701403559	7.622997383195505	11.543761623132287	host	gene-VC_RS09900	None	None	5.212940229420622
gene-VC_RS06035	2.225028649141096	6.5868560640453016	7.351616290749144	host	sbcB	None	None	0.9281355237297164
gene-VC_RS13210	2.6271873364307567	1.0675755913967306	2.634931765974692	host	gene-VC_RS13210	None	None	7.577291317387835
gene-VC_RS07775	4.943605672872427	11.73525462272537	10.504638258474017	host	gene-VC_RS07775	None	None	8.227674267761444
gene-VC_RS00935	6.672492845464512	5.523875398734318	9.573657052183282	host	uvrD	None	None	1.110136599520108
gene-VC_RS00985	4.833442756526295	2.9498319602340484	1.4582994445715698	host	gene-VC_RS00985	None	None	1.4455840471951045
gene-VC_RS06985	1.6720549248952945	13.12066333148629	17.68208828770211	host	gene-VC_RS06985	None	None	2.769431049594329
gene-VC_RS00765	10.15202587358969	48.391387986055726	5.5496185250549654	host	ilvC	None	None	158.84321991516126
gene-VC_RS06085	4.2738274257588875	16.922489273447592	2.5363603138621413	host	gene-VC_RS06085	None	None	3.340213008744651
gene-VC_RS10770	6.423748475367411	8.378955842940377	17.34277805360508	host	gene-VC_RS10770	None	None	2.3385212091251266
gene-VC_RS10460	2.384751402184942	8.140567242462906	5.524520142273579	host	prfA	None	None	0.9137416355402567
gene-VC_RS15975	3.2438665030126934	15.862072425514139	19.674223630871555	host	gene-VC_RS15975	None	None	3.8239744701711404
gene-VC_RS03400	64.97070998265475	7.022446883278759	2.5066505309403864	host	gene-VC_RS03400	None	None	34.62704162754744
gene-VC_RS11055	4.9435412036725985	12.772499062637038	0.8756483040370717	host	gene-VC_RS11055	None	None	5.472769165568024
gene-VC_RS01510	1138.916933939883	3312.972319582369	2412.1793334921535	host	gene-VC_RS01510	None	None	1336.2893945166945
gene-VC_RS04260	97.43051551047353	299.23783784517803	23.50724214324192	host	grpE	None	None	165.59576310277137
gene-VC_RS17385	2.9709964821860275	1.5142196225640068	2.5752882734342375	host	gene-VC_RS17385	None	None	0.49336815581763604
gene-VC_RS18065	7.544248382264981	10.850901047825632	4.3776005808919605	host	gene-VC_RS18065	None	None	0.80524892229711
gene-VC_RS01895	3.0825302099854244	11.750498036622837	13.544679181876258	host	zur	None	None	12.64394810106245
gene-VC_RS16745	0.1857419197155819	0.4857543639439948	0.6985970664449194	host	gene-VC_RS16745	None	None	0.4248534648990436
gene-VC_RS11730	0.5947649760104787	12.806759789674283	4.400033797056774	host	nudF	None	None	2.937910353693342
gene-VC_RS00400	4.6188644532616046	13.074254673925767	9.550998931998874	host	gene-VC_RS00400	None	None	1.515162296793759
gene-VC_RS09215	7.1536246465155555	12.184313309546452	8.885605099299896	host	pyrF	None	None	1.1304365334129491
gene-VC_RS12895	2.154987112745145	13.485737439878127	49.710374034064365	host	cytR	None	None	11.660823358453682
gene-VC_RS16070	325.22938735185596	113.52196161090721	355.2042030182085	host	gene-VC_RS16070	None	None	277.868872163891
gene-VC_RS13830	1.8705487504430167	17.194373101874902	5.616680647335599	host	gene-VC_RS13830	None	None	4.63645047725786
gene-VC_RS10135	18.938308353271733	67.5744406420775	2.7669322534430476	host	fcrX	None	None	10.994587608910017
gene-VC_RS10675	4.768059254034679	8.622092991089634	4.179924080135886	host	gene-VC_RS10675	None	None	0.9236384606895849
gene-VC_RS11405	0.6039572778939847	2.6138109447789257	3.371356778981451	host	gene-VC_RS11405	None	None	2.375517142934356
gene-VC_RS12945	27.23449347565153	45.985369771833476	24.385182368613194	host	pfkA	None	None	4.474112705572805
gene-VC_RS02040	5.045413436810479	7.165033197859144	2.756449089717161	host	gene-VC_RS02040	None	None	13.13495148748134
gene-VC_RS01660	3.308223090394212	3.7414112074480723	1.6298470955665953	host	gene-VC_RS01660	None	None	0.32133572903698293
gene-VC_RS06830	0.26606899058034406	2.241589039374868	1.9161905913293313	host	vceB	None	None	0.3489776099324611
gene-VC_RS07955	3.2016256356034094	2.0303987794914162	1.5604420830048513	host	gene-VC_RS07955	None	None	0.6305090299988505
gene-VC_RS11010	3.1252091496960968	6.125651017384766	5.811342495285089	host	gene-VC_RS11010	None	None	1.4681494807158242
gene-VC_RS12890	10.991880706533367	26.753726141297786	4.17028782998208	host	gene-VC_RS12890	None	None	3.747223670546124
gene-VC_RS05000	2.34087068129367	6.858296215161635	1.259442357464447	host	rsxD	None	None	4.339015745409243
gene-VC_RS05680	5.355408725545371	35.78708770823623	14.891815855482294	host	serC	None	None	7.2785894895663805
gene-VC_RS07110	0.42613756302152705	0.8713677294887238	1.4112271717039768	host	gene-VC_RS07110	None	None	0.20032034871633925
gene-VC_RS05455	11.795624705875644	18.966080654042674	1.3435113874446858	host	bioB	None	None	34.33148298887616
gene-VC_RS09135	12.486418417366913	5.710577360221491	6.214872175536395	host	lpoB	None	None	0.9200537277979681
gene-VC_RS14985	4.355907525000594	16.829517373497172	1.1664523970364682	host	gene-VC_RS14985	None	None	1.9479107041681913
gene-VC_RS17310	13.69837835616148	18.50230932840689	28.948066947410002	host	gene-VC_RS17310	None	None	3.3993142218118084
gene-VC_RS07465	4.737397570256268	12.169624698954939	2.465674022034038	host	gene-VC_RS07465	None	None	2.2900254611389914
gene-VC_RS02520	0.2327353210418553	1.5642111036002129	1.6296263353473297	host	gene-VC_RS02520	None	None	3.670877982610109
gene-VC_RS05765	4.395624542074892	5.230231788001147	6.970281485862384	host	gene-VC_RS05765	None	None	0.885433042235643
gene-VC_RS04035	1.4093670357182073	3.6763566496636377	3.2843477709353888	host	gene-VC_RS04035	None	None	0.6572687825944293
gene-VC_RS07145	6.892776503894523	7.530177967768365	0.5919549311540451	host	gene-VC_RS07145	None	None	5.693200221664331
gene-VC_RS03495	2.6918396255023227	3.2858567098502025	2.553514133022008	host	btsR	None	None	2.622186893805573
gene-VC_RS05040	2.0029348187192073	13.260975311900388	155.6668362327775	host	gene-VC_RS05040	None	None	83.64453851455325
gene-VC_RS13855	5.670778496455427	13.079180188281537	2.9915590643552528	host	gene-VC_RS13855	None	None	1.487129378740648
gene-VC_RS16500	1.2538779191098641	0.384028668437838	0.19529392721143918	host	gene-VC_RS16500	None	None	0.2987312644105147
gene-VC_RS04660	7.888359950436987	20.185443982938875	9.590715031238148	host	vpsQ	None	None	1.5672338137685982
gene-VC_RS06445	2.4397902802788605	6.729091204214009	2.3105644595552968	host	nqrM	None	None	1.2179495841868107
gene-VC_RS18035	0.819420326569314	0.3351030814164541	0.10203336145643876	host	grxB	None	None	0.21624002497830191
gene-VC_RS01605	514.5621346023132	494.29191786142434	3890.443798471468	host	rplJ	None	None	2255.46360950435
gene-VC_RS06280	11.405466093297505	21.164626022208562	3.930725069437758	host	mdoH	None	None	6.200187786341448
gene-VC_RS08665	1.2868644362819792	3.815446422001261	0.7820731392300888	host	gene-VC_RS08665	None	None	1.0963982792223026
gene-VC_RS08160	4.421602161482702	12.01470933755643	7.412407554148389	host	gene-VC_RS08160	None	None	1.608516171443859
gene-VC_RS05195	9.979606987857032	11.01212582671049	2.6467368088423986	host	gene-VC_RS05195	None	None	6.109882066080246
gene-VC_RS04785	167.33384457425387	221.86149077415965	1720.8084383653986	host	gene-VC_RS04785	None	None	722.46132433243
gene-VC_RS05020	401.13618658785856	1103.262331837967	865.4855441036224	host	gene-VC_RS05020	None	None	557.9030157822303
gene-VC_RS09970	1.6032680858655415	6.889800581628997	2.6776162773989127	host	flhA	None	None	0.6262745669066125
gene-VC_RS16585	5.250600642688129	8.74489696245267	3.925834707299975	host	gene-VC_RS16585	None	None	1.2737713582929007
gene-VC_RS09525	1.123959341829883	6.763439613055544	1.5373397911968263	host	gene-VC_RS09525	None	None	1.4682822743075654
gene-VC_RS10520	239.9022383101634	128.26892058934448	186.67672231952122	host	gene-VC_RS10520	None	None	178.79668304786597
gene-VC_RS09810	12.201566358317143	20.8293291726327	3.4023552028430286	host	yejK	None	None	2.6015176766795554
gene-VC_RS10230	4.357962036375509	29.616021879941965	11.994164476557378	host	fliL	None	None	4.215980062548646
gene-VC_RS11970	1.9265556363430383	1.1679738513660782	1.136273539730543	host	leuO	None	None	0.40256615569140003
gene-VC_RS13835	0.9792935325109433	4.827322859557367	6.173716355274149	host	pncB	None	None	2.746674299952009
gene-VC_RS17765	33.82028148880328	40.19813608529914	45.858621731575674	host	gene-VC_RS17765	None	None	94.93254456384571
gene-VC_RS07300	19.525123629453276	1.3192195227341779	0.35329078877522396	host	gene-VC_RS07300	None	None	11.235574580894857
gene-VC_RS14430	11.107290877463107	21.07523505851805	4.614841681706228	host	vctG	None	None	7.686315724342215
gene-VC_RS17715	9.609168757034515	17.68597373483072	9.186851033093623	host	gene-VC_RS17715	None	None	4.85757189311843
gene-VC_RS02300	4919.541995832912	1578.3066595236044	1159.7709182254257	host	gene-VC_RS02300	None	None	7105.053830252869
gene-VPVV882_gp08	22.7088733022822	50.20496841688491	266.10115140209643	phage	gene-VPVV882_gp08	middle	late	1496.7542433711872
gene-VC_RS14560	6.256161575355731	8.081503812136459	14.734630313171259	host	gene-VC_RS14560	None	None	3.695735200777227
gene-VC_RS07545	1.9439566428568131	1.391430322158105	0.8882804614479914	host	katG	None	None	0.3700631932068774
gene-VC_RS02015	5.474150526881774	5.163877257507502	8.984022803893938	host	csrD	None	None	1.0543385370128235
gene-VC_RS08830	3.1675026588245787	5.317646396021688	8.593908655783888	host	cqsR	None	None	1.8144096339633309
