Geneid	0	15	60	120	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-VC_RS05940	0.9300496327105615	1.0	0.7542530317083499	0.8248651853612204	host	uvrY	None	None	3.062564687394792
gene-VC_RS09250	1.0	0.9724237601270742	0.744306148443223	0.8238731078921272	host	ppiD	None	None	3.278294258825005
gene-VPVV882_gp06	0.057294167763528234	0.017414082998260517	0.597689994046289	1.0	phage	gene-VPVV882_gp06	middle	late	1436.399560864209
gene-VC_RS06190	1.0	0.9412180422792853	0.7067063419111865	0.6858308636609842	host	gene-VC_RS06190	None	None	4.076520352002098
gene-VPVV882_gp21	0.07387582652164934	0.01769642473923163	0.8303984797642046	1.0	phage	gene-VPVV882_gp21	middle	late	2506.3910923252906
gene-VC_RS11700	0.8614558208930061	0.9554746198837919	0.829150483482541	1.0	host	yacG	None	None	1.3159645959665305
gene-VC_RS02800	0.961325343274421	1.0	0.7588330878332894	0.5082518902420621	host	gene-VC_RS02800	None	None	175.41554952542842
gene-VC_RS05315	0.9792224804335067	0.9372649342035927	0.895710199818597	1.0	host	gene-VC_RS05315	None	None	0.34188091921793873
gene-VC_RS05325	1.0	0.9483931032657327	0.7195317486823601	0.9354226549629356	host	gene-VC_RS05325	None	None	0.51537603382996
gene-VC_RS08465	0.9068902986538667	0.941749313547735	0.7931756952735803	1.0	host	gene-VC_RS08465	None	None	0.35863771360016655
gene-VC_RS12000	0.9438802198715704	0.8856542897893952	0.5832869498908625	1.0	host	leuC	None	None	3.749305243012636
gene-VC_RS18010	1.0	0.9883980541013035	0.6824276851486057	0.4737512636758589	host	ppsA	None	None	2.910439617896083
gene-VC_RS00165	1.0	0.9918846482242188	0.6625499517688274	0.6466464853578726	host	ccoG	None	None	3.0452400067733434
gene-VC_RS12510	0.9905622044915803	0.887563406894245	1.0	0.9832427632926214	host	rplW	None	None	15.297709054265807
gene-VC_RS01050	0.9801968939744128	1.0	0.6597528726120415	0.6878624999803262	host	gene-VC_RS01050	None	None	3.7830367021284155
gene-VC_RS07365	0.9166909457473619	1.0	0.7463603378667785	0.9912701145112385	host	gene-VC_RS07365	None	None	0.33623577082490164
gene-VC_RS07550	0.9702541438643062	1.0	0.8696592994837101	0.9644885372339742	host	gene-VC_RS07550	None	None	0.31075838326587407
gene-VC_RS11670	0.9307889660794072	1.0	0.7812049840559859	0.847698436511286	host	gene-VC_RS11670	None	None	0.8836956826227649
gene-VC_RS12385	0.27516933645065145	0.26070261336627787	0.5789639146535027	1.0	host	gene-VC_RS12385	None	None	85.82933360502024
gene-VC_RS17315	0.6239711286303921	0.5996198186011832	0.7518028951556422	1.0	host	gene-VC_RS17315	None	None	2.7585661177263643
gene-VC_RS11855	0.8859853661396305	0.9715333418890635	0.8705307886601802	1.0	host	rnc	None	None	0.7090774299576835
gene-VC_RS14655	0.5992968656920359	0.5616013791891888	0.7669017377783202	1.0	host	gene-VC_RS14655	None	None	6.051251499082882
gene-VC_RS15940	0.7500848955496524	0.7604244487212614	0.8985148770679612	1.0	host	ylqF	None	None	1.7506688300985649
gene-VC_RS01845	1.0	0.9320959790905488	0.807200090154345	0.7511030850929266	host	priB	None	None	55.21544248734811
gene-VC_RS10215	1.0	0.9702673592850598	0.8259512617733119	0.9638757684387339	host	fliO	None	None	1.021073985570346
gene-VC_RS07510	0.3577625522134014	0.35075108167833763	0.5601113592734164	1.0	host	gene-VC_RS07510	None	None	1.787173266415701
gene-VC_RS19075	0.28483842548865695	0.2580198796804097	0.6404827954002165	1.0	host	gene-VC_RS19075	None	None	100.7726413394882
gene-VC_RS10120	0.33276608367963606	0.31185373373383085	0.510277573544731	1.0	host	gene-VC_RS10120	None	None	4.210364376107095
gene-VC_RS06220	0.6729159270756521	0.6667965827448573	0.7086334657048778	1.0	host	gene-VC_RS06220	None	None	0.6510031016807568
gene-VC_RS17255	0.9278881959894727	0.8474117738876401	0.5499697062716372	1.0	host	groL	None	None	3.7999917988773424
gene-VC_RS13190	0.546136068744057	0.5237208332707337	0.6304969452186092	1.0	host	gene-VC_RS13190	None	None	4.046671688842671
gene-VC_RS04535	1.0	0.9555860073601818	0.793597551231252	0.5929677735735949	host	gene-VC_RS04535	None	None	53.66779237255413
gene-VC_RS00425	0.9865463555793184	1.0	0.9475119651353007	0.898642029559313	host	tatA	None	None	1.9686807296989592
gene-VC_RS02440	1.0	0.9879748497676746	0.7618150699537176	0.7182271306834185	host	epd	None	None	2.8122155505209903
gene-VC_RS15705	0.37586867961485404	0.34682032545058034	0.6176893405642678	1.0	host	gene-VC_RS15705	None	None	73.52694920155453
gene-VC_RS04705	0.9854954312709088	1.0	0.6190429949624087	0.8491512364706522	host	mrdB	None	None	1.8268508998471964
gene-VC_RS17015	0.7939227214733815	0.7204035899765605	0.8265784830796638	1.0	host	gene-VC_RS17015	None	None	1.585413409563774
gene-VC_RS18400	0.42528791595977916	0.38204030072529144	0.6292699485994672	1.0	host	putA	None	None	9.688229824394114
gene-VC_RS03005	0.7250897962087689	0.6627290443552232	0.7432730280487192	1.0	host	panC	None	None	3.822921907911051
gene-VC_RS00600	0.9487847804109222	0.8607415058126957	0.6255837878383973	1.0	host	yigB	None	None	1.474242715908298
gene-VC_RS11445	1.0	0.9514758076416401	0.4482170304941865	0.7227975220386038	host	gene-VC_RS11445	None	None	3.5298682701887745
gene-VC_RS14070	0.7253340820160243	0.6804015553223687	0.9363170410537799	1.0	host	def	None	None	4.767532511465031
gene-VC_RS08355	0.9402884983579609	1.0	0.5262112475210977	0.5176467282171039	host	glgA	None	None	9.681314418918975
gene-VC_RS15515	0.5607566353638458	0.5260586022649595	0.7066737758257111	1.0	host	gene-VC_RS15515	None	None	18.3686918733365
