Geneid	5	10	20	40	50	65	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-HB27c_C0430	0.6764609698637721	0.5625039974124583	0.668012557274299	0.7926774424021491	0.9834528400670092	1.0	host	gene-HB27c_C0430	None	None	1.1674909553645962
gene-HB27c_C0471	0.27295793520818873	0.4945672265338344	0.4441862593588185	0.4129002435223953	0.6367766859185408	1.0	host	gene-HB27c_C0471	None	None	2.8532652904010605
gene-HB27c_C1367	0.9678150049327122	0.6290548620121399	0.7900427846481933	0.6323757456198104	0.7016739692160409	1.0	host	gene-HB27c_C1367	None	None	247.29534524199343
gene-HB27c_C0053	0.5376161151736368	0.5618657955874707	0.5947717438765939	0.5061571257146004	0.5890308682813264	1.0	host	gene-HB27c_C0053	None	None	4.156575151286004
gene-HB27c_C1408	0.3255874400422625	0.6139414740049887	0.5289147321674167	0.6661659127901014	1.0	0.7060937846708382	host	gene-HB27c_C1408	None	None	3.204086471812317
gene-HB27c_C0671	0.7824666942339016	0.43148497169025296	0.6856302083651697	0.5368003601561877	1.0	0.6336739093199828	host	gene-HB27c_C0671	None	None	0.37110492100022807
gene-HB27c_C0555	0.804455190048123	0.6778655505186915	0.9166540408490975	0.8777478985972996	0.9397666673961463	1.0	host	gene-HB27c_C0555	None	None	1.3476287906285347
gene-HB27c_C0266	0.865507158199191	0.8084716641279296	1.0	0.786688921508838	0.9852662277468267	0.6747381078885483	host	gene-HB27c_C0266	None	None	6.961347047124482
gene-HB27c_C0463	0.6497975995114338	0.6304904638085475	0.6528185217813607	1.0	0.7384613288673237	0.44803118024519983	host	gene-HB27c_C0463	None	None	2.6305930955782797
gene-HB27c_C1565	0.35714735660696784	0.6471045045890793	1.0	0.3600038136299021	0.395151927395647	0.4436349813395804	host	gene-HB27c_C1565	None	None	121.08278832119224
gene-HB27c_C1231	0.13148164117541794	0.043923012681255064	1.0	0.04515959645814671	0.05426319161816002	0.0639825292206866	host	gene-HB27c_C1231	None	None	721.0385586279807
gene-HB27c_P0060	1.0	0.46160361729832894	0.48554890891990926	0.5433236716285205	0.5775927937934028	0.9070570681466359	host	gene-HB27c_P0060	None	None	1.7447946884939391
gene-HB27c_C0431	0.6186137580552417	0.7102580838582893	0.6425368887845314	0.8346579353890413	0.8497454771956446	1.0	host	gene-HB27c_C0431	None	None	1.7151365395785447
gene-HB27c_C1822	0.3583613719513754	1.0	0.8075252831132471	0.524055078805905	0.5952249045588204	0.601880572653832	host	gene-HB27c_C1822	None	None	3.61681252871052
gene-HB27c_C0664	0.49071658481768987	0.5252856878092279	0.5255390541131808	0.6050885527139058	0.6763280328700029	1.0	host	gene-HB27c_C0664	None	None	0.6884521275475747
gene-HB27c_C0615	0.3182771543973252	0.28572184471249934	0.3691502698442065	0.30548460436246805	0.37475547500349465	1.0	host	gene-HB27c_C0615	None	None	19.67870385488949
gene-HB27c_C1644	1.0	0.0786819521089551	0.08767010985851713	0.08396917634334138	0.11698302814488214	0.05032531329553582	host	gene-HB27c_C1644	None	None	3763.5098479805833
gene-HB27c_C0031	0.4175901917860341	0.47293398289625427	0.5783739964518321	0.7252452676876079	0.6216752625370733	1.0	host	gene-HB27c_C0031	None	None	7.977865479786533
gene-HB27c_C1777	1.0	0.12148562829769179	0.17566541686353085	0.07017749728904465	0.08405179585622123	0.1742371405662841	host	gene-HB27c_C1777	None	None	642.8384690594169
gene-HB27c_C0774	0.5456988352174311	0.642015840655723	0.8081819067454798	0.7418911820231369	0.8910353448922261	1.0	host	gene-HB27c_C0774	None	None	1.792975632420958
gene-HB27c_C0812	0.4988045535359128	0.7322420457544632	0.7056470675432737	0.5044310997104585	0.9834528400670091	1.0	host	gene-HB27c_C0812	None	None	2.3068113270074138
gene-HB27c_C1355	1.0	0.3244994331958979	0.5117636220084902	0.36517563985837304	0.4070159487794222	0.21093144256495439	host	gene-HB27c_C1355	None	None	790.2413166110849
gene-HB27c_C0259	0.7796370129456449	0.8674809304003229	0.8151995803125489	0.7401613279117452	0.7133871031642496	1.0	host	gene-HB27c_C0259	None	None	1.10495736439498
gene-HB27c_C1575	0.565068844247576	0.4768093411020232	0.4431541790194638	1.0	0.49808006697791385	0.594540646485966	host	gene-HB27c_C1575	None	None	4.057922717214829
gene-HB27c_C1076	0.5472258991993529	0.6905281193221813	0.8311633918662613	1.0	0.580745095845942	0.8263540760548792	host	gene-HB27c_C1076	None	None	7.704630419766656
gene-HB27c_C1742	0.06250520810692009	0.16156799065191185	1.0	0.33701073777929924	0.06845363709712504	0.278311186010944	host	gene-HB27c_C1742	None	None	397.3850147103901
gene-HB27c_C0586	0.4265706260179919	0.4085555349627328	0.7934609248375474	0.3314832940954441	0.8767215240907443	1.0	host	gene-HB27c_C0586	None	None	4.33236881680619
gene-HB27c_C1385	0.00704597623509455	0.008445612304145452	1.0	0.023464223801706555	0.02273673567079018	0.023177566024971064	host	gene-HB27c_C1385	None	None	879.5844760736068
gene-HB27c_C1213	0.23079985795360078	1.0	0.24717798988484335	0.3065116281566404	0.600853508857249	0.48952953242511665	host	gene-HB27c_C1213	None	None	4.502789027558357
gene-HB27c_C0133	0.4764619273066459	0.5094334448300742	0.553018220341321	0.6015807929880284	0.7208599198079455	1.0	host	gene-HB27c_C0133	None	None	2.6602505854544023
gene-HB27c_C0278	0.42032754339684475	0.47992530755871815	0.5774482277500285	0.5016565359840144	0.5710410782580357	1.0	host	gene-HB27c_C0278	None	None	4.696355800423834
gene-HB27c_C1064	0.5478961808563351	1.0	0.7926908852310873	0.5070194358292544	0.5249891543383383	0.41816304022646644	host	gene-HB27c_C1064	None	None	13.723385335142163
gene-Lalka27a_69	0.01720247848217003	0.016870611121597986	0.0843937424616822	0.5855440635024212	1.0	0.5184604712618042	phage	gene-Lalka27a_69	middle	late	1876.2688242574957
gene-HB27c_C1424	0.9114336120423081	0.6331211215413641	0.856434737995789	1.0	0.718198822911161	0.8698820534588851	host	gene-HB27c_C1424	None	None	3.3402801865876968
gene-HB27c_C1616	0.4290366222817266	1.0	0.4024158251950944	0.5802564878325034	0.8777616717184843	0.7229275138290423	host	gene-HB27c_C1616	None	None	22.080471474371187
gene-HB27c_P0098	1.0	0.6969287817418162	0.39648398456755646	0.4537611246424516	0.8308573490737662	0.8213284941807052	host	gene-HB27c_P0098	None	None	2.2519354360842225
gene-HB27c_C1141	1.0	0.24831012474881692	0.3043788121090316	0.16693020590760096	0.19182601252299583	0.15628517905462813	host	gene-HB27c_C1141	None	None	40.39157038138728
gene-HB27c_C0784	0.5606775058276456	0.5854706044898754	1.0	0.7418915691449942	0.9909751647770562	0.6601579326880755	host	gene-HB27c_C0784	None	None	8.16681295042052
gene-HB27c_C0346	0.6165413501555591	0.5342649303358814	0.5826111685870105	0.467476440391011	0.7688173365103452	1.0	host	gene-HB27c_C0346	None	None	5.569302028390973
gene-HB27c_C1566	0.6853337579215888	0.6921092049002208	1.0	0.45481570161958795	0.4445979285463622	0.757378340827412	host	yfdE	None	None	4.181398332392614
gene-HB27c_C0889	0.2823104591003731	0.38537507907832236	0.4650264221001488	0.6324042986643579	0.5260329144544467	1.0	host	gene-HB27c_C0889	None	None	23.727026912265174
gene-HB27c_C0257	0.5946746876177652	0.6961290876602748	0.5759293750267426	0.7888631379686585	1.0	0.3802043455919897	host	gene-HB27c_C0257	None	None	1.391836068231993
gene-HB27c_C1667	0.7643538578437189	0.21558698960673822	0.5783191599782062	0.2865668585811563	0.460049691735422	1.0	host	gene-HB27c_C1667	None	None	120.57261084074413
gene-HB27c_C0052	0.3714051014502515	0.4427963797977046	0.47607655490252854	0.3125413915757045	0.5200211097178244	1.0	host	gene-HB27c_C0052	None	None	37.454809478377385
gene-HB27c_C0704	0.4703014361910034	0.5151352397356196	0.5099476141446057	0.45639004259517674	0.5900717040402055	1.0	host	gene-HB27c_C0704	None	None	15.376485209773634
gene-HB27c_C0533	0.6836910608390357	0.7857086770789906	1.0	0.6769076767499776	0.9823111690275592	0.8863157769382726	host	gene-HB27c_C0533	None	None	5.489023450757509
gene-HB27c_C1099	0.4874841275244573	1.0	0.525330031141424	0.5323215072658373	0.5337308182932867	0.8192229125026261	host	gene-HB27c_C1099	None	None	8.340287562158666
gene-HB27c_C1812	0.5993148551482261	0.285301990553212	1.0	0.2682061817427721	0.6510468822334144	0.5068186287878954	host	gene-HB27c_C1812	None	None	265.75894251172593
gene-HB27c_C0224	0.7319426531171352	0.8572320145760244	0.9329376471967694	0.6597572063670043	0.9363822419126873	1.0	host	gene-HB27c_C0224	None	None	3.828441249709534
