Geneid	5	10	20	40	50	65	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-HB27c_C0430	115	47	35	82	21	11	host	gene-HB27c_C0430	None	None	1.1674909553645962
gene-HB27c_C0471	38	34	19	35	11	9	host	gene-HB27c_C0471	None	None	2.8532652904010605
gene-HB27c_C1367	72169	23199	18336	28744	6699	5022	host	gene-HB27c_C1367	None	None	247.29534524199343
gene-HB27c_C0053	666	344	229	382	93	83	host	gene-HB27c_C0053	None	None	4.156575151286004
gene-HB27c_C1408	44	41	22	55	17	6	host	gene-HB27c_C1408	None	None	3.204086471812317
gene-HB27c_C0671	27	7	7	11	4	1	host	gene-HB27c_C0671	None	None	0.37110492100022807
gene-HB27c_C0555	531	221	188	353	79	44	host	gene-HB27c_C0555	None	None	1.3476287906285347
gene-HB27c_C0266	3399	1570	1222	1883	495	178	host	gene-HB27c_C0266	None	None	6.961347047124482
gene-HB27c_C0463	161	77	50	151	23	7	host	gene-HB27c_C0463	None	None	2.6305930955782797
gene-HB27c_C1565	2396	2147	2088	1472	339	200	host	gene-HB27c_C1565	None	None	121.08278832119224
gene-HB27c_C1231	747	123	1769	156	39	24	host	gene-HB27c_C1231	None	None	721.0385586279807
gene-HB27c_P0060	155	35	23	51	11	9	host	gene-HB27c_P0060	None	None	1.7447946884939391
gene-HB27c_C0431	298	169	96	245	52	32	host	gene-HB27c_C0431	None	None	1.7151365395785447
gene-HB27c_C1822	110	152	77	98	23	12	host	gene-HB27c_C1822	None	None	3.61681252871052
gene-HB27c_C0664	76	40	25	57	13	10	host	gene-HB27c_C0664	None	None	0.6884521275475747
gene-HB27c_C0615	361	160	130	211	54	76	host	gene-HB27c_C0615	None	None	19.67870385488949
gene-HB27c_C1644	26404	1027	720	1351	395	89	host	gene-HB27c_C1644	None	None	3763.5098479805833
gene-HB27c_C0031	170	95	73	180	32	27	host	gene-HB27c_C0031	None	None	7.977865479786533
gene-HB27c_C1777	9245	555	505	395	99	108	host	gene-HB27c_C1777	None	None	642.8384690594169
gene-HB27c_C0774	198	115	91	164	41	24	host	gene-HB27c_C0774	None	None	1.792975632420958
gene-HB27c_C0812	255	185	112	157	64	34	host	gene-HB27c_C0812	None	None	2.3068113270074138
gene-HB27c_C1355	14957	2400	2382	3329	779	212	host	gene-HB27c_C1355	None	None	790.2413166110849
gene-HB27c_C0259	422	232	137	244	49	36	host	gene-HB27c_C0259	None	None	1.10495736439498
gene-HB27c_C1575	190	79	46	205	21	13	host	gene-HB27c_C1575	None	None	4.057922717214829
gene-HB27c_C1076	614	383	290	684	83	62	host	gene-HB27c_C1076	None	None	7.704630419766656
gene-HB27c_C1742	488	624	2432	1605	68	146	host	gene-HB27c_C1742	None	None	397.3850147103901
gene-HB27c_C0586	9	4	5	4	2	1	host	gene-HB27c_C0586	None	None	4.33236881680619
gene-HB27c_C1385	83	49	3688	169	34	18	host	gene-HB27c_C1385	None	None	879.5844760736068
gene-HB27c_C1213	10	22	3	8	3	1	host	gene-HB27c_C1213	None	None	4.502789027558357
gene-HB27c_C0133	95	50	34	73	18	13	host	gene-HB27c_C0133	None	None	2.6602505854544023
gene-HB27c_C0278	583	329	249	424	101	93	host	gene-HB27c_C0278	None	None	4.696355800423834
gene-HB27c_C1064	729	658	328	411	89	37	host	gene-HB27c_C1064	None	None	13.723385335142163
gene-Lalka27a_69	83	40	127	1732	621	169	phage	gene-Lalka27a_69	middle	late	1876.2688242574957
gene-HB27c_C1424	1174	403	343	785	118	75	host	gene-HB27c_C1424	None	None	3.3402801865876968
gene-HB27c_C1616	700	807	204	577	183	79	host	gene-HB27c_C1616	None	None	22.080471474371187
gene-HB27c_P0098	117	40	14	32	12	6	host	gene-HB27c_P0098	None	None	2.2519354360842225
gene-HB27c_C1141	142	17	13	14	3	1	host	gene-HB27c_C1141	None	None	40.39157038138728
gene-HB27c_C0784	258	133	143	208	58	20	host	gene-HB27c_C0784	None	None	8.16681295042052
gene-HB27c_C0346	178	76	52	82	28	19	host	gene-HB27c_C0346	None	None	5.569302028390973
gene-HB27c_C1566	463	231	210	187	38	34	host	yfdE	None	None	4.181398332392614
gene-HB27c_C0889	98	66	50	134	23	23	host	gene-HB27c_C0889	None	None	23.727026912265174
gene-HB27c_C0257	104	60	31	84	22	4	host	gene-HB27c_C0257	None	None	1.391836068231993
gene-HB27c_C1667	4885	681	1150	1116	376	430	host	gene-HB27c_C1667	None	None	120.57261084074413
gene-HB27c_C0052	482	284	192	247	86	87	host	gene-HB27c_C0052	None	None	37.454809478377385
gene-HB27c_C0704	401	217	135	237	64	57	host	gene-HB27c_C0704	None	None	15.376485209773634
gene-HB27c_C0533	910	517	414	549	167	79	host	gene-HB27c_C0533	None	None	5.489023450757509
gene-HB27c_C1099	481	488	161	320	67	54	host	gene-HB27c_C1099	None	None	8.340287562158666
gene-HB27c_C1812	14001	3296	7271	3819	1947	797	host	gene-HB27c_C1812	None	None	265.75894251172593
gene-HB27c_C0224	1309	758	519	719	214	120	host	gene-HB27c_C0224	None	None	3.828441249709534
gene-HB27c_C0904	1627	245	1108	698	131	97	host	gene-HB27c_C0904	None	None	110.0754525040559
gene-HB27c_C1835	10852	14239	6761	2965	553	151	host	gene-HB27c_C1835	None	None	3015.585961716234
gene-HB27c_C0944	194	138	75	97	30	18	host	gene-HB27c_C0944	None	None	0.9699778972743525
gene-HB27c_C0280	70	42	39	36	8	4	host	gene-HB27c_C0280	None	None	12.147427619475812
gene-HB27c_C0886	1689	701	1213	730	181	86	host	gene-HB27c_C0886	None	None	53.88576658867266
gene-HB27c_C2006	307	82	47	132	246	20	host	gene-HB27c_C2006	None	None	169.70619322430022
gene-HB27c_C0743	193	83	71	77	22	11	host	gene-HB27c_C0743	None	None	1.0790415043802002
gene-HB27c_C1661	11433	945	782	769	174	101	host	gene-HB27c_C1661	None	None	857.6893720356272
gene-HB27c_C0659	56	34	24	45	9	8	host	gene-HB27c_C0659	None	None	0.8585362004114568
gene-HB27c_C0551	334	151	111	232	49	29	host	gene-HB27c_C0551	None	None	0.5650352189885692
gene-HB27c_C0965	998	7750	524	774	205	102	host	gene-HB27c_C0965	None	None	1552.7431035419045
gene-HB27c_C1354	3708	2182	1209	3440	422	153	host	gene-HB27c_C1354	None	None	116.4666010010999
gene-HB27c_C1143	987	445	236	287	165	57	host	gene-HB27c_C1143	None	None	7.375794872131533
gene-HB27c_C1655	9634	3559	3931	2371	870	340	host	gene-HB27c_C1655	None	None	125.30604711847279
gene-HB27c_C1828	1997	682	324	57609	79	139	host	gene-HB27c_C1828	None	None	10781.053757285752
gene-HB27c_C0331	381	182	150	260	65	45	host	gene-HB27c_C0331	None	None	4.774181191390973
gene-HB27c_C0405	93	51	41	55	11	5	host	gene-HB27c_C0405	None	None	0.9289300959193809
gene-HB27c_C1457	1577	655	364	354	1436	82	host	gene-HB27c_C1457	None	None	2060.3417330017032
gene-HB27c_C1186	372	182	124	196	47	19	host	gene-HB27c_C1186	None	None	1.9969583391364523
gene-HB27c_C1658	2951	915	408	1057	303	280	host	gene-HB27c_C1658	None	None	86.0621648438006
gene-HB27c_C0799	189	78	80	247	64	45	host	gene-HB27c_C0799	None	None	11.424838255158805
gene-HB27c_C1940	1871	779	625	1375	294	158	host	gene-HB27c_C1940	None	None	1.7308986549394147
gene-HB27c_P0227	252	154	148	251	86	29	host	gene-HB27c_P0227	None	None	9.664069369608654
gene-HB27c_P0010	1823	860	915	1596	421	313	host	gene-HB27c_P0010	None	None	39.925855641717604
gene-HB27c_C0210	252	168	119	190	65	25	host	gene-HB27c_C0210	None	None	4.548543577558255
gene-HB27c_C1739	184	353	26	7481	17	5	host	gene-HB27c_C1739	None	None	1527.3193237109988
gene-HB27c_C0162	992	492	401	436	154	74	host	gene-HB27c_C0162	None	None	11.846563590912869
gene-HB27c_C1981	2126	1497	1395	1383	308	191	host	gene-HB27c_C1981	None	None	57.06981062018669
gene-HB27c_C0573	252	126	110	138	67	37	host	gene-HB27c_C0573	None	None	16.068460514318858
gene-HB27c_C1038	126	105	54	72	19	16	host	gene-HB27c_C1038	None	None	2.2504334963048263
gene-HB27c_C0277	690	378	280	440	136	105	host	gene-HB27c_C0277	None	None	18.032623912819094
gene-HB27c_C0216	120	71	62	73	12	17	host	gene-HB27c_C0216	None	None	6.913482792690422
