Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,SRA Study,strain
SRR38081879,RNA-Seq,300,980883300,PRJNA1452983,SAMN57247762,"Microbe\, viral or environmental",737576377,INSTITUTE OF GENE BIOLOGY RUSSIAN ACADEMY OF SCIENCES,2025-10-07,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX32931454,Russia,Europe,Russia:Moscow,DNBSEQ-G400,laboratory,T65_min,PAIRED,RANDOM,TRANSCRIPTOMIC,Thermus thermophilus,DNBSEQ,2026-04-20T00:00:00Z,2026-04-13T16:45:00Z,1,High-throughput RNA-Seq data of Thermus thermophilus HB27c cells infected with Lalka27a phage,cell culture,SRP691566,HB27c
SRR38081880,RNA-Seq,300,4645852200,PRJNA1452983,SAMN57247762,"Microbe\, viral or environmental",3533083841,INSTITUTE OF GENE BIOLOGY RUSSIAN ACADEMY OF SCIENCES,2025-10-07,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX32931452,Russia,Europe,Russia:Moscow,DNBSEQ-G400,laboratory,T40_min,PAIRED,RANDOM,TRANSCRIPTOMIC,Thermus thermophilus,DNBSEQ,2026-04-20T00:00:00Z,2026-04-13T16:52:00Z,1,High-throughput RNA-Seq data of Thermus thermophilus HB27c cells infected with Lalka27a phage,cell culture,SRP691566,HB27c
SRR38081881,RNA-Seq,300,3322167600,PRJNA1452983,SAMN57247762,"Microbe\, viral or environmental",2494252047,INSTITUTE OF GENE BIOLOGY RUSSIAN ACADEMY OF SCIENCES,2025-10-07,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX32931451,Russia,Europe,Russia:Moscow,DNBSEQ-G400,laboratory,T20_min,PAIRED,RANDOM,TRANSCRIPTOMIC,Thermus thermophilus,DNBSEQ,2026-04-20T00:00:00Z,2026-04-13T16:49:00Z,1,High-throughput RNA-Seq data of Thermus thermophilus HB27c cells infected with Lalka27a phage,cell culture,SRP691566,HB27c
SRR38081882,RNA-Seq,300,1696796700,PRJNA1452983,SAMN57247762,"Microbe\, viral or environmental",1283311344,INSTITUTE OF GENE BIOLOGY RUSSIAN ACADEMY OF SCIENCES,2025-10-07,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX32931453,Russia,Europe,Russia:Moscow,DNBSEQ-G400,laboratory,T50_min,PAIRED,RANDOM,TRANSCRIPTOMIC,Thermus thermophilus,DNBSEQ,2026-04-20T00:00:00Z,2026-04-13T16:46:00Z,1,High-throughput RNA-Seq data of Thermus thermophilus HB27c cells infected with Lalka27a phage,cell culture,SRP691566,HB27c
SRR38081883,RNA-Seq,300,4426210500,PRJNA1452983,SAMN57247762,"Microbe\, viral or environmental",3317845099,INSTITUTE OF GENE BIOLOGY RUSSIAN ACADEMY OF SCIENCES,2025-10-07,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX32931450,Russia,Europe,Russia:Moscow,DNBSEQ-G400,laboratory,T10_min,PAIRED,RANDOM,TRANSCRIPTOMIC,Thermus thermophilus,DNBSEQ,2026-04-20T00:00:00Z,2026-04-13T16:53:00Z,1,High-throughput RNA-Seq data of Thermus thermophilus HB27c cells infected with Lalka27a phage,cell culture,SRP691566,HB27c
SRR38081884,RNA-Seq,300,8222307300,PRJNA1452983,SAMN57247762,"Microbe\, viral or environmental",6245465473,INSTITUTE OF GENE BIOLOGY RUSSIAN ACADEMY OF SCIENCES,2025-10-07,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX32931449,Russia,Europe,Russia:Moscow,DNBSEQ-G400,laboratory,T5_min,PAIRED,RANDOM,TRANSCRIPTOMIC,Thermus thermophilus,DNBSEQ,2026-04-20T00:00:00Z,2026-04-13T17:03:00Z,1,High-throughput RNA-Seq data of Thermus thermophilus HB27c cells infected with Lalka27a phage,cell culture,SRP691566,HB27c
SRR38081890,RNA-Seq,300,2714053500,PRJNA1452983,SAMN57247762,"Microbe\, viral or environmental",1924464356,INSTITUTE OF GENE BIOLOGY RUSSIAN ACADEMY OF SCIENCES,2025-10-07,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX32931462,Russia,Europe,Russia:Moscow,DNBSEQ-G400,laboratory,T40_sRNA,PAIRED,size fractionation,TRANSCRIPTOMIC,Thermus thermophilus,DNBSEQ,2026-04-20T00:00:00Z,2026-04-13T16:46:00Z,1,High-throughput RNA-Seq data of Thermus thermophilus HB27c cells infected with Lalka27a phage,cell culture,SRP691566,HB27c
SRR38081891,RNA-Seq,300,2517682800,PRJNA1452983,SAMN57247762,"Microbe\, viral or environmental",1783789749,INSTITUTE OF GENE BIOLOGY RUSSIAN ACADEMY OF SCIENCES,2025-10-07,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX32931461,Russia,Europe,Russia:Moscow,DNBSEQ-G400,laboratory,T20_sRNA,PAIRED,size fractionation,TRANSCRIPTOMIC,Thermus thermophilus,DNBSEQ,2026-04-20T00:00:00Z,2026-04-13T16:46:00Z,1,High-throughput RNA-Seq data of Thermus thermophilus HB27c cells infected with Lalka27a phage,cell culture,SRP691566,HB27c
SRR38081892,RNA-Seq,300,2052622800,PRJNA1452983,SAMN57247762,"Microbe\, viral or environmental",1475838988,INSTITUTE OF GENE BIOLOGY RUSSIAN ACADEMY OF SCIENCES,2025-10-07,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX32931460,Russia,Europe,Russia:Moscow,DNBSEQ-G400,laboratory,T5_sRNA,PAIRED,size fractionation,TRANSCRIPTOMIC,Thermus thermophilus,DNBSEQ,2026-04-20T00:00:00Z,2026-04-13T16:46:00Z,1,High-throughput RNA-Seq data of Thermus thermophilus HB27c cells infected with Lalka27a phage,cell culture,SRP691566,HB27c
SRR38115016,RNA-Seq,300,95324700,PRJNA1452983,SAMN57286651,"Microbe\, viral or environmental",77173438,INSTITUTE OF GENE BIOLOGY RUSSIAN ACADEMY OF SCIENCES,2025-10-07,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX32961331,Russia,Europe,Russia:Moscow,DNBSEQ-G400,laboratory,cas12_phiKo_18nt_2,PAIRED,size fractionation,TRANSCRIPTOMIC,Thermus thermophilus,DNBSEQ,2026-04-20T00:00:00Z,2026-04-15T11:09:00Z,1,Thermus thermophilus HB27c cells expressing lalcas12r-repeat-18 nt spacer against phiKo phage,cell culture,SRP691566,HB27c
