Geneid	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	20_R2	20_R3	Entity	Symbol
gene-AUO97_RS19195	2103	2130	1860	2245	2822	2505	1275	1215	host	csuD
gene-AUO97_RS10905	1	0	0	0	0	0	1	0	host	gene-AUO97_RS10905
gene-AUO97_RS12300	147	111	96	119	106	82	56	76	host	gene-AUO97_RS12300
gene-AUO97_RS11260	702	695	681	707	744	738	412	438	host	scpB
gene-AUO97_RS16080	221	169	164	194	214	149	139	134	host	gene-AUO97_RS16080
gene-AUO97_RS15360	786	711	757	930	905	916	723	757	host	gene-AUO97_RS15360
gene-AUO97_RS09485	2028	1707	1667	2253	2084	1845	1959	2365	host	ptsP
gene-AUO97_RS05425	761	662	611	982	1048	949	1050	1122	host	gene-AUO97_RS05425
gene-AUO97_RS07485	91	92	75	71	81	61	101	96	host	gene-AUO97_RS07485
gene-AUO97_RS13265	0	0	0	0	0	0	0	0	host	gene-AUO97_RS13265
gene-AUO97_RS17610	1159	932	755	1278	1107	919	908	952	host	gene-AUO97_RS17610
gene-AUO97_RS18735	325	308	273	324	323	313	202	234	host	gene-AUO97_RS18735
gene-AUO97_RS19090	965	836	855	1051	980	747	1117	1445	host	gene-AUO97_RS19090
gene-AUO97_RS07715	328	259	186	280	293	236	283	270	host	hutI
gene-AUO97_RS11135	137	131	134	186	153	171	107	138	host	gene-AUO97_RS11135
gene-AUO97_RS00175	1094	944	972	1273	1205	1181	887	898	host	gspL
gene-AUO97_RS06135	798	604	691	309	792	763	447	647	host	gene-AUO97_RS06135
gene-AUO97_RS16060	58	56	67	65	53	92	59	152	host	gene-AUO97_RS16060
gene-AUO97_RS05440	1114	874	849	1296	1131	1187	1112	1353	host	ycaC
gene-AUO97_RS18400	505	419	355	582	567	424	391	447	host	gene-AUO97_RS18400
gene-AUO97_RS11825	158	131	100	107	137	139	82	91	host	gene-AUO97_RS11825
gene-AUO97_RS19005	493	420	502	580	491	636	298	453	host	alr
gene-AUO97_RS04945	534	443	477	565	569	585	462	540	host	aroK
