Geneid	0	6	12	18	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-PA4720	0.36017181331582515	0.9778608921206171	1.0	0.8860982644208569	host	trmA	None	None	14.663568991575243
gene-PA4541.2	0.8063319434156389	0.857132372452339	0.8701090070328793	1.0	host	gene-PA4541.2	None	None	47.972821084039765
gene-PA2976	0.5861988490649679	1.0	0.9038892616159683	0.8404118053080825	host	rne	None	None	9.608757239702266
gene-PA0023	1.0	0.48129247942247855	0.41683784819047437	0.47796482472899154	host	qor	None	None	5.864801210260064
gene-PA2921	1.0	0.8788889092505484	0.7435136992045512	0.7860875695203641	host	gene-PA2921	None	None	0.2589004517417394
gene-PA1906	0.8796341903421296	0.8747996851238058	1.0	0.9210557534567304	host	gene-PA1906	None	None	0.0021440589453644125
gene-PA5093	1.0	0.9498178708802892	0.6164075279611504	0.4736221773996102	host	gene-PA5093	None	None	3.0361536625328513
gene-PA4874	1.0	0.622904465318837	0.4929484648847193	0.5091398663124792	host	gene-PA4874	None	None	8.64054958207183
gene-PA0357	0.8283664504141706	1.0	0.86779065059496	0.7332177990306179	host	mutM	None	None	2.437127725844915
gene-PA0780	1.0	0.8187310843212418	0.7322581215050479	0.6365076637908259	host	pruR	None	None	0.7515554396142017
gene-PA2959	0.7207428789272835	0.7900928041990443	1.0	0.8125059017024299	host	gene-PA2959	None	None	2.8781836425927763
gene-PA3465	1.0	0.18683810370882173	0.16223848192141938	0.2461173881094944	host	gene-PA3465	None	None	43.43436568900011
gene-PA1659	0.703814139081252	0.925611971251342	1.0	0.48886010833448024	host	gene-PA1659	None	None	26.21075468259562
gene-PA4223	1.0	0.8376936349702383	0.4630725773399928	0.6503429859278711	host	gene-PA4223	None	None	0.1569839540323796
gene-PA0379	0.8110370936546566	1.0	0.7529421000590654	0.6898028155995863	host	gene-PA0379	None	None	2.040668719060461
gene-PA1111	1.0	0.42530456095508445	0.26026413167140156	0.3303000041098726	host	gene-PA1111	None	None	2.2522065166631626
gene-PA3270	0.9366530500229417	1.0	0.7844718642085433	0.681749131241172	host	gene-PA3270	None	None	1.755314774551695
gene-phiYY_sS2	0.00017105077053641474	1.0	0.2359392916083549	0.4850761265671619	phage	gene-phiYY_sS2	early	early	743.0540047498669
gene-PA3726	0.41753655535014417	1.0	0.9176716836516888	0.633623194842963	host	gene-PA3726	None	None	8.393891494340673
gene-PA4026	1.0	0.3708877852867386	0.26467272346441656	0.35008978224696263	host	gene-PA4026	None	None	26.433750010619388
gene-PA2141	0.8796341903421296	0.8747996851238056	1.0	0.9210557534567303	host	gene-PA2141	None	None	0.002097194268963004
gene-PA0344	1.0	0.7157154809372717	0.5065428219074909	0.4459604367581989	host	gene-PA0344	None	None	1.5844749541183851
gene-PA1004	0.7856825766893897	1.0	0.8456824141725802	0.7638929591917714	host	nadA	None	None	4.562038772533203
gene-PA3366	1.0	0.4318644056093883	0.3373296584160869	0.5072868145662475	host	amiE	None	None	99.92724897877962
gene-PA5446	1.0	0.4685340789940571	0.2753867152328718	0.5323946821591523	host	gene-PA5446	None	None	1552.454548382312
gene-PA0063	1.0	0.6779633346744199	0.5537333067855759	0.5558003284891848	host	gene-PA0063	None	None	2.5124480472570134
gene-PA1745	1.0	0.6878051016373955	0.3955211993232843	0.48397069282756516	host	gene-PA1745	None	None	1.6790680073584108
gene-PA3141	1.0	0.9536106958784595	0.6467851575506961	0.637525489340967	host	wbpM	None	None	11.699961392868474
gene-PA4621	0.9378684571247157	1.0	0.6807956796390583	0.5740996026101725	host	gene-PA4621	None	None	6.723799901971886
gene-PA1676	1.0	0.8165889387483146	0.4329846364183745	0.33324229419073365	host	gene-PA1676	None	None	11.441398526396624
gene-PA5112	1.0	0.49346425205332295	0.3418345558711567	0.3707599163562917	host	estA	None	None	9.832106117690582
gene-PA2248	1.0	0.8581728593208021	0.21677397479469285	0.11317136950311968	host	bkdA2	None	None	73.72370400123364
gene-PA2607	1.0	0.8968863147142901	0.7712163658314428	0.6185384097942433	host	gene-PA2607	None	None	2.786803683455362
gene-PA3136	0.4054997641009549	0.9719019502089035	1.0	0.3978840401769922	host	gene-PA3136	None	None	2.5234108339624925
gene-PA0842	0.9307033899943454	0.5069493840905214	1.0	0.5606586663471632	host	gene-PA0842	None	None	0.7211500343399903
gene-PA2900	0.5829435380251818	1.0	0.8946723032983207	0.7614575875265667	host	gene-PA2900	None	None	3.810271801356439
gene-PA4823	0.9034485181683873	0.5489117454482348	0.9415896811721828	1.0	host	gene-PA4823	None	None	1.0605468668547842
gene-PA3488	0.7866903123076447	1.0	0.7823808798619921	0.7601827816064782	host	gene-PA3488	None	None	5.372316821602392
gene-PA4363	1.0	0.5585205972950672	0.33725832219743046	0.24672163613348025	host	iciA	None	None	7.859882591706939
gene-PA3332	0.794377857063048	1.0	0.7553634120637537	0.4533322728986302	host	gene-PA3332	None	None	11.22348806207424
gene-PA0565	1.0	0.5389922371434124	0.36917301965614546	0.49317440610613955	host	gene-PA0565	None	None	4.994114191041718
gene-PA1008	0.8020227128574953	1.0	0.8398595389401649	0.8765402851447408	host	bcp	None	None	6.400019943334629
gene-PA3691	1.0	0.5167815284743201	0.3517616132288096	0.3615956335582799	host	gene-PA3691	None	None	153.84172943841332
gene-PA5341	0.6388524793192732	0.8824368197829806	1.0	0.8337426551506357	host	gene-PA5341	None	None	1.238439441759996
gene-PA0343	0.842353291471707	1.0	0.8328966038315285	0.68685035278526	host	gene-PA0343	None	None	1.326265226355243
gene-PA3555	1.0	0.5571791591594847	0.5734609824969643	0.7931326045424065	host	arnD	None	None	1.2941938009811307
gene-PA1644	1.0	0.98331789208699	0.8911751632241705	0.8594537814312592	host	gene-PA1644	None	None	0.7050217282461294
gene-PA1658	0.7823002017440173	1.0	0.9554770198082514	0.5447166333578186	host	gene-PA1658	None	None	39.09072664956514
gene-PA4687	0.42082010863471175	0.6040129251548298	1.0	0.8093299317872822	host	hitA	None	None	10.136294290446205
gene-PA1185	1.0	0.5768840344251736	0.4183380574028043	0.404138071914549	host	gene-PA1185	None	None	0.7275395279068693
gene-PA2006	0.8796341903421296	0.8747996851238057	1.0	0.9210557534567304	host	gene-PA2006	None	None	0.0008509679627943009
gene-PA0070	1.0	0.6138460131293979	0.6692641100973393	0.8062364898541261	host	gene-PA0070	None	None	26.91877356539087
gene-PA2155	0.8796341903421298	0.8747996851238056	1.0	0.9210557534567303	host	gene-PA2155	None	None	0.0009546929134831585
gene-PA1364	0.42382890536634504	0.6825412099722554	1.0	0.586104897848432	host	gene-PA1364	None	None	1.0862834892381368
