	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	annot	PHROG	category	ClassThreshold	ClassMax
4506	NC_001604.1	RefSeq	gene	891.0	1468.0	.	+	.	gene-T7p01	T7p01	Gene	protein_coding	T7p01	gene-T7p01	ocr-like anti-restriction	ocr-like anti-restriction	2568.0	moron, auxiliary metabolic gene and host takeover	middle	middle
4507	NC_001604.1	RefSeq	gene	1278.0	1433.0	.	+	.	gene-T7p02	T7p02	Gene	protein_coding	T7p02	gene-T7p02	hypothetical protein	hypothetical protein	7202.0	unknown function	middle	middle
4508	NC_001604.1	RefSeq	gene	1469.0	3138.0	.	+	.	gene-T7p03	T7p03	Gene	protein_coding	T7p03	gene-T7p03	serine-threonine kinase	serine-threonine kinase	2828.0	other	middle	middle
4509	NC_001604.1	RefSeq	gene	1496.0	1639.0	.	+	.	gene-T7p04	T7p04	Gene	protein_coding	T7p04	gene-T7p04	hypothetical protein	hypothetical protein	16572.0	unknown function	middle	middle
4510	NC_001604.1	RefSeq	gene	1636.0	1972.0	.	+	.	gene-T7p05	T7p05	Gene	protein_coding	T7p05	gene-T7p05	hypothetical protein	hypothetical protein	8393.0	unknown function	early	middle
4511	NC_001604.1	RefSeq	gene	1636.0	1797.0	.	+	.	gene-T7p06	T7p06	Gene	protein_coding	T7p06	gene-T7p06	hypothetical protein	hypothetical protein	8393.0	unknown function	middle	middle
4512	NC_001604.1	RefSeq	gene	3139.0	5887.0	.	+	.	gene-T7p07	T7p07	Gene	protein_coding	T7p07	gene-T7p07	RNA polymerase	RNA polymerase	414.0	DNA, RNA and nucleotide metabolism	middle	middle
4513	NC_001604.1	RefSeq	gene	5888.0	6448.0	.	+	.	gene-T7p08	T7p08	Gene	protein_coding	T7p08	gene-T7p08	dGTPase inhibitor%3B target for F exclusion	dGTPase inhibitor target for F exclusion	2949.0	other	middle	late
4514	NC_001604.1	RefSeq	gene	6007.0	6135.0	.	+	.	gene-T7p09	T7p09	Gene	protein_coding	T7p09	gene-T7p09	hypothetical protein	hypothetical protein	2490.0	unknown function	middle	late
4515	NC_001604.1	RefSeq	gene	6449.0	7588.0	.	+	.	gene-T7p10	T7p10	Gene	protein_coding	T7p10	gene-T7p10	DNA ligase	DNA ligase	30362.0	DNA, RNA and nucleotide metabolism	middle	late
