# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR38081879_sorted.bam" "SRR38081882_sorted.bam" "SRR38081881_sorted.bam" "SRR38081880_sorted.bam" "SRR38081883_sorted.bam" "SRR38081884_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR38081879_sorted.bam	SRR38081882_sorted.bam	SRR38081881_sorted.bam	SRR38081880_sorted.bam	SRR38081883_sorted.bam	SRR38081884_sorted.bam
gene-HB27c_C0001	CP053287.1	74	1171	-	1098	2	4	10	21	21	66
gene-HB27c_C0002	CP053287.1	1281	2051	+	771	24	44	113	172	114	217
gene-HB27c_C0003	CP053287.1	2097	2639	-	543	100	188	360	630	621	1035
gene-HB27c_C0004	CP053287.1	3280	3362	-	83	4	4	15	5	9	10
gene-HB27c_C0005	CP053287.1	3982	4311	+	330	1	5	12	21	24	45
gene-HB27c_C0006	CP053287.1	4326	6134	+	1809	79	148	278	589	334	703
gene-HB27c_C0007	CP053287.1	6172	6822	+	651	34	53	133	356	138	361
gene-HB27c_C0008	CP053287.1	6969	7517	-	549	8	12	49	74	55	92
gene-HB27c_C0011	CP053287.1	8735	9928	+	1194	0	5	5	25	13	38
gene-HB27c_C0012	CP053287.1	9984	11237	+	1254	115	187	500	638	638	1257
gene-HB27c_C0013	CP053287.1	11299	13161	+	1863	38	57	131	238	182	258
gene-HB27c_C0014	CP053287.1	13132	13806	-	675	5	16	29	59	45	52
gene-HB27c_C0015	CP053287.1	13870	14346	+	477	11	5	7	19	11	44
gene-HB27c_C0016	CP053287.1	14350	14607	+	258	4	20	32	64	45	89
gene-HB27c_C0017	CP053287.1	14607	15446	+	840	75	131	285	577	322	846
gene-HB27c_C0018	CP053287.1	15457	16818	+	1362	79	150	343	615	328	878
gene-HB27c_C0019	CP053287.1	16863	17084	+	222	65	123	233	406	243	439
gene-HB27c_C0020	CP053287.1	17081	17821	+	741	173	223	476	798	484	1102
gene-HB27c_C0021	CP053287.1	17855	18922	+	1068	254	233	374	669	530	1026
gene-HB27c_C0022	CP053287.1	18925	19869	+	945	52	65	77	184	139	226
gene-HB27c_C0023	CP053287.1	19893	21530	+	1638	7	20	23	50	32	65
gene-HB27c_C0024	CP053287.1	21535	21927	+	393	17	13	33	102	51	87
gene-HB27c_C0025	CP053287.1	21927	22265	+	339	21	22	62	181	111	165
gene-HB27c_C0026	CP053287.1	22219	22902	-	684	23	36	126	259	163	292
gene-HB27c_C0027	CP053287.1	22907	23896	-	990	19	33	76	78	123	237
gene-HB27c_C0028	CP053287.1	23893	26367	-	2475	102	98	268	349	511	1012
gene-HB27c_C0029	CP053287.1	26364	27407	-	1044	62	78	218	318	205	500
gene-HB27c_C0030	CP053287.1	27404	28414	-	1011	59	77	251	370	237	551
gene-HB27c_C0031	CP053287.1	28470	28886	-	417	27	32	73	180	95	170
gene-HB27c_C0032	CP053287.1	29054	30088	-	1035	3	2	10	19	22	35
gene-HB27c_C0033	CP053287.1	30085	30477	-	393	3	3	7	16	18	29
gene-HB27c_C0034	CP053287.1	30523	30951	+	429	3	12	36	36	60	66
gene-HB27c_C0035	CP053287.1	30937	32793	-	1857	74	100	268	368	400	628
gene-HB27c_C0036	CP053287.1	32845	34218	+	1374	43	53	157	236	187	296
gene-HB27c_C0037	CP053287.1	34239	35270	-	1032	25	26	94	140	97	171
gene-HB27c_C0038	CP053287.1	35267	36241	-	975	72	89	237	358	346	657
gene-HB27c_C0039	CP053287.1	36267	37052	+	786	10	36	87	152	129	221
gene-HB27c_C0040	CP053287.1	37100	38026	+	927	13	34	74	147	105	181
gene-HB27c_C0041	CP053287.1	38098	38949	+	852	8	23	58	108	96	197
gene-HB27c_C0042	CP053287.1	39292	39609	+	318	12	11	30	56	59	100
gene-HB27c_C0043	CP053287.1	39583	40776	-	1194	43	45	121	303	160	383
gene-HB27c_C0044	CP053287.1	40872	42002	-	1131	161	203	419	885	666	1265
gene-HB27c_C0045	CP053287.1	42002	43228	-	1227	149	174	403	799	537	848
gene-HB27c_C0046	CP053287.1	43348	43590	-	243	103	200	421	455	635	1053
gene-HB27c_C0047	CP053287.1	43623	44360	-	738	71	87	190	314	213	363
gene-HB27c_C0048	CP053287.1	44353	45270	-	918	92	107	316	583	333	689
gene-HB27c_C0049	CP053287.1	45270	46238	-	969	94	120	323	551	338	711
gene-HB27c_C0050	CP053287.1	46403	46585	-	183	119	215	901	1032	1906	4085
gene-HB27c_C0051	CP053287.1	46645	47181	-	537	137	190	295	580	479	1077
gene-HB27c_C0052	CP053287.1	47283	47762	-	480	87	86	192	247	284	482
gene-HB27c_C0053	CP053287.1	47786	49672	-	1887	83	93	229	382	344	666
