	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	annot	PHROG	category	ClassThreshold	ClassMax
3732	MK473382.1	Genbank	gene	54.0	347.0	.	-	.	gene-JD032_1	JD032_1	Gene	protein_coding	JD032_1	gene-JD032_1	HNH endonuclease	HNH endonuclease	119	DNA, RNA and nucleotide metabolism	middle	late
3733	MK473382.1	Genbank	gene	347.0	637.0	.	-	.	gene-JD032_2	JD032_2	Gene	protein_coding	JD032_2	gene-JD032_2	hypothetical protein	hypothetical protein	10762	unknown function	middle	late
3734	MK473382.1	Genbank	gene	834.0	1337.0	.	-	.	gene-JD032_3	JD032_3	Gene	protein_coding	JD032_3	gene-JD032_3	putative integrase/recombinase	integrase	216	integration and excision	middle	late
3735	MK473382.1	Genbank	gene	1581.0	2048.0	.	-	.	gene-JD032_4	JD032_4	Gene	protein_coding	JD032_4	gene-JD032_4	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
3736	MK473382.1	Genbank	gene	2151.0	2612.0	.	-	.	gene-JD032_5	JD032_5	Gene	protein_coding	JD032_5	gene-JD032_5	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
3737	MK473382.1	Genbank	gene	2860.0	3120.0	.	-	.	gene-JD032_6	JD032_6	Gene	protein_coding	JD032_6	gene-JD032_6	hypothetical protein	hypothetical protein	5164	unknown function	early	middle
3738	MK473382.1	Genbank	gene	3123.0	3407.0	.	-	.	gene-JD032_7	JD032_7	Gene	protein_coding	JD032_7	gene-JD032_7	hypothetical protein	hypothetical protein	8087	unknown function	early	middle
3739	MK473382.1	Genbank	gene	3397.0	3552.0	.	-	.	gene-JD032_8	JD032_8	Gene	protein_coding	JD032_8	gene-JD032_8	hypothetical protein	hypothetical protein	3794	unknown function	early	middle
3740	MK473382.1	Genbank	gene	3565.0	3945.0	.	-	.	gene-JD032_9	JD032_9	Gene	protein_coding	JD032_9	gene-JD032_9	single-stranded DNA-binding protein	single strand DNA binding protein	44	DNA, RNA and nucleotide metabolism	early	middle
3741	MK473382.1	Genbank	gene	4003.0	4218.0	.	-	.	gene-JD032_10	JD032_10	Gene	protein_coding	JD032_10	gene-JD032_10	hypothetical protein	hypothetical protein	6593	unknown function	early	middle
