replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
CP000029.1	gene-SERP0071	Abi2__Abi_2	69	defense-finder-models/DefenseFinder/Abi2/Abi2	CP000029.1_Abi2_1	1	1	1.0	1.0	1	Abi2__Abi_2	mandatory	301	4e-27	92.8	0.983	0.555	36	202			Abi2	Abi2	Defense
CP000029.1	gene-SERP1589	apyc1	1554	defense-finder-models/ADF/Anti_Pycsar/apyc1	CP000029.1_apyc1_10	1	1	1.0	1.0	1	apyc1	mandatory	245	8.2e-30	101.2	0.74	0.927	3	229			Anti_Pycsar	apyc1	Antidefense
CP000029.1	gene-SERP2455	cas6_I_II_III_IV_V_VI_7	2398	CasFinder/CAS_Class1-Subtype-III-A	CP000029.1_CAS_Class1-Subtype-III-A_7	1	1	1.0	9.0	1	cas6_I_II_III_IV_V_VI_15	accessory	244	6.800000000000001e-28	95.6	0.99	0.82	42	241		CP000029.1_CAS_Class1-Type-III_8,CP000029.1_CAS_Cluster_9	Cas	CAS_Class1-Subtype-III-A	Defense
CP000029.1	gene-SERP2456	csm6_III_2	2399	CasFinder/CAS_Class1-Subtype-III-A	CP000029.1_CAS_Class1-Subtype-III-A_7	1	1	1.0	9.0	1	csm6_III_2	accessory	422	2.6999999999999997e-171	566.4	1.0	0.855	61	421		CP000029.1_CAS_Class1-Type-III_8,CP000029.1_CAS_Cluster_9	Cas	CAS_Class1-Subtype-III-A	Defense
CP000029.1	gene-SERP2457	csm5gr7_III-A_4	2400	CasFinder/CAS_Class1-Subtype-III-A	CP000029.1_CAS_Class1-Subtype-III-A_7	1	1	1.0	9.0	1	csm5gr7_III-A_2	mandatory	340	2.8e-12	43.5	0.471	0.535	3	184		CP000029.1_CAS_Class1-Type-III_8,CP000029.1_CAS_Cluster_9	Cas	CAS_Class1-Subtype-III-A	Defense
CP000029.1	gene-SERP2458	csm4gr5_III-A_3	2401	CasFinder/CAS_Class1-Subtype-III-A	CP000029.1_CAS_Class1-Subtype-III-A_7	1	1	1.0	9.0	1	csm4gr5_III-A_3	mandatory	304	7.8e-51	170.3	0.968	0.98	6	303		CP000029.1_CAS_Class1-Type-III_8,CP000029.1_CAS_Cluster_9	Cas	CAS_Class1-Subtype-III-A	Defense
CP000029.1	gene-SERP2459	csm3gr7_III-A_1	2402	CasFinder/CAS_Class1-Subtype-III-A	CP000029.1_CAS_Class1-Subtype-III-A_7	1	1	1.0	9.0	1	csm3gr7_III-A_1	mandatory	214	7.1e-84	278.1	0.991	0.958	4	208		CP000029.1_CAS_Class1-Type-III_8,CP000029.1_CAS_Cluster_9	Cas	CAS_Class1-Subtype-III-A	Defense
CP000029.1	gene-SERP2460	csm2gr11_III-A_1	2403	CasFinder/CAS_Class1-Subtype-III-A	CP000029.1_CAS_Class1-Subtype-III-A_7	1	1	1.0	9.0	1	csm2gr11_III-A_15	mandatory	128	4.3e-26	88.8	1.0	0.75	30	125		CP000029.1_CAS_Class1-Type-III_8,CP000029.1_CAS_Cluster_9	Cas	CAS_Class1-Subtype-III-A	Defense
CP000029.1	gene-SERP2461	cas10_III-A_1	2404	CasFinder/CAS_Class1-Subtype-III-A	CP000029.1_CAS_Class1-Subtype-III-A_7	1	1	1.0	9.0	1	cas10_III-A_1	mandatory	757	8.400000000000001e-214	709.0	0.998	0.845	7	646		CP000029.1_CAS_Class1-Type-III_8,CP000029.1_CAS_Cluster_9	Cas	CAS_Class1-Subtype-III-A	Defense
CP000029.1	gene-SERP2462	cas2_I_II_III_IV_V_VI_1	2405	CasFinder/CAS_Class1-Subtype-III-A	CP000029.1_CAS_Class1-Subtype-III-A_7	1	1	1.0	9.0	1	cas2_I_II_III_IV_V_VI_5	accessory	101	2.3e-27	92.4	0.989	0.941	1	95		CP000029.1_CAS_Class1-Type-III_8,CP000029.1_CAS_Cluster_9	Cas	CAS_Class1-Subtype-III-A	Defense
