# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR8948478_sorted.bam" "SRR8948479_sorted.bam" "SRR8948485_sorted.bam" "SRR8948481_sorted.bam" "SRR8948484_sorted.bam" "SRR8948482_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR8948478_sorted.bam	SRR8948479_sorted.bam	SRR8948485_sorted.bam	SRR8948481_sorted.bam	SRR8948484_sorted.bam	SRR8948482_sorted.bam
gene-PA0001	NC_002516.2	483	2027	+	1545	1852	2543	530	1086	266	1743
gene-PA0002	NC_002516.2	2056	3159	+	1104	655	921	205	473	98	780
gene-PA0003	NC_002516.2	3169	4278	+	1110	1043	1589	188	534	131	692
gene-PA0004	NC_002516.2	4275	6695	+	2421	1736	2730	384	961	270	1304
gene-PA0005	NC_002516.2	7018	7791	-	774	192	510	38	75	31	215
gene-PA0006	NC_002516.2	7803	8339	-	537	148	335	24	56	13	159
gene-PA0007	NC_002516.2	8671	10377	+	1707	193	335	25	61	27	106
gene-PA0008	NC_002516.2	10434	12488	-	2055	716	843	80	270	62	406
gene-PA0009	NC_002516.2	12488	13435	-	948	295	280	61	134	33	234
gene-PA0010	NC_002516.2	13540	14091	+	552	25	46	2	2	2	12
gene-PA0011	NC_002516.2	14235	15122	+	888	157	261	23	54	12	108
gene-PA0012	NC_002516.2	15207	15473	+	267	30	32	3	9	4	22
gene-PA0013	NC_002516.2	15620	16273	+	654	377	405	17	92	26	107
gene-PA0014	NC_002516.2	16335	16607	-	273	23	37	3	5	6	20
gene-PA0015	NC_002516.2	16900	17217	-	318	84	171	9	21	9	45
gene-PA0016	NC_002516.2	17366	18739	-	1374	378	735	27	78	29	182
gene-PA0017	NC_002516.2	18767	20071	-	1305	243	523	14	51	15	94
gene-PA0018	NC_002516.2	20068	21012	-	945	165	364	17	34	13	88
gene-PA0019	NC_002516.2	21067	21573	-	507	542	808	57	156	49	287
gene-PA0020	NC_002516.2	21712	22737	+	1026	517	851	23	79	26	156
gene-PA0021	NC_002516.2	22872	23960	+	1089	17	30	1	1	4	7
gene-PA0022	NC_002516.2	24001	24558	+	558	233	388	20	57	15	125
gene-PA0023	NC_002516.2	24568	25545	-	978	147	165	7	32	12	61
gene-PA0024	NC_002516.2	25736	26653	+	918	401	607	19	89	17	142
gene-PA0025	NC_002516.2	26711	27535	+	825	149	326	17	41	10	84
gene-PA0026	NC_002516.2	27646	28632	+	987	130	207	11	27	11	41
gene-PA0027	NC_002516.2	28613	29899	+	1287	69	183	3	8	1	23
gene-PA0028	NC_002516.2	29896	30498	+	603	20	51	1	2	0	2
gene-PA0029	NC_002516.2	30502	32055	-	1554	41	71	1	5	9	15
gene-PA0030	NC_002516.2	32060	32983	-	924	19	29	1	5	3	11
gene-PA0031	NC_002516.2	33000	34511	-	1512	60	75	5	12	6	17
gene-PA0032	NC_002516.2	34624	35538	+	915	57	111	4	11	7	33
gene-PA0032a	NC_002516.2	35549	35926	+	378	97	180	13	26	7	39
gene-PA0033	NC_002516.2	35905	36270	-	366	50	85	5	11	2	27
gene-PA0034	NC_002516.2	36278	36901	-	624	32	41	3	11	2	10
gene-PA0035	NC_002516.2	37087	37893	-	807	121	138	10	30	3	59
gene-PA0036	NC_002516.2	37890	39098	-	1209	132	135	5	34	15	60
gene-PA0037	NC_002516.2	39202	40089	+	888	72	71	7	17	6	25
gene-PA0038	NC_002516.2	40190	40405	+	216	89	123	10	31	9	60
gene-PA0039	NC_002516.2	40589	40816	+	228	659	1789	98	304	66	577
gene-PA0040	NC_002516.2	41113	42801	+	1689	100	175	6	18	4	24
gene-PA0041	NC_002516.2	42914	53521	+	10608	808	999	47	177	56	241
gene-PA0041a	NC_002516.2	54121	54822	+	702	12	27	2	5	1	4
gene-PA0042	NC_002516.2	56546	56941	+	396	89	111	7	22	8	43
gene-PA0043	NC_002516.2	57212	58594	-	1383	44	64	5	8	3	17
gene-PA0044	NC_002516.2	58786	60159	+	1374	128	243	13	34	17	65
gene-PA0045	NC_002516.2	60656	61342	+	687	163	235	6	35	16	46
gene-PA0046	NC_002516.2	61373	61726	+	354	140	164	4	25	7	45
gene-PA0047	NC_002516.2	61879	62388	+	510	204	238	7	36	12	65
gene-PA0048	NC_002516.2	62403	62786	-	384	83	108	7	12	5	25
gene-PA0049	NC_002516.2	63068	64729	-	1662	78	86	8	21	10	25
gene-PA0050	NC_002516.2	65339	65479	+	141	25	31	2	5	2	15
gene-PA0051	NC_002516.2	66303	68135	+	1833	24	24	5	5	5	6
gene-PA0052	NC_002516.2	68188	68616	-	429	13	14	4	1	0	6
gene-PA0054	NC_002516.2	69543	70091	-	549	103	139	4	17	3	49
gene-PA0055	NC_002516.2	70130	70636	-	507	86	89	4	24	5	40
gene-PA0056	NC_002516.2	70702	71622	-	921	43	37	5	21	4	9
gene-PA0057	NC_002516.2	71730	72617	+	888	13	14	7	9	3	11
gene-PA0058	NC_002516.2	72680	73384	+	705	9	13	0	3	3	5
gene-PA0059	NC_002516.2	73468	73923	+	456	32	58	3	14	8	37
gene-PA0060	NC_002516.2	74034	74267	+	234	42	71	5	15	9	30
gene-PA0061	NC_002516.2	74279	74716	-	438	81	161	3	27	8	46
gene-PA0062	NC_002516.2	74773	75189	-	417	63	98	3	31	3	31
gene-PA0063	NC_002516.2	75281	76408	+	1128	163	273	10	33	8	49
gene-PA0064	NC_002516.2	76416	77399	-	984	150	223	7	30	13	71
gene-PA0065	NC_002516.2	77432	78097	-	666	70	83	6	23	8	39
gene-PA0066	NC_002516.2	78090	78632	-	543	138	154	5	43	13	48
gene-PA0067	NC_002516.2	78710	80755	+	2046	505	670	42	161	47	259
gene-PA0068	NC_002516.2	80752	81027	+	276	120	195	4	38	10	60
gene-PA0069	NC_002516.2	81116	82174	+	1059	89	135	10	24	5	44
gene-PA0070	NC_002516.2	82404	83318	-	915	1261	1955	65	201	67	440
gene-PA0071	NC_002516.2	83380	85092	-	1713	638	1003	47	123	26	305
gene-PA0072	NC_002516.2	85085	86284	-	1200	175	401	7	26	4	88
gene-PA0073	NC_002516.2	86284	87003	-	720	119	237	3	21	2	58
gene-PA0074	NC_002516.2	87000	90098	-	3099	508	686	15	89	14	217
gene-PA0075	NC_002516.2	90106	90834	-	729	163	237	12	25	8	63
gene-PA0076	NC_002516.2	90844	91524	-	681	223	327	5	24	4	85
gene-PA0077	NC_002516.2	91521	94826	-	3306	845	1087	32	152	37	325
gene-PA0078	NC_002516.2	95048	96397	-	1350	324	447	13	38	11	100
gene-PA0079	NC_002516.2	96404	97738	-	1335	337	359	14	33	17	105
gene-PA0080	NC_002516.2	97754	98218	-	465	72	133	3	15	4	34
gene-PA0081	NC_002516.2	98263	99756	-	1494	488	1081	32	85	23	206
gene-PA0082	NC_002516.2	100124	101158	+	1035	816	1383	32	73	24	187
gene-PA0083	NC_002516.2	101247	101765	+	519	343	331	25	61	18	97
gene-PA0084	NC_002516.2	101778	103274	+	1497	699	654	49	151	34	286
gene-PA0085	NC_002516.2	103350	103838	+	489	1092	993	77	188	59	340
gene-PA0086	NC_002516.2	104006	104851	+	846	629	733	20	81	21	164
gene-PA0087	NC_002516.2	104853	105362	+	510	153	224	6	25	2	44
gene-PA0088	NC_002516.2	105359	107218	+	1860	642	613	37	120	44	216
gene-PA0089	NC_002516.2	107182	108228	+	1047	434	423	23	69	29	137
gene-PA0090	NC_002516.2	108221	110929	+	2709	546	559	33	116	22	270
gene-PA0091	NC_002516.2	110976	112907	+	1932	440	498	32	108	23	233
gene-PA0092	NC_002516.2	113022	113306	-	285	88	72	6	20	3	57
gene-PA0093	NC_002516.2	113303	114595	-	1293	334	375	26	63	10	82
gene-PA0094	NC_002516.2	114611	115045	-	435	74	89	8	12	4	20
gene-PA0095	NC_002516.2	115299	117524	+	2226	277	438	16	50	13	87
gene-PA0096	NC_002516.2	117552	118001	+	450	23	33	1	4	4	5
gene-PA0097	NC_002516.2	117931	119130	+	1200	45	59	1	4	4	15
gene-PA0098	NC_002516.2	119127	120164	+	1038	32	55	3	3	2	20
gene-PA0099	NC_002516.2	120164	121324	+	1161	65	89	6	9	10	32
gene-PA0100	NC_002516.2	121346	122266	+	921	84	167	7	21	10	30
gene-PA0101	NC_002516.2	122248	123495	+	1248	84	164	3	16	10	24
