	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	annot	PHROG	category	ClassThreshold	ClassMax
4003	NC_016163.1	RefSeq	gene	2.0	262389.0	.	+	.	gene-phiR1-37_gp367	g367	Gene	protein_coding	phiR1-37_gp367	g367	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4004	NC_016163.1	RefSeq	gene	103.0	375.0	.	+	.	gene-phiR1-37_gp001	g001	Gene	protein_coding	phiR1-37_gp001	g001	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4005	NC_016163.1	RefSeq	gene	326.0	577.0	.	+	.	gene-phiR1-37_gp002	g002	Gene	protein_coding	phiR1-37_gp002	g002	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4006	NC_016163.1	RefSeq	gene	564.0	812.0	.	+	.	gene-phiR1-37_gp003	g003	Gene	protein_coding	phiR1-37_gp003	g003	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4007	NC_016163.1	RefSeq	gene	784.0	1002.0	.	+	.	gene-phiR1-37_gp004	g004	Gene	protein_coding	phiR1-37_gp004	g004	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4008	NC_016163.1	RefSeq	gene	999.0	1187.0	.	+	.	gene-phiR1-37_gp005	g005	Gene	protein_coding	phiR1-37_gp005	g005	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4009	NC_016163.1	RefSeq	gene	1181.0	1534.0	.	+	.	gene-phiR1-37_gp006	g006	Gene	protein_coding	phiR1-37_gp006	g006	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4010	NC_016163.1	RefSeq	gene	1531.0	1749.0	.	+	.	gene-phiR1-37_gp007	g007	Gene	protein_coding	phiR1-37_gp007	g007	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4011	NC_016163.1	RefSeq	gene	1736.0	1924.0	.	+	.	gene-phiR1-37_gp008	g008	Gene	protein_coding	phiR1-37_gp008	g008	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4012	NC_016163.1	RefSeq	gene	1918.0	2166.0	.	+	.	gene-phiR1-37_gp009	g009	Gene	protein_coding	phiR1-37_gp009	g009	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4013	NC_016163.1	RefSeq	gene	2135.0	2341.0	.	+	.	gene-phiR1-37_gp010	g010	Gene	protein_coding	phiR1-37_gp010	g010	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4014	NC_016163.1	RefSeq	gene	2386.0	2595.0	.	+	.	gene-phiR1-37_gp011	g011	Gene	protein_coding	phiR1-37_gp011	g011	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4015	NC_016163.1	RefSeq	gene	2592.0	2801.0	.	+	.	gene-phiR1-37_gp012	g012	Gene	protein_coding	phiR1-37_gp012	g012	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4016	NC_016163.1	RefSeq	gene	2798.0	3043.0	.	+	.	gene-phiR1-37_gp013	g013	Gene	protein_coding	phiR1-37_gp013	g013	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
4017	NC_016163.1	RefSeq	gene	3028.0	3264.0	.	+	.	gene-phiR1-37_gp014	g014	Gene	protein_coding	phiR1-37_gp014	g014	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4018	NC_016163.1	RefSeq	gene	3245.0	3496.0	.	+	.	gene-phiR1-37_gp015	g015	Gene	protein_coding	phiR1-37_gp015	g015	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4019	NC_016163.1	RefSeq	gene	3493.0	3750.0	.	+	.	gene-phiR1-37_gp016	g016	Gene	protein_coding	phiR1-37_gp016	g016	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4020	NC_016163.1	RefSeq	gene	3738.0	4070.0	.	+	.	gene-phiR1-37_gp017	g017	Gene	protein_coding	phiR1-37_gp017	g017	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4021	NC_016163.1	RefSeq	gene	3934.0	4251.0	.	+	.	gene-phiR1-37_gp018	g018	Gene	protein_coding	phiR1-37_gp018	g018	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4022	NC_016163.1	RefSeq	gene	4248.0	4526.0	.	+	.	gene-phiR1-37_gp019	g019	Gene	protein_coding	phiR1-37_gp019	g019	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4023	NC_016163.1	RefSeq	gene	4489.0	4725.0	.	+	.	gene-phiR1-37_gp020	g020	Gene	protein_coding	phiR1-37_gp020	g020	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4024	NC_016163.1	RefSeq	gene	4736.0	4927.0	.	+	.	gene-phiR1-37_gp021	g021	Gene	protein_coding	phiR1-37_gp021	g021	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4025	NC_016163.1	RefSeq	gene	4924.0	5181.0	.	+	.	gene-phiR1-37_gp022	g022	Gene	protein_coding	phiR1-37_gp022	g022	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4026	NC_016163.1	RefSeq	gene	5178.0	5405.0	.	+	.	gene-phiR1-37_gp023	g023	Gene	protein_coding	phiR1-37_gp023	g023	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4027	NC_016163.1	RefSeq	gene	5405.0	5608.0	.	+	.	gene-phiR1-37_gp024	g024	Gene	protein_coding	phiR1-37_gp024	g024	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4028	NC_016163.1	RefSeq	gene	5605.0	5799.0	.	+	.	gene-phiR1-37_gp025	g025	Gene	protein_coding	phiR1-37_gp025	g025	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4029	NC_016163.1	RefSeq	gene	5787.0	6092.0	.	+	.	gene-phiR1-37_gp026	g026	Gene	protein_coding	phiR1-37_gp026	g026	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4030	NC_016163.1	RefSeq	gene	6092.0	6343.0	.	+	.	gene-phiR1-37_gp027	g027	Gene	protein_coding	phiR1-37_gp027	g027	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4031	NC_016163.1	RefSeq	gene	6334.0	6579.0	.	+	.	gene-phiR1-37_gp028	g028	Gene	protein_coding	phiR1-37_gp028	g028	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4032	NC_016163.1	RefSeq	gene	6648.0	6905.0	.	+	.	gene-phiR1-37_gp029	g029	Gene	protein_coding	phiR1-37_gp029	g029	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4033	NC_016163.1	RefSeq	gene	6914.0	7273.0	.	+	.	gene-phiR1-37_gp030	g030	Gene	protein_coding	phiR1-37_gp030	g030	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4034	NC_016163.1	RefSeq	gene	7230.0	7772.0	.	+	.	gene-phiR1-37_gp031	g031	Gene	protein_coding	phiR1-37_gp031	g031	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4035	NC_016163.1	RefSeq	gene	7782.0	8063.0	.	+	.	gene-phiR1-37_gp032	g032	Gene	protein_coding	phiR1-37_gp032	g032	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4036	NC_016163.1	RefSeq	gene	8063.0	8428.0	.	+	.	gene-phiR1-37_gp033	g033	Gene	protein_coding	phiR1-37_gp033	g033	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4037	NC_016163.1	RefSeq	gene	8415.0	8825.0	.	+	.	gene-phiR1-37_gp034	g034	Gene	protein_coding	phiR1-37_gp034	g034	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4038	NC_016163.1	RefSeq	gene	8822.0	9064.0	.	+	.	gene-phiR1-37_gp035	g035	Gene	protein_coding	phiR1-37_gp035	g035	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4039	NC_016163.1	RefSeq	gene	9039.0	9326.0	.	+	.	gene-phiR1-37_gp036	g036	Gene	protein_coding	phiR1-37_gp036	g036	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4040	NC_016163.1	RefSeq	gene	9323.0	9568.0	.	+	.	gene-phiR1-37_gp037	g037	Gene	protein_coding	phiR1-37_gp037	g037	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
4041	NC_016163.1	RefSeq	gene	9568.0	9870.0	.	+	.	gene-phiR1-37_gp038	g038	Gene	protein_coding	phiR1-37_gp038	g038	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
4042	NC_016163.1	RefSeq	gene	9867.0	10124.0	.	+	.	gene-phiR1-37_gp039	g039	Gene	protein_coding	phiR1-37_gp039	g039	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4043	NC_016163.1	RefSeq	gene	10111.0	10377.0	.	+	.	gene-phiR1-37_gp040	g040	Gene	protein_coding	phiR1-37_gp040	g040	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4044	NC_016163.1	RefSeq	gene	10349.0	10558.0	.	+	.	gene-phiR1-37_gp041	g041	Gene	protein_coding	phiR1-37_gp041	g041	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4045	NC_016163.1	RefSeq	gene	10562.0	10948.0	.	+	.	gene-phiR1-37_gp042	g042	Gene	protein_coding	phiR1-37_gp042	g042	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4046	NC_016163.1	RefSeq	gene	10926.0	11177.0	.	+	.	gene-phiR1-37_gp043	g043	Gene	protein_coding	phiR1-37_gp043	g043	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4047	NC_016163.1	RefSeq	gene	11177.0	11446.0	.	+	.	gene-phiR1-37_gp044	g044	Gene	protein_coding	phiR1-37_gp044	g044	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4048	NC_016163.1	RefSeq	gene	11548.0	12654.0	.	+	.	gene-phiR1-37_gp045	g045	Gene	protein_coding	phiR1-37_gp045	g045	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4049	NC_016163.1	RefSeq	gene	12654.0	13262.0	.	+	.	gene-phiR1-37_gp046	g046	Gene	protein_coding	phiR1-37_gp046	g046	hypothetical protein	hypothetical protein	21672	unknown function	early	late
4050	NC_016163.1	RefSeq	gene	13259.0	13723.0	.	+	.	gene-phiR1-37_gp047	g047	Gene	protein_coding	phiR1-37_gp047	g047	hypothetical protein	baseplate wedge subunit	22056	tail	middle	late
4051	NC_016163.1	RefSeq	gene	13800.0	14438.0	.	+	.	gene-phiR1-37_gp048	g048	Gene	protein_coding	phiR1-37_gp048	g048	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4052	NC_016163.1	RefSeq	gene	14491.0	15276.0	.	-	.	gene-phiR1-37_gp049	g049	Gene	protein_coding	phiR1-37_gp049	g049	PhoH-like phosphate starvation-inducible	PhoH-like phosphate starvation-inducible	170	other	early	late
4053	NC_016163.1	RefSeq	gene	15305.0	15646.0	.	-	.	gene-phiR1-37_gp050	g050	Gene	protein_coding	phiR1-37_gp050	g050	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4054	NC_016163.1	RefSeq	gene	15634.0	15987.0	.	-	.	gene-phiR1-37_gp051	g051	Gene	protein_coding	phiR1-37_gp051	g051	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4055	NC_016163.1	RefSeq	gene	15944.0	16387.0	.	-	.	gene-phiR1-37_gp052	g052	Gene	protein_coding	phiR1-37_gp052	g052	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4056	NC_016163.1	RefSeq	gene	16362.0	16754.0	.	-	.	gene-phiR1-37_gp053	g053	Gene	protein_coding	phiR1-37_gp053	g053	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4057	NC_016163.1	RefSeq	gene	16726.0	17031.0	.	-	.	gene-phiR1-37_gp054	g054	Gene	protein_coding	phiR1-37_gp054	g054	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4058	NC_016163.1	RefSeq	gene	17092.0	17982.0	.	-	.	gene-phiR1-37_gp055	g055	Gene	protein_coding	phiR1-37_gp055	g055	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4059	NC_016163.1	RefSeq	gene	17989.0	18531.0	.	-	.	gene-phiR1-37_gp056	g056	Gene	protein_coding	phiR1-37_gp056	g056	guanylate kinase	guanylate kinase	1815	other	early	late
4060	NC_016163.1	RefSeq	gene	18524.0	19195.0	.	-	.	gene-phiR1-37_gp057	g057	Gene	protein_coding	phiR1-37_gp057	g057	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
4061	NC_016163.1	RefSeq	gene	19214.0	19972.0	.	-	.	gene-phiR1-37_gp058	g058	Gene	protein_coding	phiR1-37_gp058	g058	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4062	NC_016163.1	RefSeq	gene	19988.0	21310.0	.	-	.	gene-phiR1-37_gp059	g059	Gene	protein_coding	phiR1-37_gp059	g059	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4063	NC_016163.1	RefSeq	gene	21527.0	21964.0	.	+	.	gene-phiR1-37_gp060	g060	Gene	protein_coding	phiR1-37_gp060	g060	nudix hydrolase	nudix hydrolase	1185	other	early	late
4064	NC_016163.1	RefSeq	gene	22024.0	24813.0	.	+	.	gene-phiR1-37_gp061	g061	Gene	protein_coding	phiR1-37_gp061	g061	hypothetical protein	SbcC-like subunit of palindrome specific endonuclease	77	DNA, RNA and nucleotide metabolism	middle	late
4065	NC_016163.1	RefSeq	gene	24816.0	24974.0	.	+	.	gene-phiR1-37_gp062	g062	Gene	protein_coding	phiR1-37_gp062	g062	hypothetical protein	hypothetical protein	No_PHROG	unknown function	middle	late
4066	NC_016163.1	RefSeq	gene	25084.0	25635.0	.	+	.	gene-phiR1-37_gp063	g063	Gene	protein_coding	phiR1-37_gp063	g063	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
4067	NC_016163.1	RefSeq	gene	25740.0	26180.0	.	+	.	gene-phiR1-37_gp064	g064	Gene	protein_coding	phiR1-37_gp064	g064	hypothetical protein	hypothetical protein	No_PHROG	unknown function	middle	late
4068	NC_016163.1	RefSeq	gene	26182.0	26346.0	.	+	.	gene-phiR1-37_gp065	g065	Gene	protein_coding	phiR1-37_gp065	g065	hypothetical protein	hypothetical protein	No_PHROG	unknown function	middle	late
4069	NC_016163.1	RefSeq	gene	26334.0	26690.0	.	+	.	gene-phiR1-37_gp066	g066	Gene	protein_coding	phiR1-37_gp066	g066	hypothetical protein	hypothetical protein	902	unknown function	middle	late
4070	NC_016163.1	RefSeq	gene	26687.0	26779.0	.	+	.	gene-phiR1-37_gp067	g067	Gene	protein_coding	phiR1-37_gp067	g067	hypothetical protein	hypothetical protein	No_PHROG	unknown function	middle	late
4071	NC_016163.1	RefSeq	gene	26791.0	27615.0	.	+	.	gene-phiR1-37_gp068	g068	Gene	protein_coding	phiR1-37_gp068	g068	ribose-phosphate pyrophosphokinase	ribose-phosphate pyrophosphokinase	619	other	middle	late
4072	NC_016163.1	RefSeq	gene	27615.0	28268.0	.	+	.	gene-phiR1-37_gp069	g069	Gene	protein_coding	phiR1-37_gp069	g069	HNH endonuclease	HNH endonuclease	953	DNA, RNA and nucleotide metabolism	middle	late
4073	NC_016163.1	RefSeq	gene	28272.0	30026.0	.	+	.	gene-phiR1-37_gp070	g070	Gene	protein_coding	phiR1-37_gp070	g070	nicotinamide phosphoribosyl transferase	nicotinamide phosphoribosyl transferase	448	other	middle	late
4074	NC_016163.1	RefSeq	gene	30091.0	30267.0	.	+	.	gene-phiR1-37_gp071	g071	Gene	protein_coding	phiR1-37_gp071	g071	hypothetical protein	hypothetical protein	No_PHROG	unknown function	middle	late
4075	NC_016163.1	RefSeq	gene	30279.0	30788.0	.	+	.	gene-phiR1-37_gp072	g072	Gene	protein_coding	phiR1-37_gp072	g072	hypothetical protein	hypothetical protein	No_PHROG	unknown function	middle	late
4076	NC_016163.1	RefSeq	gene	30890.0	31249.0	.	+	.	gene-phiR1-37_gp073	g073	Gene	protein_coding	phiR1-37_gp073	g073	hypothetical protein	hypothetical protein	No_PHROG	unknown function	middle	late
4077	NC_016163.1	RefSeq	gene	31242.0	31736.0	.	+	.	gene-phiR1-37_gp074	g074	Gene	protein_coding	phiR1-37_gp074	g074	hypothetical protein	hypothetical protein	No_PHROG	unknown function	middle	late
4078	NC_016163.1	RefSeq	gene	31736.0	32044.0	.	+	.	gene-phiR1-37_gp075	g075	Gene	protein_coding	phiR1-37_gp075	g075	hypothetical protein	hypothetical protein	No_PHROG	unknown function	middle	late
4079	NC_016163.1	RefSeq	gene	32044.0	32409.0	.	+	.	gene-phiR1-37_gp076	g076	Gene	protein_coding	phiR1-37_gp076	g076	hypothetical protein	hypothetical protein	No_PHROG	unknown function	middle	late
4080	NC_016163.1	RefSeq	gene	32526.0	32921.0	.	+	.	gene-phiR1-37_gp077	g077	Gene	protein_coding	phiR1-37_gp077	g077	hypothetical protein	hypothetical protein	12854	unknown function	early	late
4081	NC_016163.1	RefSeq	gene	33225.0	33767.0	.	+	.	gene-phiR1-37_gp078	g078	Gene	protein_coding	phiR1-37_gp078	g078	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
4082	NC_016163.1	RefSeq	gene	33839.0	34639.0	.	-	.	gene-phiR1-37_gp079	g079	Gene	protein_coding	phiR1-37_gp079	g079	head maturation protease	head maturation protease	3014	head and packaging	early	late
