Geneid	-1	0	2	5	10	20	30	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-SAURSH1000_RS00755	27.2375143264609	41.5231181620134	40.95716874281803	33.50269551198598	26.519491727792275	15.04949961320525	10.373631147638969	host	gene-SAURSH1000_RS00755	None	None	6.936595257287075
gene-SAURSH1000_RS10935	33.37317506805879	43.974766292139584	46.29989213819247	38.65383159295168	35.845604031231225	18.972546016411496	16.27131126400624	host	gene-SAURSH1000_RS10935	None	None	8.818810149158256
gene-SAURSH1000_RS03700	44.93089579127218	72.11257104416624	67.24011669569288	55.48524717873181	38.45937875637721	19.27878904389822	16.560714736703922	host	gene-SAURSH1000_RS03700	None	None	12.842345153898634
gene-SAURSH1000_RS06540	8547.495470514088	9688.785832266032	9715.249391832747	9029.714608260298	7086.628594589383	3842.3977121561716	3143.5258019997887	host	cspA	None	None	1327.8972863005351
gene-SAURSH1000_RS01440	34.78888569268361	46.30289716881737	33.067765541415895	23.329096649411365	12.572430329914681	10.59072006672183	6.495274559147713	host	gene-SAURSH1000_RS01440	None	None	13.082803969588635
gene-SAURSH1000_RS07080	143.8847731900257	221.360890022861	187.12075479446227	126.19823546135201	87.78804248159395	50.7726697063548	38.03814169905293	host	zwf	None	None	37.34879625673477
gene-SAURSH1000_RS07610	95.15647441090205	169.15008071339128	178.0916606898511	131.64364417057604	64.53506686223011	35.419213068443376	34.171932742335635	host	gene-SAURSH1000_RS07610	None	None	61.732415843263
gene-SAURSH1000_RS03955	30.823880268646025	48.0523976837984	42.04662566197066	39.45186792656934	41.21697553231525	19.718980513500636	12.569017439391443	host	gene-SAURSH1000_RS03955	None	None	7.562559409256119
gene-CPT_phageK_gp182	0.07685644838800468	13.722679503019501	6.823842646922064	162.69014353597132	1002.8429297961349	4994.881724550941	5199.319017449864	phage	gene-CPT_phageK_gp182	middle	late	3261.063464931053
gene-CPT_phageK_gp187	0.23661423436307052	2.3218586335919613	0.2724573001241343	2.623818016939824	37.64388392480443	429.11869002780287	574.6935460132976	phage	gene-CPT_phageK_gp187	middle	late	370.63562661693527
gene-CPT_phageK_gp175	0.08162273976090419	22.894075418625743	2.462825702684087	14.565152680137743	173.62063819340764	5156.605908727285	9846.356186276025	phage	gene-CPT_phageK_gp175	middle	late	6275.615606895609
gene-SAURSH1000_RS03220	68.870591483645	102.42639339199748	87.99136775809306	66.57104036666368	46.97051708948965	25.837359208654693	22.31443689707608	host	gene-SAURSH1000_RS03220	None	None	18.424060792713092
gene-SAURSH1000_RS05805	116.2034613936625	186.87556665464686	187.74217431515603	157.07739116118378	87.49111735059887	49.318362988985996	44.54665891788513	host	rimP	None	None	47.24460159443308
gene-SAURSH1000_RS12440	20.775381284951546	25.051937288087448	16.10062225019867	8.402208235440652	27.458230354178568	17.64689598102797	10.114257952203548	host	gene-SAURSH1000_RS12440	None	None	8.166926988387075
gene-SAURSH1000_RS08185	70.5086537559133	94.23235422520884	107.61247467940825	92.93176732010136	62.09119930364478	32.40559849048567	26.449931755262565	host	tyrS	None	None	16.76024361236768
gene-SAURSH1000_RS12305	58.215256816484214	96.41342025992454	89.91471798636722	68.28387265620815	142.13656378925705	81.03914874103116	50.16894389510185	host	ptsG	None	None	47.578137321332285
gene-SAURSH1000_RS05770	261.21777974218196	477.01181887558147	355.81204965032947	303.544982193262	177.3169142437964	81.26963307693285	70.62915430563861	host	pyrH	None	None	112.57597998697625
gene-SAURSH1000_RS02210	775.3102063199531	754.1394403789856	531.184088085671	393.9561658583128	603.1257115870006	520.0820691397456	316.11956183307376	host	spoVG	None	None	137.56149836679924
gene-SAURSH1000_RS02895	59.14293251381016	84.43474608627798	89.04669740726676	68.23161294133196	52.922691467100925	27.239036334821268	21.384825931514268	host	gene-SAURSH1000_RS02895	None	None	16.566489000830313
