ID	length	phrog	annot	category	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	color	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism
gene-CPT_phageK_gp001	99	654	hypothetical protein	unknown function	654	109	0.561	4.5350000000000005e-31	654	117.196548	6.6485963422018845e-34	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp002	61	3204	hypothetical protein	unknown function	3204	93	0.729	2.9150000000000004e-26	3204	112.018875	2.97760736957699e-32	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp003	95	654	hypothetical protein	unknown function	654	80	0.443	6.66e-21	654	96.062111	2.576958516197906e-27	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp004	108	654	hypothetical protein	unknown function	654	138	0.635	5.825999999999999e-41	654	101.346573	5.804265638849637e-29	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp005	97	654	hypothetical protein	unknown function	654	106	0.557	5.6980000000000004e-30	654	126.501091	8.359178876232082e-37	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp006	85	1099	hypothetical protein	unknown function	1099	94	0.593	2.8650000000000005e-26	1099	124.351295	3.235810829516886e-36	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp007	79	1099	hypothetical protein	unknown function	1099	92	0.595	1.3990000000000002e-25	1099	123.248016	7.149645717634363e-36	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp008	115	3522	hypothetical protein	unknown function	3522	241	0.984	8.8e-77	3522	257.737335	1.8728692955270026e-77	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp009	112	3077	hypothetical protein	unknown function	3077	201	0.857	5.52e-63	3077	210.499969	9.446103717362672e-63	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp010	102	2601	hypothetical protein	unknown function	2601	152	0.725	5.476e-46	2601	180.306152	1.5556809385287205e-53	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp011	95	3164	hypothetical protein	unknown function	3164	195	0.963	3.79e-61	3164	198.051743	3.1949730099357576e-59	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp012	63	3388	hypothetical protein	unknown function	3388	118	0.88	4.915e-35	3388	144.587738	1.550073936646931e-42	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp013	162	59	HNH endonuclease	DNA, RNA and nucleotide metabolism	59	102	0.384	8.763e-28	59	145.678665	5.1962330402537216e-42	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp014	52	3325	TreN-like membrane protein	other	3325	90	0.815	1.698e-25	3325	119.112793	1.4088049606873639e-34	#838383	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp015	43	3837	hypothetical protein	unknown function	3837	87	0.934	1.343e-24	3837	116.128838	8.583300826111489e-34	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp016	107	3276	hypothetical protein	unknown function	3276	200	0.887	1.118e-62	3276	219.739212	8.517858229230162e-66	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp017	78	3480	hypothetical protein	unknown function	3480	150	0.907	5.4750000000000005e-46	3480	173.429413	1.5267631514923344e-51	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp018	156	2543	hypothetical protein	unknown function	2543	98	0.453	2.126e-27	2543	269.689514	1.721287790289343e-80	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp019	57	3789	hypothetical protein	unknown function	3789	109	0.897	3.873e-32	3789	139.106079	7.647228702870395e-41	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp020	89	3549	hypothetical protein	unknown function	3549	108	0.612	2.3580000000000002e-31	3549	177.231064	1.0663192035164425e-52	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp021	73	6205	hypothetical protein	unknown function	6205	138	0.889	1.0719999999999998e-41	6205	161.948257	6.768443902038328e-48	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp022	78	2884	hypothetical protein	unknown function	2884	151	0.909	4.8660000000000005e-46	2884	160.363159	2.393781271792234e-47	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp023	57	14158	hypothetical protein	unknown function	14158	119	0.971	1.397e-35	14158	139.640182	6.371889535954534e-41	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp024	84	16296	hypothetical protein	unknown function	16296	168	0.94	4.82e-52	16296	190.161469	1.045118634724623e-56	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp025	161	3619	hypothetical protein	unknown function	3619	265	0.798	2.491e-84	3619	303.106415	8.926704272474044e-91	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp026	143	2349	hypothetical protein	unknown function	2349	128	0.488	4.934e-37	2349	214.826645	1.0130884770094792e-63	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp027	180	4045	hypothetical protein	unknown function	4045	373	0.978	2.364e-121	4045	405.213715	5.409690137556894e-122	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp028	162	1017	hypothetical protein	unknown function	1017	144	0.478	1.552e-41	1017	222.897095	4.870052387444701e-66	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp029	132	3857	hypothetical protein	unknown function	3857	260	0.933	3.805e-83	3857	283.226318	5.16645628602862e-85	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CPT_phageK_gp030	235	246	NinI-like serine-threonine phosphatase	other	246	84	0.251	2.917e-20	246	231.393173	3.9778187858851275e-68	#838383	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
