# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR21013141_sorted.bam" "SRR21013146_sorted.bam" "SRR21013150_sorted.bam" "SRR21013144_sorted.bam" "SRR21013140_sorted.bam" "SRR21013139_sorted.bam" "SRR21013138_sorted.bam" "SRR21013145_sorted.bam" "SRR21013142_sorted.bam" "SRR21013136_sorted.bam" "SRR21013149_sorted.bam" "SRR21013137_sorted.bam" "SRR21013143_sorted.bam" "SRR21013147_sorted.bam" "SRR21013148_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR21013141_sorted.bam	SRR21013146_sorted.bam	SRR21013150_sorted.bam	SRR21013144_sorted.bam	SRR21013140_sorted.bam	SRR21013139_sorted.bam	SRR21013138_sorted.bam	SRR21013145_sorted.bam	SRR21013142_sorted.bam	SRR21013136_sorted.bam	SRR21013149_sorted.bam	SRR21013137_sorted.bam	SRR21013143_sorted.bam	SRR21013147_sorted.bam	SRR21013148_sorted.bam
gene-b0001	U00096.3	190	255	+	66	77	1160	3027	242	421	195	144	3103	772	32	2203	202	815	5352	1081
gene-b0002	U00096.3	337	2799	+	2463	401	2725	9156	2943	849	769	321	3004	1751	204	6646	351	1141	5380	3658
gene-b0003	U00096.3	2801	3733	+	933	292	2589	7523	1600	586	584	227	2371	1408	91	4232	237	696	5162	2926
gene-b0004	U00096.3	3734	5020	+	1287	551	3551	11927	1917	993	942	359	3743	2269	150	7841	339	1286	7851	4322
gene-b0005	U00096.3	5234	5530	+	297	102	1041	1886	461	266	177	56	872	480	33	1498	73	341	1731	768
gene-b0006	U00096.3	5683	6459	-	777	198	3492	3127	681	463	259	137	2350	610	76	3814	229	627	4601	1540
gene-b0007	U00096.3	6529	7959	-	1431	70	1918	1883	1384	193	119	64	1145	208	22	2185	90	194	2898	922
gene-b0008	U00096.3	8238	9191	+	954	3620	49111	53872	7950	8725	5399	2597	33353	13240	1081	66780	3492	11183	72785	27256
gene-b0009	U00096.3	9306	9893	+	588	395	5223	4510	1323	964	548	249	3347	1358	85	5265	362	1274	7329	2141
gene-b0010	U00096.3	9928	10494	-	567	173	2224	1373	1026	476	184	112	1510	941	43	1633	180	1269	2739	861
gene-b0011	U00096.3	10643	11356	-	714	10	166	103	517	23	8	5	92	34	3	115	7	28	216	54
gene-b0012	U00096.3	10830	11315	+	486	9	128	80	408	18	4	5	60	26	2	91	7	18	166	43
gene-b0013	U00096.3	11382	11786	-	405	5	153	96	232	25	20	7	86	39	4	136	2	27	212	53
