# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR29715797_sorted.bam" "SRR29715796_sorted.bam" "SRR29715803_sorted.bam" "SRR29715802_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR29715797_sorted.bam	SRR29715796_sorted.bam	SRR29715803_sorted.bam	SRR29715802_sorted.bam
gene-PA0001	AE004091.2	483	2027	+	1545	1500	2013	1254	919
gene-PA0002	AE004091.2	2056	3159	+	1104	682	986	738	554
gene-PA0003	AE004091.2	3169	4278	+	1110	1319	1758	1297	908
gene-PA0004	AE004091.2	4275	6695	+	2421	1388	2286	1881	1249
gene-PA0005	AE004091.2	7018	7791	-	774	192	232	144	115
gene-PA0006	AE004091.2	7803	8339	-	537	182	215	168	98
gene-PA0007	AE004091.2	8671	10377	+	1707	46	75	42	32
gene-PA0008	AE004091.2	10434	12488	-	2055	444	663	561	377
gene-PA0009	AE004091.2	12488	13435	-	948	369	555	422	299
gene-PA0010	AE004091.2	13540	14091	+	552	49	49	26	25
gene-PA0011	AE004091.2	14235	15122	+	888	184	216	107	96
gene-PA0012	AE004091.2	15207	15473	+	267	42	59	34	31
gene-PA0013	AE004091.2	15620	16273	+	654	76	104	53	30
gene-PA0014	AE004091.2	16335	16607	-	273	43	42	10	8
gene-PA0015	AE004091.2	16900	17217	-	318	227	197	149	76
gene-PA0016	AE004091.2	17366	18739	-	1374	250	398	350	222
gene-PA0017	AE004091.2	18767	20071	-	1305	197	190	160	131
gene-PA0018	AE004091.2	20068	21012	-	945	142	164	145	92
gene-PA0019	AE004091.2	21067	21573	-	507	410	562	387	253
gene-PA0020	AE004091.2	21712	22737	+	1026	202	322	172	121
gene-PA0021	AE004091.2	22872	23960	+	1089	7	13	6	1
gene-PA0022	AE004091.2	24001	24558	+	558	116	162	73	59
gene-PA0023	AE004091.2	24568	25545	-	978	107	181	105	77
gene-PA0024	AE004091.2	25736	26653	+	918	362	510	260	190
gene-PA0025	AE004091.2	26711	27535	+	825	90	115	71	58
gene-PA0026	AE004091.2	27646	28632	+	987	93	103	88	65
gene-PA0027	AE004091.2	28613	29899	+	1287	55	50	53	20
gene-PA0028	AE004091.2	29896	30498	+	603	8	21	8	7
gene-PA0029	AE004091.2	30502	32055	-	1554	26	31	11	6
