# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR3084371_sorted.bam" "SRR3084369_sorted.bam" "SRR3084378_sorted.bam" "SRR3084370_sorted.bam" "SRR3084368_sorted.bam" "SRR3084374_sorted.bam" "SRR3084376_sorted.bam" "SRR3084367_sorted.bam" "SRR3084375_sorted.bam" "SRR3084372_sorted.bam" "SRR3084373_sorted.bam" "SRR3084377_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR3084371_sorted.bam	SRR3084369_sorted.bam	SRR3084378_sorted.bam	SRR3084370_sorted.bam	SRR3084368_sorted.bam	SRR3084374_sorted.bam	SRR3084376_sorted.bam	SRR3084367_sorted.bam	SRR3084375_sorted.bam	SRR3084372_sorted.bam	SRR3084373_sorted.bam	SRR3084377_sorted.bam
gene-Y880_01	CP020659.1	127	241	+	115	0	0	18954	0	0	276339	19907	0	1167222	0	1126595	13870
gene-Y880_02	CP020659.1	595	3669	-	3075	0	0	118	0	0	253	110	0	266	0	250	2
gene-Y880_03	CP020659.1	3666	5081	-	1416	0	0	44	0	0	33	21	0	60	0	25	0
gene-Y880_04	CP020659.1	5089	5760	-	672	0	0	14	0	0	37	7	0	51	0	22	0
gene-Y880_05	CP020659.1	5946	6542	+	597	0	0	22	0	0	22	16	0	67	0	38	0
gene-Y880_06	CP020659.1	6652	6972	-	321	0	0	8	0	0	16	10	0	45	0	20	0
gene-Y880_07	CP020659.1	7171	7854	+	684	0	0	10	0	0	10	7	0	22	0	17	0
gene-Y880_08	CP020659.1	7851	8396	+	546	0	0	6	0	0	4	3	0	6	0	1	0
gene-Y880_09	CP020659.1	8466	9425	+	960	0	0	9	0	0	62	11	0	140	0	73	0
gene-Y880_010	CP020659.1	9435	10076	-	642	0	0	16	0	0	7	5	0	31	0	12	0
gene-Y880_011	CP020659.1	10060	10509	-	450	0	0	4	0	0	2	1	0	4	0	4	0
gene-Y880_012	CP020659.1	10656	11087	+	432	0	0	7	0	0	6	2	0	13	0	7	0
gene-Y880_013	CP020659.1	11090	11464	-	375	0	0	8	0	0	9	2	0	18	0	5	0
gene-Y880_014	CP020659.1	11698	12147	+	450	0	0	9	0	0	4	5	0	9	0	5	0
gene-Y880_015	CP020659.1	12155	13120	+	966	0	0	13	0	0	21	2	0	31	0	10	0
gene-Y880_016	CP020659.1	13117	14328	+	1212	0	0	9	0	0	9	2	0	7	0	2	0
gene-Y880_017	CP020659.1	14315	14908	+	594	0	0	9	0	0	6	2	0	9	0	3	0
gene-Y880_018	CP020659.1	14905	15132	+	228	0	0	4	0	0	1	0	0	0	0	0	0
gene-Y880_019	CP020659.1	15188	17272	+	2085	0	0	33	0	0	42	19	0	94	0	115	3
gene-Y880_020	CP020659.1	17275	18555	+	1281	0	0	18	0	0	15	12	0	27	0	25	0
gene-Y880_021	CP020659.1	18555	18719	+	165	0	0	2	0	0	0	0	0	3	0	0	0
gene-Y880_022	CP020659.1	18728	19759	+	1032	0	0	21	0	0	9	6	0	31	0	15	0
gene-Y880_023	CP020659.1	20273	21379	+	1107	0	0	12	0	0	24	4	0	20	0	23	1
gene-Y880_024	CP020659.1	21465	22565	+	1101	0	0	10	0	0	28	4	0	40	0	20	0
gene-Y880_025	CP020659.1	22703	22852	+	150	0	0	1	0	0	0	0	0	0	0	0	0
gene-Y880_026	CP020659.1	23104	35175	+	12072	0	0	217	0	0	512	94	0	716	0	382	2
