	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	annot	PHROG	category	ClassThreshold	ClassMax
0	NC_002505.1	RefSeq	gene	372.0	806.0	.	-	.	gene-VC_RS00005	mioC	Gene	protein_coding	VC_RS00005	mioC	FMN-binding protein MioC	FMN-binding protein MioC	No_PHROG	protein_coding	None	None
1	NC_002505.1	RefSeq	gene	816.0	2177.0	.	-	.	gene-VC_RS00010	mnmE	Gene	protein_coding	VC_RS00010	mnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	No_PHROG	protein_coding	None	None
2	NC_002505.1	RefSeq	gene	2271.0	3896.0	.	-	.	gene-VC_RS00015	yidC	Gene	protein_coding	VC_RS00015	yidC	membrane protein insertase YidC	membrane protein insertase YidC	No_PHROG	protein_coding	None	None
3	NC_002505.1	RefSeq	gene	3899.0	4156.0	.	-	.	gene-VC_RS00020	yidD	Gene	protein_coding	VC_RS00020	yidD	membrane protein insertion efficiency factor YidD	membrane protein insertion efficiency factor YidD	No_PHROG	protein_coding	None	None
4	NC_002505.1	RefSeq	gene	4123.0	4446.0	.	-	.	gene-VC_RS00025	rnpA	Gene	protein_coding	VC_RS00025	rnpA	ribonuclease P protein component	ribonuclease P protein component	No_PHROG	protein_coding	None	None
5	NC_002505.1	RefSeq	gene	4492.0	4629.0	.	-	.	gene-VC_RS00030	rpmH	Gene	protein_coding	VC_RS00030	rpmH	50S ribosomal protein L34	50S ribosomal protein L34	No_PHROG	protein_coding	None	None
6	NC_002505.1	RefSeq	gene	4871.0	5608.0	.	-	.	gene-VC_RS00035	VC_RS00035	Gene	protein_coding	VC_RS00035	gene-VC_RS00035	amino acid ABC transporter ATP-binding protein	amino acid ABC transporter ATP-binding protein	No_PHROG	protein_coding	None	None
7	NC_002505.1	RefSeq	gene	5605.0	6276.0	.	-	.	gene-VC_RS00040	VC_RS00040	Gene	protein_coding	VC_RS00040	gene-VC_RS00040	amino acid ABC transporter permease	amino acid ABC transporter permease	No_PHROG	protein_coding	None	None
8	NC_002505.1	RefSeq	gene	6354.0	7100.0	.	-	.	gene-VC_RS00045	VC_RS00045	Gene	protein_coding	VC_RS00045	gene-VC_RS00045	amino acid ABC transporter substrate-binding protein	amino acid ABC transporter substrate-binding protein	No_PHROG	protein_coding	None	None
9	NC_002505.1	RefSeq	gene	7412.0	8815.0	.	+	.	gene-VC_RS00050	dnaA	Gene	protein_coding	VC_RS00050	dnaA	chromosomal replication initiator protein DnaA	chromosomal replication initiator protein DnaA	No_PHROG	protein_coding	None	None
10	NC_002505.1	RefSeq	gene	8873.0	9973.0	.	+	.	gene-VC_RS00055	dnaN	Gene	protein_coding	VC_RS00055	dnaN	DNA polymerase III subunit beta	DNA polymerase III subunit beta	No_PHROG	protein_coding	None	None
11	NC_002505.1	RefSeq	gene	9991.0	11082.0	.	+	.	gene-VC_RS00060	recF	Gene	protein_coding	VC_RS00060	recF	DNA replication/repair protein RecF	DNA replication/repair protein RecF	No_PHROG	protein_coding	None	None
12	NC_002505.1	RefSeq	gene	11103.0	13520.0	.	+	.	gene-VC_RS00065	gyrB	Gene	protein_coding	VC_RS00065	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	DNA topoisomerase (ATP-hydrolyzing) subunit B	No_PHROG	protein_coding	None	None
13	NC_002505.1	RefSeq	gene	13945.0	14367.0	.	+	.	gene-VC_RS00070	VC_RS00070	Gene	protein_coding	VC_RS00070	gene-VC_RS00070	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	None	None
14	NC_002505.1	RefSeq	gene	14769.0	15206.0	.	+	.	gene-VC_RS00075	VC_RS00075	Gene	protein_coding	VC_RS00075	gene-VC_RS00075	Hsp20 family protein	Hsp20 family protein	No_PHROG	protein_coding	None	None
15	NC_002505.1	RefSeq	gene	15294.0	16550.0	.	-	.	gene-VC_RS00080	VC_RS00080	Gene	protein_coding	VC_RS00080	gene-VC_RS00080	valine--pyruvate transaminase	valine--pyruvate transaminase	No_PHROG	protein_coding	None	None
16	NC_002505.1	RefSeq	gene	16869.0	18935.0	.	-	.	gene-VC_RS00085	glyS	Gene	protein_coding	VC_RS00085	glyS	glycine--tRNA ligase subunit beta	glycine--tRNA ligase subunit beta	No_PHROG	protein_coding	None	None
17	NC_002505.1	RefSeq	gene	18950.0	19867.0	.	-	.	gene-VC_RS00090	glyQ	Gene	protein_coding	VC_RS00090	glyQ	glycine--tRNA ligase subunit alpha	glycine--tRNA ligase subunit alpha	No_PHROG	protein_coding	None	None
18	NC_002505.1	RefSeq	gene	20283.0	20837.0	.	+	.	gene-VC_RS00095	VC_RS00095	Gene	protein_coding	VC_RS00095	gene-VC_RS00095	TMEM165/GDT1 family protein	TMEM165/GDT1 family protein	No_PHROG	protein_coding	None	None
19	NC_002505.1	RefSeq	gene	20943.0	21200.0	.	+	.	gene-VC_RS00100	VC_RS00100	Gene	protein_coding	VC_RS00100	gene-VC_RS00100	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	None	None
20	NC_002505.1	RefSeq	gene	21287.0	21535.0	.	-	.	gene-VC_RS00105	tusA	Gene	protein_coding	VC_RS00105	tusA	sulfurtransferase TusA	sulfurtransferase TusA	No_PHROG	protein_coding	None	None
21	NC_002505.1	RefSeq	gene	21671.0	21856.0	.	+	.	gene-VC_RS00110	VC_RS00110	Gene	protein_coding	VC_RS00110	gene-VC_RS00110	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	None	None
22	NC_002505.1	RefSeq	gene	22028.0	23008.0	.	-	.	gene-VC_RS00115	VC_RS00115	Gene	protein_coding	VC_RS00115	gene-VC_RS00115	MDR family oxidoreductase	MDR family oxidoreductase	No_PHROG	protein_coding	None	None
23	NC_002505.1	RefSeq	gene	23256.0	24788.0	.	-	.	gene-VC_RS00120	ilvA	Gene	protein_coding	VC_RS00120	ilvA	threonine ammonia-lyase%2C biosynthetic	threonine ammonia-lyase%2C biosynthetic	No_PHROG	protein_coding	None	None
24	NC_002505.1	RefSeq	gene	24792.0	26633.0	.	-	.	gene-VC_RS00125	ilvD	Gene	protein_coding	VC_RS00125	ilvD	dihydroxy-acid dehydratase	dihydroxy-acid dehydratase	No_PHROG	protein_coding	None	None
25	NC_002505.1	RefSeq	gene	26643.0	27581.0	.	-	.	gene-VC_RS00130	ilvE	Gene	protein_coding	VC_RS00130	ilvE	branched-chain-amino-acid transaminase	branched-chain-amino-acid transaminase	No_PHROG	protein_coding	None	None
26	NC_002505.1	RefSeq	gene	27593.0	27877.0	.	-	.	gene-VC_RS00135	ilvM	Gene	protein_coding	VC_RS00135	ilvM	acetolactate synthase 2 small subunit	acetolactate synthase 2 small subunit	No_PHROG	protein_coding	None	None
27	NC_002505.1	RefSeq	gene	27889.0	29535.0	.	-	.	gene-VC_RS00140	ilvG	Gene	protein_coding	VC_RS00140	ilvG	acetolactate synthase 2 catalytic subunit	acetolactate synthase 2 catalytic subunit	No_PHROG	protein_coding	None	None
28	NC_002505.1	RefSeq	gene	30069.0	31592.0	.	+	.	gene-VC_RS00145	VC_RS00145	Gene	protein_coding	VC_RS00145	gene-VC_RS00145	YifB family Mg chelatase-like AAA ATPase	YifB family Mg chelatase-like AAA ATPase	No_PHROG	protein_coding	None	None
29	NC_002505.1	RefSeq	gene	31682.0	32566.0	.	+	.	gene-VC_RS00150	VC_RS00150	Gene	protein_coding	VC_RS00150	gene-VC_RS00150	acyltransferase	acyltransferase	No_PHROG	protein_coding	None	None
30	NC_002505.1	RefSeq	gene	32644.0	33246.0	.	-	.	gene-VC_RS00155	VC_RS00155	Gene	protein_coding	VC_RS00155	gene-VC_RS00155	thiol:disulfide interchange protein DsbA/DsbL	thiol:disulfide interchange protein DsbA/DsbL	No_PHROG	protein_coding	None	None
31	NC_002505.1	RefSeq	gene	33277.0	34263.0	.	-	.	gene-VC_RS00160	VC_RS00160	Gene	protein_coding	VC_RS00160	gene-VC_RS00160	serine/threonine protein kinase	serine/threonine protein kinase	No_PHROG	protein_coding	None	None
32	NC_002505.1	RefSeq	gene	34311.0	35735.0	.	-	.	gene-VC_RS00165	ccoG	Gene	protein_coding	VC_RS00165	ccoG	cytochrome c oxidase accessory protein CcoG	cytochrome c oxidase accessory protein CcoG	No_PHROG	protein_coding	None	None
33	NC_002505.1	RefSeq	gene	36152.0	36418.0	.	-	.	gene-VC_RS00170	VC_RS00170	Gene	protein_coding	VC_RS00170	gene-VC_RS00170	YihD family protein	YihD family protein	No_PHROG	protein_coding	None	None
34	NC_002505.1	RefSeq	gene	36979.0	37770.0	.	+	.	gene-VC_RS00175	VC_RS00175	Gene	protein_coding	VC_RS00175	gene-VC_RS00175	sporulation protein	sporulation protein	No_PHROG	protein_coding	None	None
35	NC_002505.1	RefSeq	gene	37854.0	38495.0	.	+	.	gene-VC_RS00180	VC_RS00180	Gene	protein_coding	VC_RS00180	gene-VC_RS00180	PAQR family membrane homeostasis protein TrhA	PAQR family membrane homeostasis protein TrhA	No_PHROG	protein_coding	None	None
36	NC_002505.1	RefSeq	gene	38534.0	39091.0	.	-	.	gene-VC_RS00185	VC_RS00185	Gene	protein_coding	VC_RS00185	gene-VC_RS00185	DUF3157 family protein	DUF3157 family protein	No_PHROG	protein_coding	None	None
37	NC_002505.1	RefSeq	gene	39103.0	40548.0	.	-	.	gene-VC_RS00190	VC_RS00190	Gene	protein_coding	VC_RS00190	gene-VC_RS00190	TrkH family potassium uptake protein	TrkH family potassium uptake protein	No_PHROG	protein_coding	None	None
38	NC_002505.1	RefSeq	gene	40560.0	41936.0	.	-	.	gene-VC_RS00195	trkA	Gene	protein_coding	VC_RS00195	trkA	Trk system potassium transporter TrkA	Trk system potassium transporter TrkA	No_PHROG	protein_coding	None	None
39	NC_002505.1	RefSeq	gene	41998.0	43278.0	.	-	.	gene-VC_RS00200	rsmB	Gene	protein_coding	VC_RS00200	rsmB	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	No_PHROG	protein_coding	None	None
40	NC_002505.1	RefSeq	gene	43334.0	44281.0	.	-	.	gene-VC_RS00205	fmt	Gene	protein_coding	VC_RS00205	fmt	methionyl-tRNA formyltransferase	methionyl-tRNA formyltransferase	No_PHROG	protein_coding	None	None
41	NC_002505.1	RefSeq	gene	44299.0	44808.0	.	-	.	gene-VC_RS00210	def	Gene	protein_coding	VC_RS00210	def	peptide deformylase	peptide deformylase	No_PHROG	protein_coding	None	None
42	NC_002505.1	RefSeq	gene	44948.0	46075.0	.	+	.	gene-VC_RS00215	VC_RS00215	Gene	protein_coding	VC_RS00215	gene-VC_RS00215	LysM peptidoglycan-binding domain-containing protein	LysM peptidoglycan-binding domain-containing protein	No_PHROG	protein_coding	None	None
43	NC_002505.1	RefSeq	gene	46075.0	47190.0	.	+	.	gene-VC_RS00220	dprA	Gene	protein_coding	VC_RS00220	dprA	DNA-processing protein DprA	DNA-processing protein DprA	No_PHROG	protein_coding	None	None
44	NC_002505.1	RefSeq	gene	47193.0	47669.0	.	+	.	gene-VC_RS00225	VC_RS00225	Gene	protein_coding	VC_RS00225	gene-VC_RS00225	DUF494 family protein	DUF494 family protein	No_PHROG	protein_coding	None	None
45	NC_002505.1	RefSeq	gene	47685.0	48251.0	.	+	.	gene-VC_RS00230	VC_RS00230	Gene	protein_coding	VC_RS00230	gene-VC_RS00230	type I DNA topoisomerase	type I DNA topoisomerase	No_PHROG	protein_coding	None	None
46	NC_002505.1	RefSeq	gene	48324.0	49457.0	.	-	.	gene-VC_RS00235	VC_RS00235	Gene	protein_coding	VC_RS00235	gene-VC_RS00235	5-(carboxyamino)imidazole ribonucleotide synthase	5-(carboxyamino)imidazole ribonucleotide synthase	No_PHROG	protein_coding	None	None
47	NC_002505.1	RefSeq	gene	49461.0	49946.0	.	-	.	gene-VC_RS00240	purE	Gene	protein_coding	VC_RS00240	purE	5-(carboxyamino)imidazole ribonucleotide mutase	5-(carboxyamino)imidazole ribonucleotide mutase	No_PHROG	protein_coding	None	None
48	NC_002505.1	RefSeq	gene	50113.0	50670.0	.	+	.	gene-VC_RS00245	VC_RS00245	Gene	protein_coding	VC_RS00245	gene-VC_RS00245	L-threonylcarbamoyladenylate synthase	L-threonylcarbamoyladenylate synthase	No_PHROG	protein_coding	None	None
49	NC_002505.1	RefSeq	gene	50689.0	51606.0	.	+	.	gene-VC_RS00250	hemF	Gene	protein_coding	VC_RS00250	hemF	oxygen-dependent coproporphyrinogen oxidase	oxygen-dependent coproporphyrinogen oxidase	No_PHROG	protein_coding	None	None
50	NC_002505.1	RefSeq	gene	51668.0	52504.0	.	+	.	gene-VC_RS00255	aroE	Gene	protein_coding	VC_RS00255	aroE	shikimate dehydrogenase	shikimate dehydrogenase	No_PHROG	protein_coding	None	None
51	NC_002505.1	RefSeq	gene	52501.0	52776.0	.	+	.	gene-VC_RS00260	VC_RS00260	Gene	protein_coding	VC_RS00260	gene-VC_RS00260	DUF1488 domain-containing protein	DUF1488 domain-containing protein	No_PHROG	protein_coding	None	None
52	NC_002505.1	RefSeq	gene	52757.0	53308.0	.	-	.	gene-VC_RS00265	VC_RS00265	Gene	protein_coding	VC_RS00265	gene-VC_RS00265	gamma carbonic anhydrase family protein	gamma carbonic anhydrase family protein	No_PHROG	protein_coding	None	None
53	NC_002505.1	RefSeq	gene	53497.0	53637.0	.	+	.	gene-VC_RS18595	VC_RS18595	Gene	protein_coding	VC_RS18595	gene-VC_RS18595	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	None	None
54	NC_002505.1	RefSeq	gene	53816.0	55358.0	.	+	.	gene-VC_RS00270	VC_RS00270	Gene	rRNA	VC_RS00270	gene-VC_RS00270	16S ribosomal RNA	16S ribosomal RNA	No_PHROG	rRNA		
55	NC_002505.1	RefSeq	gene	55421.0	55496.0	.	+	.	gene-VC_RS00275	VC_RS00275	Gene	tRNA	VC_RS00275	gene-VC_RS00275	tRNA-Ala	tRNA-Ala	No_PHROG	tRNA	None	None
56	NC_002505.1	RefSeq	gene	55784.0	58670.0	.	+	.	gene-VC_RS00280	VC_RS00280	Gene	rRNA	VC_RS00280	gene-VC_RS00280	23S ribosomal RNA	23S ribosomal RNA	No_PHROG	rRNA		
57	NC_002505.1	RefSeq	gene	58800.0	58915.0	.	+	.	gene-VC_RS00285	rrf	Gene	rRNA	VC_RS00285	rrf	5S ribosomal RNA	5S ribosomal RNA	No_PHROG	rRNA		
58	NC_002505.1	RefSeq	gene	58941.0	59017.0	.	+	.	gene-VC_RS00290	VC_RS00290	Gene	tRNA	VC_RS00290	gene-VC_RS00290	tRNA-Asp	tRNA-Asp	No_PHROG	tRNA	None	None
59	NC_002505.1	RefSeq	gene	59047.0	59123.0	.	+	.	gene-VC_RS00295	VC_RS00295	Gene	tRNA	VC_RS00295	gene-VC_RS00295	tRNA-Trp	tRNA-Trp	No_PHROG	tRNA	None	None
60	NC_002505.1	RefSeq	gene	59356.0	59736.0	.	+	.	gene-VC_RS00300	crcB	Gene	protein_coding	VC_RS00300	crcB	fluoride efflux transporter CrcB	fluoride efflux transporter CrcB	No_PHROG	protein_coding	None	None
61	NC_002505.1	RefSeq	gene	59988.0	61925.0	.	+	.	gene-VC_RS00305	thiC	Gene	protein_coding	VC_RS00305	thiC	phosphomethylpyrimidine synthase ThiC	phosphomethylpyrimidine synthase ThiC	No_PHROG	protein_coding	None	None
62	NC_002505.1	RefSeq	gene	61929.0	63251.0	.	+	.	gene-VC_RS00310	VC_RS00310	Gene	protein_coding	VC_RS00310	gene-VC_RS00310	thiamine phosphate synthase	thiamine phosphate synthase	No_PHROG	protein_coding	None	None
63	NC_002505.1	RefSeq	gene	63238.0	64014.0	.	+	.	gene-VC_RS00315	thiF	Gene	protein_coding	VC_RS00315	thiF	thiazole biosynthesis adenylyltransferase ThiF	thiazole biosynthesis adenylyltransferase ThiF	No_PHROG	protein_coding	None	None
64	NC_002505.1	RefSeq	gene	64014.0	64214.0	.	+	.	gene-VC_RS00320	thiS	Gene	protein_coding	VC_RS00320	thiS	sulfur carrier protein ThiS	sulfur carrier protein ThiS	No_PHROG	protein_coding	None	None
65	NC_002505.1	RefSeq	gene	64220.0	64990.0	.	+	.	gene-VC_RS00325	VC_RS00325	Gene	protein_coding	VC_RS00325	gene-VC_RS00325	thiazole synthase	thiazole synthase	No_PHROG	protein_coding	None	None
66	NC_002505.1	RefSeq	gene	64987.0	66099.0	.	+	.	gene-VC_RS00330	thiH	Gene	protein_coding	VC_RS00330	thiH	2-iminoacetate synthase ThiH	2-iminoacetate synthase ThiH	No_PHROG	protein_coding	None	None
67	NC_002505.1	RefSeq	gene	66324.0	68117.0	.	-	.	gene-VC_RS00335	VC_RS00335	Gene	protein_coding	VC_RS00335	gene-VC_RS00335	aminopeptidase P family protein	aminopeptidase P family protein	No_PHROG	protein_coding	None	None
68	NC_002505.1	RefSeq	gene	68250.0	69191.0	.	-	.	gene-VC_RS00340	VC_RS00340	Gene	protein_coding	VC_RS00340	gene-VC_RS00340	LysR substrate-binding domain-containing protein	LysR substrate-binding domain-containing protein	No_PHROG	protein_coding	None	None
69	NC_002505.1	RefSeq	gene	69308.0	70498.0	.	+	.	gene-VC_RS00345	VC_RS00345	Gene	protein_coding	VC_RS00345	gene-VC_RS00345	multidrug effflux MFS transporter	multidrug effflux MFS transporter	No_PHROG	protein_coding	None	None
70	NC_002505.1	RefSeq	gene	70602.0	70886.0	.	+	.	gene-VC_RS00350	VC_RS00350	Gene	protein_coding	VC_RS00350	gene-VC_RS00350	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	None	None
71	NC_002505.1	RefSeq	gene	70975.0	71436.0	.	-	.	gene-VC_RS00355	asnC	Gene	protein_coding	VC_RS00355	asnC	transcriptional regulator AsnC	transcriptional regulator AsnC	No_PHROG	protein_coding	None	None
72	NC_002505.1	RefSeq	gene	71662.0	73818.0	.	+	.	gene-VC_RS00360	VC_RS00360	Gene	protein_coding	VC_RS00360	gene-VC_RS00360	EAL domain-containing protein	EAL domain-containing protein	No_PHROG	protein_coding	None	None
73	NC_002505.1	RefSeq	gene	73878.0	74663.0	.	+	.	gene-VC_RS00365	VC_RS00365	Gene	protein_coding	VC_RS00365	gene-VC_RS00365	class I SAM-dependent methyltransferase	class I SAM-dependent methyltransferase	No_PHROG	protein_coding	None	None
74	NC_002505.1	RefSeq	gene	74787.0	75170.0	.	+	.	gene-VC_RS00370	VC_RS00370	Gene	protein_coding	VC_RS00370	gene-VC_RS00370	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	None	None
75	NC_002505.1	RefSeq	gene	75266.0	76153.0	.	-	.	gene-VC_RS00375	VC_RS00375	Gene	protein_coding	VC_RS00375	gene-VC_RS00375	carboxylate/amino acid/amine transporter	carboxylate/amino acid/amine transporter	No_PHROG	protein_coding	None	None
76	NC_002505.1	RefSeq	gene	76210.0	76635.0	.	-	.	gene-VC_RS00380	uspA	Gene	protein_coding	VC_RS00380	uspA	universal stress protein UspA	universal stress protein UspA	No_PHROG	protein_coding	None	None
77	NC_002505.1	RefSeq	gene	76800.0	77327.0	.	+	.	gene-VC_RS00385	ftnA	Gene	protein_coding	VC_RS00385	ftnA	non-heme ferritin	non-heme ferritin	No_PHROG	protein_coding	None	None
78	NC_002505.1	RefSeq	gene	77403.0	77726.0	.	+	.	gene-VC_RS00390	uspB	Gene	protein_coding	VC_RS00390	uspB	universal stress protein UspB	universal stress protein UspB	No_PHROG	protein_coding	None	None
79	NC_002505.1	RefSeq	gene	77868.0	79055.0	.	+	.	gene-VC_RS00395	VC_RS00395	Gene	protein_coding	VC_RS00395	gene-VC_RS00395	NAD(P)/FAD-dependent oxidoreductase	NAD(P)/FAD-dependent oxidoreductase	No_PHROG	protein_coding	None	None
80	NC_002505.1	RefSeq	gene	79052.0	79963.0	.	-	.	gene-VC_RS00400	VC_RS00400	Gene	protein_coding	VC_RS00400	gene-VC_RS00400	DMT family transporter	DMT family transporter	No_PHROG	protein_coding	None	None
81	NC_002505.1	RefSeq	gene	80086.0	81618.0	.	+	.	gene-VC_RS00405	rmuC	Gene	protein_coding	VC_RS00405	rmuC	DNA recombination protein RmuC	DNA recombination protein RmuC	No_PHROG	protein_coding	None	None
82	NC_002505.1	RefSeq	gene	81663.0	82445.0	.	+	.	gene-VC_RS00410	ubiE	Gene	protein_coding	VC_RS00410	ubiE	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1%2C4-benzoquinol methylase UbiE	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1%2C4-benzoquinol methylase UbiE	No_PHROG	protein_coding	None	None
