# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR1555229_sorted.bam" "SRR1555228_sorted.bam" "SRR1555225_sorted.bam" "SRR1555222_sorted.bam" "SRR1555226_sorted.bam" "SRR1555230_sorted.bam" "SRR1555224_sorted.bam" "SRR1555220_sorted.bam" "SRR1555221_sorted.bam" "SRR1555227_sorted.bam" "SRR1555223_sorted.bam" "SRR1555231_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR1555229_sorted.bam	SRR1555228_sorted.bam	SRR1555225_sorted.bam	SRR1555222_sorted.bam	SRR1555226_sorted.bam	SRR1555230_sorted.bam	SRR1555224_sorted.bam	SRR1555220_sorted.bam	SRR1555221_sorted.bam	SRR1555227_sorted.bam	SRR1555223_sorted.bam	SRR1555231_sorted.bam
gene-MSMEI_RS00005	NC_018289.1	1	1515	+	1515	3	3	33	26	3	0	14	81	137	10	141	5
gene-MSMEI_RS00010	NC_018289.1	2109	3302	+	1194	6	4	21	42	6	1	10	57	142	22	69	2
gene-MSMEI_RS00015	NC_018289.1	3331	4224	+	894	2	1	11	18	2	0	5	55	89	11	59	2
gene-MSMEI_RS00020	NC_018289.1	4234	5388	+	1155	3	4	4	6	1	3	17	43	57	7	58	1
gene-MSMEI_RS00025	NC_018289.1	5385	5969	+	585	0	0	2	3	0	0	0	15	17	0	2	0
gene-MSMEI_RS00030	NC_018289.1	6201	8228	+	2028	18	6	67	38	6	11	29	961	640	26	209	8
gene-MSMEI_RS00035	NC_018289.1	8258	10786	+	2529	12	11	40	67	14	9	47	614	450	26	217	5
gene-MSMEI_RS00040	NC_018289.1	10839	11621	+	783	3	2	14	10	3	0	7	62	71	2	59	1
gene-MSMEI_RS00045	NC_018289.1	11682	11755	+	74	21	8	34	79	16	78	18	83	85	52	84	48
gene-MSMEI_RS00055	NC_018289.1	11903	11975	+	73	49	17	537	101	67	47	127	172	366	181	876	80
gene-MSMEI_RS00060	NC_018289.1	12021	12821	+	801	6	2	66	19	5	6	41	32	45	24	104	5
gene-MSMEI_RS00065	NC_018289.1	12825	13856	+	1032	0	1	4	2	1	0	0	3	3	1	7	1
gene-MSMEI_RS00070	NC_018289.1	13853	14911	+	1059	0	1	0	0	0	0	0	1	2	1	3	0
gene-MSMEI_RS00075	NC_018289.1	14920	15750	+	831	1	0	4	4	0	0	1	4	6	3	10	0
gene-MSMEI_RS00080	NC_018289.1	15740	16699	-	960	1	0	2	1	0	0	2	1	7	1	14	1
gene-MSMEI_RS00085	NC_018289.1	16896	17132	+	237	0	0	8	2	0	0	2	0	0	0	12	0
gene-MSMEI_RS00090	NC_018289.1	17135	18862	+	1728	0	1	8	4	1	1	3	1	3	1	22	0
gene-MSMEI_RS00095	NC_018289.1	18859	20628	+	1770	0	0	2	3	0	0	0	0	0	0	9	0
gene-MSMEI_RS00100	NC_018289.1	20662	43233	+	22572	3	1	6	11	1	3	4	10	27	11	51	9
gene-MSMEI_RS00105	NC_018289.1	43299	44246	-	948	3	1	19	9	0	1	6	4	12	2	31	1
gene-MSMEI_RS00110	NC_018289.1	44554	44964	+	411	0	0	10	1	0	0	3	0	4	0	9	1
gene-MSMEI_RS00115	NC_018289.1	44976	46298	+	1323	2	2	9	10	0	3	2	12	14	1	24	0
gene-MSMEI_RS00120	NC_018289.1	46302	46712	-	411	2	1	7	1	1	0	2	19	11	1	10	0
gene-MSMEI_RS00125	NC_018289.1	46833	47360	+	528	6	9	87	82	5	5	52	161	262	14	296	1
gene-MSMEI_RS00130	NC_018289.1	47464	47871	-	408	3	4	7	18	4	3	12	59	66	3	55	0
gene-MSMEI_RS00135	NC_018289.1	48027	48311	-	285	3	2	10	8	1	0	5	21	30	6	25	2
gene-MSMEI_RS00140	NC_018289.1	48407	49156	+	750	0	0	3	7	0	0	0	12	8	2	12	0
gene-MSMEI_RS00145	NC_018289.1	49174	49848	+	675	0	2	6	14	0	0	1	37	41	1	15	1
gene-MSMEI_RS00150	NC_018289.1	49826	51703	-	1878	6	5	21	33	7	9	13	127	185	11	69	2
gene-MSMEI_RS00155	NC_018289.1	51700	52959	-	1260	0	0	10	16	1	1	5	47	78	5	36	3
gene-MSMEI_RS00160	NC_018289.1	52991	54466	-	1476	2	3	7	13	2	5	5	41	59	3	22	2
gene-MSMEI_RS00165	NC_018289.1	54463	55878	-	1416	0	3	12	37	0	0	4	55	88	7	34	1
gene-MSMEI_RS00170	NC_018289.1	55875	57413	-	1539	5	8	17	30	5	4	1	63	88	12	64	7
gene-MSMEI_RS00175	NC_018289.1	57436	57903	-	468	3	2	8	4	1	5	2	19	38	2	15	0
gene-MSMEI_RS00180	NC_018289.1	58039	59484	-	1446	9	5	38	45	10	4	22	62	106	19	108	5
gene-MSMEI_RS00190	NC_018289.1	59754	59836	+	83	967	472	275	687	269	899	229	1652	2041	1362	1147	624
gene-MSMEI_RS00195	NC_018289.1	60265	60639	-	375	1	0	0	1	1	1	0	0	2	0	0	0
gene-MSMEI_RS00200	NC_018289.1	60651	60956	-	306	0	0	1	1	0	0	0	0	2	1	1	2
gene-MSMEI_RS00205	NC_018289.1	60958	61434	-	477	0	0	0	1	0	0	0	0	0	1	0	1
