replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
NZ_CP136842.1	gene-R0792_RS05655	RloC__RloC	1101	defense-finder-models/DefenseFinder/RloC/RloC	NZ_CP136842.1_RloC_3	1	1	1.0	1.0	1	RloC__RloC	mandatory	717	1.8e-157	524.5	0.995	1.0	1	717			RloC	RloC	Defense
NZ_CP136842.1	gene-R0792_RS08115	cas1_I-F_1	1585	CasFinder/CAS_Class1-Subtype-I-F	NZ_CP136842.1_CAS_Class1-Subtype-I-F_10	1	1	1.0	6.0	1	cas1_I-F_1	mandatory	324	5.5e-154	510.3	1.0	0.948	12	318		NZ_CP136842.1_CAS_Class1-Type-I_11,NZ_CP136842.1_CAS_Cluster_12	Cas	CAS_Class1-Subtype-I-F	Defense
NZ_CP136842.1	gene-R0792_RS08120	cas3f_I-F_1	1586	CasFinder/CAS_Class1-Subtype-I-F	NZ_CP136842.1_CAS_Class1-Subtype-I-F_10	1	1	1.0	6.0	1	cas3f_I-F_1	mandatory	1076	0.0	1262.1	0.999	0.996	1	1072		NZ_CP136842.1_CAS_Class1-Type-I_11,NZ_CP136842.1_CAS_Cluster_12	Cas	CAS_Class1-Subtype-I-F	Defense
NZ_CP136842.1	gene-R0792_RS08125	cas8f_I-F_4	1587	CasFinder/CAS_Class1-Subtype-I-F	NZ_CP136842.1_CAS_Class1-Subtype-I-F_10	1	1	1.0	6.0	1	cas8f_I-F_8	mandatory	434	2.5e-148	492.7	0.997	0.853	47	416		NZ_CP136842.1_CAS_Class1-Type-I_11,NZ_CP136842.1_CAS_Cluster_12	Cas	CAS_Class1-Subtype-I-F	Defense
NZ_CP136842.1	gene-R0792_RS08130	cas5f_I-F_3	1588	CasFinder/CAS_Class1-Subtype-I-F	NZ_CP136842.1_CAS_Class1-Subtype-I-F_10	1	1	1.0	6.0	1	cas5f_I-F_4	mandatory	327	1.6e-106	354.4	0.997	0.939	10	316		NZ_CP136842.1_CAS_Class1-Type-I_11,NZ_CP136842.1_CAS_Cluster_12	Cas	CAS_Class1-Subtype-I-F	Defense
NZ_CP136842.1	gene-R0792_RS08135	cas7f_I-F_2	1589	CasFinder/CAS_Class1-Subtype-I-F	NZ_CP136842.1_CAS_Class1-Subtype-I-F_10	1	1	1.0	6.0	1	cas7f_I-F_3	mandatory	342	1.1999999999999999e-141	470.3	1.0	0.968	8	338		NZ_CP136842.1_CAS_Class1-Type-I_11,NZ_CP136842.1_CAS_Cluster_12	Cas	CAS_Class1-Subtype-I-F	Defense
NZ_CP136842.1	gene-R0792_RS08140	cas6f_I_II_III_IV_V_VI_3	1590	CasFinder/CAS_Class1-Subtype-I-F	NZ_CP136842.1_CAS_Class1-Subtype-I-F_10	1	1	1.0	6.0	1	cas6f_I_II_III_IV_V_VI_3	accessory	187	2.4e-62	208.8	1.0	0.984	4	187		NZ_CP136842.1_CAS_Class1-Type-I_11,NZ_CP136842.1_CAS_Cluster_12	Cas	CAS_Class1-Subtype-I-F	Defense
NZ_CP136842.1	gene-R0792_RS10015	Shango__SngC	1953	defense-finder-models/DefenseFinder/Shango/Shango	NZ_CP136842.1_Shango_5	1	1	1.0	2.0	1	Shango__SngC	accessory	736	2.7000000000000004e-292	970.1	0.994	0.978	10	729			Shango	Shango	Defense
NZ_CP136842.1	gene-R0792_RS10020	Shango__SngB	1954	defense-finder-models/DefenseFinder/Shango/Shango	NZ_CP136842.1_Shango_5	1	1	1.0	2.0	1	Shango__SngB	accessory	431	2.2e-186	618.4	0.991	0.995	3	431			Shango	Shango	Defense
NZ_CP136842.1	gene-R0792_RS10025	Shango__SngA	1955	defense-finder-models/DefenseFinder/Shango/Shango	NZ_CP136842.1_Shango_5	1	1	1.0	2.0	1	Shango__SngA	mandatory	832	6.6e-118	393.8	0.947	0.849	125	830			Shango	Shango	Defense
