	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	ClassThreshold	ClassMax
0	NZ_JAKRSL010000012.1	RefSeq	gene	194.0	1360.0	.	+	.	gene-Saur515_RS10465	aroC	Gene	protein_coding	Saur515_RS10465	aroC	chorismate synthase	None	None
1	NZ_JAKRSL010000012.1	RefSeq	gene	1386.0	2450.0	.	+	.	gene-Saur515_RS10470	aroB	Gene	protein_coding	Saur515_RS10470	aroB	3-dehydroquinate synthase	None	None
2	NZ_JAKRSL010000012.1	RefSeq	gene	2460.0	3758.0	.	+	.	gene-Saur515_RS10475	aroA	Gene	protein_coding	Saur515_RS10475	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	None	None
3	NZ_JAKRSL010000012.1	RefSeq	gene	3765.0	5009.0	.	+	.	gene-Saur515_RS10480	Saur515_RS10480	Gene	protein_coding	Saur515_RS10480	gene-Saur515_RS10480	tetratricopeptide repeat protein	None	None
4	NZ_JAKRSL010000012.1	RefSeq	gene	5023.0	5598.0	.	+	.	gene-Saur515_RS10485	Saur515_RS10485	Gene	protein_coding	Saur515_RS10485	gene-Saur515_RS10485	YpiB family protein	None	None
5	NZ_JAKRSL010000012.1	RefSeq	gene	5588.0	6175.0	.	+	.	gene-Saur515_RS10490	Saur515_RS10490	Gene	protein_coding	Saur515_RS10490	gene-Saur515_RS10490	DUF1405 domain-containing protein	None	None
6	NZ_JAKRSL010000012.1	RefSeq	gene	6247.0	6927.0	.	+	.	gene-Saur515_RS10495	Saur515_RS10495	Gene	protein_coding	Saur515_RS10495	gene-Saur515_RS10495	zinc metallopeptidase	None	None
7	NZ_JAKRSL010000012.1	RefSeq	gene	7264.0	7581.0	.	+	.	gene-Saur515_RS10500	Saur515_RS10500	Gene	protein_coding	Saur515_RS10500	gene-Saur515_RS10500	nucleotide pyrophosphohydrolase	None	None
8	NZ_JAKRSL010000012.1	RefSeq	gene	7822.0	8964.0	.	+	.	gene-Saur515_RS10505	bshA	Gene	protein_coding	Saur515_RS10505	bshA	N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA	None	None
9	NZ_JAKRSL010000012.1	RefSeq	gene	8969.0	10171.0	.	+	.	gene-Saur515_RS10510	Saur515_RS10510	Gene	protein_coding	Saur515_RS10510	gene-Saur515_RS10510	CCA tRNA nucleotidyltransferase	None	None
10	NZ_JAKRSL010000012.1	RefSeq	gene	10158.0	11129.0	.	+	.	gene-Saur515_RS10515	Saur515_RS10515	Gene	protein_coding	Saur515_RS10515	gene-Saur515_RS10515	biotin--[acetyl-CoA-carboxylase] ligase	None	None
11	NZ_JAKRSL010000012.1	RefSeq	gene	11153.0	13846.0	.	+	.	gene-Saur515_RS10520	Saur515_RS10520	Gene	protein_coding	Saur515_RS10520	gene-Saur515_RS10520	ATP-dependent DNA helicase DinG	None	None
12	NZ_JAKRSL010000012.1	RefSeq	gene	14168.0	15460.0	.	+	.	gene-Saur515_RS10525	asnS	Gene	protein_coding	Saur515_RS10525	asnS	asparagine--tRNA ligase	None	None
13	NZ_JAKRSL010000012.1	RefSeq	gene	15788.0	16474.0	.	+	.	gene-Saur515_RS10530	Saur515_RS10530	Gene	protein_coding	Saur515_RS10530	gene-Saur515_RS10530	DnaD domain-containing protein	None	None
14	NZ_JAKRSL010000012.1	RefSeq	gene	16464.0	17123.0	.	+	.	gene-Saur515_RS10535	nth	Gene	protein_coding	Saur515_RS10535	nth	endonuclease III	None	None
15	NZ_JAKRSL010000012.1	RefSeq	gene	17128.0	17469.0	.	+	.	gene-Saur515_RS10540	Saur515_RS10540	Gene	protein_coding	Saur515_RS10540	gene-Saur515_RS10540	YpoC family protein	None	None
16	NZ_JAKRSL010000012.1	RefSeq	gene	18035.0	20218.0	.	-	.	gene-Saur515_RS10545	Saur515_RS10545	Gene	protein_coding	Saur515_RS10545	gene-Saur515_RS10545	transglycosylase domain-containing protein	None	None
17	NZ_JAKRSL010000012.1	RefSeq	gene	20215.0	20841.0	.	-	.	gene-Saur515_RS10550	recU	Gene	protein_coding	Saur515_RS10550	recU	Holliday junction resolvase RecU	None	None
18	NZ_JAKRSL010000012.1	RefSeq	gene	21147.0	21326.0	.	+	.	gene-Saur515_RS14470	Saur515_RS14470	Gene	protein_coding	Saur515_RS14470	gene-Saur515_RS14470	hypothetical protein	None	None
19	NZ_JAKRSL010000012.1	RefSeq	gene	21381.0	21731.0	.	+	.	gene-Saur515_RS10560	Saur515_RS10560	Gene	protein_coding	Saur515_RS10560	gene-Saur515_RS10560	YppE family protein	None	None
20	NZ_JAKRSL010000012.1	RefSeq	gene	21724.0	22287.0	.	+	.	gene-Saur515_RS10565	Saur515_RS10565	Gene	protein_coding	Saur515_RS10565	gene-Saur515_RS10565	DUF1273 domain-containing protein	None	None
21	NZ_JAKRSL010000012.1	RefSeq	gene	22301.0	22645.0	.	+	.	gene-Saur515_RS10570	gpsB	Gene	protein_coding	Saur515_RS10570	gpsB	cell division regulator GpsB	None	None
22	NZ_JAKRSL010000012.1	RefSeq	gene	22708.0	23087.0	.	+	.	gene-Saur515_RS10575	rnpB	Gene	RNase_P_RNA	Saur515_RS10575	rnpB	RNase P RNA component class B	None	None
23	NZ_JAKRSL010000012.1	RefSeq	gene	23296.0	24441.0	.	+	.	gene-Saur515_RS10580	Saur515_RS10580	Gene	protein_coding	Saur515_RS10580	gene-Saur515_RS10580	THUMP domain-containing class I SAM-dependent RNA methyltransferase	None	None
24	NZ_JAKRSL010000012.1	RefSeq	gene	24525.0	24857.0	.	+	.	gene-Saur515_RS10585	Saur515_RS10585	Gene	protein_coding	Saur515_RS10585	gene-Saur515_RS10585	DUF4889 domain-containing protein	None	None
25	NZ_JAKRSL010000012.1	RefSeq	gene	25063.0	26403.0	.	-	.	gene-Saur515_RS10590	Saur515_RS10590	Gene	protein_coding	Saur515_RS10590	gene-Saur515_RS10590	PepSY-associated TM helix domain-containing protein	None	None
26	NZ_JAKRSL010000012.1	RefSeq	gene	26707.0	30147.0	.	+	.	gene-Saur515_RS10595	Saur515_RS10595	Gene	protein_coding	Saur515_RS10595	gene-Saur515_RS10595	dynamin family protein	None	None
27	NZ_JAKRSL010000012.1	RefSeq	gene	30167.0	31045.0	.	+	.	gene-Saur515_RS10600	Saur515_RS10600	Gene	protein_coding	Saur515_RS10600	gene-Saur515_RS10600	5'-3' exonuclease	None	None
28	NZ_JAKRSL010000012.1	RefSeq	gene	31520.0	32638.0	.	+	.	gene-Saur515_RS10605	ald	Gene	protein_coding	Saur515_RS10605	ald	alanine dehydrogenase	None	None
29	NZ_JAKRSL010000012.1	RefSeq	gene	32733.0	33773.0	.	+	.	gene-Saur515_RS10610	tdcB	Gene	protein_coding	Saur515_RS10610	tdcB	bifunctional threonine ammonia-lyase/L-serine ammonia-lyase TdcB	None	None
30	NZ_JAKRSL010000012.1	RefSeq	gene	33804.0	35126.0	.	+	.	gene-Saur515_RS10615	Saur515_RS10615	Gene	protein_coding	Saur515_RS10615	gene-Saur515_RS10615	APC family permease	None	None
31	NZ_JAKRSL010000012.1	RefSeq	gene	35283.0	36674.0	.	+	.	gene-Saur515_RS10620	norB	Gene	protein_coding	Saur515_RS10620	norB	multidrug efflux MFS transporter NorB	None	None
32	NZ_JAKRSL010000012.1	RefSeq	gene	37072.0	68337.0	.	+	.	gene-Saur515_RS10625	ebh	Gene	protein_coding	Saur515_RS10625	ebh	hyperosmolarity resistance protein Ebh	None	None
