# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR1393883_sorted.bam" "SRR1393887_sorted.bam" "SRR1393886_sorted.bam" "SRR1393882_sorted.bam" "SRR1393881_sorted.bam" "SRR1393880_sorted.bam" "SRR1393885_sorted.bam" "SRR1393884_sorted.bam" "SRR1393888_sorted.bam" "SRR1393889_sorted.bam" "SRR1393891_sorted.bam" "SRR1393890_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR1393883_sorted.bam	SRR1393887_sorted.bam	SRR1393886_sorted.bam	SRR1393882_sorted.bam	SRR1393881_sorted.bam	SRR1393880_sorted.bam	SRR1393885_sorted.bam	SRR1393884_sorted.bam	SRR1393888_sorted.bam	SRR1393889_sorted.bam	SRR1393891_sorted.bam	SRR1393890_sorted.bam
gene-PA0001	NC_002516.2	483	2027	+	1545	56	18	8	77	90	21	30	17	45	38	20	25
gene-PA0002	NC_002516.2	2056	3159	+	1104	25	9	5	30	46	23	9	9	275	243	139	152
gene-PA0003	NC_002516.2	3169	4278	+	1110	32	27	4	43	48	21	20	24	110	63	84	63
gene-PA0004	NC_002516.2	4275	6695	+	2421	82	46	27	110	119	48	50	30	43	43	63	66
gene-PA0005	NC_002516.2	7018	7791	-	774	20	5	1	21	20	16	13	5	0	4	5	2
gene-PA0006	NC_002516.2	7803	8339	-	537	12	7	3	21	16	14	9	10	4	7	10	11
gene-PA0007	NC_002516.2	8671	10377	+	1707	16	7	2	12	7	12	11	8	0	1	2	1
gene-PA0008	NC_002516.2	10434	12488	-	2055	37	14	6	41	40	21	20	8	1	3	1	1
gene-PA0009	NC_002516.2	12488	13435	-	948	13	9	11	23	11	16	12	6	7	8	14	15
gene-PA0010	NC_002516.2	13540	14091	+	552	7	4	2	6	4	3	3	1	0	0	0	0
gene-PA0011	NC_002516.2	14235	15122	+	888	14	12	1	21	15	15	5	10	7	11	20	21
gene-PA0012	NC_002516.2	15207	15473	+	267	6	4	1	5	9	3	5	5	1	1	1	3
gene-PA0013	NC_002516.2	15620	16273	+	654	13	13	2	14	25	8	2	5	0	0	0	2
