	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	annot	PHROG	category	ClassThreshold	ClassMax
0	CP053287.1	Genbank	gene	74	1171	.	-	.	gene-HB27c_C0001	HB27c_C0001	Gene	protein_coding	HB27c_C0001	gene-HB27c_C0001	IS4 family transposase	IS4 family transposase	No_PHROG	protein_coding	None	None
1	CP053287.1	Genbank	gene	1281	2051	.	+	.	gene-HB27c_C0002	HB27c_C0002	Gene	protein_coding	HB27c_C0002	gene-HB27c_C0002	SDR family oxidoreductase	SDR family oxidoreductase	No_PHROG	protein_coding	None	None
2	CP053287.1	Genbank	gene	2097	2639	.	-	.	gene-HB27c_C0003	HB27c_C0003	Gene	protein_coding	HB27c_C0003	gene-HB27c_C0003	NAD(P)/FAD-dependent oxidoreductase	NAD(P)/FAD-dependent oxidoreductase	No_PHROG	protein_coding	None	None
3	CP053287.1	Genbank	gene	3280	3362	.	-	.	gene-HB27c_C0004	HB27c_C0004	Gene	tRNA	HB27c_C0004	gene-HB27c_C0004	tRNA-Leu	tRNA-Leu	No_PHROG	tRNA	None	None
4	CP053287.1	Genbank	gene	3982	4311	.	+	.	gene-HB27c_C0005	HB27c_C0005	Gene	protein_coding	HB27c_C0005	gene-HB27c_C0005	YraN family protein	YraN family protein	No_PHROG	protein_coding	None	None
5	CP053287.1	Genbank	gene	4326	6134	.	+	.	gene-HB27c_C0006	HB27c_C0006	Gene	protein_coding	HB27c_C0006	gene-HB27c_C0006	menaquinone biosynthesis decarboxylase	menaquinone biosynthesis decarboxylase	No_PHROG	protein_coding	None	None
6	CP053287.1	Genbank	gene	6172	6822	.	+	.	gene-HB27c_C0007	HB27c_C0007	Gene	protein_coding	HB27c_C0007	gene-HB27c_C0007	flavodoxin family protein	flavodoxin family protein	No_PHROG	protein_coding	None	None
7	CP053287.1	Genbank	gene	6969	7517	.	-	.	gene-HB27c_C0008	HB27c_C0008	Gene	protein_coding	HB27c_C0008	gene-HB27c_C0008	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	No_PHROG	protein_coding	None	None
8	CP053287.1	Genbank	gene	8735	9928	.	+	.	gene-HB27c_C0011	HB27c_C0011	Gene	protein_coding	HB27c_C0011	gene-HB27c_C0011	carbohydrate ABC transporter permease	carbohydrate ABC transporter permease	No_PHROG	protein_coding	None	None
9	CP053287.1	Genbank	gene	9984	11237	.	+	.	gene-HB27c_C0012	HB27c_C0012	Gene	protein_coding	HB27c_C0012	gene-HB27c_C0012	ABC transporter substrate-binding protein	ABC transporter substrate-binding protein	No_PHROG	protein_coding	None	None
10	CP053287.1	Genbank	gene	11299	13161	.	+	.	gene-HB27c_C0013	HB27c_C0013	Gene	protein_coding	HB27c_C0013	gene-HB27c_C0013	aldehyde ferredoxin oxidoreductase family protein	aldehyde ferredoxin oxidoreductase family protein	No_PHROG	protein_coding	None	None
11	CP053287.1	Genbank	gene	13132	13806	.	-	.	gene-HB27c_C0014	HB27c_C0014	Gene	protein_coding	HB27c_C0014	gene-HB27c_C0014	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	None	None
12	CP053287.1	Genbank	gene	13870	14346	.	+	.	gene-HB27c_C0015	HB27c_C0015	Gene	protein_coding	HB27c_C0015	gene-HB27c_C0015	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	None	None
13	CP053287.1	Genbank	gene	14350	14607	.	+	.	gene-HB27c_C0016	HB27c_C0016	Gene	protein_coding	HB27c_C0016	gene-HB27c_C0016	glutaredoxin family protein	glutaredoxin family protein	No_PHROG	protein_coding	None	None
14	CP053287.1	Genbank	gene	14607	15446	.	+	.	gene-HB27c_C0017	HB27c_C0017	Gene	protein_coding	HB27c_C0017	gene-HB27c_C0017	prolipoprotein diacylglyceryl transferase	prolipoprotein diacylglyceryl transferase	No_PHROG	protein_coding	None	None
15	CP053287.1	Genbank	gene	15457	16818	.	+	.	gene-HB27c_C0018	HB27c_C0018	Gene	protein_coding	HB27c_C0018	gene-HB27c_C0018	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase	No_PHROG	protein_coding	None	None
16	CP053287.1	Genbank	gene	16863	17084	.	+	.	gene-HB27c_C0019	HB27c_C0019	Gene	protein_coding	HB27c_C0019	gene-HB27c_C0019	twin-arginine translocase TatA/TatE family subunit	twin-arginine translocase TatA/TatE family subunit	No_PHROG	protein_coding	None	None
17	CP053287.1	Genbank	gene	17081	17821	.	+	.	gene-HB27c_C0020	HB27c_C0020	Gene	protein_coding	HB27c_C0020	gene-HB27c_C0020	twin-arginine translocase subunit TatC	twin-arginine translocase subunit TatC	No_PHROG	protein_coding	None	None
18	CP053287.1	Genbank	gene	17855	18922	.	+	.	gene-HB27c_C0021	HB27c_C0021	Gene	protein_coding	HB27c_C0021	gene-HB27c_C0021	3-deoxy-7-phosphoheptulonate synthase	3-deoxy-7-phosphoheptulonate synthase	No_PHROG	protein_coding	None	None
19	CP053287.1	Genbank	gene	18925	19869	.	+	.	gene-HB27c_C0022	HB27c_C0022	Gene	protein_coding	HB27c_C0022	gene-HB27c_C0022	4Fe-4S dicluster domain protein	4Fe-4S dicluster domain protein	No_PHROG	protein_coding	None	None
20	CP053287.1	Genbank	gene	19893	21530	.	+	.	gene-HB27c_C0023	HB27c_C0023	Gene	protein_coding	HB27c_C0023	gene-HB27c_C0023	FAD-binding dehydrogenase	FAD-binding dehydrogenase	No_PHROG	protein_coding	None	None
21	CP053287.1	Genbank	gene	21535	21927	.	+	.	gene-HB27c_C0024	HB27c_C0024	Gene	protein_coding	HB27c_C0024	gene-HB27c_C0024	methylmalonyl-CoA epimerase	methylmalonyl-CoA epimerase	No_PHROG	protein_coding	None	None
22	CP053287.1	Genbank	gene	21927	22265	.	+	.	gene-HB27c_C0025	HB27c_C0025	Gene	protein_coding	HB27c_C0025	gene-HB27c_C0025	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	None	None
23	CP053287.1	Genbank	gene	22219	22902	.	-	.	gene-HB27c_C0026	HB27c_C0026	Gene	protein_coding	HB27c_C0026	gene-HB27c_C0026	SDR family oxidoreductase	SDR family oxidoreductase	No_PHROG	protein_coding	None	None
24	CP053287.1	Genbank	gene	22907	23896	.	-	.	gene-HB27c_C0027	HB27c_C0027	Gene	protein_coding	HB27c_C0027	gene-HB27c_C0027	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	None	None
25	CP053287.1	Genbank	gene	23893	26367	.	-	.	gene-HB27c_C0028	lptD_1	Gene	protein_coding	HB27c_C0028	lptD_1	LPS-assembly protein LptD	LPS-assembly protein LptD	No_PHROG	protein_coding	None	None
26	CP053287.1	Genbank	gene	26364	27407	.	-	.	gene-HB27c_C0029	HB27c_C0029	Gene	protein_coding	HB27c_C0029	gene-HB27c_C0029	YjgP/YjgQ family permease	YjgP/YjgQ family permease	No_PHROG	protein_coding	None	None
